Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01110.1	E2Fc	E2F/DP	56092	+	3223	n.a.	n.a.	n.a.
At1g01110.1	E2Fc	E2F/DP	56041	+	3172	n.a.	n.a.	n.a.
At1g01110.1	E2Fc	E2F/DP	56257	+	3388	n.a.	n.a.	n.a.
At1g01110.1	E2Fc	E2F/DP	56200	+	3331	n.a.	n.a.	n.a.
At1g01110.1	E2Fc	E2F/DP	56014	+	3145	n.a.	n.a.	n.a.
At1g01110.1	E2Fc	E2F/DP	56146	+	3277	n.a.	n.a.	n.a.
At1g01120.1	E2Fc	E2F/DP	56014	-	3153	n.a.	n.a.	n.a.
At1g01120.1	E2Fc	E2F/DP	56041	-	3126	n.a.	n.a.	n.a.
At1g01120.1	E2Fc	E2F/DP	56092	-	3075	n.a.	n.a.	n.a.
At1g01120.1	E2Fc	E2F/DP	56146	-	3021	n.a.	n.a.	n.a.
At1g01120.1	E2Fc	E2F/DP	56200	-	2967	n.a.	n.a.	n.a.
At1g01120.1	E2Fc	E2F/DP	56257	-	2910	n.a.	n.a.	n.a.
At1g01170.1	E2Fc	E2F/DP	75508	-	-771	n.a.	n.a.	n.a.
At1g01180.1	E2Fc	E2F/DP	75508	+	-125	n.a.	n.a.	n.a.
At1g01183.1	E2Fc	E2F/DP	75508	-	3524	n.a.	n.a.	n.a.
At1g01400.1	E2Fc	E2F/DP	153604	+	-1394	n.a.	n.a.	n.a.
At1g01410.1	E2Fc	E2F/DP	153604	-	491	n.a.	n.a.	n.a.
At1g01420.1	E2Fc	E2F/DP	153604	+	2407	n.a.	n.a.	n.a.
At1g02110.1	E2Fc	E2F/DP	395595	+	2656	n.a.	n.a.	n.a.
At1g02120.1	E2Fc	E2F/DP	395595	+	-166	n.a.	n.a.	n.a.
At1g02220.1	E2Fc	E2F/DP	431627	+	-980	n.a.	n.a.	n.a.
At1g02228.1	E2Fc	E2F/DP	431627	+	2192	n.a.	n.a.	n.a.
At1g02520.1	E2Fc	E2F/DP	526718	-	2584	n.a.	n.a.	n.a.
At1g02530.1	E2Fc	E2F/DP	532521	-	2726	n.a.	n.a.	n.a.
At1g02540.1	E2Fc	E2F/DP	532521	+	3178	n.a.	n.a.	n.a.
At1g02640.1	E2Fc	E2F/DP	567178	+	2973	n.a.	n.a.	n.a.
At1g02650.1	E2Fc	E2F/DP	567178	+	-1526	n.a.	n.a.	n.a.
At1g02650.1	E2Fc	E2F/DP	572169	+	3465	n.a.	n.a.	n.a.
At1g02660.1	E2Fc	E2F/DP	572169	-	2812	n.a.	n.a.	n.a.
At1g03070.1	E2Fc	E2F/DP	730083	+	148	n.a.	n.a.	n.a.
At1g03100.1	E2Fc	E2F/DP	745608	-	871	n.a.	n.a.	n.a.
At1g03100.1	E2Fc	E2F/DP	746265	-	214	n.a.	n.a.	n.a.
At1g03103.1	E2Fc	E2F/DP	745608	+	-1589	n.a.	n.a.	n.a.
At1g03103.1	E2Fc	E2F/DP	746265	+	-932	n.a.	n.a.	n.a.
At1g04520.1	E2Fc	E2F/DP	1234740	-	3163	n.a.	n.a.	n.a.
At1g04530.1	E2Fc	E2F/DP	1234740	+	1293	n.a.	n.a.	n.a.
At1g04910.1	E2Fc	E2F/DP	1388197	+	2989	n.a.	n.a.	n.a.
At1g04910.1	E2Fc	E2F/DP	1388637	-	2549	n.a.	n.a.	n.a.
At1g05010.1	E2Fc	E2F/DP	1430604	-	2253	n.a.	n.a.	n.a.
At1g05010.1	E2Fc	E2F/DP	1430703	-	2154	n.a.	n.a.	n.a.
At1g05020.1	E2Fc	E2F/DP	1437617	+	49	n.a.	n.a.	n.a.
At1g05030.1	E2Fc	E2F/DP	1437617	+	3799	n.a.	n.a.	n.a.
At1g05055.1	E2Fc	E2F/DP	1452822	-	-1936	n.a.	n.a.	n.a.
At1g05060.1	E2Fc	E2F/DP	1452822	-	49	n.a.	n.a.	n.a.
At1g05065.1	E2Fc	E2F/DP	1452822	-	2397	n.a.	n.a.	n.a.
At1g05410.1	E2Fc	E2F/DP	1588548	+	-771	n.a.	n.a.	n.a.
At1g05420.1	E2Fc	E2F/DP	1588548	-	-1524	n.a.	n.a.	n.a.
At1g06570.1	E2Fc	E2F/DP	2014820	+	-1276	n.a.	n.a.	n.a.
At1g06580.1	E2Fc	E2F/DP	2014820	+	1233	n.a.	n.a.	n.a.
