Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g02210.1	WRKY63	WRKY(Zn)	426044	-	1767	n.a.	n.a.	n.a.
At1g02330.1	WRKY63	WRKY(Zn)	464560	-	-948	n.a.	n.a.	n.a.
At1g02335.1	WRKY63	WRKY(Zn)	464560	-	364	n.a.	n.a.	n.a.
At1g02340.1	WRKY63	WRKY(Zn)	464560	-	3284	n.a.	n.a.	n.a.
At1g02390.1	WRKY63	WRKY(Zn)	484450	-	3598	n.a.	n.a.	n.a.
At1g02391.1	WRKY63	WRKY(Zn)	484450	+	-531	n.a.	n.a.	n.a.
At1g02650.1	WRKY63	WRKY(Zn)	570893	-	2189	n.a.	n.a.	n.a.
At1g02890.1	WRKY63	WRKY(Zn)	650157	-	1749	n.a.	n.a.	n.a.
At1g03080.1	WRKY63	WRKY(Zn)	739318	+	-1986	n.a.	n.a.	n.a.
At1g03090.1	WRKY63	WRKY(Zn)	739318	-	-361	n.a.	n.a.	n.a.
At1g03475.1	WRKY63	WRKY(Zn)	870062	-	1150	n.a.	n.a.	n.a.
At1g03490.1	WRKY63	WRKY(Zn)	870062	+	-1813	n.a.	n.a.	n.a.
At1g03590.1	WRKY63	WRKY(Zn)	898077	+	-1638	n.a.	n.a.	n.a.
At1g03600.1	WRKY63	WRKY(Zn)	898077	-	-798	n.a.	n.a.	n.a.
At1g03600.1	WRKY63	WRKY(Zn)	900245	+	1370	n.a.	n.a.	n.a.
At1g03610.1	WRKY63	WRKY(Zn)	900245	+	-641	n.a.	n.a.	n.a.
At1g03730.1	WRKY63	WRKY(Zn)	930930	+	965	n.a.	n.a.	n.a.
At1g03746.1	WRKY63	WRKY(Zn)	938242	-	-758	n.a.	n.a.	n.a.
At1g03750.1	WRKY63	WRKY(Zn)	938242	+	323	n.a.	n.a.	n.a.
At1g03860.1	WRKY63	WRKY(Zn)	981590	-	294	n.a.	n.a.	n.a.
At1g03870.1	WRKY63	WRKY(Zn)	981590	-	1949	n.a.	n.a.	n.a.
At1g03900.1	WRKY63	WRKY(Zn)	992812	+	1674	n.a.	n.a.	n.a.
At1g03905.1	WRKY63	WRKY(Zn)	992812	+	-587	n.a.	n.a.	n.a.
At1g04030.1	WRKY63	WRKY(Zn)	1044328	+	3811	n.a.	n.a.	n.a.
At1g04040.1	WRKY63	WRKY(Zn)	1044328	-	-465	n.a.	n.a.	n.a.
At1g04130.1	WRKY63	WRKY(Zn)	1076254	+	2828	n.a.	n.a.	n.a.
At1g04250.1	WRKY63	WRKY(Zn)	1136043	-	-214	n.a.	n.a.	n.a.
At1g05080.1	WRKY63	WRKY(Zn)	1461869	+	2779	n.a.	n.a.	n.a.
At1g05085.1	WRKY63	WRKY(Zn)	1461869	+	882	n.a.	n.a.	n.a.
At1g05090.1	WRKY63	WRKY(Zn)	1461869	+	-1332	n.a.	n.a.	n.a.
At1g05650.1	WRKY63	WRKY(Zn)	1691527	-	598	n.a.	n.a.	n.a.
At1g05960.1	WRKY63	WRKY(Zn)	1811562	+	3911	n.a.	n.a.	n.a.
At1g06120.1	WRKY63	WRKY(Zn)	1859806	-	3864	n.a.	n.a.	n.a.
At1g06130.1	WRKY63	WRKY(Zn)	1859806	+	923	n.a.	n.a.	n.a.
At1g06190.1	WRKY63	WRKY(Zn)	1894453	-	-306	n.a.	n.a.	n.a.
At1g06200.1	WRKY63	WRKY(Zn)	1894453	-	2481	n.a.	n.a.	n.a.
At1g07090.1	WRKY63	WRKY(Zn)	2175487	+	-594	n.a.	n.a.	n.a.
At1g07410.1	WRKY63	WRKY(Zn)	2278160	+	1893	n.a.	n.a.	n.a.
At1g07420.1	WRKY63	WRKY(Zn)	2278160	+	356	n.a.	n.a.	n.a.
At1g07747.1	WRKY63	WRKY(Zn)	2405408	+	1853	n.a.	n.a.	n.a.
At1g07750.1	WRKY63	WRKY(Zn)	2405408	-	532	n.a.	n.a.	n.a.
At1g07760.1	WRKY63	WRKY(Zn)	2405408	-	1494	n.a.	n.a.	n.a.
At1g07870.1	WRKY63	WRKY(Zn)	2433740	+	-1709	n.a.	n.a.	n.a.
At1g07880.1	WRKY63	WRKY(Zn)	2433740	+	2020	n.a.	n.a.	n.a.
