Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01120.1	MYB.PH3(1)	MYB	58380	+	787	13.34	7.65	8.12
At1g01140.1	MYB.PH3(1)	MYB	68245	+	-620	13.34	7.65	9.22
At1g01150.1	MYB.PH3(1)	MYB	68245	+	3893	13.34	7.65	9.22
At1g01260.1	MYB.PH3(1)	MYB	111814	+	2782	13.34	7.65	8.79
At1g01270.1	MYB.PH3(1)	MYB	111814	-	147	13.34	7.65	8.79
At1g01280.1	MYB.PH3(1)	MYB	111814	+	-449	13.34	7.65	8.79
At1g01290.1	MYB.PH3(1)	MYB	118103	-	3817	13.34	7.65	10.1
At1g01300.1	MYB.PH3(1)	MYB	118103	-	1160	13.34	7.65	10.1
At1g01305.1	MYB.PH3(1)	MYB	118103	-	-1294	13.34	7.65	10.1
At1g01340.1	MYB.PH3(1)	MYB	135828	-	-506	13.34	7.65	8.63
At1g01350.1	MYB.PH3(1)	MYB	135828	+	-296	13.34	7.65	8.63
At1g01355.1	MYB.PH3(1)	MYB	140477	-	1964	13.34	7.65	7.74
At1g01360.1	MYB.PH3(1)	MYB	140477	-	-1494	13.34	7.65	7.74
At1g01453.1	MYB.PH3(1)	MYB	167738	+	104	13.34	7.65	10.93
At1g01460.1	MYB.PH3(1)	MYB	167738	-	-985	13.34	7.65	10.93
At1g01471.1	MYB.PH3(1)	MYB	174695	+	1444	13.34	7.65	11.66
At1g01480.1	MYB.PH3(1)	MYB	174695	+	-1087	13.34	7.65	11.66
At1g01580.1	MYB.PH3(1)	MYB	213298	+	3903	13.34	7.65	7.82
At1g01590.1	MYB.PH3(1)	MYB	213298	+	-931	13.34	7.65	7.82
At1g01590.1	MYB.PH3(1)	MYB	214442	+	213	13.34	7.65	7.88
At1g01660.1	MYB.PH3(1)	MYB	240018	+	2590	13.34	7.65	7.67
At1g01700.1	MYB.PH3(1)	MYB	261052	+	422	13.34	7.65	7.86
At1g01700.1	MYB.PH3(1)	MYB	261703	-	-229	13.34	7.65	8.03
At1g01710.1	MYB.PH3(1)	MYB	261052	-	-1776	13.34	7.65	7.86
At1g01710.1	MYB.PH3(1)	MYB	261703	+	-1125	13.34	7.65	8.03
