Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01040.1	ORA47(1)	AP2/EREBP	21220	+	-1926	12.93	8.19	9.28
At1g01046.1	ORA47(1)	AP2/EREBP	29947	-	1447	12.93	8.19	8.61
At1g01050.1	ORA47(1)	AP2/EREBP	29947	+	3206	12.93	8.19	8.61
At1g01080.1	ORA47(1)	AP2/EREBP	47751	-	-732	12.93	8.19	8.33
At1g01090.1	ORA47(1)	AP2/EREBP	47751	-	1535	12.93	8.19	8.33
At1g01110.1	ORA47(1)	AP2/EREBP	53520	+	651	12.93	8.19	8.59
At1g01120.1	ORA47(1)	AP2/EREBP	60701	+	-1534	12.93	8.19	10.75
At1g01130.1	ORA47(1)	AP2/EREBP	60701	+	3110	12.93	8.19	10.75
At1g01150.1	ORA47(1)	AP2/EREBP	69828	-	2310	12.93	8.19	9.13
At1g01190.1	ORA47(1)	AP2/EREBP	84076	+	788	12.93	8.19	8.29
At1g01210.1	ORA47(1)	AP2/EREBP	90393	+	1495	12.93	8.19	10.48
At1g01220.1	ORA47(1)	AP2/EREBP	90393	+	-1357	12.93	8.19	10.48
At1g01225.1	ORA47(1)	AP2/EREBP	96268	-	281	12.93	8.19	8.61
At1g01225.1	ORA47(1)	AP2/EREBP	96559	-	572	12.93	8.19	9.06
At1g01230.1	ORA47(1)	AP2/EREBP	96559	-	-897	12.93	8.19	9.06
At1g01230.1	ORA47(1)	AP2/EREBP	96268	-	-1188	12.93	8.19	8.61
At1g01250.1	ORA47(1)	AP2/EREBP	107081	+	-1751	12.93	8.19	10.51
At1g01260.1	ORA47(1)	AP2/EREBP	107081	-	-1951	12.93	8.19	10.51
At1g01340.1	ORA47(1)	AP2/EREBP	136167	+	-845	12.93	8.19	8.63
At1g01350.1	ORA47(1)	AP2/EREBP	136167	-	43	12.93	8.19	8.63
At1g01355.1	ORA47(1)	AP2/EREBP	142141	-	3628	12.93	8.19	10.41
At1g01355.1	ORA47(1)	AP2/EREBP	140335	-	1822	12.93	8.19	9.26
At1g01360.1	ORA47(1)	AP2/EREBP	142141	-	170	12.93	8.19	10.41
At1g01360.1	ORA47(1)	AP2/EREBP	140335	-	-1636	12.93	8.19	9.26
At1g01370.1	ORA47(1)	AP2/EREBP	142141	-	-1423	12.93	8.19	10.41
At1g01370.1	ORA47(1)	AP2/EREBP	147079	+	3515	12.93	8.19	10.51
At1g01380.1	ORA47(1)	AP2/EREBP	147079	+	-74	12.93	8.19	10.51
At1g01390.1	ORA47(1)	AP2/EREBP	147079	-	2727	12.93	8.19	10.51
At1g01450.1	ORA47(1)	AP2/EREBP	167412	-	-1895	12.93	8.19	9.29
At1g01453.1	ORA47(1)	AP2/EREBP	167412	-	430	12.93	8.19	9.29
At1g01453.1	ORA47(1)	AP2/EREBP	167642	+	200	12.93	8.19	9.92
At1g01460.1	ORA47(1)	AP2/EREBP	171070	+	2347	12.93	8.19	8.22
At1g01460.1	ORA47(1)	AP2/EREBP	167412	+	-1311	12.93	8.19	9.29
At1g01460.1	ORA47(1)	AP2/EREBP	167642	-	-1081	12.93	8.19	9.92
At1g01470.1	ORA47(1)	AP2/EREBP	171070	-	1878	12.93	8.19	8.22
At1g01470.1	ORA47(1)	AP2/EREBP	173269	-	-321	12.93	8.19	8.29
At1g01471.1	ORA47(1)	AP2/EREBP	173269	+	18	12.93	8.19	8.29
At1g01500.1	ORA47(1)	AP2/EREBP	187537	+	2404	12.93	8.19	11.55
At1g01510.1	ORA47(1)	AP2/EREBP	187537	+	326	12.93	8.19	11.55
At1g01520.1	ORA47(1)	AP2/EREBP	194564	-	3968	12.93	8.19	10.85
At1g01530.1	ORA47(1)	AP2/EREBP	194564	+	-894	12.93	8.19	10.85
At1g01540.1	ORA47(1)	AP2/EREBP	194564	-	-1248	12.93	8.19	10.85
At1g01600.1	ORA47(1)	AP2/EREBP	222838	-	3844	12.93	8.19	9.1
At1g01610.1	ORA47(1)	AP2/EREBP	222838	+	1502	12.93	8.19	9.1
At1g01610.1	ORA47(1)	AP2/EREBP	223213	-	1127	12.93	8.19	8.33
At1g01695.1	ORA47(1)	AP2/EREBP	255044	+	2097	12.93	8.19	9.29
At1g01700.1	ORA47(1)	AP2/EREBP	258727	+	2747	12.93	8.19	10.33
At1g01710.1	ORA47(1)	AP2/EREBP	263777	-	949	12.93	8.19	8.4
At1g01710.1	ORA47(1)	AP2/EREBP	265588	+	2760	12.93	8.19	10.33
At1g01720.1	ORA47(1)	AP2/EREBP	268041	+	-289	12.93	8.19	9.02
At1g01720.1	ORA47(1)	AP2/EREBP	269361	-	1031	12.93	8.19	9.8
At1g01720.1	ORA47(1)	AP2/EREBP	269685	-	1355	12.93	8.19	9.69
At1g01725.1	ORA47(1)	AP2/EREBP	268041	-	2734	12.93	8.19	9.02
At1g01725.1	ORA47(1)	AP2/EREBP	269685	+	1090	12.93	8.19	9.69
At1g01725.1	ORA47(1)	AP2/EREBP	269361	+	1414	12.93	8.19	9.8
At1g01730.1	ORA47(1)	AP2/EREBP	269685	-	-1271	12.93	8.19	9.69
At1g01750.1	ORA47(1)	AP2/EREBP	278347	-	2981	12.93	8.19	9.1
At1g01760.1	ORA47(1)	AP2/EREBP	278347	+	101	12.93	8.19	9.1
At1g01770.1	ORA47(1)	AP2/EREBP	278347	-	-268	12.93	8.19	9.1
At1g01840.1	ORA47(1)	AP2/EREBP	306067	+	2530	12.93	8.19	9.53
At1g01860.1	ORA47(1)	AP2/EREBP	306067	-	220	12.93	8.19	9.53
At1g01870.1	ORA47(1)	AP2/EREBP	306067	+	-317	12.93	8.19	9.53
At1g01900.1	ORA47(1)	AP2/EREBP	312460	+	2144	12.93	8.19	8.74
At1g01910.1	ORA47(1)	AP2/EREBP	312460	-	3442	12.93	8.19	8.74
At1g01930.1	ORA47(1)	AP2/EREBP	322611	-	249	12.93	8.19	9.03
At1g01940.1	ORA47(1)	AP2/EREBP	322611	+	-416	12.93	8.19	9.03
At1g01940.1	ORA47(1)	AP2/EREBP	326942	-	3915	12.93	8.19	10.33
At1g01950.1	ORA47(1)	AP2/EREBP	326942	-	1469	12.93	8.19	10.33
At1g01960.1	ORA47(1)	AP2/EREBP	337850	-	-268	12.93	8.19	9.33
At1g01970.1	ORA47(1)	AP2/EREBP	337850	+	-441	12.93	8.19	9.33
At1g01970.1	ORA47(1)	AP2/EREBP	341709	-	3418	12.93	8.19	9.1
At1g01980.1	ORA47(1)	AP2/EREBP	341709	+	290	12.93	8.19	9.1
At1g01990.1	ORA47(1)	AP2/EREBP	344689	-	-348	12.93	8.19	10.03
At1g01990.1	ORA47(1)	AP2/EREBP	341709	+	2632	12.93	8.19	9.1
At1g02000.1	ORA47(1)	AP2/EREBP	344689	+	-1123	12.93	8.19	10.03
At1g02100.1	ORA47(1)	AP2/EREBP	393452	+	3640	12.93	8.19	9.1
At1g02110.1	ORA47(1)	AP2/EREBP	393452	+	513	12.93	8.19	9.1
At1g02130.1	ORA47(1)	AP2/EREBP	400402	+	1480	12.93	8.19	9.64
At1g02136.1	ORA47(1)	AP2/EREBP	400402	+	2559	12.93	8.19	9.64
At1g02205.1	ORA47(1)	AP2/EREBP	422017	-	3250	12.93	8.19	8.28
At1g02220.1	ORA47(1)	AP2/EREBP	431993	-	-1346	12.93	8.19	8.33
At1g02228.1	ORA47(1)	AP2/EREBP	431993	-	1826	12.93	8.19	8.33
At1g02228.1	ORA47(1)	AP2/EREBP	433205	-	614	12.93	8.19	9.83
At1g02230.1	ORA47(1)	AP2/EREBP	433205	-	3571	12.93	8.19	9.83
At1g02290.1	ORA47(1)	AP2/EREBP	454061	+	-1324	12.93	8.19	9.13
