Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01590.1	DREB1B	AP2/EREBP	217052	+	2823	n.a.	n.a.	n.a.
At1g01600.1	DREB1B	AP2/EREBP	217052	+	-1942	n.a.	n.a.	n.a.
At1g04625.1	DREB1B	AP2/EREBP	1290789	-	-1837	n.a.	n.a.	n.a.
At1g04630.1	DREB1B	AP2/EREBP	1290789	-	322	n.a.	n.a.	n.a.
At1g04635.1	DREB1B	AP2/EREBP	1290789	+	-524	n.a.	n.a.	n.a.
At1g08920.1	DREB1B	AP2/EREBP	2869139	-	1877	n.a.	n.a.	n.a.
At1g09350.1	DREB1B	AP2/EREBP	3019423	-	-398	n.a.	n.a.	n.a.
At1g09486.1	DREB1B	AP2/EREBP	3065357	+	-1624	n.a.	n.a.	n.a.
At1g09490.1	DREB1B	AP2/EREBP	3065357	-	1231	n.a.	n.a.	n.a.
At1g09500.1	DREB1B	AP2/EREBP	3065357	-	-1398	n.a.	n.a.	n.a.
At1g09940.1	DREB1B	AP2/EREBP	3241209	+	-1653	n.a.	n.a.	n.a.
At1g09950.1	DREB1B	AP2/EREBP	3241209	+	425	n.a.	n.a.	n.a.
At1g17330.1	DREB1B	AP2/EREBP	5932806	-	2904	n.a.	n.a.	n.a.
At1g17340.1	DREB1B	AP2/EREBP	5932806	-	-1057	n.a.	n.a.	n.a.
At1g19520.1	DREB1B	AP2/EREBP	6763904	+	3948	n.a.	n.a.	n.a.
At1g19530.1	DREB1B	AP2/EREBP	6763904	+	-2	n.a.	n.a.	n.a.
At1g19540.1	DREB1B	AP2/EREBP	6763904	+	-1754	n.a.	n.a.	n.a.
At1g23030.1	DREB1B	AP2/EREBP	8160473	-	3838	n.a.	n.a.	n.a.
At1g26860.1	DREB1B	AP2/EREBP	9307484	-	-1697	n.a.	n.a.	n.a.
At1g33440.1	DREB1B	AP2/EREBP	12130209	-	178	n.a.	n.a.	n.a.
At1g33530.1	DREB1B	AP2/EREBP	12162335	-	2471	n.a.	n.a.	n.a.
At1g33540.1	DREB1B	AP2/EREBP	12162335	+	2345	n.a.	n.a.	n.a.
At1g41746.1	DREB1B	AP2/EREBP	15524843	-	-1228	n.a.	n.a.	n.a.
At1g41750.1	DREB1B	AP2/EREBP	15524843	-	34	n.a.	n.a.	n.a.
At1g45904.1	DREB1B	AP2/EREBP	17202865	+	-1607	n.a.	n.a.	n.a.
At1g45976.1	DREB1B	AP2/EREBP	17202865	-	1100	n.a.	n.a.	n.a.
At1g46048.1	DREB1B	AP2/EREBP	17202865	+	2140	n.a.	n.a.	n.a.
At1g53300.1	DREB1B	AP2/EREBP	19883989	-	899	n.a.	n.a.	n.a.
At1g53400.1	DREB1B	AP2/EREBP	19928474	+	54	n.a.	n.a.	n.a.
At1g53410.1	DREB1B	AP2/EREBP	19928474	-	1104	n.a.	n.a.	n.a.
At1g55680.1	DREB1B	AP2/EREBP	20811238	-	368	n.a.	n.a.	n.a.
At1g59520.1	DREB1B	AP2/EREBP	21868101	-	3054	n.a.	n.a.	n.a.
At1g59760.1	DREB1B	AP2/EREBP	21994142	+	-302	n.a.	n.a.	n.a.
At1g59770.1	DREB1B	AP2/EREBP	21994142	+	2176	n.a.	n.a.	n.a.
At1g62830.1	DREB1B	AP2/EREBP	23270336	-	531	n.a.	n.a.	n.a.
At1g62835.1	DREB1B	AP2/EREBP	23270336	-	1863	n.a.	n.a.	n.a.
At1g65340.1	DREB1B	AP2/EREBP	24274104	-	-795	n.a.	n.a.	n.a.
At1g65342.1	DREB1B	AP2/EREBP	24274104	+	-835	n.a.	n.a.	n.a.
At1g66210.1	DREB1B	AP2/EREBP	24670370	+	2076	n.a.	n.a.	n.a.
At1g66220.1	DREB1B	AP2/EREBP	24676083	+	1884	n.a.	n.a.	n.a.
At1g69450.1	DREB1B	AP2/EREBP	26115177	-	-1366	n.a.	n.a.	n.a.
At1g69460.1	DREB1B	AP2/EREBP	26115177	-	1729	n.a.	n.a.	n.a.
At1g70830.1	DREB1B	AP2/EREBP	26716180	+	-1056	n.a.	n.a.	n.a.
At1g70840.1	DREB1B	AP2/EREBP	26716180	+	1548	n.a.	n.a.	n.a.
At1g71370.1	DREB1B	AP2/EREBP	26899917	-	3179	n.a.	n.a.	n.a.
At1g73410.1	DREB1B	AP2/EREBP	27609108	+	3815	n.a.	n.a.	n.a.
At1g73430.1	DREB1B	AP2/EREBP	27609108	+	1792	n.a.	n.a.	n.a.
At1g76430.1	DREB1B	AP2/EREBP	28687199	+	-310	n.a.	n.a.	n.a.
At1g76440.1	DREB1B	AP2/EREBP	28687199	+	1445	n.a.	n.a.	n.a.
At1g78060.1	DREB1B	AP2/EREBP	29359164	+	-1346	n.a.	n.a.	n.a.
At1g78070.1	DREB1B	AP2/EREBP	29359164	-	-761	n.a.	n.a.	n.a.
At2g04290.1	DREB1B	AP2/EREBP	1491314	+	-534	n.a.	n.a.	n.a.
At2g04300.1	DREB1B	AP2/EREBP	1491314	-	-1692	n.a.	n.a.	n.a.
At2g05360.1	DREB1B	AP2/EREBP	1957708	+	1592	n.a.	n.a.	n.a.
At2g05370.1	DREB1B	AP2/EREBP	1957708	+	3714	n.a.	n.a.	n.a.
At2g06255.1	DREB1B	AP2/EREBP	2461464	-	3894	n.a.	n.a.	n.a.
At2g06260.1	DREB1B	AP2/EREBP	2461464	-	-1542	n.a.	n.a.	n.a.
At2g07680.1	DREB1B	AP2/EREBP	3516982	-	1023	n.a.	n.a.	n.a.
At2g07715.1	DREB1B	AP2/EREBP	3412249	-	1072	n.a.	n.a.	n.a.
At2g07716.1	DREB1B	AP2/EREBP	3412249	-	-1703	n.a.	n.a.	n.a.
At2g09388.1	DREB1B	AP2/EREBP	3658067	-	-172	n.a.	n.a.	n.a.
At2g09838.1	DREB1B	AP2/EREBP	3710451	+	124	n.a.	n.a.	n.a.
At2g09840.1	DREB1B	AP2/EREBP	3710451	+	2082	n.a.	n.a.	n.a.
At2g09840.1	DREB1B	AP2/EREBP	3714416	+	-1883	n.a.	n.a.	n.a.
At2g09850.1	DREB1B	AP2/EREBP	3714416	-	-425	n.a.	n.a.	n.a.
At2g10960.1	DREB1B	AP2/EREBP	4329190	-	-640	n.a.	n.a.	n.a.
At2g10965.1	DREB1B	AP2/EREBP	4329190	+	-1563	n.a.	n.a.	n.a.
At2g13710.1	DREB1B	AP2/EREBP	5731525	-	-1814	n.a.	n.a.	n.a.
At2g13720.1	DREB1B	AP2/EREBP	5731525	+	436	n.a.	n.a.	n.a.
At2g13730.1	DREB1B	AP2/EREBP	5731525	-	1560	n.a.	n.a.	n.a.
At2g19460.1	DREB1B	AP2/EREBP	8440514	+	1950	n.a.	n.a.	n.a.
At2g19470.1	DREB1B	AP2/EREBP	8440514	-	3121	n.a.	n.a.	n.a.
At2g20880.1	DREB1B	AP2/EREBP	8994697	+	1643	n.a.	n.a.	n.a.
At2g20890.1	DREB1B	AP2/EREBP	8994697	+	-50	n.a.	n.a.	n.a.
At2g21400.1	DREB1B	AP2/EREBP	9168979	+	3509	n.a.	n.a.	n.a.
At2g21410.1	DREB1B	AP2/EREBP	9168979	+	-721	n.a.	n.a.	n.a.
At2g21420.1	DREB1B	AP2/EREBP	9176980	+	187	n.a.	n.a.	n.a.
At2g21430.1	DREB1B	AP2/EREBP	9176980	-	3439	n.a.	n.a.	n.a.
At2g25280.1	DREB1B	AP2/EREBP	10773634	+	-1745	n.a.	n.a.	n.a.
At2g25290.1	DREB1B	AP2/EREBP	10773634	+	2065	n.a.	n.a.	n.a.
At2g28280.1	DREB1B	AP2/EREBP	12062165	-	1364	n.a.	n.a.	n.a.
At2g28290.1	DREB1B	AP2/EREBP	12062165	+	-1125	n.a.	n.a.	n.a.
At2g28740.1	DREB1B	AP2/EREBP	12338973	-	-1901	n.a.	n.a.	n.a.
At2g28750.1	DREB1B	AP2/EREBP	12338973	+	269	n.a.	n.a.	n.a.
At2g28755.1	DREB1B	AP2/EREBP	12338973	-	2563	n.a.	n.a.	n.a.
At2g30970.1	DREB1B	AP2/EREBP	13189655	-	3729	n.a.	n.a.	n.a.
At2g30980.1	DREB1B	AP2/EREBP	13189655	+	3371	n.a.	n.a.	n.a.
At2g42090.1	DREB1B	AP2/EREBP	17566702	-	2880	n.a.	n.a.	n.a.
At2g42100.1	DREB1B	AP2/EREBP	17566702	-	-587	n.a.	n.a.	n.a.
At2g42110.1	DREB1B	AP2/EREBP	17566702	+	3109	n.a.	n.a.	n.a.
At2g42530.1	DREB1B	AP2/EREBP	17717203	+	-180	n.a.	n.a.	n.a.
At2g42530.1	DREB1B	AP2/EREBP	17717210	+	-187	n.a.	n.a.	n.a.
At2g42540.1	DREB1B	AP2/EREBP	17717203	+	2205	n.a.	n.a.	n.a.
At2g42540.1	DREB1B	AP2/EREBP	17717210	+	2198	n.a.	n.a.	n.a.
At2g42540.1	DREB1B	AP2/EREBP	17719297	+	111	n.a.	n.a.	n.a.
At2g42540.1	DREB1B	AP2/EREBP	17719304	+	104	n.a.	n.a.	n.a.
At2g42550.1	DREB1B	AP2/EREBP	17719297	-	-977	n.a.	n.a.	n.a.
At2g42550.1	DREB1B	AP2/EREBP	17719304	-	-970	n.a.	n.a.	n.a.
At2g44830.1	DREB1B	AP2/EREBP	18498739	+	1300	n.a.	n.a.	n.a.
At2g47180.1	DREB1B	AP2/EREBP	19378464	+	-953	n.a.	n.a.	n.a.
At2g47260.1	DREB1B	AP2/EREBP	19415611	+	-1457	n.a.	n.a.	n.a.
At2g47270.1	DREB1B	AP2/EREBP	19415611	+	3610	n.a.	n.a.	n.a.
At3g04997.1	DREB1B	AP2/EREBP	1388567	-	-1932	n.a.	n.a.	n.a.
At3g05000.1	DREB1B	AP2/EREBP	1388567	-	195	n.a.	n.a.	n.a.
At3g05010.1	DREB1B	AP2/EREBP	1388567	+	-888	n.a.	n.a.	n.a.
At3g06778.1	DREB1B	AP2/EREBP	2141872	-	-333	n.a.	n.a.	n.a.
At3g06780.1	DREB1B	AP2/EREBP	2141872	+	-1622	n.a.	n.a.	n.a.
At3g07950.1	DREB1B	AP2/EREBP	2535280	-	3422	n.a.	n.a.	n.a.
At3g07960.1	DREB1B	AP2/EREBP	2535280	-	387	n.a.	n.a.	n.a.
At3g10040.1	DREB1B	AP2/EREBP	3100069	-	-1993	n.a.	n.a.	n.a.
At3g10050.1	DREB1B	AP2/EREBP	3100069	-	1697	n.a.	n.a.	n.a.
At3g11285.1	DREB1B	AP2/EREBP	3538132	-	2980	n.a.	n.a.	n.a.
At3g11290.1	DREB1B	AP2/EREBP	3538132	+	-283	n.a.	n.a.	n.a.
At3g11300.1	DREB1B	AP2/EREBP	3538132	+	2347	n.a.	n.a.	n.a.
At3g11435.1	DREB1B	AP2/EREBP	3601274	+	-1360	n.a.	n.a.	n.a.
At3g11440.1	DREB1B	AP2/EREBP	3601274	-	-825	n.a.	n.a.	n.a.
At3g13223.1	DREB1B	AP2/EREBP	4255390	-	855	n.a.	n.a.	n.a.
At3g13224.1	DREB1B	AP2/EREBP	4255390	-	623	n.a.	n.a.	n.a.
At3g13410.1	DREB1B	AP2/EREBP	4361761	-	2508	n.a.	n.a.	n.a.
At3g15980.1	DREB1B	AP2/EREBP	5417215	-	1332	n.a.	n.a.	n.a.
At3g17210.1	DREB1B	AP2/EREBP	5880890	+	-1400	n.a.	n.a.	n.a.
At3g17220.1	DREB1B	AP2/EREBP	5880890	-	2965	n.a.	n.a.	n.a.
At3g26539.1	DREB1B	AP2/EREBP	9746610	+	-1531	n.a.	n.a.	n.a.
At3g26540.1	DREB1B	AP2/EREBP	9746610	+	1271	n.a.	n.a.	n.a.
At3g26550.1	DREB1B	AP2/EREBP	9746610	+	3673	n.a.	n.a.	n.a.
At3g28980.1	DREB1B	AP2/EREBP	10995984	+	255	n.a.	n.a.	n.a.
At3g31950.1	DREB1B	AP2/EREBP	12954792	+	2200	n.a.	n.a.	n.a.
At3g31955.1	DREB1B	AP2/EREBP	12954792	-	2109	n.a.	n.a.	n.a.
At3g33106.1	DREB1B	AP2/EREBP	13885339	+	3244	n.a.	n.a.	n.a.
At3g33109.1	DREB1B	AP2/EREBP	13885339	+	-236	n.a.	n.a.	n.a.
At3g39230.1	DREB1B	AP2/EREBP	14176523	-	-1932	n.a.	n.a.	n.a.
At3g39935.1	DREB1B	AP2/EREBP	14176523	+	-1627	n.a.	n.a.	n.a.
At3g42680.1	DREB1B	AP2/EREBP	14775881	-	-1495	n.a.	n.a.	n.a.
At3g44820.1	DREB1B	AP2/EREBP	16375230	-	166	n.a.	n.a.	n.a.
At3g45590.1	DREB1B	AP2/EREBP	16747269	-	3690	n.a.	n.a.	n.a.
At3g45600.1	DREB1B	AP2/EREBP	16747269	+	-333	n.a.	n.a.	n.a.
At3g48070.1	DREB1B	AP2/EREBP	17762016	-	320	n.a.	n.a.	n.a.
At3g52110.1	DREB1B	AP2/EREBP	19337993	+	-1347	n.a.	n.a.	n.a.
At3g52115.1	DREB1B	AP2/EREBP	19337993	-	682	n.a.	n.a.	n.a.
At3g52120.1	DREB1B	AP2/EREBP	19337993	-	-1696	n.a.	n.a.	n.a.
At3g53668.1	DREB1B	AP2/EREBP	19902576	-	1177	n.a.	n.a.	n.a.
