Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01110.1	ZAP1	WRKY(Zn)	56737	+	3868	12.26	8.48	8.97
At1g01120.1	ZAP1	WRKY(Zn)	56737	-	2430	12.26	8.48	8.97
At1g01170.1	ZAP1	WRKY(Zn)	76538	+	-1801	12.26	8.48	8.97
At1g01180.1	ZAP1	WRKY(Zn)	76538	-	905	12.26	8.48	8.97
At1g01183.1	ZAP1	WRKY(Zn)	76538	+	2494	12.26	8.48	8.97
At1g01190.1	ZAP1	WRKY(Zn)	82292	-	2572	12.26	8.48	10.13
At1g01190.1	ZAP1	WRKY(Zn)	83560	+	1304	12.26	8.48	12.26
At1g01225.1	ZAP1	WRKY(Zn)	96970	-	983	12.26	8.48	8.48
At1g01230.1	ZAP1	WRKY(Zn)	96970	-	-486	12.26	8.48	8.48
At1g01230.1	ZAP1	WRKY(Zn)	100182	-	2726	12.26	8.48	9.75
At1g01240.1	ZAP1	WRKY(Zn)	100182	-	260	12.26	8.48	9.75
At1g01260.1	ZAP1	WRKY(Zn)	107680	+	-1352	12.26	8.48	8.86
At1g01290.1	ZAP1	WRKY(Zn)	117893	-	3607	12.26	8.48	10.49
At1g01300.1	ZAP1	WRKY(Zn)	117893	-	950	12.26	8.48	10.49
At1g01305.1	ZAP1	WRKY(Zn)	117893	-	-1504	12.26	8.48	10.49
At1g01510.1	ZAP1	WRKY(Zn)	190943	+	3732	12.26	8.48	10.49
At1g01520.1	ZAP1	WRKY(Zn)	190943	+	347	12.26	8.48	10.49
At1g01530.1	ZAP1	WRKY(Zn)	190943	-	2727	12.26	8.48	10.49
At1g01560.1	ZAP1	WRKY(Zn)	203879	-	1743	12.26	8.48	10.13
At1g01570.1	ZAP1	WRKY(Zn)	203879	-	-1297	12.26	8.48	10.13
At1g01600.1	ZAP1	WRKY(Zn)	219542	-	548	12.26	8.48	9.75
At1g01660.1	ZAP1	WRKY(Zn)	242739	-	-131	12.26	8.48	8.48
At1g01670.1	ZAP1	WRKY(Zn)	242739	-	3249	12.26	8.48	8.48
At1g01670.1	ZAP1	WRKY(Zn)	246136	+	-148	12.26	8.48	8.64
At1g01680.1	ZAP1	WRKY(Zn)	246136	+	2231	12.26	8.48	8.64
At1g01690.1	ZAP1	WRKY(Zn)	250432	+	1291	12.26	8.48	9.95
At1g01760.1	ZAP1	WRKY(Zn)	279553	+	-1105	12.26	8.48	9.02
At1g01770.1	ZAP1	WRKY(Zn)	279553	-	938	12.26	8.48	9.02
At1g01900.1	ZAP1	WRKY(Zn)	311525	+	1209	12.26	8.48	12.26
At1g01900.1	ZAP1	WRKY(Zn)	312717	-	2401	12.26	8.48	11.15
At1g01910.1	ZAP1	WRKY(Zn)	312717	+	3185	12.26	8.48	11.15
At1g02100.1	ZAP1	WRKY(Zn)	392774	-	2962	12.26	8.48	12.26
At1g02110.1	ZAP1	WRKY(Zn)	392774	-	-165	12.26	8.48	12.26
At1g02180.1	ZAP1	WRKY(Zn)	416133	-	-1488	12.26	8.48	10.13
At1g02190.1	ZAP1	WRKY(Zn)	416133	+	1054	12.26	8.48	10.13
At1g02260.1	ZAP1	WRKY(Zn)	442593	-	284	12.26	8.48	9.59
At1g02270.1	ZAP1	WRKY(Zn)	442593	-	3642	12.26	8.48	9.59
At1g02310.1	ZAP1	WRKY(Zn)	462164	+	-1468	12.26	8.48	10.49
At1g02320.1	ZAP1	WRKY(Zn)	462164	-	336	12.26	8.48	10.49
At1g02330.1	ZAP1	WRKY(Zn)	462164	+	1448	12.26	8.48	10.49
At1g02400.1	ZAP1	WRKY(Zn)	487061	-	260	12.26	8.48	9.59
At1g02405.1	ZAP1	WRKY(Zn)	487061	+	3444	12.26	8.48	9.59
At1g02520.1	ZAP1	WRKY(Zn)	526904	-	2770	12.26	8.48	8.97
At1g02540.1	ZAP1	WRKY(Zn)	534352	-	1347	12.26	8.48	12.26
At1g02750.1	ZAP1	WRKY(Zn)	603758	+	1261	12.26	8.48	9.59
At1g02760.1	ZAP1	WRKY(Zn)	603758	+	-644	12.26	8.48	9.59
At1g02770.1	ZAP1	WRKY(Zn)	603758	-	2935	12.26	8.48	9.59
At1g02910.1	ZAP1	WRKY(Zn)	659185	+	-1037	12.26	8.48	9.75
At1g02910.1	ZAP1	WRKY(Zn)	660038	-	-1890	12.26	8.48	10.13
At1g02920.1	ZAP1	WRKY(Zn)	659185	+	586	12.26	8.48	9.75
At1g02920.1	ZAP1	WRKY(Zn)	660038	-	-267	12.26	8.48	10.13
At1g02920.1	ZAP1	WRKY(Zn)	661662	+	-1891	12.26	8.48	9.75
At1g02930.1	ZAP1	WRKY(Zn)	659185	+	3242	12.26	8.48	9.75
At1g02930.1	ZAP1	WRKY(Zn)	660038	-	2389	12.26	8.48	10.13
At1g02930.1	ZAP1	WRKY(Zn)	661662	+	765	12.26	8.48	9.75
At1g02940.1	ZAP1	WRKY(Zn)	661662	+	2466	12.26	8.48	9.75
At1g02960.1	ZAP1	WRKY(Zn)	671538	+	-1701	12.26	8.48	8.97
At1g02965.1	ZAP1	WRKY(Zn)	671538	+	1276	12.26	8.48	8.97
At1g02965.1	ZAP1	WRKY(Zn)	673531	+	-717	12.26	8.48	8.97
At1g02970.1	ZAP1	WRKY(Zn)	671538	-	-1768	12.26	8.48	8.97
At1g02970.1	ZAP1	WRKY(Zn)	673531	-	225	12.26	8.48	8.97
At1g02990.1	ZAP1	WRKY(Zn)	686864	+	451	12.26	8.48	9.75
At1g03320.1	ZAP1	WRKY(Zn)	819230	-	2203	12.26	8.48	8.86
At1g03330.1	ZAP1	WRKY(Zn)	819230	+	333	12.26	8.48	8.86
At1g03340.1	ZAP1	WRKY(Zn)	819230	-	-432	12.26	8.48	8.86
At1g03380.1	ZAP1	WRKY(Zn)	836799	-	974	12.26	8.48	9.75
At1g03440.1	ZAP1	WRKY(Zn)	855902	-	3537	12.26	8.48	9.95
At1g03445.1	ZAP1	WRKY(Zn)	855902	+	3799	12.26	8.48	9.95
At1g03475.1	ZAP1	WRKY(Zn)	871265	-	-53	12.26	8.48	8.48
At1g03490.1	ZAP1	WRKY(Zn)	871265	+	-610	12.26	8.48	8.48
At1g03550.1	ZAP1	WRKY(Zn)	888058	+	-102	12.26	8.48	8.97
At1g03550.1	ZAP1	WRKY(Zn)	889423	-	-1467	12.26	8.48	8.86
At1g03560.1	ZAP1	WRKY(Zn)	889423	-	2987	12.26	8.48	8.86
At1g03600.1	ZAP1	WRKY(Zn)	900633	-	1758	12.26	8.48	9.59
At1g03610.1	ZAP1	WRKY(Zn)	900633	-	-253	12.26	8.48	9.59
At1g03620.1	ZAP1	WRKY(Zn)	905956	-	56	12.26	8.48	8.48
At1g03630.1	ZAP1	WRKY(Zn)	905956	+	-1685	12.26	8.48	8.48
At1g03680.1	ZAP1	WRKY(Zn)	918511	+	-447	12.26	8.48	11.15
At1g03687.1	ZAP1	WRKY(Zn)	918511	-	212	12.26	8.48	11.15
At1g03830.1	ZAP1	WRKY(Zn)	962981	+	3640	12.26	8.48	12.26
At1g03840.1	ZAP1	WRKY(Zn)	970706	+	-577	12.26	8.48	9.02
At1g03860.1	ZAP1	WRKY(Zn)	981676	-	208	12.26	8.48	10.13
At1g03870.1	ZAP1	WRKY(Zn)	981676	-	1863	12.26	8.48	10.13
At1g03905.1	ZAP1	WRKY(Zn)	994852	+	1453	12.26	8.48	8.86
At1g03910.1	ZAP1	WRKY(Zn)	994852	+	-1262	12.26	8.48	8.86
At1g04070.1	ZAP1	WRKY(Zn)	1051927	+	-742	12.26	8.48	12.26
At1g04080.1	ZAP1	WRKY(Zn)	1051927	-	585	12.26	8.48	12.26
At1g04200.1	ZAP1	WRKY(Zn)	1111304	+	1823	12.26	8.48	8.48
At1g04210.1	ZAP1	WRKY(Zn)	1117296	+	2892	12.26	8.48	10.49
At1g04230.1	ZAP1	WRKY(Zn)	1127467	-	1950	12.26	8.48	9.95
At1g04230.1	ZAP1	WRKY(Zn)	1129069	-	3552	12.26	8.48	9.95
At1g04240.1	ZAP1	WRKY(Zn)	1127467	+	2083	12.26	8.48	9.95
At1g04240.1	ZAP1	WRKY(Zn)	1129069	+	481	12.26	8.48	9.95
At1g04440.1	ZAP1	WRKY(Zn)	1205446	-	3192	12.26	8.48	9.75
At1g04445.1	ZAP1	WRKY(Zn)	1205446	-	-1897	12.26	8.48	9.75
At1g04610.1	ZAP1	WRKY(Zn)	1279618	-	231	12.26	8.48	9.75
At1g04635.1	ZAP1	WRKY(Zn)	1292880	-	1567	12.26	8.48	8.48
At1g04640.1	ZAP1	WRKY(Zn)	1292880	-	801	12.26	8.48	8.48
At1g04640.1	ZAP1	WRKY(Zn)	1294433	+	2354	12.26	8.48	9.75
At1g04645.1	ZAP1	WRKY(Zn)	1292880	+	1382	12.26	8.48	8.48
At1g04645.1	ZAP1	WRKY(Zn)	1294433	-	-171	12.26	8.48	9.75
At1g04730.1	ZAP1	WRKY(Zn)	1332186	+	-1101	12.26	8.48	9.95
At1g04750.1	ZAP1	WRKY(Zn)	1332186	+	1380	12.26	8.48	9.95
At1g04760.1	ZAP1	WRKY(Zn)	1335771	+	1012	12.26	8.48	9.95
At1g04770.1	ZAP1	WRKY(Zn)	1335771	-	2077	12.26	8.48	9.95
At1g04950.1	ZAP1	WRKY(Zn)	1409458	+	-1991	12.26	8.48	8.86
At1g04960.1	ZAP1	WRKY(Zn)	1409458	+	1409	12.26	8.48	8.86
At1g04970.1	ZAP1	WRKY(Zn)	1409458	-	-1711	12.26	8.48	8.86
At1g05040.1	ZAP1	WRKY(Zn)	1445992	-	2455	12.26	8.48	8.86
At1g05040.1	ZAP1	WRKY(Zn)	1446137	-	2310	12.26	8.48	8.86
At1g05100.1	ZAP1	WRKY(Zn)	1469948	+	339	12.26	8.48	10.13
At1g05220.1	ZAP1	WRKY(Zn)	1514406	-	2500	12.26	8.48	9.02
At1g05230.1	ZAP1	WRKY(Zn)	1514406	+	2841	12.26	8.48	9.02
At1g05390.1	ZAP1	WRKY(Zn)	1585132	-	-1288	12.26	8.48	8.64
At1g05400.1	ZAP1	WRKY(Zn)	1585132	+	791	12.26	8.48	8.64
At1g05410.1	ZAP1	WRKY(Zn)	1585132	-	2645	12.26	8.48	8.64
At1g05650.1	ZAP1	WRKY(Zn)	1693282	-	-1157	12.26	8.48	8.97
At1g05660.1	ZAP1	WRKY(Zn)	1693282	-	2775	12.26	8.48	8.97
At1g05680.1	ZAP1	WRKY(Zn)	1705350	-	-660	12.26	8.48	9.02
At1g05690.1	ZAP1	WRKY(Zn)	1705350	+	-1660	12.26	8.48	9.02
At1g05700.1	ZAP1	WRKY(Zn)	1712159	-	2364	12.26	8.48	8.97
At1g05780.1	ZAP1	WRKY(Zn)	1729089	-	2482	12.26	8.48	8.86
At1g05785.1	ZAP1	WRKY(Zn)	1729089	-	-1159	12.26	8.48	8.86
At1g05820.1	ZAP1	WRKY(Zn)	1753361	+	3680	12.26	8.48	8.48
At1g05820.1	ZAP1	WRKY(Zn)	1753504	-	3823	12.26	8.48	9.95
At1g05830.1	ZAP1	WRKY(Zn)	1753361	+	-882	12.26	8.48	8.48
At1g05830.1	ZAP1	WRKY(Zn)	1753504	-	-739	12.26	8.48	9.95
At1g05835.1	ZAP1	WRKY(Zn)	1766006	-	3783	12.26	8.48	9.02
At1g05840.1	ZAP1	WRKY(Zn)	1766006	+	274	12.26	8.48	9.02
