Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01030.1	MYC4	bHLH	12015	-	1699	11.04	7.04	8.2
At1g01030.1	MYC4	bHLH	12015	+	1699	11.04	7.04	8.2
At1g01030.1	MYC4	bHLH	15521	+	-1807	11.04	7.04	10.53
At1g01030.1	MYC4	bHLH	15521	-	-1807	11.04	7.04	9.04
At1g01040.1	MYC4	bHLH	25141	+	1995	11.04	7.04	7.22
At1g01060.1	MYC4	bHLH	37945	-	-105	11.04	7.04	8.37
At1g01060.1	MYC4	bHLH	37945	+	-105	11.04	7.04	8.35
At1g01070.1	MYC4	bHLH	37945	-	2999	11.04	7.04	8.37
At1g01070.1	MYC4	bHLH	37945	+	2999	11.04	7.04	8.35
At1g01080.1	MYC4	bHLH	48549	-	-1530	11.04	7.04	7.22
At1g01090.1	MYC4	bHLH	48549	-	737	11.04	7.04	7.22
At1g01100.1	MYC4	bHLH	48549	-	2559	11.04	7.04	7.22
At1g01120.1	MYC4	bHLH	58443	-	724	11.04	7.04	8.2
At1g01120.1	MYC4	bHLH	58398	+	769	11.04	7.04	11.04
At1g01120.1	MYC4	bHLH	58398	-	769	11.04	7.04	11.04
At1g01120.1	MYC4	bHLH	58443	+	724	11.04	7.04	8.2
At1g01130.1	MYC4	bHLH	62094	-	1717	11.04	7.04	10.35
At1g01130.1	MYC4	bHLH	62094	+	1717	11.04	7.04	8.89
At1g01190.1	MYC4	bHLH	83344	+	1520	11.04	7.04	8.53
At1g01190.1	MYC4	bHLH	83401	+	1463	11.04	7.04	8.94
At1g01190.1	MYC4	bHLH	83344	-	1520	11.04	7.04	8.53
At1g01190.1	MYC4	bHLH	83355	+	1509	11.04	7.04	7.09
At1g01190.1	MYC4	bHLH	83355	-	1509	11.04	7.04	8.94
At1g01190.1	MYC4	bHLH	83401	-	1463	11.04	7.04	7.09
At1g01190.1	MYC4	bHLH	84585	+	279	11.04	7.04	8.2
At1g01190.1	MYC4	bHLH	84585	-	279	11.04	7.04	8.2
At1g01200.1	MYC4	bHLH	84585	-	3628	11.04	7.04	8.2
At1g01200.1	MYC4	bHLH	84585	+	3628	11.04	7.04	8.2
At1g01230.1	MYC4	bHLH	99401	+	1945	11.04	7.04	8.37
At1g01230.1	MYC4	bHLH	99441	-	1985	11.04	7.04	8.53
At1g01230.1	MYC4	bHLH	99441	+	1985	11.04	7.04	8.53
At1g01230.1	MYC4	bHLH	99401	-	1945	11.04	7.04	8.35
At1g01230.1	MYC4	bHLH	99786	-	2330	11.04	7.04	8.53
At1g01230.1	MYC4	bHLH	99786	+	2330	11.04	7.04	8.53
At1g01240.1	MYC4	bHLH	99441	-	-481	11.04	7.04	8.53
At1g01240.1	MYC4	bHLH	99441	+	-481	11.04	7.04	8.53
At1g01240.1	MYC4	bHLH	102985	-	3063	11.04	7.04	7.22
At1g01240.1	MYC4	bHLH	99786	-	-136	11.04	7.04	8.53
At1g01240.1	MYC4	bHLH	102778	-	2856	11.04	7.04	8.53
At1g01240.1	MYC4	bHLH	102778	+	2856	11.04	7.04	8.53
At1g01240.1	MYC4	bHLH	103415	-	3493	11.04	7.04	8.2
At1g01240.1	MYC4	bHLH	99401	-	-521	11.04	7.04	8.35
At1g01240.1	MYC4	bHLH	99401	+	-521	11.04	7.04	8.37
At1g01240.1	MYC4	bHLH	99786	+	-136	11.04	7.04	8.53
At1g01240.1	MYC4	bHLH	103415	+	3493	11.04	7.04	8.2
At1g01250.1	MYC4	bHLH	102778	+	2552	11.04	7.04	8.53
At1g01250.1	MYC4	bHLH	102778	-	2552	11.04	7.04	8.53
At1g01250.1	MYC4	bHLH	104971	-	359	11.04	7.04	8.37
At1g01250.1	MYC4	bHLH	103415	-	1915	11.04	7.04	8.2
At1g01250.1	MYC4	bHLH	104779	-	551	11.04	7.04	8.2
At1g01250.1	MYC4	bHLH	104971	+	359	11.04	7.04	8.35
At1g01250.1	MYC4	bHLH	102985	+	2345	11.04	7.04	7.22
At1g01250.1	MYC4	bHLH	103415	+	1915	11.04	7.04	8.2
At1g01250.1	MYC4	bHLH	104779	+	551	11.04	7.04	8.2
At1g01260.1	MYC4	bHLH	108279	-	-753	11.04	7.04	7.09
At1g01260.1	MYC4	bHLH	108279	+	-753	11.04	7.04	8.94
At1g01270.1	MYC4	bHLH	108279	+	3682	11.04	7.04	7.09
At1g01270.1	MYC4	bHLH	108279	-	3682	11.04	7.04	8.94
At1g01280.1	MYC4	bHLH	113555	+	1292	11.04	7.04	8.53
At1g01280.1	MYC4	bHLH	113555	-	1292	11.04	7.04	8.53
At1g01290.1	MYC4	bHLH	113555	-	-731	11.04	7.04	8.53
At1g01290.1	MYC4	bHLH	118088	-	3802	11.04	7.04	8.53
At1g01290.1	MYC4	bHLH	118088	+	3802	11.04	7.04	8.53
At1g01290.1	MYC4	bHLH	113555	+	-731	11.04	7.04	8.53
At1g01300.1	MYC4	bHLH	118088	-	1145	11.04	7.04	8.53
At1g01300.1	MYC4	bHLH	118269	-	1326	11.04	7.04	8.53
At1g01300.1	MYC4	bHLH	118269	+	1326	11.04	7.04	8.53
At1g01300.1	MYC4	bHLH	118088	+	1145	11.04	7.04	8.53
At1g01305.1	MYC4	bHLH	118269	-	-1128	11.04	7.04	8.53
At1g01305.1	MYC4	bHLH	118088	-	-1309	11.04	7.04	8.53
At1g01305.1	MYC4	bHLH	120720	-	1323	11.04	7.04	8.53
At1g01305.1	MYC4	bHLH	118088	+	-1309	11.04	7.04	8.53
At1g01305.1	MYC4	bHLH	120564	-	1167	11.04	7.04	10.35
At1g01305.1	MYC4	bHLH	120720	+	1323	11.04	7.04	8.53
At1g01305.1	MYC4	bHLH	118269	+	-1128	11.04	7.04	8.53
At1g01305.1	MYC4	bHLH	120564	+	1167	11.04	7.04	8.89
At1g01310.1	MYC4	bHLH	120720	-	566	11.04	7.04	8.53
At1g01310.1	MYC4	bHLH	120720	+	566	11.04	7.04	8.53
At1g01310.1	MYC4	bHLH	120564	+	410	11.04	7.04	8.89
At1g01310.1	MYC4	bHLH	118269	+	-1885	11.04	7.04	8.53
At1g01310.1	MYC4	bHLH	120564	-	410	11.04	7.04	10.35
At1g01310.1	MYC4	bHLH	118269	-	-1885	11.04	7.04	8.53
At1g01355.1	MYC4	bHLH	140378	-	1865	11.04	7.04	8.53
At1g01355.1	MYC4	bHLH	140378	+	1865	11.04	7.04	8.53
At1g01360.1	MYC4	bHLH	140378	-	-1593	11.04	7.04	8.53
At1g01360.1	MYC4	bHLH	140378	+	-1593	11.04	7.04	8.53
At1g01370.1	MYC4	bHLH	146390	-	2826	11.04	7.04	8.37
At1g01370.1	MYC4	bHLH	146390	+	2826	11.04	7.04	8.35
At1g01380.1	MYC4	bHLH	149365	+	2212	11.04	7.04	8.37
At1g01380.1	MYC4	bHLH	146390	+	-763	11.04	7.04	8.35
At1g01380.1	MYC4	bHLH	146390	-	-763	11.04	7.04	8.37
At1g01380.1	MYC4	bHLH	149365	-	2212	11.04	7.04	8.35
At1g01390.1	MYC4	bHLH	146390	+	3416	11.04	7.04	8.37
