Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01040.1	OsCBT	CAMTA	23335	+	189	16.34	9.98	11.15
At1g01170.1	OsCBT	CAMTA	76090	+	-1353	16.34	9.98	10.4
At1g01180.1	OsCBT	CAMTA	76090	-	457	16.34	9.98	10.4
At1g01183.1	OsCBT	CAMTA	76090	+	2942	16.34	9.98	10.4
At1g01190.1	OsCBT	CAMTA	84233	+	631	16.34	9.98	11.09
At1g01200.1	OsCBT	CAMTA	84233	+	3980	16.34	9.98	11.09
At1g01340.1	OsCBT	CAMTA	132526	-	2796	16.34	9.98	12.81
At1g01650.1	OsCBT	CAMTA	237897	-	-80	16.34	9.98	10.61
At1g02475.1	OsCBT	CAMTA	515653	-	-249	16.34	9.98	10.42
At1g02480.1	OsCBT	CAMTA	515653	+	159	16.34	9.98	10.42
At1g02490.1	OsCBT	CAMTA	515653	+	-965	16.34	9.98	10.42
At1g03380.1	OsCBT	CAMTA	836014	+	189	16.34	9.98	11.71
At1g03790.1	OsCBT	CAMTA	957029	-	2505	16.34	9.98	11.85
At1g03800.1	OsCBT	CAMTA	957029	+	968	16.34	9.98	11.85
At1g03810.1	OsCBT	CAMTA	957029	-	-1729	16.34	9.98	11.85
At1g04160.1	OsCBT	CAMTA	1087605	+	1111	16.34	9.98	10.9
At1g04620.1	OsCBT	CAMTA	1287963	+	-1380	16.34	9.98	14.24
At1g04625.1	OsCBT	CAMTA	1287963	+	989	16.34	9.98	14.24
At1g04630.1	OsCBT	CAMTA	1287963	+	3148	16.34	9.98	14.24
At1g05310.1	OsCBT	CAMTA	1550930	+	1586	16.34	9.98	11.92
At1g05330.1	OsCBT	CAMTA	1558105	-	-64	16.34	9.98	10.85
At1g05340.1	OsCBT	CAMTA	1558105	+	1797	16.34	9.98	10.85
At1g05570.1	OsCBT	CAMTA	1658862	+	-177	16.34	9.98	12.34
At1g05575.1	OsCBT	CAMTA	1658862	+	3324	16.34	9.98	12.34
At1g05805.1	OsCBT	CAMTA	1746841	-	2069	16.34	9.98	10.97
At1g05810.1	OsCBT	CAMTA	1746841	-	-1472	16.34	9.98	10.97
At1g06400.1	OsCBT	CAMTA	1953832	+	-1048	16.34	9.98	10.87
At1g06410.1	OsCBT	CAMTA	1953832	-	-1580	16.34	9.98	10.87
At1g07720.1	OsCBT	CAMTA	2393846	-	-1396	16.34	9.98	12.02
At1g07725.1	OsCBT	CAMTA	2393846	-	3423	16.34	9.98	12.02
At1g07890.1	OsCBT	CAMTA	2440461	+	3134	16.34	9.98	11.29
At1g07901.1	OsCBT	CAMTA	2440461	-	3659	16.34	9.98	11.29
At1g08070.1	OsCBT	CAMTA	2516258	+	344	16.34	9.98	12.69
At1g08080.1	OsCBT	CAMTA	2516258	+	2285	16.34	9.98	12.69
At1g08120.1	OsCBT	CAMTA	2541677	-	2990	16.34	9.98	11.72
At1g08125.1	OsCBT	CAMTA	2541677	+	654	16.34	9.98	11.72
At1g08220.1	OsCBT	CAMTA	2583333	+	-13	16.34	9.98	12.83
At1g08220.1	OsCBT	CAMTA	2583796	+	-476	16.34	9.98	10.05
At1g08230.2	OsCBT	CAMTA	2583333	+	3408	16.34	9.98	12.83
At1g08230.2	OsCBT	CAMTA	2583796	+	2945	16.34	9.98	10.05
At1g08450.1	OsCBT	CAMTA	2672434	-	-605	16.34	9.98	10.87
At1g08460.1	OsCBT	CAMTA	2672434	+	-14	16.34	9.98	10.87
At1g08610.1	OsCBT	CAMTA	2735798	+	-328	16.34	9.98	11.44
At1g08620.1	OsCBT	CAMTA	2735798	-	-1759	16.34	9.98	11.44
At1g08740.1	OsCBT	CAMTA	2799968	+	116	16.34	9.98	10.92
At1g08750.1	OsCBT	CAMTA	2799968	-	-1102	16.34	9.98	10.92
At1g08830.1	OsCBT	CAMTA	2828795	+	1731	16.34	9.98	12.66
At1g08970.1	OsCBT	CAMTA	2885384	+	2857	16.34	9.98	11.32
At1g08980.1	OsCBT	CAMTA	2885384	+	970	16.34	9.98	11.32
At1g08985.1	OsCBT	CAMTA	2885384	+	-1904	16.34	9.98	11.32
At1g08990.1	OsCBT	CAMTA	2891345	+	2589	16.34	9.98	13.39
At1g09000.1	OsCBT	CAMTA	2891345	+	305	16.34	9.98	13.39
At1g09150.1	OsCBT	CAMTA	2950084	-	3853	16.34	9.98	10.77
At1g09155.1	OsCBT	CAMTA	2950084	+	907	16.34	9.98	10.77
At1g09157.1	OsCBT	CAMTA	2950084	+	2314	16.34	9.98	10.77
At1g09280.1	OsCBT	CAMTA	2998454	+	2863	16.34	9.98	11.56
At1g10310.1	OsCBT	CAMTA	3383603	+	313	16.34	9.98	10.16
At1g10455.1	OsCBT	CAMTA	3441458	-	2902	16.34	9.98	11.89
At1g10460.1	OsCBT	CAMTA	3441458	+	-1137	16.34	9.98	11.89
At1g10470.1	OsCBT	CAMTA	3441458	+	2500	16.34	9.98	11.89
At1g10560.1	OsCBT	CAMTA	3486213	+	1632	16.34	9.98	13.39
At1g10570.1	OsCBT	CAMTA	3486213	+	-1382	16.34	9.98	13.39
At1g10865.1	OsCBT	CAMTA	3616189	-	-34	16.34	9.98	10.88
At1g12410.1	OsCBT	CAMTA	4226967	+	3939	16.34	9.98	10.96
At1g12411.1	OsCBT	CAMTA	4226967	-	-1487	16.34	9.98	10.96
At1g12420.1	OsCBT	CAMTA	4226967	-	2169	16.34	9.98	10.96
At1g12440.1	OsCBT	CAMTA	4243334	-	-328	16.34	9.98	10.09
At1g12450.1	OsCBT	CAMTA	4243334	+	-972	16.34	9.98	10.09
At1g13260.1	OsCBT	CAMTA	4542627	+	462	16.34	9.98	11.61
At1g14340.1	OsCBT	CAMTA	4901225	+	3884	16.34	9.98	10.1
At1g14345.1	OsCBT	CAMTA	4901225	+	2085	16.34	9.98	10.1
At1g14430.1	OsCBT	CAMTA	4935897	+	1782	16.34	9.98	10.19
At1g14790.1	OsCBT	CAMTA	5095416	+	2611	16.34	9.98	11.56
At1g14800.1	OsCBT	CAMTA	5102281	-	2714	16.34	9.98	10.17
At1g14810.1	OsCBT	CAMTA	5102281	+	2409	16.34	9.98	10.17
At1g14810.1	OsCBT	CAMTA	5104379	+	311	16.34	9.98	10.56
At1g14820.1	OsCBT	CAMTA	5104379	+	2565	16.34	9.98	10.56
At1g14890.1	OsCBT	CAMTA	5137342	-	333	16.34	9.98	11.81
At1g14900.1	OsCBT	CAMTA	5137342	+	2085	16.34	9.98	11.81
At1g15560.1	OsCBT	CAMTA	5353614	+	695	16.34	9.98	10.04
At1g16600.1	OsCBT	CAMTA	5678632	-	3470	16.34	9.98	10.17
At1g16610.1	OsCBT	CAMTA	5678632	+	141	16.34	9.98	10.17
At1g16620.1	OsCBT	CAMTA	5678632	-	-1180	16.34	9.98	10.17
At1g16850.1	OsCBT	CAMTA	5766443	-	-799	16.34	9.98	12.01
At1g16858.1	OsCBT	CAMTA	5766443	+	-850	16.34	9.98	12.01
At1g17030.1	OsCBT	CAMTA	5823988	+	1627	16.34	9.98	10.18
At1g17040.1	OsCBT	CAMTA	5823988	+	-853	16.34	9.98	10.18
At1g17180.1	OsCBT	CAMTA	5873854	+	1716	16.34	9.98	10.59
At1g17190.1	OsCBT	CAMTA	5873854	+	-1489	16.34	9.98	10.59
At1g18190.1	OsCBT	CAMTA	6263393	+	-1943	16.34	9.98	10.59
At1g18200.1	OsCBT	CAMTA	6263393	+	3537	16.34	9.98	10.59
At1g18580.1	OsCBT	CAMTA	6399051	-	3194	16.34	9.98	10.49
At1g18590.1	OsCBT	CAMTA	6399051	-	479	16.34	9.98	10.49
At1g18600.1	OsCBT	CAMTA	6399051	-	-1345	16.34	9.98	10.49
At1g18760.1	OsCBT	CAMTA	6473305	+	-1490	16.34	9.98	10.6
At1g18770.1	OsCBT	CAMTA	6473305	+	734	16.34	9.98	10.6
At1g18773.1	OsCBT	CAMTA	6473305	-	-1488	16.34	9.98	10.6
At1g19140.1	OsCBT	CAMTA	6612662	+	-155	16.34	9.98	10.18
At1g19150.1	OsCBT	CAMTA	6612662	-	-78	16.34	9.98	10.18
At1g19160.1	OsCBT	CAMTA	6612662	+	2543	16.34	9.98	10.18
At1g19940.1	OsCBT	CAMTA	6921101	+	-733	16.34	9.98	10
At1g20390.1	OsCBT	CAMTA	7066502	-	1018	16.34	9.98	9.98
At1g20400.1	OsCBT	CAMTA	7075152	-	676	16.34	9.98	10.26
At1g20730.1	OsCBT	CAMTA	7197959	+	3693	16.34	9.98	13.48
At1g21020.1	OsCBT	CAMTA	7353634	+	105	16.34	9.98	10.92
At1g21290.1	OsCBT	CAMTA	7451427	+	-744	16.34	9.98	10.47
At1g21300.1	OsCBT	CAMTA	7451427	+	268	16.34	9.98	10.47
At1g21310.1	OsCBT	CAMTA	7451427	+	3570	16.34	9.98	10.47
At1g21580.1	OsCBT	CAMTA	7565732	+	60	16.34	9.98	12.15
At1g21700.1	OsCBT	CAMTA	7624737	-	-612	16.34	9.98	10.69
At1g21710.1	OsCBT	CAMTA	7624737	+	352	16.34	9.98	10.69
At1g21720.1	OsCBT	CAMTA	7624737	+	-1535	16.34	9.98	10.69
At1g21780.1	OsCBT	CAMTA	7654182	+	2164	16.34	9.98	10.14
At1g21790.1	OsCBT	CAMTA	7654182	+	9	16.34	9.98	10.14
At1g21800.1	OsCBT	CAMTA	7654182	-	1998	16.34	9.98	10.14
At1g22350.1	OsCBT	CAMTA	7895831	-	-1344	16.34	9.98	11.8
At1g22360.1	OsCBT	CAMTA	7895831	-	1749	16.34	9.98	11.8
At1g22360.1	OsCBT	CAMTA	7898879	-	-1299	16.34	9.98	11.8
At1g22370.1	OsCBT	CAMTA	7898879	-	371	16.34	9.98	11.8
At1g22380.1	OsCBT	CAMTA	7898879	-	3442	16.34	9.98	11.8
At1g22600.1	OsCBT	CAMTA	7988514	+	692	16.34	9.98	12.49
At1g22710.1	OsCBT	CAMTA	8032408	+	698	16.34	9.98	10.87
At1g23770.1	OsCBT	CAMTA	8407499	+	-1244	16.34	9.98	11.85
At1g23780.1	OsCBT	CAMTA	8407499	+	1015	16.34	9.98	11.85
At1g24090.1	OsCBT	CAMTA	8524508	-	3685	16.34	9.98	10.18
At1g24100.1	OsCBT	CAMTA	8524508	+	2568	16.34	9.98	10.18
At1g25375.1	OsCBT	CAMTA	8902090	+	1154	16.34	9.98	13.12
At1g25380.1	OsCBT	CAMTA	8902090	-	-1367	16.34	9.98	13.12
At1g25400.1	OsCBT	CAMTA	8911645	+	740	16.34	9.98	11.52
At1g25410.1	OsCBT	CAMTA	8911645	+	3561	16.34	9.98	11.52
At1g26560.1	OsCBT	CAMTA	9180340	-	1975	16.34	9.98	10.15
At1g26570.1	OsCBT	CAMTA	9180340	-	-1851	16.34	9.98	10.15
At1g26890.1	OsCBT	CAMTA	9321482	-	3681	16.34	9.98	10.93
