Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01030.1	CDC5	MYB	12702	-	1012	13.93	7.47	8.11
At1g01046.1	CDC5	MYB	31387	+	2887	13.93	7.47	8.5
At1g01050.1	CDC5	MYB	34645	-	-1492	13.93	7.47	7.51
At1g01050.1	CDC5	MYB	31387	-	1766	13.93	7.47	8.5
At1g01060.1	CDC5	MYB	34645	-	3195	13.93	7.47	7.51
At1g01080.1	CDC5	MYB	47164	+	-145	13.93	7.47	7.96
At1g01080.1	CDC5	MYB	48086	-	-1067	13.93	7.47	8.87
At1g01090.1	CDC5	MYB	47164	+	2122	13.93	7.47	7.96
At1g01090.1	CDC5	MYB	48086	-	1200	13.93	7.47	8.87
At1g01100.1	CDC5	MYB	51768	+	-660	13.93	7.47	9.55
At1g01110.1	CDC5	MYB	56542	-	3673	13.93	7.47	10.15
At1g01110.1	CDC5	MYB	51768	-	-1101	13.93	7.47	9.55
At1g01120.1	CDC5	MYB	56542	+	2625	13.93	7.47	10.15
At1g01140.1	CDC5	MYB	66105	-	1520	13.93	7.47	8.22
At1g01190.1	CDC5	MYB	83568	-	1296	13.93	7.47	7.79
At1g01225.1	CDC5	MYB	96791	-	804	13.93	7.47	7.55
At1g01230.1	CDC5	MYB	96791	-	-665	13.93	7.47	7.55
At1g01270.1	CDC5	MYB	112442	-	-481	13.93	7.47	8.13
At1g01270.1	CDC5	MYB	112731	+	-770	13.93	7.47	8.79
At1g01280.1	CDC5	MYB	112731	-	468	13.93	7.47	8.79
At1g01280.1	CDC5	MYB	112442	+	179	13.93	7.47	8.13
At1g01290.1	CDC5	MYB	112442	+	-1844	13.93	7.47	8.13
At1g01290.1	CDC5	MYB	112731	-	-1555	13.93	7.47	8.79
At1g01300.1	CDC5	MYB	118968	+	2025	13.93	7.47	8.56
At1g01305.1	CDC5	MYB	118968	+	-429	13.93	7.47	8.56
At1g01310.1	CDC5	MYB	118968	+	-1186	13.93	7.47	8.56
At1g01320.1	CDC5	MYB	127912	+	2187	13.93	7.47	8.31
At1g01380.1	CDC5	MYB	149520	-	2367	13.93	7.47	8.14
At1g01390.1	CDC5	MYB	149520	+	286	13.93	7.47	8.14
At1g01400.1	CDC5	MYB	149520	+	2690	13.93	7.47	8.14
At1g01440.1	CDC5	MYB	161819	-	753	13.93	7.47	7.77
At1g01440.1	CDC5	MYB	163657	+	-1085	13.93	7.47	7.94
