Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	LFY	LFY	4430	+	799	n.a.	n.a.	n.a.
At1g01010.1	LFY	LFY	4127	+	496	n.a.	n.a.	n.a.
At1g01010.1	LFY	LFY	4127	-	496	n.a.	n.a.	n.a.
At1g01010.1	LFY	LFY	5544	-	1913	n.a.	n.a.	n.a.
At1g01010.1	LFY	LFY	6189	-	2558	n.a.	n.a.	n.a.
At1g01020.1	LFY	LFY	9860	-	-1123	n.a.	n.a.	n.a.
At1g01020.1	LFY	LFY	5544	+	3193	n.a.	n.a.	n.a.
At1g01020.1	LFY	LFY	6189	+	2548	n.a.	n.a.	n.a.
At1g01030.1	LFY	LFY	9860	-	3854	n.a.	n.a.	n.a.
At1g01040.1	LFY	LFY	23737	-	591	n.a.	n.a.	n.a.
At1g01070.1	LFY	LFY	40928	-	16	n.a.	n.a.	n.a.
At1g01080.1	LFY	LFY	46086	-	933	n.a.	n.a.	n.a.
At1g01090.1	LFY	LFY	49376	-	-90	n.a.	n.a.	n.a.
At1g01090.1	LFY	LFY	46086	-	3200	n.a.	n.a.	n.a.
At1g01100.1	LFY	LFY	49376	-	1732	n.a.	n.a.	n.a.
At1g01110.1	LFY	LFY	55523	-	2654	n.a.	n.a.	n.a.
At1g01110.1	LFY	LFY	55523	+	2654	n.a.	n.a.	n.a.
At1g01120.1	LFY	LFY	55523	+	3644	n.a.	n.a.	n.a.
At1g01120.1	LFY	LFY	55523	-	3644	n.a.	n.a.	n.a.
At1g01160.1	LFY	LFY	73813	-	1474	n.a.	n.a.	n.a.
At1g01170.1	LFY	LFY	73813	+	924	n.a.	n.a.	n.a.
At1g01180.1	LFY	LFY	73813	-	-1820	n.a.	n.a.	n.a.
At1g01190.1	LFY	LFY	84375	+	489	n.a.	n.a.	n.a.
At1g01200.1	LFY	LFY	84375	+	3838	n.a.	n.a.	n.a.
At1g01210.1	LFY	LFY	91941	+	3043	n.a.	n.a.	n.a.
At1g01220.1	LFY	LFY	91941	+	191	n.a.	n.a.	n.a.
