Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	WRI1	AP2/EREBP	6227	+	2596	19.35	6.03	6.8
At1g01020.1	WRI1	AP2/EREBP	6227	-	2510	19.35	6.03	6.8
At1g01040.1	WRI1	AP2/EREBP	22150	-	-996	19.35	6.03	11.95
At1g01040.1	WRI1	AP2/EREBP	25166	-	2020	19.35	6.03	7.88
At1g01046.1	WRI1	AP2/EREBP	29502	-	1002	19.35	6.03	6.59
At1g01050.1	WRI1	AP2/EREBP	29502	+	3651	19.35	6.03	6.59
At1g01050.1	WRI1	AP2/EREBP	33636	+	-483	19.35	6.03	6.87
At1g01060.1	WRI1	AP2/EREBP	38990	-	-1150	19.35	6.03	7
At1g01060.1	WRI1	AP2/EREBP	39109	-	-1269	19.35	6.03	6.49
At1g01060.1	WRI1	AP2/EREBP	39208	+	-1368	19.35	6.03	8.81
At1g01070.1	WRI1	AP2/EREBP	38990	-	1954	19.35	6.03	7
At1g01070.1	WRI1	AP2/EREBP	39109	-	1835	19.35	6.03	6.49
At1g01070.1	WRI1	AP2/EREBP	39208	+	1736	19.35	6.03	8.81
At1g01080.1	WRI1	AP2/EREBP	43907	+	3112	19.35	6.03	8.45
At1g01090.1	WRI1	AP2/EREBP	49251	+	35	19.35	6.03	7.13
At1g01100.1	WRI1	AP2/EREBP	49251	+	1857	19.35	6.03	7.13
At1g01110.1	WRI1	AP2/EREBP	56400	-	3531	19.35	6.03	7.4
At1g01120.1	WRI1	AP2/EREBP	56400	+	2767	19.35	6.03	7.4
At1g01120.1	WRI1	AP2/EREBP	58720	-	447	19.35	6.03	7.81
At1g01130.1	WRI1	AP2/EREBP	61301	-	2510	19.35	6.03	6.38
At1g01130.1	WRI1	AP2/EREBP	63452	+	359	19.35	6.03	7.73
At1g01130.1	WRI1	AP2/EREBP	65784	+	-1973	19.35	6.03	9.44
At1g01140.1	WRI1	AP2/EREBP	65784	+	1841	19.35	6.03	9.44
At1g01140.1	WRI1	AP2/EREBP	66373	+	1252	19.35	6.03	6.14
At1g01140.1	WRI1	AP2/EREBP	67079	+	546	19.35	6.03	8.38
At1g01140.1	WRI1	AP2/EREBP	67551	+	74	19.35	6.03	10.06
At1g01140.1	WRI1	AP2/EREBP	68090	+	-465	19.35	6.03	7.18
At1g01150.1	WRI1	AP2/EREBP	70024	+	2114	19.35	6.03	6.77
At1g01160.1	WRI1	AP2/EREBP	74039	+	1700	19.35	6.03	6.23
At1g01160.1	WRI1	AP2/EREBP	74604	-	2265	19.35	6.03	8.06
At1g01170.1	WRI1	AP2/EREBP	74039	-	698	19.35	6.03	6.23
At1g01170.1	WRI1	AP2/EREBP	74604	+	133	19.35	6.03	8.06
At1g01170.1	WRI1	AP2/EREBP	75725	-	-988	19.35	6.03	7.24
At1g01180.1	WRI1	AP2/EREBP	74039	+	-1594	19.35	6.03	6.23
At1g01180.1	WRI1	AP2/EREBP	74604	-	-1029	19.35	6.03	8.06
At1g01180.1	WRI1	AP2/EREBP	75725	+	92	19.35	6.03	7.24
At1g01180.1	WRI1	AP2/EREBP	78948	-	3315	19.35	6.03	6.15
At1g01180.1	WRI1	AP2/EREBP	79589	-	3956	19.35	6.03	6.98
At1g01183.1	WRI1	AP2/EREBP	75725	-	3307	19.35	6.03	7.24
At1g01183.1	WRI1	AP2/EREBP	78948	+	84	19.35	6.03	6.15
At1g01183.1	WRI1	AP2/EREBP	79589	+	-557	19.35	6.03	6.98
At1g01220.1	WRI1	AP2/EREBP	94848	-	3098	19.35	6.03	6.21
At1g01225.1	WRI1	AP2/EREBP	94848	-	-1139	19.35	6.03	6.21
At1g01225.1	WRI1	AP2/EREBP	96559	-	572	19.35	6.03	9.21
At1g01230.1	WRI1	AP2/EREBP	96559	-	-897	19.35	6.03	9.21
At1g01230.1	WRI1	AP2/EREBP	98907	+	1451	19.35	6.03	8.98
At1g01240.1	WRI1	AP2/EREBP	98907	+	-1015	19.35	6.03	8.98
At1g01250.1	WRI1	AP2/EREBP	104546	+	784	19.35	6.03	6.71
At1g01250.1	WRI1	AP2/EREBP	104859	-	471	19.35	6.03	8.81
At1g01250.1	WRI1	AP2/EREBP	104934	-	396	19.35	6.03	6.15
At1g01250.1	WRI1	AP2/EREBP	106559	+	-1229	19.35	6.03	6.9
At1g01290.1	WRI1	AP2/EREBP	117752	-	3466	19.35	6.03	6.57
At1g01290.1	WRI1	AP2/EREBP	117976	+	3690	19.35	6.03	7.56
At1g01300.1	WRI1	AP2/EREBP	117752	-	809	19.35	6.03	6.57
At1g01300.1	WRI1	AP2/EREBP	117976	+	1033	19.35	6.03	7.56
At1g01305.1	WRI1	AP2/EREBP	117752	-	-1645	19.35	6.03	6.57
At1g01305.1	WRI1	AP2/EREBP	117976	+	-1421	19.35	6.03	7.56
At1g01305.1	WRI1	AP2/EREBP	121851	+	2454	19.35	6.03	6.36
At1g01305.1	WRI1	AP2/EREBP	122538	+	3141	19.35	6.03	7.89
At1g01310.1	WRI1	AP2/EREBP	121851	+	1697	19.35	6.03	6.36
At1g01310.1	WRI1	AP2/EREBP	122538	+	2384	19.35	6.03	7.89
At1g01340.1	WRI1	AP2/EREBP	137144	+	-1822	19.35	6.03	10.14
At1g01340.1	WRI1	AP2/EREBP	137264	+	-1942	19.35	6.03	7.85
At1g01350.1	WRI1	AP2/EREBP	137144	-	1020	19.35	6.03	10.14
At1g01350.1	WRI1	AP2/EREBP	137264	-	1140	19.35	6.03	7.85
At1g01350.1	WRI1	AP2/EREBP	137462	-	1338	19.35	6.03	6.64
At1g01350.1	WRI1	AP2/EREBP	139262	+	3138	19.35	6.03	7.91
At1g01355.1	WRI1	AP2/EREBP	137144	-	-1369	19.35	6.03	10.14
At1g01355.1	WRI1	AP2/EREBP	137264	-	-1249	19.35	6.03	7.85
At1g01355.1	WRI1	AP2/EREBP	137462	-	-1051	19.35	6.03	6.64
At1g01355.1	WRI1	AP2/EREBP	139262	+	749	19.35	6.03	7.91
At1g01355.1	WRI1	AP2/EREBP	142053	+	3540	19.35	6.03	6.81
At1g01360.1	WRI1	AP2/EREBP	142053	+	82	19.35	6.03	6.81
At1g01370.1	WRI1	AP2/EREBP	142053	+	-1511	19.35	6.03	6.81
At1g01370.1	WRI1	AP2/EREBP	147281	-	3717	19.35	6.03	7.06
At1g01380.1	WRI1	AP2/EREBP	147281	-	128	19.35	6.03	7.06
At1g01380.1	WRI1	AP2/EREBP	148634	-	1481	19.35	6.03	6.23
At1g01380.1	WRI1	AP2/EREBP	149173	+	2020	19.35	6.03	7.16
At1g01380.1	WRI1	AP2/EREBP	149335	+	2182	19.35	6.03	7.09
At1g01390.1	WRI1	AP2/EREBP	147281	+	2525	19.35	6.03	7.06
At1g01390.1	WRI1	AP2/EREBP	148634	+	1172	19.35	6.03	6.23
At1g01390.1	WRI1	AP2/EREBP	149173	-	633	19.35	6.03	7.16
At1g01390.1	WRI1	AP2/EREBP	149335	-	471	19.35	6.03	7.09
At1g01400.1	WRI1	AP2/EREBP	148634	+	3576	19.35	6.03	6.23
At1g01400.1	WRI1	AP2/EREBP	149173	-	3037	19.35	6.03	7.16
At1g01400.1	WRI1	AP2/EREBP	149335	-	2875	19.35	6.03	7.09
At1g01400.1	WRI1	AP2/EREBP	152540	-	-330	19.35	6.03	7.92
At1g01400.1	WRI1	AP2/EREBP	153292	-	-1082	19.35	6.03	6.38
At1g01400.1	WRI1	AP2/EREBP	153568	-	-1358	19.35	6.03	7.01
At1g01410.1	WRI1	AP2/EREBP	152540	+	-573	19.35	6.03	7.92
At1g01410.1	WRI1	AP2/EREBP	153292	+	179	19.35	6.03	6.38
At1g01410.1	WRI1	AP2/EREBP	153568	+	455	19.35	6.03	7.01
At1g01410.1	WRI1	AP2/EREBP	154998	-	1885	19.35	6.03	6.1
At1g01410.1	WRI1	AP2/EREBP	155237	+	2124	19.35	6.03	6.04
At1g01410.1	WRI1	AP2/EREBP	155393	+	2280	19.35	6.03	6.14
At1g01420.1	WRI1	AP2/EREBP	153292	-	2719	19.35	6.03	6.38
At1g01420.1	WRI1	AP2/EREBP	153568	-	2443	19.35	6.03	7.01
At1g01420.1	WRI1	AP2/EREBP	154998	+	1013	19.35	6.03	6.1
At1g01420.1	WRI1	AP2/EREBP	155237	-	774	19.35	6.03	6.04
At1g01420.1	WRI1	AP2/EREBP	155393	-	618	19.35	6.03	6.14
At1g01430.1	WRI1	AP2/EREBP	154998	+	3657	19.35	6.03	6.1
At1g01430.1	WRI1	AP2/EREBP	155237	-	3418	19.35	6.03	6.04
At1g01430.1	WRI1	AP2/EREBP	155393	-	3262	19.35	6.03	6.14
At1g01440.1	WRI1	AP2/EREBP	163214	-	-642	19.35	6.03	6.24
At1g01440.1	WRI1	AP2/EREBP	163980	-	-1408	19.35	6.03	6.88
At1g01448.1	WRI1	AP2/EREBP	163214	+	-217	19.35	6.03	6.24
At1g01448.1	WRI1	AP2/EREBP	163980	+	549	19.35	6.03	6.88
At1g01448.1	WRI1	AP2/EREBP	165692	+	2261	19.35	6.03	6.88
At1g01448.1	WRI1	AP2/EREBP	166380	-	2949	19.35	6.03	11.83
At1g01450.1	WRI1	AP2/EREBP	163214	-	2303	19.35	6.03	6.24
At1g01450.1	WRI1	AP2/EREBP	163980	-	1537	19.35	6.03	6.88
At1g01450.1	WRI1	AP2/EREBP	165692	-	-175	19.35	6.03	6.88
At1g01450.1	WRI1	AP2/EREBP	166380	+	-863	19.35	6.03	11.83
At1g01450.1	WRI1	AP2/EREBP	167233	+	-1716	19.35	6.03	7.82
At1g01453.1	WRI1	AP2/EREBP	165692	-	2150	19.35	6.03	6.88
At1g01453.1	WRI1	AP2/EREBP	166380	+	1462	19.35	6.03	11.83
At1g01453.1	WRI1	AP2/EREBP	167233	+	609	19.35	6.03	7.82
At1g01453.1	WRI1	AP2/EREBP	167532	+	310	19.35	6.03	8.14
At1g01453.1	WRI1	AP2/EREBP	169123	+	-1281	19.35	6.03	6.11
At1g01460.1	WRI1	AP2/EREBP	167233	-	-1490	19.35	6.03	7.82
At1g01460.1	WRI1	AP2/EREBP	167532	-	-1191	19.35	6.03	8.14
At1g01460.1	WRI1	AP2/EREBP	169123	-	400	19.35	6.03	6.11
At1g01460.1	WRI1	AP2/EREBP	171283	-	2560	19.35	6.03	7.22
At1g01470.1	WRI1	AP2/EREBP	169123	+	3825	19.35	6.03	6.11
At1g01470.1	WRI1	AP2/EREBP	171283	+	1665	19.35	6.03	7.22
At1g01470.1	WRI1	AP2/EREBP	172727	-	221	19.35	6.03	6.7
At1g01471.1	WRI1	AP2/EREBP	171283	-	-1968	19.35	6.03	7.22
At1g01471.1	WRI1	AP2/EREBP	172727	+	-524	19.35	6.03	6.7
At1g01480.1	WRI1	AP2/EREBP	177266	-	1484	19.35	6.03	8.24
At1g01480.1	WRI1	AP2/EREBP	177821	-	2039	19.35	6.03	6.62
At1g01480.1	WRI1	AP2/EREBP	178154	+	2372	19.35	6.03	6.36
At1g01490.1	WRI1	AP2/EREBP	180205	+	2153	19.35	6.03	6.3
At1g01490.1	WRI1	AP2/EREBP	180562	-	1796	19.35	6.03	6.81
