Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01700.1	AGL25	MADS	260071	-	1403	n.a.	n.a.	n.a.
At1g08530.1	AGL25	MADS	2702139	-	910	n.a.	n.a.	n.a.
At1g08540.1	AGL25	MADS	2702139	-	-1200	n.a.	n.a.	n.a.
At1g09790.1	AGL25	MADS	3171126	+	-305	n.a.	n.a.	n.a.
At1g11790.1	AGL25	MADS	3984552	+	3305	n.a.	n.a.	n.a.
At1g11800.1	AGL25	MADS	3984552	-	2737	n.a.	n.a.	n.a.
At1g11803.1	AGL25	MADS	3984552	-	3477	n.a.	n.a.	n.a.
At1g12980.1	AGL25	MADS	4429783	+	67	n.a.	n.a.	n.a.
At1g13000.1	AGL25	MADS	4438918	-	544	n.a.	n.a.	n.a.
At1g13010.1	AGL25	MADS	4438918	+	-1294	n.a.	n.a.	n.a.
At1g13880.1	AGL25	MADS	4751399	-	2529	n.a.	n.a.	n.a.
At1g13890.1	AGL25	MADS	4751399	-	-179	n.a.	n.a.	n.a.
At1g14290.1	AGL25	MADS	4882475	-	-516	n.a.	n.a.	n.a.
At1g14300.1	AGL25	MADS	4882475	-	2311	n.a.	n.a.	n.a.
At1g16260.1	AGL25	MADS	5563541	+	-1434	n.a.	n.a.	n.a.
At1g16270.1	AGL25	MADS	5563541	-	-343	n.a.	n.a.	n.a.
At1g19392.1	AGL25	MADS	6707700	+	-848	n.a.	n.a.	n.a.
At1g20240.1	AGL25	MADS	7015452	-	-245	n.a.	n.a.	n.a.
At1g20250.1	AGL25	MADS	7015452	+	-1055	n.a.	n.a.	n.a.
At1g21310.1	AGL25	MADS	7455803	+	-806	n.a.	n.a.	n.a.
At1g22460.1	AGL25	MADS	7930467	+	179	n.a.	n.a.	n.a.
At1g22470.1	AGL25	MADS	7930467	+	2912	n.a.	n.a.	n.a.
At1g23710.1	AGL25	MADS	8383958	-	-1282	n.a.	n.a.	n.a.
At1g23750.1	AGL25	MADS	8401506	-	1366	n.a.	n.a.	n.a.
At1g23760.1	AGL25	MADS	8401506	-	-529	n.a.	n.a.	n.a.
At1g24265.1	AGL25	MADS	8598860	+	-1606	n.a.	n.a.	n.a.
At1g31670.1	AGL25	MADS	11340426	-	2887	n.a.	n.a.	n.a.
At1g42602.1	AGL25	MADS	16016775	-	2515	n.a.	n.a.	n.a.
At1g43765.1	AGL25	MADS	16543464	-	3513	n.a.	n.a.	n.a.
At1g44010.1	AGL25	MADS	16716105	+	-957	n.a.	n.a.	n.a.
At1g50290.1	AGL25	MADS	18632729	+	-627	n.a.	n.a.	n.a.
At1g50300.1	AGL25	MADS	18632729	+	2885	n.a.	n.a.	n.a.
At1g51355.1	AGL25	MADS	19045809	-	744	n.a.	n.a.	n.a.
At1g54570.1	AGL25	MADS	20389898	+	-1106	n.a.	n.a.	n.a.
At1g54575.1	AGL25	MADS	20389898	-	-829	n.a.	n.a.	n.a.
At1g56660.1	AGL25	MADS	21241683	-	130	n.a.	n.a.	n.a.
At1g58340.1	AGL25	MADS	21659476	+	2803	n.a.	n.a.	n.a.
At1g62690.1	AGL25	MADS	23216738	+	-1684	n.a.	n.a.	n.a.
At1g62695.1	AGL25	MADS	23216738	-	1328	n.a.	n.a.	n.a.
At1g64340.1	AGL25	MADS	23881474	+	-314	n.a.	n.a.	n.a.
At1g67855.1	AGL25	MADS	25446598	+	-59	n.a.	n.a.	n.a.
At1g67856.1	AGL25	MADS	25446598	-	531	n.a.	n.a.	n.a.
At1g68260.1	AGL25	MADS	25591933	+	-612	n.a.	n.a.	n.a.
At1g68270.1	AGL25	MADS	25591933	+	1984	n.a.	n.a.	n.a.
At1g68720.1	AGL25	MADS	25807203	+	-878	n.a.	n.a.	n.a.
At1g70310.1	AGL25	MADS	26488785	+	2313	n.a.	n.a.	n.a.
At1g70880.1	AGL25	MADS	26729279	-	-1839	n.a.	n.a.	n.a.
At1g70885.1	AGL25	MADS	26729279	-	-384	n.a.	n.a.	n.a.
At1g70890.1	AGL25	MADS	26729279	-	927	n.a.	n.a.	n.a.
At1g72680.1	AGL25	MADS	27364842	-	-164	n.a.	n.a.	n.a.
At1g72690.1	AGL25	MADS	27364842	+	26	n.a.	n.a.	n.a.
At1g74510.1	AGL25	MADS	28012633	+	3607	n.a.	n.a.	n.a.
At1g74520.1	AGL25	MADS	28012633	-	328	n.a.	n.a.	n.a.
At1g74530.1	AGL25	MADS	28012633	-	3190	n.a.	n.a.	n.a.
At1g77746.1	AGL25	MADS	29232930	+	121	n.a.	n.a.	n.a.
At1g77750.1	AGL25	MADS	29232930	-	3488	n.a.	n.a.	n.a.
At1g80900.1	AGL25	MADS	30406806	+	-1574	n.a.	n.a.	n.a.
At1g80910.1	AGL25	MADS	30406806	-	1180	n.a.	n.a.	n.a.
At1g80920.1	AGL25	MADS	30406806	+	2776	n.a.	n.a.	n.a.
At2g02230.1	AGL25	MADS	589593	-	2056	n.a.	n.a.	n.a.
At2g04625.1	AGL25	MADS	1617042	-	1683	n.a.	n.a.	n.a.
At2g04630.1	AGL25	MADS	1617042	-	3291	n.a.	n.a.	n.a.
At2g05950.1	AGL25	MADS	2296649	+	-1164	n.a.	n.a.	n.a.
At2g06780.1	AGL25	MADS	2712009	+	860	n.a.	n.a.	n.a.
At2g06790.1	AGL25	MADS	2712009	-	-1381	n.a.	n.a.	n.a.
At2g11030.1	AGL25	MADS	4382444	-	-392	n.a.	n.a.	n.a.
At2g11820.1	AGL25	MADS	4764204	-	-223	n.a.	n.a.	n.a.
At2g12750.1	AGL25	MADS	5234956	+	3122	n.a.	n.a.	n.a.
At2g12977.1	AGL25	MADS	5343026	+	-1921	n.a.	n.a.	n.a.
At2g13860.1	AGL25	MADS	5816586	+	3978	n.a.	n.a.	n.a.
At2g14405.1	AGL25	MADS	6125124	+	2699	n.a.	n.a.	n.a.
At2g14620.1	AGL25	MADS	6253199	+	1336	n.a.	n.a.	n.a.
At2g16870.1	AGL25	MADS	7319019	-	-251	n.a.	n.a.	n.a.
At2g16880.1	AGL25	MADS	7319019	-	2596	n.a.	n.a.	n.a.
At2g17830.1	AGL25	MADS	7760902	-	-390	n.a.	n.a.	n.a.
At2g17880.1	AGL25	MADS	7775094	+	-81	n.a.	n.a.	n.a.
At2g19510.1	AGL25	MADS	8460355	+	43	n.a.	n.a.	n.a.
At2g21500.1	AGL25	MADS	9217104	-	207	n.a.	n.a.	n.a.
At2g21510.1	AGL25	MADS	9217104	-	3034	n.a.	n.a.	n.a.
At2g24210.1	AGL25	MADS	10304923	-	3513	n.a.	n.a.	n.a.
At2g24430.1	AGL25	MADS	10392862	-	843	n.a.	n.a.	n.a.
At2g28650.1	AGL25	MADS	12296262	+	1860	n.a.	n.a.	n.a.
At2g31490.1	AGL25	MADS	13420746	+	1686	n.a.	n.a.	n.a.
At2g31500.1	AGL25	MADS	13420746	+	-95	n.a.	n.a.	n.a.
At2g31985.1	AGL25	MADS	13621952	-	817	n.a.	n.a.	n.a.
At2g31990.1	AGL25	MADS	13621952	-	-1302	n.a.	n.a.	n.a.
At2g33050.1	AGL25	MADS	14031995	+	3048	n.a.	n.a.	n.a.
At2g33051.1	AGL25	MADS	14031995	-	167	n.a.	n.a.	n.a.
At2g33060.1	AGL25	MADS	14031995	+	-565	n.a.	n.a.	n.a.
At2g34720.1	AGL25	MADS	14657055	-	1651	n.a.	n.a.	n.a.
At2g37000.1	AGL25	MADS	15548376	-	998	n.a.	n.a.	n.a.
At2g37010.1	AGL25	MADS	15548376	-	-423	n.a.	n.a.	n.a.
At2g38020.1	AGL25	MADS	15919180	-	2608	n.a.	n.a.	n.a.
At2g45460.1	AGL25	MADS	18749636	-	-872	n.a.	n.a.	n.a.
At2g45470.1	AGL25	MADS	18749636	-	1549	n.a.	n.a.	n.a.
At2g46990.1	AGL25	MADS	19316990	+	2066	n.a.	n.a.	n.a.
At2g46995.1	AGL25	MADS	19316990	-	-337	n.a.	n.a.	n.a.
At3g03060.1	AGL25	MADS	694267	+	2204	n.a.	n.a.	n.a.
At3g03070.1	AGL25	MADS	694267	-	3896	n.a.	n.a.	n.a.
At3g05540.1	AGL25	MADS	1608967	-	-931	n.a.	n.a.	n.a.
At3g05545.1	AGL25	MADS	1608967	+	-250	n.a.	n.a.	n.a.
At3g05720.1	AGL25	MADS	1692372	+	-630	n.a.	n.a.	n.a.
At3g05725.1	AGL25	MADS	1692372	-	-144	n.a.	n.a.	n.a.
At3g05727.1	AGL25	MADS	1692372	-	-1186	n.a.	n.a.	n.a.
At3g07020.1	AGL25	MADS	2219027	-	2664	n.a.	n.a.	n.a.
At3g07890.1	AGL25	MADS	2521028	+	-1647	n.a.	n.a.	n.a.
At3g07900.1	AGL25	MADS	2521028	-	248	n.a.	n.a.	n.a.
At3g07910.1	AGL25	MADS	2521028	+	3143	n.a.	n.a.	n.a.
At3g10010.1	AGL25	MADS	3089856	-	-1656	n.a.	n.a.	n.a.
At3g10015.1	AGL25	MADS	3089856	+	-693	n.a.	n.a.	n.a.
At3g10020.1	AGL25	MADS	3089856	-	1915	n.a.	n.a.	n.a.
At3g11760.1	AGL25	MADS	3718342	-	-80	n.a.	n.a.	n.a.
At3g15240.2	AGL25	MADS	5134736	+	1123	n.a.	n.a.	n.a.
At3g15250.1	AGL25	MADS	5134736	-	2466	n.a.	n.a.	n.a.
At3g18650.1	AGL25	MADS	6418590	+	-80	n.a.	n.a.	n.a.
At3g18660.1	AGL25	MADS	6418590	+	3399	n.a.	n.a.	n.a.
At3g23130.1	AGL25	MADS	8241324	-	-985	n.a.	n.a.	n.a.
At3g26115.1	AGL25	MADS	9546127	+	2612	n.a.	n.a.	n.a.
At3g26120.1	AGL25	MADS	9546127	+	-1508	n.a.	n.a.	n.a.
At3g29010.1	AGL25	MADS	11010789	+	2799	n.a.	n.a.	n.a.
At3g29020.1	AGL25	MADS	11010789	-	-139	n.a.	n.a.	n.a.
At3g29030.1	AGL25	MADS	11010789	-	3806	n.a.	n.a.	n.a.
At3g30803.1	AGL25	MADS	12486933	-	2998	n.a.	n.a.	n.a.
At3g30846.1	AGL25	MADS	12617550	+	3948	n.a.	n.a.	n.a.
At3g31367.1	AGL25	MADS	12739114	+	1313	n.a.	n.a.	n.a.
At3g31720.1	AGL25	MADS	12862472	+	-1838	n.a.	n.a.	n.a.
