Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01030.1	NAP	NAC	15688	-	-1974	n.a.	n.a.	n.a.
At1g01500.1	NAP	NAC	185578	-	445	n.a.	n.a.	n.a.
At1g01510.1	NAP	NAC	185578	-	-1633	n.a.	n.a.	n.a.
At1g02470.1	NAP	NAC	513326	+	298	n.a.	n.a.	n.a.
At1g02475.1	NAP	NAC	513326	+	2078	n.a.	n.a.	n.a.
At1g03440.1	NAP	NAC	856049	-	3684	n.a.	n.a.	n.a.
At1g03445.1	NAP	NAC	856049	+	3652	n.a.	n.a.	n.a.
At1g03980.1	NAP	NAC	1023410	-	-1303	n.a.	n.a.	n.a.
At1g03982.1	NAP	NAC	1023410	-	308	n.a.	n.a.	n.a.
At1g03990.1	NAP	NAC	1023410	+	-1436	n.a.	n.a.	n.a.
At1g04850.1	NAP	NAC	1368906	-	-63	n.a.	n.a.	n.a.
At1g04980.1	NAP	NAC	1416202	+	-59	n.a.	n.a.	n.a.
At1g04980.1	NAP	NAC	1417094	-	-951	n.a.	n.a.	n.a.
At1g04985.1	NAP	NAC	1416202	+	2279	n.a.	n.a.	n.a.
At1g04985.1	NAP	NAC	1417094	-	1387	n.a.	n.a.	n.a.
At1g06260.1	NAP	NAC	1917989	+	1560	n.a.	n.a.	n.a.
At1g06265.1	NAP	NAC	1917989	-	-329	n.a.	n.a.	n.a.
At1g07150.1	NAP	NAC	2196809	+	-1014	n.a.	n.a.	n.a.
At1g07160.1	NAP	NAC	2196809	+	2938	n.a.	n.a.	n.a.
At1g07440.1	NAP	NAC	2285468	+	2259	n.a.	n.a.	n.a.
At1g07450.1	NAP	NAC	2285468	+	3865	n.a.	n.a.	n.a.
At1g09000.1	NAP	NAC	2893317	+	2277	n.a.	n.a.	n.a.
At1g09580.1	NAP	NAC	3106375	+	1785	n.a.	n.a.	n.a.
At1g09590.1	NAP	NAC	3106375	+	-129	n.a.	n.a.	n.a.
At1g09790.1	NAP	NAC	3170749	+	72	n.a.	n.a.	n.a.
At1g10060.1	NAP	NAC	3288092	-	3851	n.a.	n.a.	n.a.
At1g10070.1	NAP	NAC	3288092	-	3	n.a.	n.a.	n.a.
At1g12600.1	NAP	NAC	4288066	-	810	n.a.	n.a.	n.a.
At1g12610.1	NAP	NAC	4288066	-	2949	n.a.	n.a.	n.a.
At1g13440.1	NAP	NAC	4612229	+	-1585	n.a.	n.a.	n.a.
At1g13448.1	NAP	NAC	4612229	-	-11	n.a.	n.a.	n.a.
At1g13450.1	NAP	NAC	4612229	+	2973	n.a.	n.a.	n.a.
At1g14686.1	NAP	NAC	5047839	-	-1044	n.a.	n.a.	n.a.
At1g14687.1	NAP	NAC	5047839	+	41	n.a.	n.a.	n.a.
At1g14688.1	NAP	NAC	5047839	-	3139	n.a.	n.a.	n.a.
At1g14730.1	NAP	NAC	5073001	-	-99	n.a.	n.a.	n.a.
At1g16540.1	NAP	NAC	5659339	-	-69	n.a.	n.a.	n.a.
At1g18460.1	NAP	NAC	6352316	-	-147	n.a.	n.a.	n.a.
At1g18550.1	NAP	NAC	6383660	+	673	n.a.	n.a.	n.a.
At1g19870.1	NAP	NAC	6900644	+	-1928	n.a.	n.a.	n.a.
At1g19880.1	NAP	NAC	6900644	+	3416	n.a.	n.a.	n.a.
At1g19880.1	NAP	NAC	6902183	+	1877	n.a.	n.a.	n.a.
At1g21570.1	NAP	NAC	7559632	+	640	n.a.	n.a.	n.a.
At1g22180.1	NAP	NAC	7831922	+	-1658	n.a.	n.a.	n.a.
At1g23010.1	NAP	NAC	8149426	+	2173	n.a.	n.a.	n.a.
At1g23020.1	NAP	NAC	8149426	-	3920	n.a.	n.a.	n.a.
At1g23070.1	NAP	NAC	8177609	-	-1801	n.a.	n.a.	n.a.
At1g23074.1	NAP	NAC	8177609	+	-212	n.a.	n.a.	n.a.
At1g23160.1	NAP	NAC	8211641	+	2420	n.a.	n.a.	n.a.
At1g23170.1	NAP	NAC	8211641	+	-1072	n.a.	n.a.	n.a.
At1g23400.1	NAP	NAC	8315367	+	-634	n.a.	n.a.	n.a.
At1g23410.1	NAP	NAC	8315367	-	454	n.a.	n.a.	n.a.
At1g25350.1	NAP	NAC	8890381	+	3864	n.a.	n.a.	n.a.
At1g25510.1	NAP	NAC	8961856	+	-1021	n.a.	n.a.	n.a.
At1g25520.1	NAP	NAC	8961856	-	-256	n.a.	n.a.	n.a.
At1g26890.1	NAP	NAC	9319438	+	1637	n.a.	n.a.	n.a.
At1g26900.1	NAP	NAC	9319438	-	2023	n.a.	n.a.	n.a.
At1g27220.1	NAP	NAC	9465637	-	1844	n.a.	n.a.	n.a.
At1g27240.1	NAP	NAC	9465637	-	-587	n.a.	n.a.	n.a.
At1g28290.1	NAP	NAC	9892386	-	-1406	n.a.	n.a.	n.a.
At1g29570.1	NAP	NAC	10336512	-	616	n.a.	n.a.	n.a.
At1g29580.1	NAP	NAC	10336512	-	-1917	n.a.	n.a.	n.a.
At1g29730.1	NAP	NAC	10403798	+	2062	n.a.	n.a.	n.a.
At1g29860.1	NAP	NAC	10457207	+	2741	n.a.	n.a.	n.a.
At1g29870.1	NAP	NAC	10457207	-	1559	n.a.	n.a.	n.a.
At1g29880.1	NAP	NAC	10460820	-	1965	n.a.	n.a.	n.a.
At1g30600.1	NAP	NAC	10843673	+	1359	n.a.	n.a.	n.a.
At1g32530.1	NAP	NAC	11761358	+	1229	n.a.	n.a.	n.a.
At1g35530.1	NAP	NAC	13093702	-	3730	n.a.	n.a.	n.a.
At1g38167.1	NAP	NAC	14326435	+	3774	n.a.	n.a.	n.a.
At1g38176.1	NAP	NAC	14326435	+	-222	n.a.	n.a.	n.a.
At1g40091.1	NAP	NAC	15011463	+	-360	n.a.	n.a.	n.a.
At1g40091.1	NAP	NAC	15011619	+	-516	n.a.	n.a.	n.a.
At1g41830.1	NAP	NAC	15606431	-	3976	n.a.	n.a.	n.a.
At1g44920.1	NAP	NAC	16988858	-	-1999	n.a.	n.a.	n.a.
At1g44935.1	NAP	NAC	16988858	+	1416	n.a.	n.a.	n.a.
At1g47280.1	NAP	NAC	17337654	+	-808	n.a.	n.a.	n.a.
At1g47290.1	NAP	NAC	17337654	-	-635	n.a.	n.a.	n.a.
At1g47770.1	NAP	NAC	17591680	-	-1026	n.a.	n.a.	n.a.
At1g47950.1	NAP	NAC	17686760	-	-1138	n.a.	n.a.	n.a.
At1g47960.1	NAP	NAC	17686760	-	538	n.a.	n.a.	n.a.
At1g48690.1	NAP	NAC	18013913	-	-256	n.a.	n.a.	n.a.
At1g48700.1	NAP	NAC	18013913	-	2626	n.a.	n.a.	n.a.
At1g49100.1	NAP	NAC	18171155	-	2618	n.a.	n.a.	n.a.
At1g49960.1	NAP	NAC	18504111	-	1804	n.a.	n.a.	n.a.
At1g50330.1	NAP	NAC	18646773	+	2049	n.a.	n.a.	n.a.
At1g51790.1	NAP	NAC	19214958	-	128	n.a.	n.a.	n.a.
At1g52120.1	NAP	NAC	19399685	-	2228	n.a.	n.a.	n.a.
