Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	DREB2C(2)	AP2/EREBP	6977	-	3346	12.45	7.37	7.92
At1g01020.1	DREB2C(2)	AP2/EREBP	6977	+	1760	12.45	7.37	7.92
At1g01020.1	DREB2C(2)	AP2/EREBP	8657	-	80	12.45	7.37	8.53
At1g01070.1	DREB2C(2)	AP2/EREBP	41465	-	-521	12.45	7.37	7.5
At1g01090.1	DREB2C(2)	AP2/EREBP	50456	-	-1170	12.45	7.37	10.53
At1g01100.1	DREB2C(2)	AP2/EREBP	52584	-	-1476	12.45	7.37	8.22
At1g01100.1	DREB2C(2)	AP2/EREBP	50456	-	652	12.45	7.37	10.53
At1g01110.1	DREB2C(2)	AP2/EREBP	52584	+	-285	12.45	7.37	8.22
At1g01110.1	DREB2C(2)	AP2/EREBP	54312	+	1443	12.45	7.37	10.53
At1g01130.1	DREB2C(2)	AP2/EREBP	65317	+	-1506	12.45	7.37	9.12
At1g01140.1	DREB2C(2)	AP2/EREBP	65317	+	2308	12.45	7.37	9.12
At1g01140.1	DREB2C(2)	AP2/EREBP	65836	-	1789	12.45	7.37	8.1
At1g01170.1	DREB2C(2)	AP2/EREBP	76440	+	-1703	12.45	7.37	7.7
At1g01170.1	DREB2C(2)	AP2/EREBP	76100	-	-1363	12.45	7.37	8.98
At1g01180.1	DREB2C(2)	AP2/EREBP	76100	+	467	12.45	7.37	8.98
At1g01180.1	DREB2C(2)	AP2/EREBP	77368	+	1735	12.45	7.37	8.04
At1g01180.1	DREB2C(2)	AP2/EREBP	76440	-	807	12.45	7.37	7.7
At1g01180.1	DREB2C(2)	AP2/EREBP	78234	+	2601	12.45	7.37	8.29
At1g01183.1	DREB2C(2)	AP2/EREBP	76440	+	2592	12.45	7.37	7.7
At1g01183.1	DREB2C(2)	AP2/EREBP	76100	-	2932	12.45	7.37	8.98
At1g01183.1	DREB2C(2)	AP2/EREBP	78234	-	798	12.45	7.37	8.29
At1g01183.1	DREB2C(2)	AP2/EREBP	77368	-	1664	12.45	7.37	8.04
At1g01200.1	DREB2C(2)	AP2/EREBP	88591	-	-378	12.45	7.37	9.97
At1g01210.1	DREB2C(2)	AP2/EREBP	88591	+	-307	12.45	7.37	9.97
At1g01225.1	DREB2C(2)	AP2/EREBP	96560	-	573	12.45	7.37	11.96
At1g01230.1	DREB2C(2)	AP2/EREBP	96560	-	-896	12.45	7.37	11.96
At1g01240.1	DREB2C(2)	AP2/EREBP	102392	+	2470	12.45	7.37	8.49
At1g01250.1	DREB2C(2)	AP2/EREBP	102392	-	2938	12.45	7.37	8.49
At1g01250.1	DREB2C(2)	AP2/EREBP	105248	+	82	12.45	7.37	7.79
At1g01260.1	DREB2C(2)	AP2/EREBP	107889	+	-1143	12.45	7.37	9.43
At1g01280.1	DREB2C(2)	AP2/EREBP	114341	-	2078	12.45	7.37	7.7
At1g01290.1	DREB2C(2)	AP2/EREBP	114341	-	55	12.45	7.37	7.7
At1g01300.1	DREB2C(2)	AP2/EREBP	118669	-	1726	12.45	7.37	8.56
At1g01305.1	DREB2C(2)	AP2/EREBP	118669	-	-728	12.45	7.37	8.56
At1g01310.1	DREB2C(2)	AP2/EREBP	118669	-	-1485	12.45	7.37	8.56
At1g01320.1	DREB2C(2)	AP2/EREBP	131849	-	-1750	12.45	7.37	7.63
At1g01320.1	DREB2C(2)	AP2/EREBP	128509	-	1590	12.45	7.37	7.94
At1g01340.1	DREB2C(2)	AP2/EREBP	136463	-	-1141	12.45	7.37	7.53
At1g01340.1	DREB2C(2)	AP2/EREBP	131849	-	3473	12.45	7.37	7.63
At1g01340.1	DREB2C(2)	AP2/EREBP	132433	+	2889	12.45	7.37	8.94
At1g01340.1	DREB2C(2)	AP2/EREBP	135758	+	-436	12.45	7.37	8.51
At1g01350.1	DREB2C(2)	AP2/EREBP	135758	-	-366	12.45	7.37	8.51
At1g01350.1	DREB2C(2)	AP2/EREBP	136463	+	339	12.45	7.37	7.53
At1g01355.1	DREB2C(2)	AP2/EREBP	141974	-	3461	12.45	7.37	12.45
At1g01355.1	DREB2C(2)	AP2/EREBP	141121	-	2608	12.45	7.37	7.47
At1g01360.1	DREB2C(2)	AP2/EREBP	141121	-	-850	12.45	7.37	7.47
At1g01360.1	DREB2C(2)	AP2/EREBP	141974	-	3	12.45	7.37	12.45
At1g01370.1	DREB2C(2)	AP2/EREBP	147527	-	3963	12.45	7.37	9.96
At1g01370.1	DREB2C(2)	AP2/EREBP	141974	-	-1590	12.45	7.37	12.45
At1g01380.1	DREB2C(2)	AP2/EREBP	147527	-	374	12.45	7.37	9.96
At1g01390.1	DREB2C(2)	AP2/EREBP	147527	+	2279	12.45	7.37	9.96
At1g01430.1	DREB2C(2)	AP2/EREBP	158769	+	-114	12.45	7.37	10.62
At1g01440.1	DREB2C(2)	AP2/EREBP	163411	+	-839	12.45	7.37	8.12
At1g01440.1	DREB2C(2)	AP2/EREBP	161387	-	1185	12.45	7.37	7.95
At1g01440.1	DREB2C(2)	AP2/EREBP	158769	+	3803	12.45	7.37	10.62
At1g01440.1	DREB2C(2)	AP2/EREBP	163408	+	-836	12.45	7.37	8.48
At1g01448.1	DREB2C(2)	AP2/EREBP	163411	-	-20	12.45	7.37	8.12
At1g01448.1	DREB2C(2)	AP2/EREBP	163408	-	-23	12.45	7.37	8.48
At1g01450.1	DREB2C(2)	AP2/EREBP	163411	+	2106	12.45	7.37	8.12
At1g01450.1	DREB2C(2)	AP2/EREBP	163408	+	2109	12.45	7.37	8.48
At1g01450.1	DREB2C(2)	AP2/EREBP	167411	-	-1894	12.45	7.37	11.06
At1g01450.1	DREB2C(2)	AP2/EREBP	167396	-	-1879	12.45	7.37	8.98
At1g01453.1	DREB2C(2)	AP2/EREBP	167396	-	446	12.45	7.37	8.98
At1g01453.1	DREB2C(2)	AP2/EREBP	167411	-	431	12.45	7.37	11.06
At1g01453.1	DREB2C(2)	AP2/EREBP	167750	-	92	12.45	7.37	8.7
At1g01460.1	DREB2C(2)	AP2/EREBP	172621	-	3898	12.45	7.37	7.77
At1g01460.1	DREB2C(2)	AP2/EREBP	167396	+	-1327	12.45	7.37	8.98
At1g01460.1	DREB2C(2)	AP2/EREBP	167750	+	-973	12.45	7.37	8.7
At1g01460.1	DREB2C(2)	AP2/EREBP	167411	+	-1312	12.45	7.37	11.06
At1g01470.1	DREB2C(2)	AP2/EREBP	172945	+	3	12.45	7.37	8.68
At1g01470.1	DREB2C(2)	AP2/EREBP	173293	+	-345	12.45	7.37	9.62
At1g01470.1	DREB2C(2)	AP2/EREBP	174142	+	-1194	12.45	7.37	10.13
At1g01470.1	DREB2C(2)	AP2/EREBP	172621	+	327	12.45	7.37	7.77
At1g01471.1	DREB2C(2)	AP2/EREBP	173293	-	42	12.45	7.37	9.62
At1g01471.1	DREB2C(2)	AP2/EREBP	174142	-	891	12.45	7.37	10.13
At1g01471.1	DREB2C(2)	AP2/EREBP	172621	-	-630	12.45	7.37	7.77
At1g01471.1	DREB2C(2)	AP2/EREBP	172945	-	-306	12.45	7.37	8.68
At1g01480.1	DREB2C(2)	AP2/EREBP	174142	-	-1640	12.45	7.37	10.13
