Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01110.1	E2Fa	E2F/DP	56198	-	3329	n.a.	n.a.	n.a.
At1g01110.1	E2Fa	E2F/DP	56144	-	3275	n.a.	n.a.	n.a.
At1g01110.1	E2Fa	E2F/DP	56012	-	3143	n.a.	n.a.	n.a.
At1g01110.1	E2Fa	E2F/DP	56039	-	3170	n.a.	n.a.	n.a.
At1g01110.1	E2Fa	E2F/DP	56090	-	3221	n.a.	n.a.	n.a.
At1g01110.1	E2Fa	E2F/DP	56255	-	3386	n.a.	n.a.	n.a.
At1g01120.1	E2Fa	E2F/DP	56012	+	3155	n.a.	n.a.	n.a.
At1g01120.1	E2Fa	E2F/DP	56039	+	3128	n.a.	n.a.	n.a.
At1g01120.1	E2Fa	E2F/DP	56090	+	3077	n.a.	n.a.	n.a.
At1g01120.1	E2Fa	E2F/DP	56144	+	3023	n.a.	n.a.	n.a.
At1g01120.1	E2Fa	E2F/DP	56198	+	2969	n.a.	n.a.	n.a.
At1g01120.1	E2Fa	E2F/DP	56255	+	2912	n.a.	n.a.	n.a.
At1g01520.1	E2Fa	E2F/DP	191779	+	1183	n.a.	n.a.	n.a.
At1g01530.1	E2Fa	E2F/DP	191779	-	1891	n.a.	n.a.	n.a.
At1g02220.1	E2Fa	E2F/DP	431628	-	-981	n.a.	n.a.	n.a.
At1g02228.1	E2Fa	E2F/DP	431628	-	2191	n.a.	n.a.	n.a.
At1g02520.1	E2Fa	E2F/DP	526718	-	2584	n.a.	n.a.	n.a.
At1g02530.1	E2Fa	E2F/DP	532521	-	2726	n.a.	n.a.	n.a.
At1g02540.1	E2Fa	E2F/DP	532521	+	3178	n.a.	n.a.	n.a.
At1g03070.1	E2Fa	E2F/DP	730083	+	148	n.a.	n.a.	n.a.
At1g04520.1	E2Fa	E2F/DP	1234740	-	3163	n.a.	n.a.	n.a.
At1g04530.1	E2Fa	E2F/DP	1234740	+	1293	n.a.	n.a.	n.a.
At1g05010.1	E2Fa	E2F/DP	1430602	+	2255	n.a.	n.a.	n.a.
