Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	STF1	bZIP	4713	-	1082	12.43	7.74	9.06
At1g01020.1	STF1	bZIP	10727	+	-1990	12.43	7.74	8.19
At1g01030.1	STF1	bZIP	10727	+	2987	12.43	7.74	8.19
At1g01100.1	STF1	bZIP	52320	-	-1212	12.43	7.74	8.74
At1g01110.1	STF1	bZIP	52320	+	-549	12.43	7.74	8.74
At1g01140.1	STF1	bZIP	68643	+	-1018	12.43	7.74	10.62
At1g01150.1	STF1	bZIP	68643	+	3495	12.43	7.74	10.62
At1g01180.1	STF1	bZIP	78311	-	2678	12.43	7.74	9.53
At1g01180.1	STF1	bZIP	79304	-	3671	12.43	7.74	8.42
At1g01183.1	STF1	bZIP	78311	+	721	12.43	7.74	9.53
At1g01183.1	STF1	bZIP	79304	+	-272	12.43	7.74	8.42
At1g01190.1	STF1	bZIP	82145	+	2719	12.43	7.74	8.46
At1g01190.1	STF1	bZIP	82145	-	2719	12.43	7.74	10.7
At1g01190.1	STF1	bZIP	84491	+	373	12.43	7.74	9.97
At1g01200.1	STF1	bZIP	84491	+	3722	12.43	7.74	9.97
At1g01225.1	STF1	bZIP	95955	+	-32	12.43	7.74	8.27
At1g01225.1	STF1	bZIP	97120	-	1133	12.43	7.74	10.06
At1g01230.1	STF1	bZIP	95955	+	-1501	12.43	7.74	8.27
At1g01230.1	STF1	bZIP	97120	-	-336	12.43	7.74	10.06
At1g01250.1	STF1	bZIP	104890	+	440	12.43	7.74	9.75
At1g01250.1	STF1	bZIP	106737	+	-1407	12.43	7.74	10.05
At1g01320.1	STF1	bZIP	128371	-	1728	12.43	7.74	10.93
At1g01320.1	STF1	bZIP	128989	-	1110	12.43	7.74	9.66
At1g01370.1	STF1	bZIP	147437	+	3873	12.43	7.74	9.6
At1g01380.1	STF1	bZIP	147437	+	284	12.43	7.74	9.6
At1g01390.1	STF1	bZIP	147437	-	2369	12.43	7.74	9.6
At1g01480.1	STF1	bZIP	178493	-	2711	12.43	7.74	7.75
At1g01480.1	STF1	bZIP	178754	+	2972	12.43	7.74	11.05
At1g01490.1	STF1	bZIP	178493	+	3865	12.43	7.74	7.75
At1g01490.1	STF1	bZIP	178754	-	3604	12.43	7.74	11.05
At1g01490.1	STF1	bZIP	182526	+	-168	12.43	7.74	8.9
At1g01500.1	STF1	bZIP	187034	+	1901	12.43	7.74	11.66
At1g01510.1	STF1	bZIP	187034	+	-177	12.43	7.74	11.66
At1g01600.1	STF1	bZIP	220259	-	1265	12.43	7.74	10.05
At1g01600.1	STF1	bZIP	220374	+	1380	12.43	7.74	9.67
At1g01610.1	STF1	bZIP	220374	-	3966	12.43	7.74	9.67
At1g01700.1	STF1	bZIP	262991	-	-1517	12.43	7.74	8.6
At1g01710.1	STF1	bZIP	262991	+	163	12.43	7.74	8.6
At1g01710.1	STF1	bZIP	263710	-	882	12.43	7.74	8.93
At1g01730.1	STF1	bZIP	274156	-	3200	12.43	7.74	10.85
At1g01740.1	STF1	bZIP	274156	+	83	12.43	7.74	10.85
At1g01750.1	STF1	bZIP	274156	-	-1210	12.43	7.74	10.85
At1g01750.1	STF1	bZIP	277875	-	2509	12.43	7.74	8.07
At1g01760.1	STF1	bZIP	277875	+	573	12.43	7.74	8.07
At1g01770.1	STF1	bZIP	277875	-	-740	12.43	7.74	8.07
At1g01890.1	STF1	bZIP	310261	+	-914	12.43	7.74	8.18
At1g01900.1	STF1	bZIP	310261	-	-55	12.43	7.74	8.18
