Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01060.1	OsbHLH66	bHLH	37943	-	-103	14.81	8.24	8.64
At1g01070.1	OsbHLH66	bHLH	37943	-	3001	14.81	8.24	8.64
At1g01120.1	OsbHLH66	bHLH	58395	+	772	14.81	8.24	12.13
At1g01120.1	OsbHLH66	bHLH	58396	-	771	14.81	8.24	10.26
At1g01130.1	OsbHLH66	bHLH	62091	+	1720	14.81	8.24	8.26
At1g01190.1	OsbHLH66	bHLH	83341	+	1523	14.81	8.24	9.62
At1g01190.1	OsbHLH66	bHLH	83342	-	1522	14.81	8.24	9.62
At1g01190.1	OsbHLH66	bHLH	83353	-	1511	14.81	8.24	8.96
At1g01190.1	OsbHLH66	bHLH	83398	+	1466	14.81	8.24	9.76
At1g01230.1	OsbHLH66	bHLH	99399	+	1943	14.81	8.24	9
At1g01240.1	OsbHLH66	bHLH	99399	+	-523	14.81	8.24	9
At1g01250.1	OsbHLH66	bHLH	104969	-	361	14.81	8.24	8.3
At1g01305.1	OsbHLH66	bHLH	120561	-	1164	14.81	8.24	10.45
At1g01305.1	OsbHLH66	bHLH	120562	+	1165	14.81	8.24	13.25
At1g01310.1	OsbHLH66	bHLH	120561	-	407	14.81	8.24	10.45
At1g01310.1	OsbHLH66	bHLH	120562	+	408	14.81	8.24	13.25
At1g01350.1	OsbHLH66	bHLH	138305	-	2181	14.81	8.24	9.4
At1g01350.1	OsbHLH66	bHLH	138306	+	2182	14.81	8.24	8.77
At1g01355.1	OsbHLH66	bHLH	138305	-	-208	14.81	8.24	9.4
At1g01355.1	OsbHLH66	bHLH	138306	+	-207	14.81	8.24	8.77
At1g01400.1	OsbHLH66	bHLH	153358	+	-1148	14.81	8.24	12.37
At1g01400.1	OsbHLH66	bHLH	153359	-	-1149	14.81	8.24	11.99
At1g01410.1	OsbHLH66	bHLH	153358	-	245	14.81	8.24	12.37
At1g01410.1	OsbHLH66	bHLH	153359	+	246	14.81	8.24	11.99
At1g01420.1	OsbHLH66	bHLH	153358	+	2653	14.81	8.24	12.37
At1g01420.1	OsbHLH66	bHLH	153359	-	2652	14.81	8.24	11.99
At1g01460.1	OsbHLH66	bHLH	171553	+	2830	14.81	8.24	9.29
At1g01470.1	OsbHLH66	bHLH	171553	-	1395	14.81	8.24	9.29
At1g01471.1	OsbHLH66	bHLH	171553	+	-1698	14.81	8.24	9.29
At1g01471.1	OsbHLH66	bHLH	174764	+	1513	14.81	8.24	8.97
At1g01480.1	OsbHLH66	bHLH	174764	+	-1018	14.81	8.24	8.97
At1g01500.1	OsbHLH66	bHLH	184966	-	-167	14.81	8.24	8.27
At1g01500.1	OsbHLH66	bHLH	184967	+	-166	14.81	8.24	10.19
At1g01500.1	OsbHLH66	bHLH	185907	-	774	14.81	8.24	8.91
At1g01500.1	OsbHLH66	bHLH	188041	-	2908	14.81	8.24	10.91
At1g01510.1	OsbHLH66	bHLH	185907	-	-1304	14.81	8.24	8.91
At1g01510.1	OsbHLH66	bHLH	188041	-	830	14.81	8.24	10.91
At1g01610.1	OsbHLH66	bHLH	226165	-	-1825	14.81	8.24	9.51
At1g01620.1	OsbHLH66	bHLH	226165	-	1137	14.81	8.24	9.51
At1g01620.1	OsbHLH66	bHLH	228349	-	-1047	14.81	8.24	8.41
At1g01630.1	OsbHLH66	bHLH	228349	+	-664	14.81	8.24	8.41
At1g01650.1	OsbHLH66	bHLH	239743	+	-1926	14.81	8.24	8.8
At1g01650.1	OsbHLH66	bHLH	239802	-	-1985	14.81	8.24	9.54
At1g01660.1	OsbHLH66	bHLH	239743	+	2865	14.81	8.24	8.8
At1g01660.1	OsbHLH66	bHLH	239802	-	2806	14.81	8.24	9.54
At1g01660.1	OsbHLH66	bHLH	241843	+	765	14.81	8.24	8.63
At1g01720.1	OsbHLH66	bHLH	268234	-	-96	14.81	8.24	9.8
At1g01720.1	OsbHLH66	bHLH	268275	-	-55	14.81	8.24	8.36
At1g01725.1	OsbHLH66	bHLH	268234	+	2541	14.81	8.24	9.8
At1g01725.1	OsbHLH66	bHLH	268275	+	2500	14.81	8.24	8.36
At1g01890.1	OsbHLH66	bHLH	310802	+	-1455	14.81	8.24	9.97
At1g01890.1	OsbHLH66	bHLH	310803	-	-1456	14.81	8.24	8.48
At1g01900.1	OsbHLH66	bHLH	310802	-	486	14.81	8.24	9.97
At1g01900.1	OsbHLH66	bHLH	310803	+	487	14.81	8.24	8.48
At1g02060.1	OsbHLH66	bHLH	364308	+	-1214	14.81	8.24	8.79
At1g02065.1	OsbHLH66	bHLH	364308	-	-901	14.81	8.24	8.79
At1g02065.1	OsbHLH66	bHLH	368186	-	2977	14.81	8.24	9.6
At1g02070.1	OsbHLH66	bHLH	368186	+	2781	14.81	8.24	9.6
At1g02190.1	OsbHLH66	bHLH	417918	-	2839	14.81	8.24	8.31
At1g02205.1	OsbHLH66	bHLH	417918	-	-849	14.81	8.24	8.31
At1g02210.1	OsbHLH66	bHLH	426648	-	1163	14.81	8.24	8.74
At1g02210.1	OsbHLH66	bHLH	428443	+	-632	14.81	8.24	9.14
At1g02210.1	OsbHLH66	bHLH	428444	-	-633	14.81	8.24	8.42
At1g02220.1	OsbHLH66	bHLH	426648	-	3999	14.81	8.24	8.74
At1g02220.1	OsbHLH66	bHLH	428443	+	2204	14.81	8.24	9.14
At1g02220.1	OsbHLH66	bHLH	428444	-	2203	14.81	8.24	8.42
At1g02390.1	OsbHLH66	bHLH	482997	-	2145	14.81	8.24	8.93
At1g02390.1	OsbHLH66	bHLH	483050	+	2198	14.81	8.24	8.33
At1g02391.1	OsbHLH66	bHLH	482997	+	922	14.81	8.24	8.93
At1g02391.1	OsbHLH66	bHLH	483050	-	869	14.81	8.24	8.33
At1g02540.1	OsbHLH66	bHLH	534255	+	1444	14.81	8.24	9.64
At1g02540.1	OsbHLH66	bHLH	534256	-	1443	14.81	8.24	9.69
At1g02570.1	OsbHLH66	bHLH	542427	+	1047	14.81	8.24	8.63
At1g02640.1	OsbHLH66	bHLH	566402	+	2197	14.81	8.24	9.29
At1g02640.1	OsbHLH66	bHLH	567398	+	3193	14.81	8.24	8.4
At1g02650.1	OsbHLH66	bHLH	567398	+	-1306	14.81	8.24	8.4
At1g02890.1	OsbHLH66	bHLH	652598	+	-692	14.81	8.24	8.33
At1g02900.1	OsbHLH66	bHLH	652598	+	1745	14.81	8.24	8.33
At1g02990.1	OsbHLH66	bHLH	687602	-	-287	14.81	8.24	8.6
