Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g03070.1	E2Ff	E2F/DP	730083	+	148	n.a.	n.a.	n.a.
At1g05055.1	E2Ff	E2F/DP	1452822	-	-1936	n.a.	n.a.	n.a.
At1g05060.1	E2Ff	E2F/DP	1452822	-	49	n.a.	n.a.	n.a.
At1g05065.1	E2Ff	E2F/DP	1452822	-	2397	n.a.	n.a.	n.a.
At1g08250.1	E2Ff	E2F/DP	2590747	+	-449	n.a.	n.a.	n.a.
At1g08250.1	E2Ff	E2F/DP	2590752	+	-454	n.a.	n.a.	n.a.
At1g08260.1	E2Ff	E2F/DP	2590747	-	-194	n.a.	n.a.	n.a.
At1g08260.1	E2Ff	E2F/DP	2590752	-	-189	n.a.	n.a.	n.a.
At1g09420.1	E2Ff	E2F/DP	3042588	+	-767	n.a.	n.a.	n.a.
At1g09430.1	E2Ff	E2F/DP	3042588	-	590	n.a.	n.a.	n.a.
At1g11590.1	E2Ff	E2F/DP	3896401	-	3821	n.a.	n.a.	n.a.
At1g11592.1	E2Ff	E2F/DP	3896401	+	533	n.a.	n.a.	n.a.
At1g11595.1	E2Ff	E2F/DP	3896401	-	-1862	n.a.	n.a.	n.a.
At1g18190.1	E2Ff	E2F/DP	6263100	+	-1650	n.a.	n.a.	n.a.
At1g18200.1	E2Ff	E2F/DP	6263100	+	3830	n.a.	n.a.	n.a.
At1g23330.1	E2Ff	E2F/DP	8278341	-	3539	n.a.	n.a.	n.a.
At1g25360.1	E2Ff	E2F/DP	8897325	-	2910	n.a.	n.a.	n.a.
At1g25370.1	E2Ff	E2F/DP	8897325	+	1764	n.a.	n.a.	n.a.
At1g26520.1	E2Ff	E2F/DP	9165417	-	470	n.a.	n.a.	n.a.
At1g26530.1	E2Ff	E2F/DP	9165417	+	-460	n.a.	n.a.	n.a.
At1g52050.1	E2Ff	E2F/DP	19361832	-	-1399	n.a.	n.a.	n.a.
At1g52060.1	E2Ff	E2F/DP	19361832	-	2512	n.a.	n.a.	n.a.
At1g53039.1	E2Ff	E2F/DP	19768276	+	528	n.a.	n.a.	n.a.
At1g53040.1	E2Ff	E2F/DP	19768276	-	2726	n.a.	n.a.	n.a.
At1g65130.1	E2Ff	E2F/DP	24204762	+	-77	n.a.	n.a.	n.a.
At1g65140.1	E2Ff	E2F/DP	24204762	-	-518	n.a.	n.a.	n.a.
At1g67570.1	E2Ff	E2F/DP	25330734	+	1911	n.a.	n.a.	n.a.
At1g68330.1	E2Ff	E2F/DP	25617518	-	2932	n.a.	n.a.	n.a.
At1g68340.1	E2Ff	E2F/DP	25617518	+	1548	n.a.	n.a.	n.a.
At1g69870.1	E2Ff	E2F/DP	26323583	-	3893	n.a.	n.a.	n.a.
At1g69880.1	E2Ff	E2F/DP	26323583	-	-1559	n.a.	n.a.	n.a.
At1g72600.1	E2Ff	E2F/DP	27343132	+	1345	n.a.	n.a.	n.a.
At1g72610.1	E2Ff	E2F/DP	27343132	-	574	n.a.	n.a.	n.a.
At1g72620.1	E2Ff	E2F/DP	27343132	+	-1609	n.a.	n.a.	n.a.
