Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01030.1	HY5	bZIP	12014	+	1700	n.a.	n.a.	n.a.
At1g01030.1	HY5	bZIP	12014	-	1700	n.a.	n.a.	n.a.
At1g01120.1	HY5	bZIP	58442	+	725	n.a.	n.a.	n.a.
At1g01120.1	HY5	bZIP	58442	-	725	n.a.	n.a.	n.a.
At1g01190.1	HY5	bZIP	82146	-	2718	n.a.	n.a.	n.a.
At1g01190.1	HY5	bZIP	84584	+	280	n.a.	n.a.	n.a.
At1g01190.1	HY5	bZIP	84584	-	280	n.a.	n.a.	n.a.
At1g01200.1	HY5	bZIP	84584	+	3629	n.a.	n.a.	n.a.
At1g01200.1	HY5	bZIP	84584	-	3629	n.a.	n.a.	n.a.
At1g01250.1	HY5	bZIP	104778	+	552	n.a.	n.a.	n.a.
At1g01250.1	HY5	bZIP	104778	-	552	n.a.	n.a.	n.a.
At1g01320.1	HY5	bZIP	128990	-	1109	n.a.	n.a.	n.a.
At1g01510.1	HY5	bZIP	190322	+	3111	n.a.	n.a.	n.a.
At1g01520.1	HY5	bZIP	190322	+	-274	n.a.	n.a.	n.a.
At1g01530.1	HY5	bZIP	190322	-	3348	n.a.	n.a.	n.a.
At1g01600.1	HY5	bZIP	220361	+	1367	n.a.	n.a.	n.a.
At1g01610.1	HY5	bZIP	220361	-	3979	n.a.	n.a.	n.a.
At1g02020.1	HY5	bZIP	354341	+	628	n.a.	n.a.	n.a.
At1g02030.1	HY5	bZIP	354341	+	2917	n.a.	n.a.	n.a.
At1g02070.1	HY5	bZIP	372159	-	-1192	n.a.	n.a.	n.a.
At1g02074.1	HY5	bZIP	372159	+	95	n.a.	n.a.	n.a.
At1g02080.1	HY5	bZIP	372159	+	-1342	n.a.	n.a.	n.a.
At1g02100.1	HY5	bZIP	393178	-	3366	n.a.	n.a.	n.a.
At1g02110.1	HY5	bZIP	393178	-	239	n.a.	n.a.	n.a.
At1g02228.1	HY5	bZIP	434315	+	-496	n.a.	n.a.	n.a.
At1g02230.1	HY5	bZIP	434315	+	2461	n.a.	n.a.	n.a.
At1g02230.1	HY5	bZIP	436957	-	-181	n.a.	n.a.	n.a.
At1g02230.1	HY5	bZIP	436998	+	-222	n.a.	n.a.	n.a.
At1g02230.1	HY5	bZIP	436998	-	-222	n.a.	n.a.	n.a.
