Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g05910.1	AREB2	bZIP	1792162	-	1939	n.a.	n.a.	n.a.
At1g06690.1	AREB2	bZIP	2052147	+	6	n.a.	n.a.	n.a.
At1g06700.1	AREB2	bZIP	2052147	+	3132	n.a.	n.a.	n.a.
At1g08230.2	AREB2	bZIP	2586171	+	570	n.a.	n.a.	n.a.
At1g27670.1	AREB2	bZIP	9627202	-	1281	n.a.	n.a.	n.a.
At1g27671.1	AREB2	bZIP	9627202	+	-1811	n.a.	n.a.	n.a.
At1g33730.1	AREB2	bZIP	12228674	-	1415	n.a.	n.a.	n.a.
At1g33740.1	AREB2	bZIP	12228674	+	1736	n.a.	n.a.	n.a.
At1g47370.1	AREB2	bZIP	17368358	-	2785	n.a.	n.a.	n.a.
At1g49450.1	AREB2	bZIP	18310579	+	1370	n.a.	n.a.	n.a.
At1g49460.1	AREB2	bZIP	18310579	+	-1992	n.a.	n.a.	n.a.
At1g64610.1	AREB2	bZIP	24004192	-	1421	n.a.	n.a.	n.a.
At1g65820.1	AREB2	bZIP	24487416	-	-1348	n.a.	n.a.	n.a.
At1g65830.1	AREB2	bZIP	24487416	+	3320	n.a.	n.a.	n.a.
At1g70780.1	AREB2	bZIP	26700156	-	-102	n.a.	n.a.	n.a.
At1g70782.1	AREB2	bZIP	26700156	-	-102	n.a.	n.a.	n.a.
At1g71960.1	AREB2	bZIP	27093657	-	-1747	n.a.	n.a.	n.a.
At2g01190.1	AREB2	bZIP	114475	-	-499	n.a.	n.a.	n.a.
At2g01580.1	AREB2	bZIP	261930	-	3974	n.a.	n.a.	n.a.
At2g11850.1	AREB2	bZIP	4796548	+	-1923	n.a.	n.a.	n.a.
At2g11851.1	AREB2	bZIP	4796548	-	3484	n.a.	n.a.	n.a.
At2g11852.1	AREB2	bZIP	4796548	+	383	n.a.	n.a.	n.a.
At2g14260.1	AREB2	bZIP	6050415	-	641	n.a.	n.a.	n.a.
At2g15580.1	AREB2	bZIP	6806242	-	1522	n.a.	n.a.	n.a.
At2g17360.1	AREB2	bZIP	7555623	+	2061	n.a.	n.a.	n.a.
At2g17370.1	AREB2	bZIP	7555623	+	-1234	n.a.	n.a.	n.a.
At2g17560.1	AREB2	bZIP	7650842	+	-93	n.a.	n.a.	n.a.
At2g17570.1	AREB2	bZIP	7650842	-	-293	n.a.	n.a.	n.a.
At2g18010.1	AREB2	bZIP	7840299	+	-685	n.a.	n.a.	n.a.
At2g24625.1	AREB2	bZIP	10476408	+	989	n.a.	n.a.	n.a.
At2g31450.1	AREB2	bZIP	13412631	+	-1377	n.a.	n.a.	n.a.
At2g31460.1	AREB2	bZIP	13412631	-	778	n.a.	n.a.	n.a.
At2g31470.1	AREB2	bZIP	13412631	+	3101	n.a.	n.a.	n.a.
At2g31750.1	AREB2	bZIP	13505479	+	1169	n.a.	n.a.	n.a.
At2g31751.1	AREB2	bZIP	13505479	-	2099	n.a.	n.a.	n.a.
At2g33770.1	AREB2	bZIP	14291474	-	-1358	n.a.	n.a.	n.a.
At2g38465.1	AREB2	bZIP	16115140	-	-1149	n.a.	n.a.	n.a.
At2g38470.1	AREB2	bZIP	16115140	+	-299	n.a.	n.a.	n.a.
At2g38480.1	AREB2	bZIP	16115140	-	3735	n.a.	n.a.	n.a.
At2g39960.1	AREB2	bZIP	16689981	-	737	n.a.	n.a.	n.a.
At2g39970.1	AREB2	bZIP	16689981	-	3806	n.a.	n.a.	n.a.
At3g07150.1	AREB2	bZIP	2265226	-	-644	n.a.	n.a.	n.a.
At3g08520.1	AREB2	bZIP	2589453	-	3415	n.a.	n.a.	n.a.
At3g08636.1	AREB2	bZIP	2622981	+	309	n.a.	n.a.	n.a.
At3g08640.1	AREB2	bZIP	2622981	+	95	n.a.	n.a.	n.a.
At3g08660.1	AREB2	bZIP	2632906	-	1770	n.a.	n.a.	n.a.
At3g08670.1	AREB2	bZIP	2632906	-	-828	n.a.	n.a.	n.a.
At3g15350.1	AREB2	bZIP	5165894	+	-319	n.a.	n.a.	n.a.
At3g16175.1	AREB2	bZIP	5480181	-	-289	n.a.	n.a.	n.a.
At3g17070.1	AREB2	bZIP	5822022	-	1055	n.a.	n.a.	n.a.
At3g21110.1	AREB2	bZIP	7405542	-	105	n.a.	n.a.	n.a.
At3g21120.1	AREB2	bZIP	7405542	+	-790	n.a.	n.a.	n.a.
At3g21720.1	AREB2	bZIP	7656144	+	-126	n.a.	n.a.	n.a.
At3g23000.1	AREB2	bZIP	8171137	-	-1467	n.a.	n.a.	n.a.
At3g28250.1	AREB2	bZIP	10537145	-	2584	n.a.	n.a.	n.a.
At3g28260.1	AREB2	bZIP	10537145	-	1368	n.a.	n.a.	n.a.
At3g29430.1	AREB2	bZIP	11314431	+	1838	n.a.	n.a.	n.a.
At3g29431.1	AREB2	bZIP	11314431	-	-54	n.a.	n.a.	n.a.
At3g30737.1	AREB2	bZIP	12368314	+	212	n.a.	n.a.	n.a.
At3g45140.1	AREB2	bZIP	16535327	-	-1068	n.a.	n.a.	n.a.
At3g47430.1	AREB2	bZIP	17490952	-	-636	n.a.	n.a.	n.a.
At3g50651.1	AREB2	bZIP	18822993	-	3321	n.a.	n.a.	n.a.
