Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01030.1	DEAR4(2)	AP2/EREBP	12122	+	1592	14.1	8.21	8.7
At1g01040.1	DEAR4(2)	AP2/EREBP	25860	+	2714	14.1	8.21	9.43
At1g01040.1	DEAR4(2)	AP2/EREBP	25646	-	2500	14.1	8.21	8.25
At1g01040.1	DEAR4(2)	AP2/EREBP	25859	-	2713	14.1	8.21	9.99
At1g01090.1	DEAR4(2)	AP2/EREBP	51156	+	-1870	14.1	8.21	10.82
At1g01100.1	DEAR4(2)	AP2/EREBP	51156	+	-48	14.1	8.21	10.82
At1g01110.1	DEAR4(2)	AP2/EREBP	53499	+	630	14.1	8.21	8.45
At1g01110.1	DEAR4(2)	AP2/EREBP	51156	-	-1713	14.1	8.21	10.82
At1g01140.1	DEAR4(2)	AP2/EREBP	67550	+	75	14.1	8.21	8.82
At1g01170.1	DEAR4(2)	AP2/EREBP	76441	+	-1704	14.1	8.21	9.82
At1g01170.1	DEAR4(2)	AP2/EREBP	76099	-	-1362	14.1	8.21	8.37
At1g01180.1	DEAR4(2)	AP2/EREBP	76099	+	466	14.1	8.21	8.37
At1g01180.1	DEAR4(2)	AP2/EREBP	76441	-	808	14.1	8.21	9.82
At1g01183.1	DEAR4(2)	AP2/EREBP	76441	+	2591	14.1	8.21	9.82
At1g01183.1	DEAR4(2)	AP2/EREBP	76099	-	2933	14.1	8.21	8.37
At1g01290.1	DEAR4(2)	AP2/EREBP	117848	+	3562	14.1	8.21	8.92
At1g01290.1	DEAR4(2)	AP2/EREBP	117986	+	3700	14.1	8.21	8.73
At1g01300.1	DEAR4(2)	AP2/EREBP	117848	+	905	14.1	8.21	8.92
At1g01300.1	DEAR4(2)	AP2/EREBP	117986	+	1043	14.1	8.21	8.73
At1g01305.1	DEAR4(2)	AP2/EREBP	120814	-	1417	14.1	8.21	8.73
At1g01305.1	DEAR4(2)	AP2/EREBP	117848	+	-1549	14.1	8.21	8.92
At1g01305.1	DEAR4(2)	AP2/EREBP	117986	+	-1411	14.1	8.21	8.73
At1g01310.1	DEAR4(2)	AP2/EREBP	120814	-	660	14.1	8.21	8.73
At1g01340.1	DEAR4(2)	AP2/EREBP	132281	+	3041	14.1	8.21	9.64
At1g01355.1	DEAR4(2)	AP2/EREBP	142155	-	3642	14.1	8.21	9.29
At1g01360.1	DEAR4(2)	AP2/EREBP	142155	-	184	14.1	8.21	9.29
At1g01370.1	DEAR4(2)	AP2/EREBP	142155	-	-1409	14.1	8.21	9.29
At1g01440.1	DEAR4(2)	AP2/EREBP	161386	-	1186	14.1	8.21	11.02
At1g01440.1	DEAR4(2)	AP2/EREBP	163412	+	-840	14.1	8.21	8.89
At1g01448.1	DEAR4(2)	AP2/EREBP	163412	-	-19	14.1	8.21	8.89
At1g01450.1	DEAR4(2)	AP2/EREBP	163412	+	2105	14.1	8.21	8.89
At1g01480.1	DEAR4(2)	AP2/EREBP	178985	+	3203	14.1	8.21	8.24
At1g01490.1	DEAR4(2)	AP2/EREBP	178985	-	3373	14.1	8.21	8.24
At1g01500.1	DEAR4(2)	AP2/EREBP	185337	+	204	14.1	8.21	9.66
At1g01500.1	DEAR4(2)	AP2/EREBP	187532	+	2399	14.1	8.21	9.97
At1g01500.1	DEAR4(2)	AP2/EREBP	185340	+	207	14.1	8.21	9.25
At1g01500.1	DEAR4(2)	AP2/EREBP	187415	+	2282	14.1	8.21	8.89
At1g01500.1	DEAR4(2)	AP2/EREBP	187709	-	2576	14.1	8.21	8.45
At1g01510.1	DEAR4(2)	AP2/EREBP	185340	+	-1871	14.1	8.21	9.25
At1g01510.1	DEAR4(2)	AP2/EREBP	187709	-	498	14.1	8.21	8.45
At1g01510.1	DEAR4(2)	AP2/EREBP	187415	+	204	14.1	8.21	8.89
At1g01510.1	DEAR4(2)	AP2/EREBP	185337	+	-1874	14.1	8.21	9.66
At1g01510.1	DEAR4(2)	AP2/EREBP	187532	+	321	14.1	8.21	9.97
At1g01560.1	DEAR4(2)	AP2/EREBP	205359	+	3223	14.1	8.21	10.51
At1g01570.1	DEAR4(2)	AP2/EREBP	205359	+	183	14.1	8.21	10.51
At1g01580.1	DEAR4(2)	AP2/EREBP	210405	-	1010	14.1	8.21	9.63
At1g01600.1	DEAR4(2)	AP2/EREBP	220952	-	1958	14.1	8.21	8.46
At1g01600.1	DEAR4(2)	AP2/EREBP	220441	-	1447	14.1	8.21	10.51
At1g01600.1	DEAR4(2)	AP2/EREBP	222781	-	3787	14.1	8.21	10.52
At1g01610.1	DEAR4(2)	AP2/EREBP	220952	+	3388	14.1	8.21	8.46
At1g01610.1	DEAR4(2)	AP2/EREBP	220441	+	3899	14.1	8.21	10.51
At1g01610.1	DEAR4(2)	AP2/EREBP	222781	+	1559	14.1	8.21	10.52
At1g01620.1	DEAR4(2)	AP2/EREBP	226579	-	723	14.1	8.21	9.43
At1g01620.1	DEAR4(2)	AP2/EREBP	226578	+	724	14.1	8.21	9.14
At1g01720.1	DEAR4(2)	AP2/EREBP	269214	+	884	14.1	8.21	9.82
At1g01720.1	DEAR4(2)	AP2/EREBP	269142	+	812	14.1	8.21	8.92
At1g01725.1	DEAR4(2)	AP2/EREBP	269142	-	1633	14.1	8.21	8.92
At1g01725.1	DEAR4(2)	AP2/EREBP	269214	-	1561	14.1	8.21	9.82
At1g01730.1	DEAR4(2)	AP2/EREBP	273711	+	2755	14.1	8.21	10.82
At1g01740.1	DEAR4(2)	AP2/EREBP	273711	-	528	14.1	8.21	10.82
At1g01750.1	DEAR4(2)	AP2/EREBP	273711	+	-1655	14.1	8.21	10.82
At1g01760.1	DEAR4(2)	AP2/EREBP	278943	+	-495	14.1	8.21	9.66
At1g01770.1	DEAR4(2)	AP2/EREBP	278943	-	328	14.1	8.21	9.66
At1g01810.1	DEAR4(2)	AP2/EREBP	299014	-	3793	14.1	8.21	8.55
At1g01810.1	DEAR4(2)	AP2/EREBP	299015	+	3794	14.1	8.21	9.51
At1g01820.1	DEAR4(2)	AP2/EREBP	299014	+	-894	14.1	8.21	8.55
At1g01820.1	DEAR4(2)	AP2/EREBP	299015	-	-895	14.1	8.21	9.51
At1g01830.1	DEAR4(2)	AP2/EREBP	299015	-	1714	14.1	8.21	9.51
At1g01830.1	DEAR4(2)	AP2/EREBP	299014	+	1715	14.1	8.21	8.55
