Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01060.1	AtWER	MYB	35957	-	1883	n.a.	n.a.	n.a.
At1g01090.1	AtWER	MYB	50938	-	-1652	n.a.	n.a.	n.a.
At1g01100.1	AtWER	MYB	50938	-	170	n.a.	n.a.	n.a.
At1g01110.1	AtWER	MYB	50938	+	-1931	n.a.	n.a.	n.a.
At1g01830.1	AtWER	MYB	302723	+	-1994	n.a.	n.a.	n.a.
At1g01840.1	AtWER	MYB	302723	-	-814	n.a.	n.a.	n.a.
At1g01860.1	AtWER	MYB	302723	+	3564	n.a.	n.a.	n.a.
At1g02690.1	AtWER	MYB	584857	-	597	n.a.	n.a.	n.a.
At1g03000.1	AtWER	MYB	693401	-	-841	n.a.	n.a.	n.a.
At1g03010.1	AtWER	MYB	693401	+	-79	n.a.	n.a.	n.a.
At1g03070.1	AtWER	MYB	731988	+	2053	n.a.	n.a.	n.a.
At1g03390.1	AtWER	MYB	843741	-	-1324	n.a.	n.a.	n.a.
At1g03400.1	AtWER	MYB	843741	-	448	n.a.	n.a.	n.a.
At1g03410.1	AtWER	MYB	843741	-	3941	n.a.	n.a.	n.a.
At1g03830.1	AtWER	MYB	963749	-	2872	n.a.	n.a.	n.a.
At1g03870.1	AtWER	MYB	984357	+	-818	n.a.	n.a.	n.a.
At1g03880.1	AtWER	MYB	984357	-	-1393	n.a.	n.a.	n.a.
At1g04580.1	AtWER	MYB	1254218	+	3291	n.a.	n.a.	n.a.
At1g05510.1	AtWER	MYB	1631802	-	2357	n.a.	n.a.	n.a.
At1g05520.1	AtWER	MYB	1631802	+	3908	n.a.	n.a.	n.a.
At1g05560.1	AtWER	MYB	1647228	+	-82	n.a.	n.a.	n.a.
At1g05660.1	AtWER	MYB	1696895	+	-838	n.a.	n.a.	n.a.
At1g06260.1	AtWER	MYB	1917205	-	776	n.a.	n.a.	n.a.
At1g06265.1	AtWER	MYB	1917205	+	455	n.a.	n.a.	n.a.
At1g06800.1	AtWER	MYB	2091550	+	135	n.a.	n.a.	n.a.
At1g06810.1	AtWER	MYB	2091550	+	977	n.a.	n.a.	n.a.
At1g07000.1	AtWER	MYB	2153219	+	-895	n.a.	n.a.	n.a.
At1g07010.1	AtWER	MYB	2153219	-	333	n.a.	n.a.	n.a.
At1g07020.1	AtWER	MYB	2153219	+	2788	n.a.	n.a.	n.a.
At1g07250.1	AtWER	MYB	2229281	+	3382	n.a.	n.a.	n.a.
At1g07260.1	AtWER	MYB	2229281	-	37	n.a.	n.a.	n.a.
At1g07270.1	AtWER	MYB	2229281	-	3615	n.a.	n.a.	n.a.
At1g07340.1	AtWER	MYB	2256875	-	2054	n.a.	n.a.	n.a.
At1g07350.1	AtWER	MYB	2256875	+	3224	n.a.	n.a.	n.a.
At1g07640.1	AtWER	MYB	2353487	-	2281	n.a.	n.a.	n.a.
At1g07890.1	AtWER	MYB	2438850	+	1523	n.a.	n.a.	n.a.
At1g07950.1	AtWER	MYB	2468908	+	-1889	n.a.	n.a.	n.a.
At1g07960.1	AtWER	MYB	2468908	-	1750	n.a.	n.a.	n.a.
At1g07970.1	AtWER	MYB	2468908	+	3717	n.a.	n.a.	n.a.
At1g08410.1	AtWER	MYB	2649315	-	3129	n.a.	n.a.	n.a.
At1g08420.1	AtWER	MYB	2649315	-	-455	n.a.	n.a.	n.a.
At1g08660.1	AtWER	MYB	2759167	+	630	n.a.	n.a.	n.a.
At1g08670.1	AtWER	MYB	2759167	+	2409	n.a.	n.a.	n.a.
At1g08720.1	AtWER	MYB	2776012	-	1979	n.a.	n.a.	n.a.
At1g08930.1	AtWER	MYB	2874881	+	1413	n.a.	n.a.	n.a.
At1g09750.1	AtWER	MYB	3161312	+	3809	n.a.	n.a.	n.a.
At1g09760.1	AtWER	MYB	3161312	-	382	n.a.	n.a.	n.a.
At1g09770.1	AtWER	MYB	3161312	+	-531	n.a.	n.a.	n.a.
At1g10490.1	AtWER	MYB	3455743	+	2514	n.a.	n.a.	n.a.
At1g10500.1	AtWER	MYB	3459257	+	2229	n.a.	n.a.	n.a.
At1g10500.1	AtWER	MYB	3459612	+	1874	n.a.	n.a.	n.a.
At1g10538.1	AtWER	MYB	3476360	-	1844	n.a.	n.a.	n.a.
At1g10540.1	AtWER	MYB	3476360	+	1568	n.a.	n.a.	n.a.
At1g10865.1	AtWER	MYB	3617054	-	-899	n.a.	n.a.	n.a.
At1g11000.1	AtWER	MYB	3674512	-	1467	n.a.	n.a.	n.a.
At1g11210.1	AtWER	MYB	3758117	-	-1119	n.a.	n.a.	n.a.
At1g11220.1	AtWER	MYB	3758117	-	3048	n.a.	n.a.	n.a.
At1g11340.1	AtWER	MYB	3815567	-	1853	n.a.	n.a.	n.a.
At1g11545.1	AtWER	MYB	3880561	-	-200	n.a.	n.a.	n.a.
At1g11550.1	AtWER	MYB	3880561	+	-968	n.a.	n.a.	n.a.
At1g11740.1	AtWER	MYB	3965304	+	1520	n.a.	n.a.	n.a.
At1g11806.1	AtWER	MYB	3989525	-	1180	n.a.	n.a.	n.a.
At1g11810.1	AtWER	MYB	3989525	-	-237	n.a.	n.a.	n.a.
At1g11820.1	AtWER	MYB	3989525	+	3999	n.a.	n.a.	n.a.
At1g12200.1	AtWER	MYB	4138411	-	880	n.a.	n.a.	n.a.
At1g12294.1	AtWER	MYB	4183491	-	-1194	n.a.	n.a.	n.a.
At1g12300.1	AtWER	MYB	4183491	-	2631	n.a.	n.a.	n.a.
At1g12560.1	AtWER	MYB	4280214	-	3697	n.a.	n.a.	n.a.
At1g12570.1	AtWER	MYB	4280214	+	646	n.a.	n.a.	n.a.
At1g12580.1	AtWER	MYB	4283093	-	196	n.a.	n.a.	n.a.
At1g12590.1	AtWER	MYB	4283093	+	2863	n.a.	n.a.	n.a.
At1g12930.1	AtWER	MYB	4402032	-	3571	n.a.	n.a.	n.a.
At1g12930.1	AtWER	MYB	4403003	-	2600	n.a.	n.a.	n.a.
At1g12935.1	AtWER	MYB	4403003	-	3741	n.a.	n.a.	n.a.
At1g12980.1	AtWER	MYB	4428427	-	-1289	n.a.	n.a.	n.a.
At1g13609.1	AtWER	MYB	4665583	-	2865	n.a.	n.a.	n.a.
At1g13610.1	AtWER	MYB	4665583	+	431	n.a.	n.a.	n.a.
At1g14650.1	AtWER	MYB	5027691	-	34	n.a.	n.a.	n.a.
At1g14650.1	AtWER	MYB	5027747	+	90	n.a.	n.a.	n.a.
At1g15430.1	AtWER	MYB	5305531	-	1219	n.a.	n.a.	n.a.
At1g15440.1	AtWER	MYB	5305531	+	3978	n.a.	n.a.	n.a.
At1g15690.1	AtWER	MYB	5402503	-	3518	n.a.	n.a.	n.a.
At1g15700.1	AtWER	MYB	5402503	+	1310	n.a.	n.a.	n.a.
At1g15710.1	AtWER	MYB	5402503	-	-1850	n.a.	n.a.	n.a.
At1g15710.1	AtWER	MYB	5405376	-	1023	n.a.	n.a.	n.a.
At1g15720.1	AtWER	MYB	5405376	-	-644	n.a.	n.a.	n.a.
At1g16670.1	AtWER	MYB	5697740	+	423	n.a.	n.a.	n.a.
At1g16680.1	AtWER	MYB	5703828	-	1022	n.a.	n.a.	n.a.
At1g17010.1	AtWER	MYB	5819204	+	1644	n.a.	n.a.	n.a.
At1g17020.1	AtWER	MYB	5819204	+	-995	n.a.	n.a.	n.a.
At1g17210.1	AtWER	MYB	5885071	+	-322	n.a.	n.a.	n.a.
