Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01320.1	bZIP911(1)	bZIP	128989	-	1110	17.54	14.19	14.19
At1g07380.1	bZIP911(1)	bZIP	2270041	+	-1737	17.54	14.19	16.8
At1g07390.1	bZIP911(1)	bZIP	2270041	-	150	17.54	14.19	16.8
At1g08100.1	bZIP911(1)	bZIP	2530356	-	-1239	17.54	14.19	17.54
At1g09350.1	bZIP911(1)	bZIP	3020465	+	644	17.54	14.19	17.54
At1g09360.1	bZIP911(1)	bZIP	3020465	+	-1339	17.54	14.19	17.54
At1g13640.1	bZIP911(1)	bZIP	4679853	+	-44	17.54	14.19	14.19
At1g13650.1	bZIP911(1)	bZIP	4679853	+	2340	17.54	14.19	14.19
At1g18140.1	bZIP911(1)	bZIP	6240301	+	1128	17.54	14.19	14.79
At1g18300.1	bZIP911(1)	bZIP	6302488	-	2808	17.54	14.19	14.19
At1g18310.1	bZIP911(1)	bZIP	6302488	+	1461	17.54	14.19	14.19
At1g18320.1	bZIP911(1)	bZIP	6302488	-	-1865	17.54	14.19	14.19
At1g19670.1	bZIP911(1)	bZIP	6805468	-	-433	17.54	14.19	14.19
At1g19680.1	bZIP911(1)	bZIP	6805468	+	20	17.54	14.19	14.19
At1g20693.1	bZIP911(1)	bZIP	7179358	+	2593	17.54	14.19	16.8
At1g20696.1	bZIP911(1)	bZIP	7179358	+	-84	17.54	14.19	16.8
At1g21620.1	bZIP911(1)	bZIP	7579503	+	385	17.54	14.19	14.79
At1g21630.1	bZIP911(1)	bZIP	7579503	+	-1638	17.54	14.19	14.79
At1g21670.1	bZIP911(1)	bZIP	7613970	-	3583	17.54	14.19	17.54
At1g21680.1	bZIP911(1)	bZIP	7613970	-	976	17.54	14.19	17.54
At1g21690.1	bZIP911(1)	bZIP	7613970	-	-1641	17.54	14.19	17.54
At1g22400.1	bZIP911(1)	bZIP	7908351	+	-1689	17.54	14.19	14.19
At1g22403.1	bZIP911(1)	bZIP	7908351	+	1147	17.54	14.19	14.19
At1g25400.1	bZIP911(1)	bZIP	8911582	+	803	17.54	14.19	15.53
At1g25410.1	bZIP911(1)	bZIP	8911582	+	3624	17.54	14.19	15.53
At1g30810.1	bZIP911(1)	bZIP	10941005	-	1268	17.54	14.19	14.79
At1g30814.1	bZIP911(1)	bZIP	10941005	-	3703	17.54	14.19	14.79
At1g30840.1	bZIP911(1)	bZIP	10974933	-	505	17.54	14.19	14.79
At1g30840.1	bZIP911(1)	bZIP	10975374	+	946	17.54	14.19	14.19
At1g37080.1	bZIP911(1)	bZIP	14116046	+	-1350	17.54	14.19	14.19
At1g37090.1	bZIP911(1)	bZIP	14116046	+	3280	17.54	14.19	14.19
At1g44000.1	bZIP911(1)	bZIP	16709448	-	2705	17.54	14.19	14.79
At1g48720.1	bZIP911(1)	bZIP	18022551	-	735	17.54	14.19	14.19
At1g48730.1	bZIP911(1)	bZIP	18022551	+	3394	17.54	14.19	14.19
