Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	PCF2	TCP	3152	+	-479	12.22	6.53	7.99
At1g01010.1	PCF2	TCP	6992	+	3361	12.22	6.53	7.55
At1g01010.1	PCF2	TCP	3151	-	-480	12.22	6.53	8.15
At1g01010.1	PCF2	TCP	6562	+	2931	12.22	6.53	7.6
At1g01010.1	PCF2	TCP	6581	+	2950	12.22	6.53	7.08
At1g01010.1	PCF2	TCP	6641	+	3010	12.22	6.53	6.65
At1g01020.1	PCF2	TCP	6641	-	2096	12.22	6.53	6.65
At1g01020.1	PCF2	TCP	10160	-	-1423	12.22	6.53	7.05
At1g01020.1	PCF2	TCP	6581	-	2156	12.22	6.53	7.08
At1g01020.1	PCF2	TCP	6992	-	1745	12.22	6.53	7.55
At1g01020.1	PCF2	TCP	6562	-	2175	12.22	6.53	7.6
At1g01020.1	PCF2	TCP	8807	-	-70	12.22	6.53	7.29
At1g01030.1	PCF2	TCP	12834	+	880	12.22	6.53	6.98
At1g01030.1	PCF2	TCP	10160	-	3554	12.22	6.53	7.05
At1g01030.1	PCF2	TCP	12154	-	1560	12.22	6.53	7.27
At1g01030.1	PCF2	TCP	13696	-	18	12.22	6.53	8.94
At1g01040.1	PCF2	TCP	26910	+	3764	12.22	6.53	8.7
At1g01040.1	PCF2	TCP	26974	-	3828	12.22	6.53	7.12
At1g01046.1	PCF2	TCP	27991	-	-509	12.22	6.53	6.66
At1g01046.1	PCF2	TCP	28056	-	-444	12.22	6.53	6.72
At1g01046.1	PCF2	TCP	26910	+	-1590	12.22	6.53	8.7
At1g01046.1	PCF2	TCP	26974	-	-1526	12.22	6.53	7.12
At1g01050.1	PCF2	TCP	32787	-	366	12.22	6.53	6.71
At1g01060.1	PCF2	TCP	38116	+	-276	12.22	6.53	6.6
At1g01060.1	PCF2	TCP	39668	-	-1828	12.22	6.53	6.95
At1g01060.1	PCF2	TCP	39708	+	-1868	12.22	6.53	6.96
At1g01070.1	PCF2	TCP	38116	+	2828	12.22	6.53	6.6
At1g01070.1	PCF2	TCP	39708	+	1236	12.22	6.53	6.96
At1g01070.1	PCF2	TCP	39668	-	1276	12.22	6.53	6.95
At1g01080.1	PCF2	TCP	48304	-	-1285	12.22	6.53	7.61
