Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01040.1	ABI4(2)	AP2/EREBP	26380	+	3234	12.9	8.03	10.47
At1g01046.1	ABI4(2)	AP2/EREBP	30485	+	1985	12.9	8.03	9.1
At1g01050.1	ABI4(2)	AP2/EREBP	30485	-	2668	12.9	8.03	9.1
At1g01060.1	ABI4(2)	AP2/EREBP	39670	+	-1830	12.9	8.03	8.65
At1g01060.1	ABI4(2)	AP2/EREBP	37070	-	770	12.9	8.03	9.9
At1g01060.1	ABI4(2)	AP2/EREBP	38123	-	-283	12.9	8.03	9.1
At1g01070.1	ABI4(2)	AP2/EREBP	37070	-	3874	12.9	8.03	9.9
At1g01070.1	ABI4(2)	AP2/EREBP	38123	-	2821	12.9	8.03	9.1
At1g01070.1	ABI4(2)	AP2/EREBP	39670	+	1274	12.9	8.03	8.65
At1g01100.1	ABI4(2)	AP2/EREBP	52559	+	-1451	12.9	8.03	10.97
At1g01110.1	ABI4(2)	AP2/EREBP	53496	-	627	12.9	8.03	9.26
At1g01110.1	ABI4(2)	AP2/EREBP	52559	-	-310	12.9	8.03	10.97
At1g01110.1	ABI4(2)	AP2/EREBP	54308	-	1439	12.9	8.03	8.2
At1g01140.1	ABI4(2)	AP2/EREBP	69413	+	-1788	12.9	8.03	8.07
At1g01150.1	ABI4(2)	AP2/EREBP	69413	+	2725	12.9	8.03	8.07
At1g01160.1	ABI4(2)	AP2/EREBP	74402	-	2063	12.9	8.03	11.19
At1g01170.1	ABI4(2)	AP2/EREBP	74402	+	335	12.9	8.03	11.19
At1g01170.1	ABI4(2)	AP2/EREBP	76067	-	-1330	12.9	8.03	8.1
At1g01180.1	ABI4(2)	AP2/EREBP	74402	-	-1231	12.9	8.03	11.19
At1g01180.1	ABI4(2)	AP2/EREBP	76067	+	434	12.9	8.03	8.1
At1g01183.1	ABI4(2)	AP2/EREBP	76067	-	2965	12.9	8.03	8.1
At1g01190.1	ABI4(2)	AP2/EREBP	83386	-	1478	12.9	8.03	10.25
At1g01190.1	ABI4(2)	AP2/EREBP	86804	-	-1940	12.9	8.03	10.25
At1g01190.1	ABI4(2)	AP2/EREBP	86808	+	-1944	12.9	8.03	9.07
At1g01200.1	ABI4(2)	AP2/EREBP	86808	+	1405	12.9	8.03	9.07
