Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01100.1	AtTINY2	AP2/EREBP	53095	+	-1987	n.a.	n.a.	n.a.
At1g01110.1	AtTINY2	AP2/EREBP	53095	-	226	n.a.	n.a.	n.a.
At1g01530.1	AtTINY2	AP2/EREBP	195589	-	-1919	n.a.	n.a.	n.a.
At1g01540.1	AtTINY2	AP2/EREBP	195589	+	-223	n.a.	n.a.	n.a.
At1g01550.1	AtTINY2	AP2/EREBP	203496	+	3857	n.a.	n.a.	n.a.
At1g01560.1	AtTINY2	AP2/EREBP	203496	+	1360	n.a.	n.a.	n.a.
At1g01570.1	AtTINY2	AP2/EREBP	203496	+	-1680	n.a.	n.a.	n.a.
At1g01590.1	AtTINY2	AP2/EREBP	217052	+	2823	n.a.	n.a.	n.a.
At1g01600.1	AtTINY2	AP2/EREBP	217052	+	-1942	n.a.	n.a.	n.a.
At1g01650.1	AtTINY2	AP2/EREBP	238494	+	-677	n.a.	n.a.	n.a.
At1g02310.1	AtTINY2	AP2/EREBP	459969	+	727	n.a.	n.a.	n.a.
At1g02310.1	AtTINY2	AP2/EREBP	459969	+	727	n.a.	n.a.	n.a.
At1g02320.1	AtTINY2	AP2/EREBP	459969	-	-1859	n.a.	n.a.	n.a.
At1g02320.1	AtTINY2	AP2/EREBP	459969	-	-1859	n.a.	n.a.	n.a.
At1g03110.1	AtTINY2	AP2/EREBP	753105	-	3859	n.a.	n.a.	n.a.
At1g03120.1	AtTINY2	AP2/EREBP	753105	-	834	n.a.	n.a.	n.a.
At1g03130.1	AtTINY2	AP2/EREBP	753105	+	1093	n.a.	n.a.	n.a.
At1g03770.1	AtTINY2	AP2/EREBP	946414	-	1820	n.a.	n.a.	n.a.
At1g04540.1	AtTINY2	AP2/EREBP	1240254	-	2999	n.a.	n.a.	n.a.
At1g04550.1	AtTINY2	AP2/EREBP	1240254	-	-120	n.a.	n.a.	n.a.
At1g04610.1	AtTINY2	AP2/EREBP	1280840	-	1453	n.a.	n.a.	n.a.
At1g04680.1	AtTINY2	AP2/EREBP	1307761	+	122	n.a.	n.a.	n.a.
At1g04684.1	AtTINY2	AP2/EREBP	1307761	+	2817	n.a.	n.a.	n.a.
At1g04684.1	AtTINY2	AP2/EREBP	1311024	-	-446	n.a.	n.a.	n.a.
At1g05120.1	AtTINY2	AP2/EREBP	1474197	+	1880	n.a.	n.a.	n.a.
At1g06210.1	AtTINY2	AP2/EREBP	1899007	+	1805	n.a.	n.a.	n.a.
At1g06220.1	AtTINY2	AP2/EREBP	1899007	+	-956	n.a.	n.a.	n.a.
At1g06840.1	AtTINY2	AP2/EREBP	2105455	+	-1977	n.a.	n.a.	n.a.
At1g06850.1	AtTINY2	AP2/EREBP	2105455	-	408	n.a.	n.a.	n.a.
At1g06860.1	AtTINY2	AP2/EREBP	2105455	+	2012	n.a.	n.a.	n.a.
At1g07180.1	AtTINY2	AP2/EREBP	2208298	-	3979	n.a.	n.a.	n.a.
At1g07180.1	AtTINY2	AP2/EREBP	2208298	-	3979	n.a.	n.a.	n.a.
At1g07190.1	AtTINY2	AP2/EREBP	2208298	-	286	n.a.	n.a.	n.a.
At1g07190.1	AtTINY2	AP2/EREBP	2208298	-	286	n.a.	n.a.	n.a.
At1g07200.1	AtTINY2	AP2/EREBP	2208298	+	2545	n.a.	n.a.	n.a.
At1g07200.1	AtTINY2	AP2/EREBP	2208298	+	2545	n.a.	n.a.	n.a.
