Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01360.1	AtMYB44	MYB	144559	+	2588	n.a.	n.a.	n.a.
At1g01370.1	AtMYB44	MYB	144559	+	995	n.a.	n.a.	n.a.
At1g02130.1	AtMYB44	MYB	402631	+	-749	n.a.	n.a.	n.a.
At1g02130.1	AtMYB44	MYB	402681	+	-799	n.a.	n.a.	n.a.
At1g02136.1	AtMYB44	MYB	402631	+	330	n.a.	n.a.	n.a.
At1g02136.1	AtMYB44	MYB	402681	+	280	n.a.	n.a.	n.a.
At1g02140.1	AtMYB44	MYB	402631	+	1825	n.a.	n.a.	n.a.
At1g02140.1	AtMYB44	MYB	402681	+	1775	n.a.	n.a.	n.a.
At1g02930.1	AtMYB44	MYB	662781	+	-354	n.a.	n.a.	n.a.
At1g02940.1	AtMYB44	MYB	662781	+	1347	n.a.	n.a.	n.a.
At1g03060.1	AtMYB44	MYB	726040	+	851	n.a.	n.a.	n.a.
At1g03106.1	AtMYB44	MYB	749953	-	-919	n.a.	n.a.	n.a.
At1g03110.1	AtMYB44	MYB	749953	+	707	n.a.	n.a.	n.a.
At1g03170.1	AtMYB44	MYB	772216	+	2584	n.a.	n.a.	n.a.
At1g03180.1	AtMYB44	MYB	772216	+	-1195	n.a.	n.a.	n.a.
At1g03270.1	AtMYB44	MYB	800552	+	1361	n.a.	n.a.	n.a.
At1g03740.1	AtMYB44	MYB	936147	-	2635	n.a.	n.a.	n.a.
At1g03743.1	AtMYB44	MYB	936147	+	1139	n.a.	n.a.	n.a.
At1g03746.1	AtMYB44	MYB	936147	+	1337	n.a.	n.a.	n.a.
At1g04778.1	AtMYB44	MYB	1340244	+	353	n.a.	n.a.	n.a.
At1g04780.1	AtMYB44	MYB	1340244	-	3339	n.a.	n.a.	n.a.
At1g07010.1	AtMYB44	MYB	2156732	+	3846	n.a.	n.a.	n.a.
At1g07020.1	AtMYB44	MYB	2156732	-	-725	n.a.	n.a.	n.a.
At1g07025.1	AtMYB44	MYB	2156732	-	1425	n.a.	n.a.	n.a.
At1g07725.1	AtMYB44	MYB	2397395	+	-126	n.a.	n.a.	n.a.
At1g07728.1	AtMYB44	MYB	2397395	-	1937	n.a.	n.a.	n.a.
At1g08105.1	AtMYB44	MYB	2535906	-	-1123	n.a.	n.a.	n.a.
At1g08110.1	AtMYB44	MYB	2535906	+	580	n.a.	n.a.	n.a.
At1g08115.1	AtMYB44	MYB	2535906	-	2328	n.a.	n.a.	n.a.
At1g09815.1	AtMYB44	MYB	3191634	-	2263	n.a.	n.a.	n.a.
At1g09820.1	AtMYB44	MYB	3191634	+	782	n.a.	n.a.	n.a.
At1g09830.1	AtMYB44	MYB	3191634	+	3393	n.a.	n.a.	n.a.
At1g10010.1	AtMYB44	MYB	3269529	-	3551	n.a.	n.a.	n.a.
At1g10020.1	AtMYB44	MYB	3269529	+	2460	n.a.	n.a.	n.a.
At1g10300.1	AtMYB44	MYB	3381184	+	3040	n.a.	n.a.	n.a.
At1g10310.1	AtMYB44	MYB	3381184	-	2732	n.a.	n.a.	n.a.
At1g10870.1	AtMYB44	MYB	3621404	-	2354	n.a.	n.a.	n.a.
At1g11070.1	AtMYB44	MYB	3690292	+	2534	n.a.	n.a.	n.a.
At1g11880.1	AtMYB44	MYB	4009496	-	936	n.a.	n.a.	n.a.
At1g11890.1	AtMYB44	MYB	4009496	+	-1282	n.a.	n.a.	n.a.
At1g12330.1	AtMYB44	MYB	4194085	-	-571	n.a.	n.a.	n.a.
At1g12780.1	AtMYB44	MYB	4357911	-	415	n.a.	n.a.	n.a.
At1g12790.1	AtMYB44	MYB	4357911	-	3359	n.a.	n.a.	n.a.
At1g12890.1	AtMYB44	MYB	4394759	-	3027	n.a.	n.a.	n.a.
At1g12900.1	AtMYB44	MYB	4394759	+	-361	n.a.	n.a.	n.a.
At1g12910.1	AtMYB44	MYB	4394759	+	1530	n.a.	n.a.	n.a.
At1g13480.1	AtMYB44	MYB	4625845	+	-1778	n.a.	n.a.	n.a.
At1g13490.1	AtMYB44	MYB	4625845	+	216	n.a.	n.a.	n.a.
At1g13500.1	AtMYB44	MYB	4625845	+	3321	n.a.	n.a.	n.a.
At1g13500.1	AtMYB44	MYB	4628944	+	222	n.a.	n.a.	n.a.
At1g13510.1	AtMYB44	MYB	4628944	+	1874	n.a.	n.a.	n.a.
At1g14670.1	AtMYB44	MYB	5039114	-	1507	n.a.	n.a.	n.a.
At1g14680.1	AtMYB44	MYB	5039114	-	-1742	n.a.	n.a.	n.a.
