Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01040.1	ZML2	GATA	22239	-	-907	n.a.	n.a.	n.a.
At1g01040.1	ZML2	GATA	24752	+	1606	n.a.	n.a.	n.a.
At1g01060.1	ZML2	GATA	38655	-	-815	n.a.	n.a.	n.a.
At1g01070.1	ZML2	GATA	38655	-	2289	n.a.	n.a.	n.a.
At1g01120.1	ZML2	GATA	57682	+	1485	n.a.	n.a.	n.a.
At1g01130.1	ZML2	GATA	62635	+	1176	n.a.	n.a.	n.a.
At1g01130.1	ZML2	GATA	64280	-	-469	n.a.	n.a.	n.a.
At1g01140.1	ZML2	GATA	64280	-	3345	n.a.	n.a.	n.a.
At1g01230.1	ZML2	GATA	98778	+	1322	n.a.	n.a.	n.a.
At1g01240.1	ZML2	GATA	98778	+	-1144	n.a.	n.a.	n.a.
At1g01350.1	ZML2	GATA	140041	+	3917	n.a.	n.a.	n.a.
At1g01355.1	ZML2	GATA	140041	+	1528	n.a.	n.a.	n.a.
At1g01360.1	ZML2	GATA	140041	+	-1930	n.a.	n.a.	n.a.
At1g01448.1	ZML2	GATA	165940	+	2509	n.a.	n.a.	n.a.
At1g01448.1	ZML2	GATA	164893	-	1462	n.a.	n.a.	n.a.
At1g01450.1	ZML2	GATA	164893	+	624	n.a.	n.a.	n.a.
At1g01450.1	ZML2	GATA	166734	+	-1217	n.a.	n.a.	n.a.
At1g01450.1	ZML2	GATA	165940	-	-423	n.a.	n.a.	n.a.
At1g01453.1	ZML2	GATA	165940	-	1902	n.a.	n.a.	n.a.
At1g01453.1	ZML2	GATA	164893	+	2949	n.a.	n.a.	n.a.
At1g01453.1	ZML2	GATA	166734	+	1108	n.a.	n.a.	n.a.
At1g01460.1	ZML2	GATA	166734	-	-1989	n.a.	n.a.	n.a.
At1g01480.1	ZML2	GATA	178468	-	2686	n.a.	n.a.	n.a.
At1g01490.1	ZML2	GATA	178468	+	3890	n.a.	n.a.	n.a.
At1g01510.1	ZML2	GATA	189037	+	1826	n.a.	n.a.	n.a.
At1g01520.1	ZML2	GATA	189037	+	-1559	n.a.	n.a.	n.a.
At1g01520.1	ZML2	GATA	192848	-	2252	n.a.	n.a.	n.a.
At1g01530.1	ZML2	GATA	192848	+	822	n.a.	n.a.	n.a.
At1g01630.1	ZML2	GATA	231656	-	2643	n.a.	n.a.	n.a.
At1g01630.1	ZML2	GATA	231736	-	2723	n.a.	n.a.	n.a.
At1g01640.1	ZML2	GATA	231656	+	852	n.a.	n.a.	n.a.
At1g01640.1	ZML2	GATA	231736	+	772	n.a.	n.a.	n.a.
At1g01660.1	ZML2	GATA	242047	-	561	n.a.	n.a.	n.a.
At1g01670.1	ZML2	GATA	242047	-	3941	n.a.	n.a.	n.a.
At1g01670.1	ZML2	GATA	246838	-	-850	n.a.	n.a.	n.a.
At1g01680.1	ZML2	GATA	246838	-	1529	n.a.	n.a.	n.a.
At1g01695.1	ZML2	GATA	255607	+	2660	n.a.	n.a.	n.a.
At1g01720.1	ZML2	GATA	268245	+	-85	n.a.	n.a.	n.a.
At1g01725.1	ZML2	GATA	268245	-	2530	n.a.	n.a.	n.a.
At1g01730.1	ZML2	GATA	274024	+	3068	n.a.	n.a.	n.a.
At1g01740.1	ZML2	GATA	274024	-	215	n.a.	n.a.	n.a.
At1g01750.1	ZML2	GATA	274024	+	-1342	n.a.	n.a.	n.a.
At1g01910.1	ZML2	GATA	315551	+	351	n.a.	n.a.	n.a.
At1g01920.1	ZML2	GATA	315551	-	-636	n.a.	n.a.	n.a.
At1g01930.1	ZML2	GATA	323126	-	-266	n.a.	n.a.	n.a.
At1g01940.1	ZML2	GATA	323126	+	99	n.a.	n.a.	n.a.
At1g01950.1	ZML2	GATA	327042	+	1569	n.a.	n.a.	n.a.
At1g01990.1	ZML2	GATA	345363	+	-1022	n.a.	n.a.	n.a.
At1g02000.1	ZML2	GATA	345363	-	-449	n.a.	n.a.	n.a.
At1g02000.1	ZML2	GATA	346403	+	591	n.a.	n.a.	n.a.
At1g02010.1	ZML2	GATA	346403	+	-1488	n.a.	n.a.	n.a.
At1g02030.1	ZML2	GATA	357936	+	-678	n.a.	n.a.	n.a.
At1g02040.1	ZML2	GATA	357936	+	1142	n.a.	n.a.	n.a.
At1g02060.1	ZML2	GATA	363186	-	-92	n.a.	n.a.	n.a.
At1g02074.1	ZML2	GATA	375685	-	3621	n.a.	n.a.	n.a.
At1g02080.1	ZML2	GATA	375685	-	2184	n.a.	n.a.	n.a.
At1g02100.1	ZML2	GATA	392212	+	2400	n.a.	n.a.	n.a.
At1g02110.1	ZML2	GATA	392212	+	-727	n.a.	n.a.	n.a.
At1g02145.1	ZML2	GATA	406575	+	1975	n.a.	n.a.	n.a.
At1g02250.1	ZML2	GATA	441184	+	-1625	n.a.	n.a.	n.a.
At1g02260.1	ZML2	GATA	441184	+	1693	n.a.	n.a.	n.a.
At1g02270.1	ZML2	GATA	445471	-	764	n.a.	n.a.	n.a.
At1g02290.1	ZML2	GATA	454019	+	-1282	n.a.	n.a.	n.a.
At1g02300.1	ZML2	GATA	454019	-	731	n.a.	n.a.	n.a.
At1g02300.1	ZML2	GATA	456602	-	3314	n.a.	n.a.	n.a.
At1g02305.1	ZML2	GATA	454019	-	-1669	n.a.	n.a.	n.a.
At1g02305.1	ZML2	GATA	456602	-	914	n.a.	n.a.	n.a.
At1g02305.1	ZML2	GATA	457441	+	1753	n.a.	n.a.	n.a.
At1g02310.1	ZML2	GATA	457441	-	3255	n.a.	n.a.	n.a.
At1g02330.1	ZML2	GATA	464275	+	-663	n.a.	n.a.	n.a.
At1g02335.1	ZML2	GATA	464275	+	649	n.a.	n.a.	n.a.
At1g02340.1	ZML2	GATA	464275	+	3569	n.a.	n.a.	n.a.
At1g02350.1	ZML2	GATA	471243	-	1425	n.a.	n.a.	n.a.
At1g02360.1	ZML2	GATA	471243	+	1917	n.a.	n.a.	n.a.
At1g02370.1	ZML2	GATA	477709	+	3209	n.a.	n.a.	n.a.
At1g02380.1	ZML2	GATA	477709	+	709	n.a.	n.a.	n.a.
At1g02460.1	ZML2	GATA	508919	+	-1715	n.a.	n.a.	n.a.
At1g02650.1	ZML2	GATA	569723	-	1019	n.a.	n.a.	n.a.
At1g02670.1	ZML2	GATA	579833	-	3787	n.a.	n.a.	n.a.
At1g02680.1	ZML2	GATA	579833	-	-792	n.a.	n.a.	n.a.
At1g02700.1	ZML2	GATA	590123	+	1794	n.a.	n.a.	n.a.
At1g02700.1	ZML2	GATA	589752	-	1423	n.a.	n.a.	n.a.
At1g02710.1	ZML2	GATA	589752	+	244	n.a.	n.a.	n.a.
At1g02710.1	ZML2	GATA	590123	-	-127	n.a.	n.a.	n.a.
At1g02720.1	ZML2	GATA	590123	+	-1703	n.a.	n.a.	n.a.
At1g02840.1	ZML2	GATA	627700	+	959	n.a.	n.a.	n.a.
At1g02850.1	ZML2	GATA	633833	-	3328	n.a.	n.a.	n.a.
At1g02860.1	ZML2	GATA	633833	-	-1311	n.a.	n.a.	n.a.
At1g02890.1	ZML2	GATA	652588	-	-682	n.a.	n.a.	n.a.
At1g02890.1	ZML2	GATA	649096	+	2810	n.a.	n.a.	n.a.
At1g02900.1	ZML2	GATA	652588	-	1755	n.a.	n.a.	n.a.
At1g02920.1	ZML2	GATA	660173	+	-402	n.a.	n.a.	n.a.
At1g02930.1	ZML2	GATA	660173	+	2254	n.a.	n.a.	n.a.
At1g02930.1	ZML2	GATA	663306	+	-879	n.a.	n.a.	n.a.
At1g02940.1	ZML2	GATA	663306	+	822	n.a.	n.a.	n.a.
At1g02950.1	ZML2	GATA	663306	+	3145	n.a.	n.a.	n.a.
At1g02960.1	ZML2	GATA	670052	-	-215	n.a.	n.a.	n.a.
At1g02965.1	ZML2	GATA	670052	-	2762	n.a.	n.a.	n.a.
At1g03000.1	ZML2	GATA	693871	-	-1311	n.a.	n.a.	n.a.
At1g03010.1	ZML2	GATA	693871	+	391	n.a.	n.a.	n.a.
At1g03010.1	ZML2	GATA	696384	-	2904	n.a.	n.a.	n.a.
At1g03010.1	ZML2	GATA	695078	-	1598	n.a.	n.a.	n.a.
At1g03020.1	ZML2	GATA	695078	+	3437	n.a.	n.a.	n.a.
At1g03020.1	ZML2	GATA	696384	+	2131	n.a.	n.a.	n.a.
At1g03120.1	ZML2	GATA	755136	-	2865	n.a.	n.a.	n.a.
At1g03130.1	ZML2	GATA	755136	+	-938	n.a.	n.a.	n.a.
At1g03140.1	ZML2	GATA	755136	+	1167	n.a.	n.a.	n.a.
At1g03170.1	ZML2	GATA	772047	+	2415	n.a.	n.a.	n.a.
At1g03180.1	ZML2	GATA	772047	+	-1364	n.a.	n.a.	n.a.
At1g03180.1	ZML2	GATA	774480	+	1069	n.a.	n.a.	n.a.
At1g03190.1	ZML2	GATA	774480	+	-1047	n.a.	n.a.	n.a.
At1g03200.1	ZML2	GATA	783255	-	2653	n.a.	n.a.	n.a.
At1g03210.1	ZML2	GATA	783255	-	307	n.a.	n.a.	n.a.
At1g03290.1	ZML2	GATA	810781	+	3385	n.a.	n.a.	n.a.
At1g03300.1	ZML2	GATA	810781	-	2305	n.a.	n.a.	n.a.
At1g03300.1	ZML2	GATA	814033	+	-947	n.a.	n.a.	n.a.
At1g03310.1	ZML2	GATA	814033	-	562	n.a.	n.a.	n.a.
