Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01040.1	SPL1(1)	SBP	23342	-	196	13.18	8.51	9.73
At1g01250.1	SPL1(1)	SBP	106655	+	-1325	13.18	8.51	9.73
At1g01355.1	SPL1(1)	SBP	142195	+	3682	13.18	8.51	8.61
At1g01355.1	SPL1(1)	SBP	142195	-	3682	13.18	8.51	8.61
At1g01360.1	SPL1(1)	SBP	142195	-	224	13.18	8.51	8.61
At1g01360.1	SPL1(1)	SBP	142195	+	224	13.18	8.51	8.61
At1g01370.1	SPL1(1)	SBP	142195	+	-1369	13.18	8.51	8.61
At1g01370.1	SPL1(1)	SBP	142195	-	-1369	13.18	8.51	8.61
At1g01500.1	SPL1(1)	SBP	184682	-	-451	13.18	8.51	12.69
At1g01500.1	SPL1(1)	SBP	184682	+	-451	13.18	8.51	11.3
At1g01650.1	SPL1(1)	SBP	237968	+	-151	13.18	8.51	9.73
At1g01710.1	SPL1(1)	SBP	263772	+	944	13.18	8.51	8.61
At1g01710.1	SPL1(1)	SBP	263772	-	944	13.18	8.51	8.61
At1g01770.1	SPL1(1)	SBP	282089	-	3474	13.18	8.51	9.13
At1g01770.1	SPL1(1)	SBP	282089	+	3474	13.18	8.51	10.22
At1g01780.1	SPL1(1)	SBP	282089	+	-672	13.18	8.51	10.22
At1g01780.1	SPL1(1)	SBP	282089	-	-672	13.18	8.51	9.13
At1g01810.1	SPL1(1)	SBP	298822	+	3601	13.18	8.51	9.13
At1g01810.1	SPL1(1)	SBP	298822	-	3601	13.18	8.51	10.22
At1g01820.1	SPL1(1)	SBP	298822	-	-702	13.18	8.51	9.13
At1g01820.1	SPL1(1)	SBP	298822	+	-702	13.18	8.51	10.22
At1g01830.1	SPL1(1)	SBP	298822	-	1907	13.18	8.51	9.13
At1g01830.1	SPL1(1)	SBP	298822	+	1907	13.18	8.51	10.22
At1g02040.1	SPL1(1)	SBP	359704	-	-626	13.18	8.51	10.22
At1g02040.1	SPL1(1)	SBP	359704	+	-626	13.18	8.51	9.13
At1g02050.1	SPL1(1)	SBP	359704	-	814	13.18	8.51	10.22
At1g02050.1	SPL1(1)	SBP	359704	+	814	13.18	8.51	9.13
At1g02060.1	SPL1(1)	SBP	364178	+	-1084	13.18	8.51	12.69
At1g02060.1	SPL1(1)	SBP	364178	-	-1084	13.18	8.51	11.3
At1g02065.1	SPL1(1)	SBP	364178	-	-1031	13.18	8.51	12.69
At1g02065.1	SPL1(1)	SBP	364178	+	-1031	13.18	8.51	11.3
At1g02065.1	SPL1(1)	SBP	366082	+	873	13.18	8.51	9.25
At1g02150.1	SPL1(1)	SBP	410687	+	2065	13.18	8.51	8.58
At1g02160.1	SPL1(1)	SBP	410687	+	-61	13.18	8.51	8.58
At1g02170.1	SPL1(1)	SBP	410687	+	-1092	13.18	8.51	8.58
At1g02205.1	SPL1(1)	SBP	421137	+	2370	13.18	8.51	9.25
At1g02340.1	SPL1(1)	SBP	469841	+	-1997	13.18	8.51	8.58
At1g02350.1	SPL1(1)	SBP	469841	-	23	13.18	8.51	8.58
At1g02360.1	SPL1(1)	SBP	469841	+	3319	13.18	8.51	8.58
At1g02380.1	SPL1(1)	SBP	480734	-	3734	13.18	8.51	8.54
At1g02390.1	SPL1(1)	SBP	480734	-	-118	13.18	8.51	8.54
At1g02391.1	SPL1(1)	SBP	480734	+	3185	13.18	8.51	8.54
At1g02440.1	SPL1(1)	SBP	498176	-	-697	13.18	8.51	9.01
At1g02450.1	SPL1(1)	SBP	498176	-	340	13.18	8.51	9.01
At1g02640.1	SPL1(1)	SBP	566380	-	2175	13.18	8.51	11.3
At1g02640.1	SPL1(1)	SBP	566380	+	2175	13.18	8.51	12.69
At1g02680.1	SPL1(1)	SBP	582538	+	1913	13.18	8.51	8.61
At1g02680.1	SPL1(1)	SBP	582538	-	1913	13.18	8.51	8.61
At1g02690.1	SPL1(1)	SBP	582538	+	-1722	13.18	8.51	8.61
At1g02690.1	SPL1(1)	SBP	582538	-	-1722	13.18	8.51	8.61
At1g02840.1	SPL1(1)	SBP	630544	-	3803	13.18	8.51	9.26
At1g02850.1	SPL1(1)	SBP	630544	-	39	13.18	8.51	9.26
At1g03090.1	SPL1(1)	SBP	739964	+	285	13.18	8.51	8.91
At1g03310.1	SPL1(1)	SBP	816578	-	3107	13.18	8.51	8.81
At1g03320.1	SPL1(1)	SBP	816578	-	-449	13.18	8.51	8.81
At1g03330.1	SPL1(1)	SBP	816578	+	2985	13.18	8.51	8.81
At1g03530.1	SPL1(1)	SBP	884724	+	-1333	13.18	8.51	12.42
At1g03530.1	SPL1(1)	SBP	884724	-	-1333	13.18	8.51	9.04
At1g03540.1	SPL1(1)	SBP	884724	+	942	13.18	8.51	9.04
At1g03540.1	SPL1(1)	SBP	884724	-	942	13.18	8.51	12.42
At1g03550.1	SPL1(1)	SBP	884724	+	3232	13.18	8.51	12.42
At1g03550.1	SPL1(1)	SBP	884724	-	3232	13.18	8.51	9.04
At1g03730.1	SPL1(1)	SBP	929491	+	2404	13.18	8.51	9.11
At1g03730.1	SPL1(1)	SBP	929491	-	2404	13.18	8.51	9.11
At1g04220.1	SPL1(1)	SBP	1122392	-	133	13.18	8.51	9.25
At1g04240.1	SPL1(1)	SBP	1130662	+	-1112	13.18	8.51	9.26
At1g04250.1	SPL1(1)	SBP	1137595	+	1338	13.18	8.51	8.79
At1g04250.1	SPL1(1)	SBP	1137595	-	1338	13.18	8.51	8.79
At1g04260.1	SPL1(1)	SBP	1137595	-	3769	13.18	8.51	8.79
At1g04260.1	SPL1(1)	SBP	1137595	+	3769	13.18	8.51	8.79
At1g04270.1	SPL1(1)	SBP	1144980	+	-1928	13.18	8.51	9.26
At1g04280.1	SPL1(1)	SBP	1144980	+	1673	13.18	8.51	9.26
At1g04290.1	SPL1(1)	SBP	1144980	+	3552	13.18	8.51	9.26
At1g04590.1	SPL1(1)	SBP	1259516	+	1909	13.18	8.51	9.25
At1g04850.1	SPL1(1)	SBP	1368531	+	312	13.18	8.51	9.73
At1g04940.1	SPL1(1)	SBP	1400603	-	1422	13.18	8.51	10.22
At1g04940.1	SPL1(1)	SBP	1400603	+	1422	13.18	8.51	9.13
At1g04945.1	SPL1(1)	SBP	1400603	+	-304	13.18	8.51	9.13
At1g04945.1	SPL1(1)	SBP	1403685	+	2778	13.18	8.51	8.58
At1g04945.1	SPL1(1)	SBP	1400603	-	-304	13.18	8.51	10.22
At1g04950.1	SPL1(1)	SBP	1403685	-	3782	13.18	8.51	8.58
At1g05100.1	SPL1(1)	SBP	1469839	-	230	13.18	8.51	9.25
At1g05100.1	SPL1(1)	SBP	1469935	-	326	13.18	8.51	12.09
At1g05100.1	SPL1(1)	SBP	1469935	+	326	13.18	8.51	13.18
At1g05200.1	SPL1(1)	SBP	1508389	-	3073	13.18	8.51	9.26
At1g05205.1	SPL1(1)	SBP	1508389	+	1891	13.18	8.51	9.26
At1g05540.1	SPL1(1)	SBP	1642135	-	2850	13.18	8.51	8.61
At1g05540.1	SPL1(1)	SBP	1642135	+	2850	13.18	8.51	8.61
At1g05550.1	SPL1(1)	SBP	1642135	+	1612	13.18	8.51	8.61
At1g05550.1	SPL1(1)	SBP	1642135	-	1612	13.18	8.51	8.61
At1g05580.1	SPL1(1)	SBP	1668075	+	826	13.18	8.51	9.77
At1g05580.1	SPL1(1)	SBP	1666815	-	2086	13.18	8.51	11.45
At1g05580.1	SPL1(1)	SBP	1666815	+	2086	13.18	8.51	11.45
At1g05580.1	SPL1(1)	SBP	1668075	-	826	13.18	8.51	9.77
At1g05590.1	SPL1(1)	SBP	1668075	+	-1274	13.18	8.51	9.77
At1g05590.1	SPL1(1)	SBP	1668075	-	-1274	13.18	8.51	9.77
At1g05810.1	SPL1(1)	SBP	1748839	-	526	13.18	8.51	9.13
At1g05810.1	SPL1(1)	SBP	1748839	+	526	13.18	8.51	10.22
At1g05820.1	SPL1(1)	SBP	1748839	+	-842	13.18	8.51	10.22
At1g05820.1	SPL1(1)	SBP	1748839	-	-842	13.18	8.51	9.13
At1g06010.1	SPL1(1)	SBP	1824946	+	2329	13.18	8.51	8.61
At1g06010.1	SPL1(1)	SBP	1824946	-	2329	13.18	8.51	8.61
At1g06020.1	SPL1(1)	SBP	1824946	-	399	13.18	8.51	8.61
At1g06020.1	SPL1(1)	SBP	1824946	+	399	13.18	8.51	8.61
At1g06020.1	SPL1(1)	SBP	1827281	-	2734	13.18	8.51	8.61
At1g06020.1	SPL1(1)	SBP	1827281	+	2734	13.18	8.51	8.61
At1g06030.1	SPL1(1)	SBP	1827281	-	402	13.18	8.51	8.61
At1g06030.1	SPL1(1)	SBP	1827281	+	402	13.18	8.51	8.61
At1g06030.1	SPL1(1)	SBP	1824946	-	-1933	13.18	8.51	8.61
At1g06030.1	SPL1(1)	SBP	1824946	+	-1933	13.18	8.51	8.61
At1g06040.1	SPL1(1)	SBP	1827281	-	2608	13.18	8.51	8.61
