Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	GATA-3	C2C2(Zn) GATA	3284	-	-347	n.a.	n.a.	n.a.
At1g01040.1	GATA-3	C2C2(Zn) GATA	23650	-	504	n.a.	n.a.	n.a.
At1g01290.1	GATA-3	C2C2(Zn) GATA	117438	+	3152	n.a.	n.a.	n.a.
At1g01300.1	GATA-3	C2C2(Zn) GATA	117438	+	495	n.a.	n.a.	n.a.
At1g01305.1	GATA-3	C2C2(Zn) GATA	117438	+	-1959	n.a.	n.a.	n.a.
At1g01340.1	GATA-3	C2C2(Zn) GATA	132408	-	2914	n.a.	n.a.	n.a.
At1g01380.1	GATA-3	C2C2(Zn) GATA	148807	+	1654	n.a.	n.a.	n.a.
At1g01390.1	GATA-3	C2C2(Zn) GATA	148807	-	999	n.a.	n.a.	n.a.
At1g01400.1	GATA-3	C2C2(Zn) GATA	148807	-	3403	n.a.	n.a.	n.a.
At1g01410.1	GATA-3	C2C2(Zn) GATA	155057	+	1944	n.a.	n.a.	n.a.
At1g01420.1	GATA-3	C2C2(Zn) GATA	155057	-	954	n.a.	n.a.	n.a.
At1g01430.1	GATA-3	C2C2(Zn) GATA	155057	-	3598	n.a.	n.a.	n.a.
At1g01460.1	GATA-3	C2C2(Zn) GATA	172560	-	3837	n.a.	n.a.	n.a.
At1g01470.1	GATA-3	C2C2(Zn) GATA	172560	+	388	n.a.	n.a.	n.a.
At1g01471.1	GATA-3	C2C2(Zn) GATA	172560	-	-691	n.a.	n.a.	n.a.
At1g01530.1	GATA-3	C2C2(Zn) GATA	195567	+	-1897	n.a.	n.a.	n.a.
At1g01540.1	GATA-3	C2C2(Zn) GATA	195567	-	-245	n.a.	n.a.	n.a.
At1g01610.1	GATA-3	C2C2(Zn) GATA	224087	+	253	n.a.	n.a.	n.a.
At1g01620.1	GATA-3	C2C2(Zn) GATA	224087	+	3215	n.a.	n.a.	n.a.
At1g01650.1	GATA-3	C2C2(Zn) GATA	236686	-	1131	n.a.	n.a.	n.a.
At1g01670.1	GATA-3	C2C2(Zn) GATA	246095	+	-107	n.a.	n.a.	n.a.
At1g01680.1	GATA-3	C2C2(Zn) GATA	246095	+	2272	n.a.	n.a.	n.a.
At1g01695.1	GATA-3	C2C2(Zn) GATA	255772	+	2825	n.a.	n.a.	n.a.
At1g01720.1	GATA-3	C2C2(Zn) GATA	270374	+	2044	n.a.	n.a.	n.a.
At1g01725.1	GATA-3	C2C2(Zn) GATA	270374	-	401	n.a.	n.a.	n.a.
At1g01730.1	GATA-3	C2C2(Zn) GATA	270374	+	-582	n.a.	n.a.	n.a.
At1g01820.1	GATA-3	C2C2(Zn) GATA	299541	-	-1421	n.a.	n.a.	n.a.
At1g01830.1	GATA-3	C2C2(Zn) GATA	299541	-	1188	n.a.	n.a.	n.a.
At1g01990.1	GATA-3	C2C2(Zn) GATA	345644	+	-1303	n.a.	n.a.	n.a.
At1g02000.1	GATA-3	C2C2(Zn) GATA	345644	-	-168	n.a.	n.a.	n.a.
At1g02000.1	GATA-3	C2C2(Zn) GATA	347398	+	1586	n.a.	n.a.	n.a.
At1g02010.1	GATA-3	C2C2(Zn) GATA	347398	+	-493	n.a.	n.a.	n.a.
At1g02074.1	GATA-3	C2C2(Zn) GATA	374687	+	2623	n.a.	n.a.	n.a.
At1g02080.1	GATA-3	C2C2(Zn) GATA	374687	+	1186	n.a.	n.a.	n.a.
At1g02520.1	GATA-3	C2C2(Zn) GATA	523741	-	-393	n.a.	n.a.	n.a.
At1g02590.1	GATA-3	C2C2(Zn) GATA	553311	-	-550	n.a.	n.a.	n.a.
At1g02600.1	GATA-3	C2C2(Zn) GATA	553311	+	671	n.a.	n.a.	n.a.
At1g02660.1	GATA-3	C2C2(Zn) GATA	574967	-	14	n.a.	n.a.	n.a.
At1g02670.1	GATA-3	C2C2(Zn) GATA	574967	+	-1079	n.a.	n.a.	n.a.
At1g02670.1	GATA-3	C2C2(Zn) GATA	578532	-	2486	n.a.	n.a.	n.a.
At1g02690.1	GATA-3	C2C2(Zn) GATA	587017	+	2757	n.a.	n.a.	n.a.
At1g02700.1	GATA-3	C2C2(Zn) GATA	587017	+	-1312	n.a.	n.a.	n.a.
At1g02710.1	GATA-3	C2C2(Zn) GATA	587017	-	2979	n.a.	n.a.	n.a.
At1g03080.1	GATA-3	C2C2(Zn) GATA	737972	+	-640	n.a.	n.a.	n.a.
At1g03090.1	GATA-3	C2C2(Zn) GATA	737972	-	-1707	n.a.	n.a.	n.a.
At1g03200.1	GATA-3	C2C2(Zn) GATA	779768	+	-834	n.a.	n.a.	n.a.
At1g03250.1	GATA-3	C2C2(Zn) GATA	796980	+	-1612	n.a.	n.a.	n.a.
At1g03260.1	GATA-3	C2C2(Zn) GATA	796980	+	1483	n.a.	n.a.	n.a.
At1g03390.1	GATA-3	C2C2(Zn) GATA	844080	+	-1663	n.a.	n.a.	n.a.
At1g03400.1	GATA-3	C2C2(Zn) GATA	844080	+	109	n.a.	n.a.	n.a.
At1g03410.1	GATA-3	C2C2(Zn) GATA	844080	+	3602	n.a.	n.a.	n.a.
At1g03420.1	GATA-3	C2C2(Zn) GATA	848672	+	2009	n.a.	n.a.	n.a.
At1g03430.1	GATA-3	C2C2(Zn) GATA	848672	+	800	n.a.	n.a.	n.a.
At1g03510.1	GATA-3	C2C2(Zn) GATA	878232	-	-684	n.a.	n.a.	n.a.
At1g03515.1	GATA-3	C2C2(Zn) GATA	878232	+	583	n.a.	n.a.	n.a.
At1g03515.1	GATA-3	C2C2(Zn) GATA	880950	+	3301	n.a.	n.a.	n.a.
At1g03520.1	GATA-3	C2C2(Zn) GATA	878232	-	1927	n.a.	n.a.	n.a.
At1g03520.1	GATA-3	C2C2(Zn) GATA	880950	-	-791	n.a.	n.a.	n.a.
At1g03530.1	GATA-3	C2C2(Zn) GATA	880950	-	2441	n.a.	n.a.	n.a.
At1g03580.1	GATA-3	C2C2(Zn) GATA	894855	-	2008	n.a.	n.a.	n.a.
