Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01020.1	ATHB5	HD-ZIP	9530	+	-793	13.59	7.99	12.55
At1g01040.1	ATHB5	HD-ZIP	25899	-	2753	13.59	7.99	8.53
At1g01040.1	ATHB5	HD-ZIP	21959	+	-1187	13.59	7.99	9.8
At1g01120.1	ATHB5	HD-ZIP	57385	-	1782	13.59	7.99	8.69
At1g01120.1	ATHB5	HD-ZIP	57389	+	1778	13.59	7.99	11.26
At1g01130.1	ATHB5	HD-ZIP	64633	+	-822	13.59	7.99	11.56
At1g01140.1	ATHB5	HD-ZIP	68615	-	-990	13.59	7.99	8.96
At1g01140.1	ATHB5	HD-ZIP	68619	+	-994	13.59	7.99	10.21
At1g01140.1	ATHB5	HD-ZIP	64633	+	2992	13.59	7.99	11.56
At1g01150.1	ATHB5	HD-ZIP	68619	+	3519	13.59	7.99	10.21
At1g01150.1	ATHB5	HD-ZIP	68615	-	3523	13.59	7.99	8.96
At1g01160.1	ATHB5	HD-ZIP	74562	-	2223	13.59	7.99	8.86
At1g01170.1	ATHB5	HD-ZIP	74562	+	175	13.59	7.99	8.86
At1g01180.1	ATHB5	HD-ZIP	76968	+	1335	13.59	7.99	9.72
At1g01180.1	ATHB5	HD-ZIP	74562	-	-1071	13.59	7.99	8.86
At1g01183.1	ATHB5	HD-ZIP	76968	-	2064	13.59	7.99	9.72
At1g01190.1	ATHB5	HD-ZIP	86670	-	-1806	13.59	7.99	11.33
At1g01200.1	ATHB5	HD-ZIP	86670	-	1543	13.59	7.99	11.33
At1g01220.1	ATHB5	HD-ZIP	94567	-	2817	13.59	7.99	9.24
At1g01220.1	ATHB5	HD-ZIP	94563	+	2813	13.59	7.99	10.59
At1g01225.1	ATHB5	HD-ZIP	94563	+	-1424	13.59	7.99	10.59
At1g01225.1	ATHB5	HD-ZIP	94567	-	-1420	13.59	7.99	9.24
At1g01320.1	ATHB5	HD-ZIP	130362	+	-263	13.59	7.99	8.36
At1g01440.1	ATHB5	HD-ZIP	162418	-	154	13.59	7.99	8.16
At1g01448.1	ATHB5	HD-ZIP	162418	+	-1013	13.59	7.99	8.16
At1g01453.1	ATHB5	HD-ZIP	168876	-	-1034	13.59	7.99	9.09
At1g01460.1	ATHB5	HD-ZIP	168876	+	153	13.59	7.99	9.09
At1g01570.1	ATHB5	HD-ZIP	206654	+	1478	13.59	7.99	9.15
At1g01650.1	ATHB5	HD-ZIP	234879	-	2938	13.59	7.99	8.48
At1g01790.1	ATHB5	HD-ZIP	288154	-	3373	13.59	7.99	9.93
At1g01830.1	ATHB5	HD-ZIP	300641	-	88	13.59	7.99	9.09
At1g01830.1	ATHB5	HD-ZIP	300645	+	84	13.59	7.99	10.65
At1g01840.1	ATHB5	HD-ZIP	305152	-	1615	13.59	7.99	9.83
At1g01860.1	ATHB5	HD-ZIP	305152	+	1135	13.59	7.99	9.83
At1g01860.1	ATHB5	HD-ZIP	307529	-	-1242	13.59	7.99	10.02
At1g01870.1	ATHB5	HD-ZIP	305152	-	-1232	13.59	7.99	9.83
At1g01870.1	ATHB5	HD-ZIP	307529	+	1145	13.59	7.99	10.02
At1g01880.1	ATHB5	HD-ZIP	307529	-	1462	13.59	7.99	10.02
At1g01880.1	ATHB5	HD-ZIP	309744	-	-753	13.59	7.99	12.97
At1g01890.1	ATHB5	HD-ZIP	309744	-	-397	13.59	7.99	12.97
At1g01900.1	ATHB5	HD-ZIP	309744	+	-572	13.59	7.99	12.97
At1g01920.1	ATHB5	HD-ZIP	319937	+	3750	13.59	7.99	8.48
At1g01930.1	ATHB5	HD-ZIP	319937	-	2923	13.59	7.99	8.48
At1g01960.1	ATHB5	HD-ZIP	338169	-	-587	13.59	7.99	8.49
At1g01970.1	ATHB5	HD-ZIP	338169	+	-122	13.59	7.99	8.49
At1g01980.1	ATHB5	HD-ZIP	338169	-	3830	13.59	7.99	8.49
At1g02060.1	ATHB5	HD-ZIP	363207	-	-113	13.59	7.99	8.78
At1g02065.1	ATHB5	HD-ZIP	366544	+	1335	13.59	7.99	8.63
At1g02065.1	ATHB5	HD-ZIP	366548	-	1339	13.59	7.99	9.37
At1g02130.1	ATHB5	HD-ZIP	401163	+	719	13.59	7.99	8.38
At1g02136.1	ATHB5	HD-ZIP	401163	+	1798	13.59	7.99	8.38
At1g02190.1	ATHB5	HD-ZIP	417849	+	2770	13.59	7.99	9.34
At1g02205.1	ATHB5	HD-ZIP	417849	+	-918	13.59	7.99	9.34
At1g02210.1	ATHB5	HD-ZIP	427708	-	103	13.59	7.99	9.84
At1g02210.1	ATHB5	HD-ZIP	427891	+	-80	13.59	7.99	9.37
At1g02220.1	ATHB5	HD-ZIP	427708	-	2939	13.59	7.99	9.84
At1g02220.1	ATHB5	HD-ZIP	427891	+	2756	13.59	7.99	9.37
At1g02290.1	ATHB5	HD-ZIP	453220	-	-483	13.59	7.99	10.81
At1g02300.1	ATHB5	HD-ZIP	453220	+	-68	13.59	7.99	10.81
At1g02405.1	ATHB5	HD-ZIP	491131	-	-626	13.59	7.99	8.07
At1g02410.1	ATHB5	HD-ZIP	493077	+	2152	13.59	7.99	10.76
At1g02410.1	ATHB5	HD-ZIP	493081	-	2156	13.59	7.99	9.22
At1g02410.1	ATHB5	HD-ZIP	491131	+	206	13.59	7.99	8.07
At1g02420.1	ATHB5	HD-ZIP	493081	-	-602	13.59	7.99	9.22
At1g02420.1	ATHB5	HD-ZIP	493077	+	-606	13.59	7.99	10.76
At1g02430.1	ATHB5	HD-ZIP	493077	-	2985	13.59	7.99	10.76
At1g02430.1	ATHB5	HD-ZIP	493081	+	2981	13.59	7.99	9.22
At1g02640.1	ATHB5	HD-ZIP	566552	+	2347	13.59	7.99	8.5
At1g02640.1	ATHB5	HD-ZIP	566556	-	2351	13.59	7.99	8.13
At1g02810.1	ATHB5	HD-ZIP	619426	+	1161	13.59	7.99	8
At1g02813.1	ATHB5	HD-ZIP	619426	+	-1252	13.59	7.99	8
At1g02930.1	ATHB5	HD-ZIP	664082	+	-1655	13.59	7.99	8.47
At1g02940.1	ATHB5	HD-ZIP	664082	+	46	13.59	7.99	8.47
At1g02950.1	ATHB5	HD-ZIP	664082	+	2369	13.59	7.99	8.47
At1g02952.1	ATHB5	HD-ZIP	668331	-	2977	13.59	7.99	11.22
At1g02960.1	ATHB5	HD-ZIP	668331	+	1506	13.59	7.99	11.22
At1g02970.1	ATHB5	HD-ZIP	676045	-	2739	13.59	7.99	8.14
At1g02980.1	ATHB5	HD-ZIP	676045	-	-1824	13.59	7.99	8.14
At1g03106.1	ATHB5	HD-ZIP	750267	-	-1233	13.59	7.99	9.3
At1g03110.1	ATHB5	HD-ZIP	750267	+	1021	13.59	7.99	9.3
At1g03250.1	ATHB5	HD-ZIP	795466	-	-98	13.59	7.99	8.64
At1g03250.1	ATHB5	HD-ZIP	795152	-	216	13.59	7.99	10.81
At1g03260.1	ATHB5	HD-ZIP	795152	-	3311	13.59	7.99	10.81
At1g03260.1	ATHB5	HD-ZIP	795466	-	2997	13.59	7.99	8.64
At1g03280.1	ATHB5	HD-ZIP	804505	-	1470	13.59	7.99	9.85
At1g03300.1	ATHB5	HD-ZIP	813506	-	-420	13.59	7.99	9.37
At1g03300.1	ATHB5	HD-ZIP	814019	+	-933	13.59	7.99	9.62
At1g03310.1	ATHB5	HD-ZIP	813506	+	35	13.59	7.99	9.37
At1g03310.1	ATHB5	HD-ZIP	814019	-	548	13.59	7.99	9.62
At1g03390.1	ATHB5	HD-ZIP	841017	-	1400	13.59	7.99	8.79
At1g03390.1	ATHB5	HD-ZIP	843618	-	-1201	13.59	7.99	9.35
At1g03400.1	ATHB5	HD-ZIP	843618	-	571	13.59	7.99	9.35
At1g03400.1	ATHB5	HD-ZIP	841017	-	3172	13.59	7.99	8.79
At1g03445.1	ATHB5	HD-ZIP	856858	-	2843	13.59	7.99	8.6
At1g03515.1	ATHB5	HD-ZIP	879014	-	1365	13.59	7.99	9.13
At1g03515.1	ATHB5	HD-ZIP	879010	+	1361	13.59	7.99	8.17
At1g03520.1	ATHB5	HD-ZIP	879010	-	1149	13.59	7.99	8.17
At1g03520.1	ATHB5	HD-ZIP	879014	+	1145	13.59	7.99	9.13
At1g03580.1	ATHB5	HD-ZIP	896019	+	3172	13.59	7.99	8.35
At1g03580.1	ATHB5	HD-ZIP	896023	-	3176	13.59	7.99	10.56
At1g03580.1	ATHB5	HD-ZIP	895398	+	2551	13.59	7.99	8.47
At1g03590.1	ATHB5	HD-ZIP	896019	-	420	13.59	7.99	8.35
At1g03590.1	ATHB5	HD-ZIP	896023	+	416	13.59	7.99	10.56
At1g03590.1	ATHB5	HD-ZIP	895398	-	1041	13.59	7.99	8.47
At1g03600.1	ATHB5	HD-ZIP	899652	-	777	13.59	7.99	12.13
At1g03600.1	ATHB5	HD-ZIP	899648	+	773	13.59	7.99	8.81
At1g03610.1	ATHB5	HD-ZIP	899652	-	-1234	13.59	7.99	12.13
At1g03610.1	ATHB5	HD-ZIP	899648	+	-1238	13.59	7.99	8.81
At1g03790.1	ATHB5	HD-ZIP	956864	-	2340	13.59	7.99	8.1
At1g03800.1	ATHB5	HD-ZIP	956864	+	1133	13.59	7.99	8.1
At1g03810.1	ATHB5	HD-ZIP	956864	-	-1894	13.59	7.99	8.1
At1g03850.1	ATHB5	HD-ZIP	974815	-	2945	13.59	7.99	9.64
At1g03980.1	ATHB5	HD-ZIP	1023805	+	-1698	13.59	7.99	10.09
At1g03982.1	ATHB5	HD-ZIP	1023805	+	-87	13.59	7.99	10.09
At1g03990.1	ATHB5	HD-ZIP	1023805	-	-1041	13.59	7.99	10.09
At1g04030.1	ATHB5	HD-ZIP	1044450	+	3933	13.59	7.99	8.96
At1g04030.1	ATHB5	HD-ZIP	1044454	-	3937	13.59	7.99	9.31
At1g04040.1	ATHB5	HD-ZIP	1044450	-	-587	13.59	7.99	8.96
At1g04040.1	ATHB5	HD-ZIP	1044454	+	-591	13.59	7.99	9.31
At1g04070.1	ATHB5	HD-ZIP	1052717	-	-1532	13.59	7.99	8.63
At1g04080.1	ATHB5	HD-ZIP	1052717	+	1375	13.59	7.99	8.63
At1g04120.1	ATHB5	HD-ZIP	1068633	-	2293	13.59	7.99	8.49
At1g04160.1	ATHB5	HD-ZIP	1088297	-	1803	13.59	7.99	9.71
At1g04370.1	ATHB5	HD-ZIP	1175666	+	490	13.59	7.99	9.8
At1g04380.1	ATHB5	HD-ZIP	1175666	-	2740	13.59	7.99	9.8
At1g04430.1	ATHB5	HD-ZIP	1201616	+	3498	13.59	7.99	8.06
At1g04440.1	ATHB5	HD-ZIP	1201616	+	-638	13.59	7.99	8.06
At1g04440.1	ATHB5	HD-ZIP	1204882	-	2628	13.59	7.99	8.56
At1g04600.1	ATHB5	HD-ZIP	1264774	-	2652	13.59	7.99	8.66
At1g04600.1	ATHB5	HD-ZIP	1263727	-	1605	13.59	7.99	8.8
At1g04710.1	ATHB5	HD-ZIP	1320360	+	-1543	13.59	7.99	11.15
At1g04720.1	ATHB5	HD-ZIP	1326897	+	1975	13.59	7.99	9.5
At1g04900.1	ATHB5	HD-ZIP	1387251	+	3411	13.59	7.99	8.7
At1g04910.1	ATHB5	HD-ZIP	1387251	-	3935	13.59	7.99	8.7
At1g04990.1	ATHB5	HD-ZIP	1423445	+	-1657	13.59	7.99	9.22
At1g05085.1	ATHB5	HD-ZIP	1462283	-	1296	13.59	7.99	8.78
At1g05090.1	ATHB5	HD-ZIP	1462283	-	-918	13.59	7.99	8.78
At1g05180.1	ATHB5	HD-ZIP	1500663	+	1160	13.59	7.99	8.01
At1g05190.1	ATHB5	HD-ZIP	1500663	+	3166	13.59	7.99	8.01
At1g05205.1	ATHB5	HD-ZIP	1509827	+	453	13.59	7.99	10.19
At1g05205.1	ATHB5	HD-ZIP	1510526	+	-246	13.59	7.99	8.26
