Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	TCP20	TCP	6611	-	2980	13.19	8.28	8.29
At1g01020.1	TCP20	TCP	6611	+	2126	13.19	8.28	8.29
At1g01030.1	TCP20	TCP	13696	+	18	13.19	8.28	8.45
At1g01080.1	TCP20	TCP	44985	+	2034	13.19	8.28	10.42
At1g01090.1	TCP20	TCP	49356	+	-70	13.19	8.28	9.4
At1g01100.1	TCP20	TCP	49356	+	1752	13.19	8.28	9.4
At1g01140.1	TCP20	TCP	67224	-	401	13.19	8.28	10.6
At1g01140.1	TCP20	TCP	67687	-	-62	13.19	8.28	11.6
At1g01190.1	TCP20	TCP	86806	+	-1942	13.19	8.28	8.82
At1g01200.1	TCP20	TCP	86806	+	1407	13.19	8.28	8.82
At1g01225.1	TCP20	TCP	96566	+	579	13.19	8.28	9.4
At1g01225.1	TCP20	TCP	97641	-	1654	13.19	8.28	9.34
At1g01230.1	TCP20	TCP	96566	+	-890	13.19	8.28	9.4
At1g01230.1	TCP20	TCP	97641	-	185	13.19	8.28	9.34
At1g01230.1	TCP20	TCP	99905	+	2449	13.19	8.28	9.28
At1g01240.1	TCP20	TCP	99905	+	-17	13.19	8.28	9.28
At1g01270.1	TCP20	TCP	112647	-	-686	13.19	8.28	9.5
At1g01270.1	TCP20	TCP	112986	-	-1025	13.19	8.28	8.41
At1g01280.1	TCP20	TCP	112647	+	384	13.19	8.28	9.5
At1g01280.1	TCP20	TCP	112986	+	723	13.19	8.28	8.41
At1g01290.1	TCP20	TCP	112647	+	-1639	13.19	8.28	9.5
At1g01290.1	TCP20	TCP	112986	+	-1300	13.19	8.28	8.41
At1g01320.1	TCP20	TCP	131259	+	-1160	13.19	8.28	10.51
At1g01340.1	TCP20	TCP	136049	+	-727	13.19	8.28	9.96
At1g01350.1	TCP20	TCP	136049	-	-75	13.19	8.28	9.96
At1g01350.1	TCP20	TCP	138304	+	2180	13.19	8.28	8.95
At1g01355.1	TCP20	TCP	138304	+	-209	13.19	8.28	8.95
At1g01380.1	TCP20	TCP	148717	+	1564	13.19	8.28	8.52
At1g01380.1	TCP20	TCP	150018	+	2865	13.19	8.28	9.34
At1g01390.1	TCP20	TCP	148717	-	1089	13.19	8.28	8.52
At1g01390.1	TCP20	TCP	150018	-	-212	13.19	8.28	9.34
At1g01400.1	TCP20	TCP	148717	-	3493	13.19	8.28	8.52
At1g01400.1	TCP20	TCP	150018	-	2192	13.19	8.28	9.34
At1g01410.1	TCP20	TCP	154967	+	1854	13.19	8.28	8.52
At1g01410.1	TCP20	TCP	156862	-	3749	13.19	8.28	9.4
At1g01420.1	TCP20	TCP	154967	-	1044	13.19	8.28	8.52
At1g01420.1	TCP20	TCP	156862	+	-851	13.19	8.28	9.4
At1g01430.1	TCP20	TCP	154967	-	3688	13.19	8.28	8.52
At1g01430.1	TCP20	TCP	156862	+	1793	13.19	8.28	9.4
At1g01440.1	TCP20	TCP	164334	+	-1762	13.19	8.28	8.42
At1g01448.1	TCP20	TCP	164334	-	903	13.19	8.28	8.42
At1g01450.1	TCP20	TCP	164334	+	1183	13.19	8.28	8.42
At1g01453.1	TCP20	TCP	167967	+	-125	13.19	8.28	11.42
At1g01460.1	TCP20	TCP	167967	-	-756	13.19	8.28	11.42
At1g01490.1	TCP20	TCP	180724	+	1634	13.19	8.28	8.45
At1g01490.1	TCP20	TCP	180787	+	1571	13.19	8.28	9.42
At1g01540.1	TCP20	TCP	196390	+	578	13.19	8.28	9.02
At1g01670.1	TCP20	TCP	245964	-	24	13.19	8.28	9.28
At1g01680.1	TCP20	TCP	245964	-	2403	13.19	8.28	9.28
At1g01700.1	TCP20	TCP	261410	-	64	13.19	8.28	8.57
At1g01710.1	TCP20	TCP	261410	+	-1418	13.19	8.28	8.57
At1g01720.1	TCP20	TCP	268026	+	-304	13.19	8.28	12.48
At1g01720.1	TCP20	TCP	268132	+	-198	13.19	8.28	9
At1g01725.1	TCP20	TCP	268026	-	2749	13.19	8.28	12.48
At1g01725.1	TCP20	TCP	268132	-	2643	13.19	8.28	9
At1g01725.1	TCP20	TCP	270885	-	-110	13.19	8.28	8.73
At1g01730.1	TCP20	TCP	270885	+	-71	13.19	8.28	8.73
At1g01740.1	TCP20	TCP	270885	-	3354	13.19	8.28	8.73
At1g01780.1	TCP20	TCP	286261	+	3500	13.19	8.28	9.34
At1g01790.1	TCP20	TCP	286261	+	1480	13.19	8.28	9.34
At1g01840.1	TCP20	TCP	303842	+	305	13.19	8.28	9.02
At1g01860.1	TCP20	TCP	303842	-	2445	13.19	8.28	9.02
At1g01890.1	TCP20	TCP	310137	+	-790	13.19	8.28	9.21
At1g01900.1	TCP20	TCP	310137	-	-179	13.19	8.28	9.21
At1g01900.1	TCP20	TCP	312205	+	1889	13.19	8.28	10.21
At1g01910.1	TCP20	TCP	312205	-	3697	13.19	8.28	10.21
At1g01910.1	TCP20	TCP	314714	-	1188	13.19	8.28	8.42
At1g01920.1	TCP20	TCP	314714	+	-1473	13.19	8.28	8.42
At1g01940.1	TCP20	TCP	325222	+	2195	13.19	8.28	9.3
At1g01940.1	TCP20	TCP	325279	-	2252	13.19	8.28	8.69
At1g01940.1	TCP20	TCP	325279	+	2252	13.19	8.28	12.19
At1g01950.1	TCP20	TCP	325222	+	-251	13.19	8.28	9.3
At1g01950.1	TCP20	TCP	325279	-	-194	13.19	8.28	8.69
At1g01950.1	TCP20	TCP	325279	+	-194	13.19	8.28	12.19
At1g01990.1	TCP20	TCP	344997	+	-656	13.19	8.28	9.34
At1g01990.1	TCP20	TCP	346266	+	-1925	13.19	8.28	9.76
At1g02000.1	TCP20	TCP	344997	-	-815	13.19	8.28	9.34
At1g02000.1	TCP20	TCP	346266	-	454	13.19	8.28	9.76
At1g02010.1	TCP20	TCP	346266	-	-1625	13.19	8.28	9.76
At1g02020.1	TCP20	TCP	352858	-	2111	13.19	8.28	11.26
At1g02060.1	TCP20	TCP	364232	+	-1138	13.19	8.28	11.15
At1g02060.1	TCP20	TCP	364759	-	-1665	13.19	8.28	9.33
At1g02065.1	TCP20	TCP	364232	-	-977	13.19	8.28	11.15
At1g02065.1	TCP20	TCP	364759	+	-450	13.19	8.28	9.33
At1g02065.1	TCP20	TCP	365887	-	678	13.19	8.28	8.95
At1g02065.1	TCP20	TCP	368093	+	2884	13.19	8.28	9.87
At1g02070.1	TCP20	TCP	368093	-	2874	13.19	8.28	9.87
At1g02090.1	TCP20	TCP	389484	-	163	13.19	8.28	9.15
At1g02100.1	TCP20	TCP	389484	+	-328	13.19	8.28	9.15
At1g02110.1	TCP20	TCP	395213	-	2274	13.19	8.28	9.33
At1g02120.1	TCP20	TCP	395213	-	-548	13.19	8.28	9.33
At1g02130.1	TCP20	TCP	402283	+	-401	13.19	8.28	9.3
At1g02136.1	TCP20	TCP	402283	+	678	13.19	8.28	9.3
At1g02170.1	TCP20	TCP	414810	+	3031	13.19	8.28	8.52
At1g02180.1	TCP20	TCP	414810	-	-165	13.19	8.28	8.52
At1g02180.1	TCP20	TCP	414982	+	-337	13.19	8.28	9.54
At1g02190.1	TCP20	TCP	414810	+	-269	13.19	8.28	8.52
At1g02190.1	TCP20	TCP	414982	-	-97	13.19	8.28	9.54
At1g02190.1	TCP20	TCP	418649	-	3570	13.19	8.28	11.96
At1g02205.1	TCP20	TCP	418649	-	-118	13.19	8.28	11.96
At1g02230.1	TCP20	TCP	436981	+	-205	13.19	8.28	10.13
At1g02250.1	TCP20	TCP	436981	+	2578	13.19	8.28	10.13
At1g02270.1	TCP20	TCP	448090	-	-1855	13.19	8.28	12.48
At1g02280.1	TCP20	TCP	448090	-	2335	13.19	8.28	12.48
At1g02280.1	TCP20	TCP	448944	+	1481	13.19	8.28	8.92
At1g02290.1	TCP20	TCP	448944	+	3793	13.19	8.28	8.92
At1g02390.1	TCP20	TCP	482407	+	1555	13.19	8.28	10.67
At1g02390.1	TCP20	TCP	482408	-	1556	13.19	8.28	8.52
At1g02390.1	TCP20	TCP	482597	-	1745	13.19	8.28	9.4
At1g02391.1	TCP20	TCP	482407	-	1512	13.19	8.28	10.67
At1g02391.1	TCP20	TCP	482408	+	1511	13.19	8.28	8.52
At1g02391.1	TCP20	TCP	482597	+	1322	13.19	8.28	9.4
At1g02460.1	TCP20	TCP	505288	+	1916	13.19	8.28	12.1
At1g02460.1	TCP20	TCP	505514	+	1690	13.19	8.28	9.96
At1g02480.1	TCP20	TCP	516501	+	1007	13.19	8.28	10.21
At1g02490.1	TCP20	TCP	516501	+	-117	13.19	8.28	10.21
At1g02500.1	TCP20	TCP	516501	+	-1750	13.19	8.28	10.21
At1g02640.1	TCP20	TCP	564587	+	382	13.19	8.28	11.99
At1g02640.1	TCP20	TCP	565514	-	1309	13.19	8.28	10.6
At1g02660.1	TCP20	TCP	573149	+	1832	13.19	8.28	8.57
At1g02660.1	TCP20	TCP	575217	-	-236	13.19	8.28	10.51
At1g02660.1	TCP20	TCP	575218	+	-237	13.19	8.28	10.13
At1g02670.1	TCP20	TCP	575217	+	-829	13.19	8.28	10.51
At1g02670.1	TCP20	TCP	575218	-	-828	13.19	8.28	10.13
At1g02730.1	TCP20	TCP	598810	-	-153	13.19	8.28	11.26
At1g02740.1	TCP20	TCP	598810	-	3228	13.19	8.28	11.26
At1g02750.1	TCP20	TCP	604665	-	2168	13.19	8.28	8.45
At1g02760.1	TCP20	TCP	604665	-	263	13.19	8.28	8.45
At1g02770.1	TCP20	TCP	604665	+	2028	13.19	8.28	8.45
At1g02840.1	TCP20	TCP	630276	+	3535	13.19	8.28	9.4
At1g02840.1	TCP20	TCP	630407	-	3666	13.19	8.28	10.42
At1g02850.1	TCP20	TCP	630276	+	-229	13.19	8.28	9.4
At1g02850.1	TCP20	TCP	630407	-	-98	13.19	8.28	10.42
At1g02880.1	TCP20	TCP	641488	-	3033	13.19	8.28	10.42
At1g02890.1	TCP20	TCP	649402	+	2504	13.19	8.28	10.49
At1g02980.1	TCP20	TCP	678756	+	887	13.19	8.28	8.57
