Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	KAN4(1)	GARP	6256	-	2625	11.11	6.3	6.33
At1g01010.1	KAN4(1)	GARP	5611	+	1980	11.11	6.3	6.98
At1g01010.1	KAN4(1)	GARP	7422	-	3791	11.11	6.3	6.63
At1g01010.1	KAN4(1)	GARP	5611	-	1980	11.11	6.3	6.33
At1g01010.1	KAN4(1)	GARP	6256	+	2625	11.11	6.3	6.98
At1g01020.1	KAN4(1)	GARP	5611	+	3126	11.11	6.3	6.33
At1g01020.1	KAN4(1)	GARP	6256	+	2481	11.11	6.3	6.33
At1g01020.1	KAN4(1)	GARP	10138	-	-1401	11.11	6.3	6.98
At1g01020.1	KAN4(1)	GARP	7422	+	1315	11.11	6.3	6.63
At1g01020.1	KAN4(1)	GARP	5611	-	3126	11.11	6.3	6.98
At1g01020.1	KAN4(1)	GARP	6256	-	2481	11.11	6.3	6.98
At1g01030.1	KAN4(1)	GARP	10138	-	3576	11.11	6.3	6.98
At1g01030.1	KAN4(1)	GARP	14138	+	-424	11.11	6.3	9.97
At1g01030.1	KAN4(1)	GARP	14138	-	-424	11.11	6.3	9.97
At1g01040.1	KAN4(1)	GARP	26922	-	3776	11.11	6.3	7.5
At1g01040.1	KAN4(1)	GARP	26922	+	3776	11.11	6.3	9.63
At1g01046.1	KAN4(1)	GARP	26922	-	-1578	11.11	6.3	7.5
At1g01046.1	KAN4(1)	GARP	26922	+	-1578	11.11	6.3	9.63
At1g01110.1	KAN4(1)	GARP	56441	+	3572	11.11	6.3	7.34
At1g01120.1	KAN4(1)	GARP	57904	+	1263	11.11	6.3	6.98
At1g01120.1	KAN4(1)	GARP	56441	-	2726	11.11	6.3	7.34
At1g01120.1	KAN4(1)	GARP	57741	-	1426	11.11	6.3	7.07
At1g01130.1	KAN4(1)	GARP	63495	+	316	11.11	6.3	7.93
At1g01130.1	KAN4(1)	GARP	63495	-	316	11.11	6.3	8.58
At1g01150.1	KAN4(1)	GARP	70887	+	1251	11.11	6.3	7.31
At1g01150.1	KAN4(1)	GARP	70887	-	1251	11.11	6.3	7.31
At1g01160.1	KAN4(1)	GARP	70887	+	-1452	11.11	6.3	7.31
At1g01160.1	KAN4(1)	GARP	70887	-	-1452	11.11	6.3	7.31
At1g01200.1	KAN4(1)	GARP	88264	+	-51	11.11	6.3	7.07
At1g01210.1	KAN4(1)	GARP	88264	-	-634	11.11	6.3	7.07
At1g01300.1	KAN4(1)	GARP	118440	+	1497	11.11	6.3	6.63
At1g01300.1	KAN4(1)	GARP	119718	+	2775	11.11	6.3	6.41
At1g01300.1	KAN4(1)	GARP	119718	-	2775	11.11	6.3	7.06
At1g01300.1	KAN4(1)	GARP	118803	+	1860	11.11	6.3	6.45
At1g01305.1	KAN4(1)	GARP	119718	-	321	11.11	6.3	7.06
At1g01305.1	KAN4(1)	GARP	120802	+	1405	11.11	6.3	6.98
At1g01305.1	KAN4(1)	GARP	118803	+	-594	11.11	6.3	6.45
At1g01305.1	KAN4(1)	GARP	119718	+	321	11.11	6.3	6.41
At1g01305.1	KAN4(1)	GARP	118440	+	-957	11.11	6.3	6.63
At1g01310.1	KAN4(1)	GARP	118803	+	-1351	11.11	6.3	6.45
At1g01310.1	KAN4(1)	GARP	118440	+	-1714	11.11	6.3	6.63
At1g01310.1	KAN4(1)	GARP	119718	+	-436	11.11	6.3	6.41
At1g01310.1	KAN4(1)	GARP	120802	+	648	11.11	6.3	6.98
At1g01310.1	KAN4(1)	GARP	119718	-	-436	11.11	6.3	7.06
At1g01320.1	KAN4(1)	GARP	130786	+	-687	11.11	6.3	7.93
At1g01320.1	KAN4(1)	GARP	130786	-	-687	11.11	6.3	8.58
At1g01350.1	KAN4(1)	GARP	138447	+	2323	11.11	6.3	7.76
At1g01350.1	KAN4(1)	GARP	138447	-	2323	11.11	6.3	8.38
At1g01355.1	KAN4(1)	GARP	138447	-	-66	11.11	6.3	8.38
At1g01355.1	KAN4(1)	GARP	138447	+	-66	11.11	6.3	7.76
At1g01410.1	KAN4(1)	GARP	156999	-	3886	11.11	6.3	6.98
At1g01410.1	KAN4(1)	GARP	156999	+	3886	11.11	6.3	6.33
