Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01590.1	DREB2A	AP2/EREBP	217052	+	2823	n.a.	n.a.	n.a.
At1g01600.1	DREB2A	AP2/EREBP	217052	+	-1942	n.a.	n.a.	n.a.
At1g01650.1	DREB2A	AP2/EREBP	239633	-	-1816	n.a.	n.a.	n.a.
At1g01660.1	DREB2A	AP2/EREBP	239633	-	2975	n.a.	n.a.	n.a.
At1g03110.1	DREB2A	AP2/EREBP	753104	-	3858	n.a.	n.a.	n.a.
At1g03120.1	DREB2A	AP2/EREBP	753104	-	833	n.a.	n.a.	n.a.
At1g03130.1	DREB2A	AP2/EREBP	753104	+	1094	n.a.	n.a.	n.a.
At1g04150.1	DREB2A	AP2/EREBP	1083367	-	878	n.a.	n.a.	n.a.
At1g04220.1	DREB2A	AP2/EREBP	1122080	-	445	n.a.	n.a.	n.a.
At1g04240.1	DREB2A	AP2/EREBP	1129530	+	20	n.a.	n.a.	n.a.
At1g04240.1	DREB2A	AP2/EREBP	1131444	-	-1894	n.a.	n.a.	n.a.
At1g05190.1	DREB2A	AP2/EREBP	1504327	-	-498	n.a.	n.a.	n.a.
At1g05200.1	DREB2A	AP2/EREBP	1504327	+	-989	n.a.	n.a.	n.a.
At1g06680.1	DREB2A	AP2/EREBP	2048474	+	648	n.a.	n.a.	n.a.
At1g06690.1	DREB2A	AP2/EREBP	2048474	-	3679	n.a.	n.a.	n.a.
At1g06860.1	DREB2A	AP2/EREBP	2108900	+	-1433	n.a.	n.a.	n.a.
At1g06870.1	DREB2A	AP2/EREBP	2108900	-	308	n.a.	n.a.	n.a.
At1g06880.1	DREB2A	AP2/EREBP	2108900	+	2317	n.a.	n.a.	n.a.
At1g08090.1	DREB2A	AP2/EREBP	2522164	-	-1909	n.a.	n.a.	n.a.
At1g08090.1	DREB2A	AP2/EREBP	2524231	+	158	n.a.	n.a.	n.a.
At1g08800.1	DREB2A	AP2/EREBP	2816131	+	1511	n.a.	n.a.	n.a.
At1g08920.1	DREB2A	AP2/EREBP	2869139	-	1877	n.a.	n.a.	n.a.
At1g09486.1	DREB2A	AP2/EREBP	3065356	+	-1623	n.a.	n.a.	n.a.
At1g09486.1	DREB2A	AP2/EREBP	3065357	+	-1624	n.a.	n.a.	n.a.
At1g09490.1	DREB2A	AP2/EREBP	3065357	-	1231	n.a.	n.a.	n.a.
At1g09490.1	DREB2A	AP2/EREBP	3065356	-	1230	n.a.	n.a.	n.a.
At1g09500.1	DREB2A	AP2/EREBP	3065356	-	-1399	n.a.	n.a.	n.a.
At1g09500.1	DREB2A	AP2/EREBP	3065357	-	-1398	n.a.	n.a.	n.a.
At1g10650.1	DREB2A	AP2/EREBP	3524217	-	2130	n.a.	n.a.	n.a.
At1g10747.1	DREB2A	AP2/EREBP	3576930	+	2617	n.a.	n.a.	n.a.
At1g10750.1	DREB2A	AP2/EREBP	3576930	-	1545	n.a.	n.a.	n.a.
At1g11600.1	DREB2A	AP2/EREBP	3904709	+	2697	n.a.	n.a.	n.a.
At1g11608.1	DREB2A	AP2/EREBP	3904709	+	-870	n.a.	n.a.	n.a.
At1g12244.1	DREB2A	AP2/EREBP	4160080	+	2428	n.a.	n.a.	n.a.
At1g12250.1	DREB2A	AP2/EREBP	4160080	+	817	n.a.	n.a.	n.a.
At1g12672.1	DREB2A	AP2/EREBP	4321284	+	2911	n.a.	n.a.	n.a.
At1g12680.1	DREB2A	AP2/EREBP	4321284	-	1659	n.a.	n.a.	n.a.
At1g12770.1	DREB2A	AP2/EREBP	4354093	-	3031	n.a.	n.a.	n.a.
At1g12775.1	DREB2A	AP2/EREBP	4354093	-	189	n.a.	n.a.	n.a.
At1g13170.1	DREB2A	AP2/EREBP	4493973	+	-1395	n.a.	n.a.	n.a.
At1g13180.1	DREB2A	AP2/EREBP	4493973	-	-1052	n.a.	n.a.	n.a.
At1g14518.1	DREB2A	AP2/EREBP	4968866	+	-1378	n.a.	n.a.	n.a.
At1g14520.1	DREB2A	AP2/EREBP	4968866	+	1440	n.a.	n.a.	n.a.
At1g15690.1	DREB2A	AP2/EREBP	5400091	-	1106	n.a.	n.a.	n.a.
At1g15700.1	DREB2A	AP2/EREBP	5400091	+	3722	n.a.	n.a.	n.a.
At1g15960.1	DREB2A	AP2/EREBP	5483352	-	1724	n.a.	n.a.	n.a.
At1g16670.1	DREB2A	AP2/EREBP	5699169	-	1852	n.a.	n.a.	n.a.
At1g17040.1	DREB2A	AP2/EREBP	5828236	+	3395	n.a.	n.a.	n.a.
At1g17050.1	DREB2A	AP2/EREBP	5828236	+	-837	n.a.	n.a.	n.a.
At1g19410.1	DREB2A	AP2/EREBP	6716569	-	-139	n.a.	n.a.	n.a.
At1g19520.1	DREB2A	AP2/EREBP	6763904	+	3948	n.a.	n.a.	n.a.
At1g19530.1	DREB2A	AP2/EREBP	6763904	+	-2	n.a.	n.a.	n.a.
At1g19540.1	DREB2A	AP2/EREBP	6763904	+	-1754	n.a.	n.a.	n.a.
At1g21470.1	DREB2A	AP2/EREBP	7518590	+	-1434	n.a.	n.a.	n.a.
At1g21480.1	DREB2A	AP2/EREBP	7518590	+	2903	n.a.	n.a.	n.a.
At1g24320.1	DREB2A	AP2/EREBP	8631869	+	-909	n.a.	n.a.	n.a.
At1g24330.1	DREB2A	AP2/EREBP	8631869	-	101	n.a.	n.a.	n.a.
At1g24405.1	DREB2A	AP2/EREBP	8655837	+	602	n.a.	n.a.	n.a.
At1g24420.1	DREB2A	AP2/EREBP	8655837	+	-839	n.a.	n.a.	n.a.
At1g26762.1	DREB2A	AP2/EREBP	9253844	-	226	n.a.	n.a.	n.a.
At1g26850.1	DREB2A	AP2/EREBP	9305182	+	-1056	n.a.	n.a.	n.a.
At1g26860.1	DREB2A	AP2/EREBP	9305182	+	605	n.a.	n.a.	n.a.
At1g27320.1	DREB2A	AP2/EREBP	9488917	+	1150	n.a.	n.a.	n.a.
At1g29980.1	DREB2A	AP2/EREBP	10504296	-	1805	n.a.	n.a.	n.a.
At1g30140.1	DREB2A	AP2/EREBP	10602266	+	3655	n.a.	n.a.	n.a.
At1g30150.1	DREB2A	AP2/EREBP	10602266	+	104	n.a.	n.a.	n.a.
At1g30370.1	DREB2A	AP2/EREBP	10721302	+	-562	n.a.	n.a.	n.a.
At1g30380.1	DREB2A	AP2/EREBP	10721302	-	-877	n.a.	n.a.	n.a.
At1g30820.1	DREB2A	AP2/EREBP	10947583	+	1856	n.a.	n.a.	n.a.
At1g31983.1	DREB2A	AP2/EREBP	11504922	+	-1705	n.a.	n.a.	n.a.
At1g31993.1	DREB2A	AP2/EREBP	11504922	-	1366	n.a.	n.a.	n.a.
At1g32000.1	DREB2A	AP2/EREBP	11504922	+	3967	n.a.	n.a.	n.a.
At1g32250.1	DREB2A	AP2/EREBP	11639998	+	175	n.a.	n.a.	n.a.
At1g32260.1	DREB2A	AP2/EREBP	11639998	-	1853	n.a.	n.a.	n.a.
At1g32940.1	DREB2A	AP2/EREBP	11937990	+	414	n.a.	n.a.	n.a.
At1g32940.1	DREB2A	AP2/EREBP	11940462	-	2886	n.a.	n.a.	n.a.
At1g32950.1	DREB2A	AP2/EREBP	11940462	-	-956	n.a.	n.a.	n.a.
At1g32950.1	DREB2A	AP2/EREBP	11944205	-	2787	n.a.	n.a.	n.a.
At1g32960.1	DREB2A	AP2/EREBP	11944205	-	-1082	n.a.	n.a.	n.a.
At1g32960.1	DREB2A	AP2/EREBP	11945733	+	446	n.a.	n.a.	n.a.
At1g34240.1	DREB2A	AP2/EREBP	12469907	+	-489	n.a.	n.a.	n.a.
At1g35720.1	DREB2A	AP2/EREBP	13226466	-	57	n.a.	n.a.	n.a.
At1g36078.1	DREB2A	AP2/EREBP	13480368	+	3629	n.a.	n.a.	n.a.
At1g36460.1	DREB2A	AP2/EREBP	13739727	+	-558	n.a.	n.a.	n.a.
At1g40083.1	DREB2A	AP2/EREBP	14925238	-	278	n.a.	n.a.	n.a.
At1g40084.1	DREB2A	AP2/EREBP	14925238	+	-1238	n.a.	n.a.	n.a.
At1g40101.1	DREB2A	AP2/EREBP	15080562	+	-1625	n.a.	n.a.	n.a.
At1g40103.1	DREB2A	AP2/EREBP	15080562	+	3235	n.a.	n.a.	n.a.
At1g43880.1	DREB2A	AP2/EREBP	16633744	-	2994	n.a.	n.a.	n.a.
At1g44094.1	DREB2A	AP2/EREBP	16769718	+	3993	n.a.	n.a.	n.a.
At1g44100.1	DREB2A	AP2/EREBP	16769718	-	407	n.a.	n.a.	n.a.
At1g44110.1	DREB2A	AP2/EREBP	16775818	+	3869	n.a.	n.a.	n.a.
At1g47520.1	DREB2A	AP2/EREBP	17444515	+	-1213	n.a.	n.a.	n.a.
At1g48000.1	DREB2A	AP2/EREBP	17709356	-	773	n.a.	n.a.	n.a.
At1g48120.1	DREB2A	AP2/EREBP	17783067	-	226	n.a.	n.a.	n.a.
At1g48130.1	DREB2A	AP2/EREBP	17783067	+	-1104	n.a.	n.a.	n.a.
At1g48830.1	DREB2A	AP2/EREBP	18065183	-	-213	n.a.	n.a.	n.a.
At1g48840.1	DREB2A	AP2/EREBP	18065183	+	-6	n.a.	n.a.	n.a.
At1g49220.1	DREB2A	AP2/EREBP	18213427	+	3825	n.a.	n.a.	n.a.
At1g49230.1	DREB2A	AP2/EREBP	18213427	+	498	n.a.	n.a.	n.a.
At1g49350.1	DREB2A	AP2/EREBP	18271816	-	3177	n.a.	n.a.	n.a.
At1g49360.1	DREB2A	AP2/EREBP	18271816	+	1300	n.a.	n.a.	n.a.
At1g50850.1	DREB2A	AP2/EREBP	18853865	+	-543	n.a.	n.a.	n.a.
At1g51175.1	DREB2A	AP2/EREBP	18971520	+	3724	n.a.	n.a.	n.a.
At1g51175.1	DREB2A	AP2/EREBP	18972358	-	2886	n.a.	n.a.	n.a.
At1g52270.1	DREB2A	AP2/EREBP	19468332	-	-308	n.a.	n.a.	n.a.
At1g52650.1	DREB2A	AP2/EREBP	19617333	+	3023	n.a.	n.a.	n.a.
At1g52660.1	DREB2A	AP2/EREBP	19617333	+	190	n.a.	n.a.	n.a.
At1g52670.1	DREB2A	AP2/EREBP	19617333	-	3907	n.a.	n.a.	n.a.
At1g52780.1	DREB2A	AP2/EREBP	19665907	-	3596	n.a.	n.a.	n.a.
At1g52790.1	DREB2A	AP2/EREBP	19665907	+	1062	n.a.	n.a.	n.a.
At1g52800.1	DREB2A	AP2/EREBP	19665907	-	-1805	n.a.	n.a.	n.a.
At1g53300.1	DREB2A	AP2/EREBP	19883989	-	899	n.a.	n.a.	n.a.
At1g53400.1	DREB2A	AP2/EREBP	19928474	+	54	n.a.	n.a.	n.a.
At1g53410.1	DREB2A	AP2/EREBP	19928474	-	1104	n.a.	n.a.	n.a.
At1g53630.1	DREB2A	AP2/EREBP	20021583	-	-583	n.a.	n.a.	n.a.
At1g53635.1	DREB2A	AP2/EREBP	20021583	-	1884	n.a.	n.a.	n.a.
At1g54460.1	DREB2A	AP2/EREBP	20348148	-	-951	n.a.	n.a.	n.a.
At1g54470.1	DREB2A	AP2/EREBP	20348148	+	-220	n.a.	n.a.	n.a.
At1g55680.1	DREB2A	AP2/EREBP	20811238	-	368	n.a.	n.a.	n.a.
At1g57730.1	DREB2A	AP2/EREBP	21385716	+	-669	n.a.	n.a.	n.a.
At1g57740.1	DREB2A	AP2/EREBP	21385716	-	-80	n.a.	n.a.	n.a.
At1g57750.1	DREB2A	AP2/EREBP	21385716	+	3658	n.a.	n.a.	n.a.
At1g59520.1	DREB2A	AP2/EREBP	21868101	-	3054	n.a.	n.a.	n.a.
At1g59750.1	DREB2A	AP2/EREBP	21983063	-	14	n.a.	n.a.	n.a.
At1g59760.1	DREB2A	AP2/EREBP	21994141	+	-301	n.a.	n.a.	n.a.
At1g59760.1	DREB2A	AP2/EREBP	21994142	+	-302	n.a.	n.a.	n.a.
At1g59770.1	DREB2A	AP2/EREBP	21994141	+	2177	n.a.	n.a.	n.a.
At1g59770.1	DREB2A	AP2/EREBP	21994142	+	2176	n.a.	n.a.	n.a.
At1g60470.1	DREB2A	AP2/EREBP	22285646	+	-1395	n.a.	n.a.	n.a.
At1g60480.1	DREB2A	AP2/EREBP	22285646	+	3095	n.a.	n.a.	n.a.
At1g61280.1	DREB2A	AP2/EREBP	22610700	+	3449	n.a.	n.a.	n.a.
At1g61290.1	DREB2A	AP2/EREBP	22610700	+	2026	n.a.	n.a.	n.a.
At1g61300.1	DREB2A	AP2/EREBP	22610700	-	3238	n.a.	n.a.	n.a.
At1g61510.1	DREB2A	AP2/EREBP	22700229	-	810	n.a.	n.a.	n.a.
At1g61610.1	DREB2A	AP2/EREBP	22739489	+	2352	n.a.	n.a.	n.a.
At1g61620.1	DREB2A	AP2/EREBP	22739489	+	-1719	n.a.	n.a.	n.a.
At1g62320.1	DREB2A	AP2/EREBP	23047296	+	1224	n.a.	n.a.	n.a.
At1g62330.1	DREB2A	AP2/EREBP	23054044	-	3486	n.a.	n.a.	n.a.
At1g62333.1	DREB2A	AP2/EREBP	23054044	-	-66	n.a.	n.a.	n.a.
At1g62380.1	DREB2A	AP2/EREBP	23089163	+	3328	n.a.	n.a.	n.a.
At1g62390.1	DREB2A	AP2/EREBP	23089163	-	1629	n.a.	n.a.	n.a.
At1g62830.1	DREB2A	AP2/EREBP	23270336	-	531	n.a.	n.a.	n.a.
At1g62835.1	DREB2A	AP2/EREBP	23270336	-	1863	n.a.	n.a.	n.a.
