Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01320.1	GT-2	Trihelix	130365	+	-266	n.a.	n.a.	n.a.
At1g02680.1	GT-2	Trihelix	582232	-	1607	n.a.	n.a.	n.a.
At1g02800.1	GT-2	Trihelix	617751	-	-1560	n.a.	n.a.	n.a.
At1g02810.1	GT-2	Trihelix	617751	+	-514	n.a.	n.a.	n.a.
At1g05090.1	GT-2	Trihelix	1465977	-	2776	n.a.	n.a.	n.a.
At1g05100.1	GT-2	Trihelix	1469536	-	-73	n.a.	n.a.	n.a.
At1g05290.1	GT-2	Trihelix	1542277	-	-1716	n.a.	n.a.	n.a.
At1g05291.1	GT-2	Trihelix	1542277	-	154	n.a.	n.a.	n.a.
At1g06510.1	GT-2	Trihelix	1992280	-	-52	n.a.	n.a.	n.a.
At1g06515.1	GT-2	Trihelix	1992280	+	-84	n.a.	n.a.	n.a.
At1g06520.1	GT-2	Trihelix	1992280	+	3831	n.a.	n.a.	n.a.
At1g06990.1	GT-2	Trihelix	2150719	+	2333	n.a.	n.a.	n.a.
At1g07000.1	GT-2	Trihelix	2150719	-	1605	n.a.	n.a.	n.a.
At1g09300.1	GT-2	Trihelix	3006705	+	2784	n.a.	n.a.	n.a.
At1g10430.1	GT-2	Trihelix	3431016	-	-382	n.a.	n.a.	n.a.
At1g10440.1	GT-2	Trihelix	3431016	-	241	n.a.	n.a.	n.a.
At1g10450.1	GT-2	Trihelix	3431016	+	-1145	n.a.	n.a.	n.a.
At1g10652.1	GT-2	Trihelix	3530138	+	2428	n.a.	n.a.	n.a.
At1g10657.1	GT-2	Trihelix	3530138	+	-330	n.a.	n.a.	n.a.
At1g12540.1	GT-2	Trihelix	4273379	+	244	n.a.	n.a.	n.a.
At1g12550.1	GT-2	Trihelix	4273379	+	-1213	n.a.	n.a.	n.a.
At1g13850.1	GT-2	Trihelix	4747089	-	3997	n.a.	n.a.	n.a.
At1g13860.1	GT-2	Trihelix	4747089	+	-136	n.a.	n.a.	n.a.
At1g13870.1	GT-2	Trihelix	4747089	+	1550	n.a.	n.a.	n.a.
At1g18570.1	GT-2	Trihelix	6392596	+	3192	n.a.	n.a.	n.a.
At1g19240.1	GT-2	Trihelix	6648829	-	1582	n.a.	n.a.	n.a.
At1g19330.1	GT-2	Trihelix	6684596	+	-1076	n.a.	n.a.	n.a.
At1g19340.1	GT-2	Trihelix	6684596	-	-146	n.a.	n.a.	n.a.
At1g19485.1	GT-2	Trihelix	6749520	+	2717	n.a.	n.a.	n.a.
At1g19800.1	GT-2	Trihelix	6847776	+	1416	n.a.	n.a.	n.a.
At1g19810.1	GT-2	Trihelix	6847776	-	2203	n.a.	n.a.	n.a.
At1g20560.1	GT-2	Trihelix	7122689	-	-882	n.a.	n.a.	n.a.
At1g20570.1	GT-2	Trihelix	7122689	-	3860	n.a.	n.a.	n.a.
At1g20950.1	GT-2	Trihelix	7299972	+	1432	n.a.	n.a.	n.a.
At1g21300.1	GT-2	Trihelix	7453660	+	-1965	n.a.	n.a.	n.a.
At1g21310.1	GT-2	Trihelix	7453660	+	1337	n.a.	n.a.	n.a.
At1g22960.1	GT-2	Trihelix	8131636	+	-1405	n.a.	n.a.	n.a.
At1g22970.1	GT-2	Trihelix	8131636	+	561	n.a.	n.a.	n.a.
At1g22980.1	GT-2	Trihelix	8131636	+	2703	n.a.	n.a.	n.a.
At1g23010.1	GT-2	Trihelix	8151155	-	3902	n.a.	n.a.	n.a.
At1g23020.1	GT-2	Trihelix	8151155	+	2191	n.a.	n.a.	n.a.
At1g23710.1	GT-2	Trihelix	8384911	-	-329	n.a.	n.a.	n.a.
At1g24080.1	GT-2	Trihelix	8521148	-	-796	n.a.	n.a.	n.a.
At1g24090.1	GT-2	Trihelix	8521148	+	325	n.a.	n.a.	n.a.
At1g24220.1	GT-2	Trihelix	8582726	+	-324	n.a.	n.a.	n.a.
At1g24230.1	GT-2	Trihelix	8582726	+	2398	n.a.	n.a.	n.a.
At1g24256.1	GT-2	Trihelix	8592727	+	660	n.a.	n.a.	n.a.
At1g24260.1	GT-2	Trihelix	8592727	-	3171	n.a.	n.a.	n.a.
At1g24485.1	GT-2	Trihelix	8680451	+	1605	n.a.	n.a.	n.a.
At1g24490.1	GT-2	Trihelix	8680451	+	-1771	n.a.	n.a.	n.a.
At1g27210.1	GT-2	Trihelix	9457235	-	778	n.a.	n.a.	n.a.
At1g27213.1	GT-2	Trihelix	9457235	-	2939	n.a.	n.a.	n.a.
At1g27720.1	GT-2	Trihelix	9646464	+	899	n.a.	n.a.	n.a.
At1g27730.1	GT-2	Trihelix	9646464	+	2596	n.a.	n.a.	n.a.
At1g27910.1	GT-2	Trihelix	9725635	+	-934	n.a.	n.a.	n.a.
At1g27920.1	GT-2	Trihelix	9725635	-	-1300	n.a.	n.a.	n.a.
