Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01170.1	At1g77200	AP2/EREBP	76071	+	-1334	12.98	8.44	9.4
At1g01180.1	At1g77200	AP2/EREBP	76071	-	438	12.98	8.44	9.4
At1g01183.1	At1g77200	AP2/EREBP	76071	+	2961	12.98	8.44	9.4
At1g01225.1	At1g77200	AP2/EREBP	96560	-	573	12.98	8.44	12.15
At1g01230.1	At1g77200	AP2/EREBP	96560	-	-896	12.98	8.44	12.15
At1g01240.1	At1g77200	AP2/EREBP	102392	+	2470	12.98	8.44	9.25
At1g01250.1	At1g77200	AP2/EREBP	102392	-	2938	12.98	8.44	9.25
At1g01290.1	At1g77200	AP2/EREBP	117504	-	3218	12.98	8.44	8.78
At1g01290.1	At1g77200	AP2/EREBP	117750	-	3464	12.98	8.44	8.96
At1g01300.1	At1g77200	AP2/EREBP	117504	-	561	12.98	8.44	8.78
At1g01300.1	At1g77200	AP2/EREBP	117750	-	807	12.98	8.44	8.96
At1g01300.1	At1g77200	AP2/EREBP	118669	-	1726	12.98	8.44	8.82
At1g01305.1	At1g77200	AP2/EREBP	118669	-	-728	12.98	8.44	8.82
At1g01305.1	At1g77200	AP2/EREBP	117504	-	-1893	12.98	8.44	8.78
At1g01305.1	At1g77200	AP2/EREBP	117750	-	-1647	12.98	8.44	8.96
At1g01310.1	At1g77200	AP2/EREBP	118669	-	-1485	12.98	8.44	8.82
At1g01355.1	At1g77200	AP2/EREBP	141974	-	3461	12.98	8.44	12
At1g01360.1	At1g77200	AP2/EREBP	141974	-	3	12.98	8.44	12
At1g01370.1	At1g77200	AP2/EREBP	141974	-	-1590	12.98	8.44	12
At1g01370.1	At1g77200	AP2/EREBP	147527	-	3963	12.98	8.44	10.69
At1g01380.1	At1g77200	AP2/EREBP	147527	-	374	12.98	8.44	10.69
At1g01390.1	At1g77200	AP2/EREBP	147527	+	2279	12.98	8.44	10.69
At1g01430.1	At1g77200	AP2/EREBP	158769	+	-114	12.98	8.44	9.07
At1g01440.1	At1g77200	AP2/EREBP	158769	+	3803	12.98	8.44	9.07
At1g01450.1	At1g77200	AP2/EREBP	167411	-	-1894	12.98	8.44	11.64
At1g01450.1	At1g77200	AP2/EREBP	167396	-	-1879	12.98	8.44	9.1
At1g01453.1	At1g77200	AP2/EREBP	167396	-	446	12.98	8.44	9.1
At1g01453.1	At1g77200	AP2/EREBP	167411	-	431	12.98	8.44	11.64
At1g01460.1	At1g77200	AP2/EREBP	167396	+	-1327	12.98	8.44	9.1
At1g01460.1	At1g77200	AP2/EREBP	167411	+	-1312	12.98	8.44	11.64
At1g01470.1	At1g77200	AP2/EREBP	173293	+	-345	12.98	8.44	10.4
At1g01470.1	At1g77200	AP2/EREBP	174142	+	-1194	12.98	8.44	9.23
At1g01471.1	At1g77200	AP2/EREBP	173293	-	42	12.98	8.44	10.4
At1g01471.1	At1g77200	AP2/EREBP	174142	-	891	12.98	8.44	9.23
At1g01480.1	At1g77200	AP2/EREBP	174142	-	-1640	12.98	8.44	9.23
At1g01540.1	At1g77200	AP2/EREBP	195980	-	168	12.98	8.44	9.23
At1g01550.1	At1g77200	AP2/EREBP	203511	-	3872	12.98	8.44	9.71
At1g01560.1	At1g77200	AP2/EREBP	203511	-	1375	12.98	8.44	9.71
At1g01570.1	At1g77200	AP2/EREBP	203511	-	-1665	12.98	8.44	9.71
At1g01590.1	At1g77200	AP2/EREBP	216599	+	2370	12.98	8.44	12
At1g01590.1	At1g77200	AP2/EREBP	217052	+	2823	12.98	8.44	9.63
At1g01600.1	At1g77200	AP2/EREBP	221118	+	2124	12.98	8.44	8.82
At1g01600.1	At1g77200	AP2/EREBP	217052	+	-1942	12.98	8.44	9.63
At1g01610.1	At1g77200	AP2/EREBP	221118	-	3222	12.98	8.44	8.82
At1g01630.1	At1g77200	AP2/EREBP	229319	+	306	12.98	8.44	9.21
At1g01640.1	At1g77200	AP2/EREBP	229319	-	3189	12.98	8.44	9.21
At1g01650.1	At1g77200	AP2/EREBP	236218	-	1599	12.98	8.44	8.85
At1g01650.1	At1g77200	AP2/EREBP	239632	-	-1815	12.98	8.44	8.47
At1g01660.1	At1g77200	AP2/EREBP	239632	-	2976	12.98	8.44	8.47
At1g01695.1	At1g77200	AP2/EREBP	255043	+	2096	12.98	8.44	10.18
At1g01770.1	At1g77200	AP2/EREBP	282136	+	3521	12.98	8.44	10.04
At1g01780.1	At1g77200	AP2/EREBP	282136	+	-625	12.98	8.44	10.04
At1g01820.1	At1g77200	AP2/EREBP	299226	-	-1106	12.98	8.44	9.47
At1g01830.1	At1g77200	AP2/EREBP	299226	-	1503	12.98	8.44	9.47
At1g01890.1	At1g77200	AP2/EREBP	310612	-	-1265	12.98	8.44	9.09
At1g01900.1	At1g77200	AP2/EREBP	311504	+	1188	12.98	8.44	9.1
At1g01900.1	At1g77200	AP2/EREBP	310612	+	296	12.98	8.44	9.09
At1g01930.1	At1g77200	AP2/EREBP	322702	-	158	12.98	8.44	10.16
At1g01940.1	At1g77200	AP2/EREBP	322702	+	-325	12.98	8.44	10.16
