Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	HSFC1(1)	HSF	2994	-	-637	10.92	6.6	6.79
At1g01010.1	HSFC1(1)	HSF	2994	+	-637	10.92	6.6	6.79
At1g01040.1	HSFC1(1)	HSF	23860	-	714	10.92	6.6	6.84
At1g01040.1	HSFC1(1)	HSF	25638	-	2492	10.92	6.6	7.98
At1g01040.1	HSFC1(1)	HSF	24618	-	1472	10.92	6.6	7.61
At1g01040.1	HSFC1(1)	HSF	25638	+	2492	10.92	6.6	7.98
At1g01040.1	HSFC1(1)	HSF	22236	+	-910	10.92	6.6	6.75
At1g01040.1	HSFC1(1)	HSF	22236	-	-910	10.92	6.6	6.75
At1g01060.1	HSFC1(1)	HSF	36849	-	991	10.92	6.6	10.92
At1g01060.1	HSFC1(1)	HSF	36849	+	991	10.92	6.6	9.59
At1g01080.1	HSFC1(1)	HSF	43986	+	3033	10.92	6.6	6.84
At1g01100.1	HSFC1(1)	HSF	52785	-	-1677	10.92	6.6	7.53
At1g01110.1	HSFC1(1)	HSF	52785	+	-84	10.92	6.6	7.53
At1g01110.1	HSFC1(1)	HSF	54567	-	1698	10.92	6.6	7.52
At1g01120.1	HSFC1(1)	HSF	57627	-	1540	10.92	6.6	8.15
At1g01120.1	HSFC1(1)	HSF	59788	-	-621	10.92	6.6	8.08
At1g01120.1	HSFC1(1)	HSF	58349	+	818	10.92	6.6	8.64
At1g01120.1	HSFC1(1)	HSF	59788	+	-621	10.92	6.6	7.82
At1g01120.1	HSFC1(1)	HSF	57679	-	1488	10.92	6.6	7.53
At1g01120.1	HSFC1(1)	HSF	58349	-	818	10.92	6.6	7.3
At1g01120.1	HSFC1(1)	HSF	57627	+	1540	10.92	6.6	9.9
At1g01130.1	HSFC1(1)	HSF	65577	-	-1766	10.92	6.6	7.05
At1g01130.1	HSFC1(1)	HSF	65116	-	-1305	10.92	6.6	8.58
At1g01130.1	HSFC1(1)	HSF	65116	+	-1305	10.92	6.6	7.51
At1g01140.1	HSFC1(1)	HSF	65116	+	2509	10.92	6.6	7.51
At1g01140.1	HSFC1(1)	HSF	65577	-	2048	10.92	6.6	7.05
At1g01140.1	HSFC1(1)	HSF	65116	-	2509	10.92	6.6	8.58
At1g01150.1	HSFC1(1)	HSF	72891	+	-753	10.92	6.6	7.38
At1g01150.1	HSFC1(1)	HSF	71895	+	243	10.92	6.6	6.84
At1g01150.1	HSFC1(1)	HSF	72891	-	-753	10.92	6.6	7.13
At1g01160.1	HSFC1(1)	HSF	74704	-	2365	10.92	6.6	8.5
At1g01160.1	HSFC1(1)	HSF	72891	+	552	10.92	6.6	7.13
At1g01160.1	HSFC1(1)	HSF	71895	-	-444	10.92	6.6	6.84
At1g01160.1	HSFC1(1)	HSF	72891	-	552	10.92	6.6	7.38
At1g01160.1	HSFC1(1)	HSF	74704	+	2365	10.92	6.6	7.42
At1g01170.1	HSFC1(1)	HSF	72891	+	1846	10.92	6.6	7.38
At1g01170.1	HSFC1(1)	HSF	76007	-	-1270	10.92	6.6	6.84
At1g01170.1	HSFC1(1)	HSF	72891	-	1846	10.92	6.6	7.13
At1g01170.1	HSFC1(1)	HSF	75412	+	-675	10.92	6.6	6.82
At1g01170.1	HSFC1(1)	HSF	74704	+	33	10.92	6.6	8.5
At1g01170.1	HSFC1(1)	HSF	74704	-	33	10.92	6.6	7.42
At1g01170.1	HSFC1(1)	HSF	75412	-	-675	10.92	6.6	6.82
At1g01180.1	HSFC1(1)	HSF	76007	+	374	10.92	6.6	6.84
At1g01180.1	HSFC1(1)	HSF	74704	-	-929	10.92	6.6	8.5
At1g01180.1	HSFC1(1)	HSF	74704	+	-929	10.92	6.6	7.42
At1g01180.1	HSFC1(1)	HSF	75412	+	-221	10.92	6.6	6.82
At1g01180.1	HSFC1(1)	HSF	75412	-	-221	10.92	6.6	6.82
At1g01183.1	HSFC1(1)	HSF	75412	+	3620	10.92	6.6	6.82
At1g01183.1	HSFC1(1)	HSF	76007	-	3025	10.92	6.6	6.84
At1g01183.1	HSFC1(1)	HSF	75412	-	3620	10.92	6.6	6.82
At1g01190.1	HSFC1(1)	HSF	86833	-	-1969	10.92	6.6	7.87
At1g01190.1	HSFC1(1)	HSF	86833	+	-1969	10.92	6.6	7.87
At1g01190.1	HSFC1(1)	HSF	86782	+	-1918	10.92	6.6	7.05
At1g01200.1	HSFC1(1)	HSF	86833	-	1380	10.92	6.6	7.87
At1g01200.1	HSFC1(1)	HSF	86782	+	1431	10.92	6.6	7.05
At1g01200.1	HSFC1(1)	HSF	86833	+	1380	10.92	6.6	7.87
At1g01230.1	HSFC1(1)	HSF	98778	-	1322	10.92	6.6	6.72
At1g01230.1	HSFC1(1)	HSF	98778	+	1322	10.92	6.6	6.98
At1g01240.1	HSFC1(1)	HSF	103101	-	3179	10.92	6.6	6.84
At1g01240.1	HSFC1(1)	HSF	98778	+	-1144	10.92	6.6	6.98
At1g01240.1	HSFC1(1)	HSF	98778	-	-1144	10.92	6.6	6.72
At1g01240.1	HSFC1(1)	HSF	103375	-	3453	10.92	6.6	6.76
At1g01240.1	HSFC1(1)	HSF	101672	-	1750	10.92	6.6	8.15
At1g01240.1	HSFC1(1)	HSF	101672	+	1750	10.92	6.6	9.9
At1g01250.1	HSFC1(1)	HSF	101672	+	3658	10.92	6.6	8.15
At1g01250.1	HSFC1(1)	HSF	101672	-	3658	10.92	6.6	9.9
At1g01250.1	HSFC1(1)	HSF	103375	+	1955	10.92	6.6	6.76
At1g01250.1	HSFC1(1)	HSF	103101	+	2229	10.92	6.6	6.84
At1g01260.1	HSFC1(1)	HSF	111177	+	2145	10.92	6.6	7.52
At1g01270.1	HSFC1(1)	HSF	111177	-	784	10.92	6.6	7.52
At1g01280.1	HSFC1(1)	HSF	111177	+	-1086	10.92	6.6	7.52
At1g01305.1	HSFC1(1)	HSF	123094	-	3697	10.92	6.6	6.76
At1g01310.1	HSFC1(1)	HSF	123094	-	2940	10.92	6.6	6.76
At1g01320.1	HSFC1(1)	HSF	130102	-	-3	10.92	6.6	7.49
At1g01340.1	HSFC1(1)	HSF	133952	-	1370	10.92	6.6	8.55
At1g01340.1	HSFC1(1)	HSF	133952	+	1370	10.92	6.6	7.21
At1g01340.1	HSFC1(1)	HSF	133509	+	1813	10.92	6.6	7.51
At1g01340.1	HSFC1(1)	HSF	133509	-	1813	10.92	6.6	8.58
At1g01355.1	HSFC1(1)	HSF	141432	-	2919	10.92	6.6	7.37
At1g01355.1	HSFC1(1)	HSF	141432	+	2919	10.92	6.6	7.37
At1g01360.1	HSFC1(1)	HSF	141432	-	-539	10.92	6.6	7.37
At1g01360.1	HSFC1(1)	HSF	144508	-	2537	10.92	6.6	8.55
At1g01360.1	HSFC1(1)	HSF	144508	+	2537	10.92	6.6	7.21
At1g01360.1	HSFC1(1)	HSF	141432	+	-539	10.92	6.6	7.37
At1g01370.1	HSFC1(1)	HSF	144508	-	944	10.92	6.6	8.55
At1g01370.1	HSFC1(1)	HSF	144508	+	944	10.92	6.6	7.21
At1g01400.1	HSFC1(1)	HSF	153100	+	-890	10.92	6.6	6.91
At1g01410.1	HSFC1(1)	HSF	153100	-	-13	10.92	6.6	6.91
At1g01420.1	HSFC1(1)	HSF	153100	+	2911	10.92	6.6	6.91
At1g01420.1	HSFC1(1)	HSF	157325	+	-1314	10.92	6.6	6.84
At1g01430.1	HSFC1(1)	HSF	157325	+	1330	10.92	6.6	6.84
At1g01448.1	HSFC1(1)	HSF	164890	+	1459	10.92	6.6	7.49
At1g01450.1	HSFC1(1)	HSF	164890	-	627	10.92	6.6	7.49
At1g01453.1	HSFC1(1)	HSF	164890	-	2952	10.92	6.6	7.49
