Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	CCA1(1)	MYB	7398	+	3767	10.46	6.44	9.24
At1g01010.1	CCA1(1)	MYB	6421	-	2790	10.46	6.44	8.52
At1g01020.1	CCA1(1)	MYB	7398	-	1339	10.46	6.44	9.24
At1g01020.1	CCA1(1)	MYB	6421	+	2316	10.46	6.44	8.52
At1g01020.1	CCA1(1)	MYB	8129	+	608	10.46	6.44	8.31
At1g01060.1	CCA1(1)	MYB	39330	-	-1490	10.46	6.44	6.61
At1g01060.1	CCA1(1)	MYB	37681	-	159	10.46	6.44	6.82
At1g01070.1	CCA1(1)	MYB	39330	-	1614	10.46	6.44	6.61
At1g01070.1	CCA1(1)	MYB	37681	-	3263	10.46	6.44	6.82
At1g01080.1	CCA1(1)	MYB	44823	+	2196	10.46	6.44	6.75
At1g01100.1	CCA1(1)	MYB	52721	+	-1613	10.46	6.44	7.27
At1g01110.1	CCA1(1)	MYB	52721	-	-148	10.46	6.44	7.27
At1g01140.1	CCA1(1)	MYB	66513	-	1112	10.46	6.44	10.13
At1g01140.1	CCA1(1)	MYB	66798	-	827	10.46	6.44	9.37
At1g01140.1	CCA1(1)	MYB	66879	+	746	10.46	6.44	8.15
At1g01180.1	CCA1(1)	MYB	78703	+	3070	10.46	6.44	9.24
At1g01183.1	CCA1(1)	MYB	79993	-	-961	10.46	6.44	6.75
At1g01183.1	CCA1(1)	MYB	78703	-	329	10.46	6.44	9.24
At1g01190.1	CCA1(1)	MYB	86318	-	-1454	10.46	6.44	8.15
At1g01200.1	CCA1(1)	MYB	89261	+	-1048	10.46	6.44	6.66
At1g01200.1	CCA1(1)	MYB	86318	-	1895	10.46	6.44	8.15
At1g01210.1	CCA1(1)	MYB	89261	-	363	10.46	6.44	6.66
At1g01210.1	CCA1(1)	MYB	92838	+	3940	10.46	6.44	6.69
At1g01220.1	CCA1(1)	MYB	92838	+	1088	10.46	6.44	6.69
At1g01220.1	CCA1(1)	MYB	95103	-	3353	10.46	6.44	7.15
At1g01225.1	CCA1(1)	MYB	96647	+	660	10.46	6.44	6.86
At1g01225.1	CCA1(1)	MYB	95103	-	-884	10.46	6.44	7.15
