Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01130.1	RAP2.2	AP2/EREBP	65649	-	-1838	n.a.	n.a.	n.a.
At1g01140.1	RAP2.2	AP2/EREBP	68554	+	-929	n.a.	n.a.	n.a.
At1g01140.1	RAP2.2	AP2/EREBP	69535	-	-1910	n.a.	n.a.	n.a.
At1g01140.1	RAP2.2	AP2/EREBP	65649	-	1976	n.a.	n.a.	n.a.
At1g01150.1	RAP2.2	AP2/EREBP	68554	+	3584	n.a.	n.a.	n.a.
At1g01150.1	RAP2.2	AP2/EREBP	69535	-	2603	n.a.	n.a.	n.a.
At1g01200.1	RAP2.2	AP2/EREBP	87752	-	461	n.a.	n.a.	n.a.
At1g01210.1	RAP2.2	AP2/EREBP	87752	+	-1146	n.a.	n.a.	n.a.
At1g01225.1	RAP2.2	AP2/EREBP	98747	+	2760	n.a.	n.a.	n.a.
At1g01230.1	RAP2.2	AP2/EREBP	98747	+	1291	n.a.	n.a.	n.a.
At1g01240.1	RAP2.2	AP2/EREBP	98747	+	-1175	n.a.	n.a.	n.a.
At1g01260.1	RAP2.2	AP2/EREBP	111970	-	2938	n.a.	n.a.	n.a.
At1g01270.1	RAP2.2	AP2/EREBP	111970	+	-9	n.a.	n.a.	n.a.
At1g01280.1	RAP2.2	AP2/EREBP	111970	-	-293	n.a.	n.a.	n.a.
At1g01355.1	RAP2.2	AP2/EREBP	141383	-	2870	n.a.	n.a.	n.a.
At1g01360.1	RAP2.2	AP2/EREBP	141383	-	-588	n.a.	n.a.	n.a.
At1g01460.1	RAP2.2	AP2/EREBP	171921	-	3198	n.a.	n.a.	n.a.
At1g01470.1	RAP2.2	AP2/EREBP	171921	+	1027	n.a.	n.a.	n.a.
At1g01471.1	RAP2.2	AP2/EREBP	171921	-	-1330	n.a.	n.a.	n.a.
At1g01550.1	RAP2.2	AP2/EREBP	200070	-	431	n.a.	n.a.	n.a.
At1g01570.1	RAP2.2	AP2/EREBP	208192	+	3016	n.a.	n.a.	n.a.
At1g01580.1	RAP2.2	AP2/EREBP	208192	+	-1203	n.a.	n.a.	n.a.
At1g01630.1	RAP2.2	AP2/EREBP	231709	+	2696	n.a.	n.a.	n.a.
At1g01640.1	RAP2.2	AP2/EREBP	231709	-	799	n.a.	n.a.	n.a.
At1g01650.1	RAP2.2	AP2/EREBP	236503	-	1314	n.a.	n.a.	n.a.
At1g01695.1	RAP2.2	AP2/EREBP	253814	+	867	n.a.	n.a.	n.a.
At1g01695.1	RAP2.2	AP2/EREBP	256445	-	3498	n.a.	n.a.	n.a.
At1g01910.1	RAP2.2	AP2/EREBP	315867	-	35	n.a.	n.a.	n.a.
At1g01920.1	RAP2.2	AP2/EREBP	315867	+	-320	n.a.	n.a.	n.a.
At1g01920.1	RAP2.2	AP2/EREBP	319327	-	3140	n.a.	n.a.	n.a.
At1g01930.1	RAP2.2	AP2/EREBP	319327	+	3533	n.a.	n.a.	n.a.
At1g02020.1	RAP2.2	AP2/EREBP	355015	-	-46	n.a.	n.a.	n.a.
At1g02030.1	RAP2.2	AP2/EREBP	355015	-	2243	n.a.	n.a.	n.a.
At1g02060.1	RAP2.2	AP2/EREBP	363164	-	-70	n.a.	n.a.	n.a.
At1g02100.1	RAP2.2	AP2/EREBP	391798	+	1986	n.a.	n.a.	n.a.
At1g02110.1	RAP2.2	AP2/EREBP	391798	+	-1141	n.a.	n.a.	n.a.
At1g02120.1	RAP2.2	AP2/EREBP	397895	-	2134	n.a.	n.a.	n.a.
At1g02130.1	RAP2.2	AP2/EREBP	397895	+	3987	n.a.	n.a.	n.a.
At1g02290.1	RAP2.2	AP2/EREBP	453693	+	-956	n.a.	n.a.	n.a.
At1g02300.1	RAP2.2	AP2/EREBP	456277	-	2989	n.a.	n.a.	n.a.
At1g02300.1	RAP2.2	AP2/EREBP	453693	-	405	n.a.	n.a.	n.a.
At1g02305.1	RAP2.2	AP2/EREBP	459283	-	3595	n.a.	n.a.	n.a.
At1g02305.1	RAP2.2	AP2/EREBP	456277	-	589	n.a.	n.a.	n.a.
At1g02305.1	RAP2.2	AP2/EREBP	453693	-	-1995	n.a.	n.a.	n.a.
At1g02310.1	RAP2.2	AP2/EREBP	459283	+	1413	n.a.	n.a.	n.a.
At1g02630.1	RAP2.2	AP2/EREBP	564041	-	-1617	n.a.	n.a.	n.a.
At1g02640.1	RAP2.2	AP2/EREBP	564041	+	-164	n.a.	n.a.	n.a.
At1g02640.1	RAP2.2	AP2/EREBP	566233	-	2028	n.a.	n.a.	n.a.
At1g02690.1	RAP2.2	AP2/EREBP	584681	-	421	n.a.	n.a.	n.a.
At1g02740.1	RAP2.2	AP2/EREBP	603261	+	-1223	n.a.	n.a.	n.a.
At1g02750.1	RAP2.2	AP2/EREBP	603261	-	764	n.a.	n.a.	n.a.
At1g02760.1	RAP2.2	AP2/EREBP	603261	-	-1141	n.a.	n.a.	n.a.
At1g02816.1	RAP2.2	AP2/EREBP	624844	-	3383	n.a.	n.a.	n.a.
At1g02816.1	RAP2.2	AP2/EREBP	624887	-	3426	n.a.	n.a.	n.a.
At1g02820.1	RAP2.2	AP2/EREBP	624844	+	-369	n.a.	n.a.	n.a.
At1g02820.1	RAP2.2	AP2/EREBP	624887	+	-412	n.a.	n.a.	n.a.
At1g02830.1	RAP2.2	AP2/EREBP	624844	+	764	n.a.	n.a.	n.a.
At1g02830.1	RAP2.2	AP2/EREBP	624887	+	721	n.a.	n.a.	n.a.
At1g02880.1	RAP2.2	AP2/EREBP	642142	-	2379	n.a.	n.a.	n.a.
At1g02880.1	RAP2.2	AP2/EREBP	645098	-	-577	n.a.	n.a.	n.a.
At1g03060.1	RAP2.2	AP2/EREBP	728733	-	-1842	n.a.	n.a.	n.a.
At1g03060.1	RAP2.2	AP2/EREBP	726551	-	340	n.a.	n.a.	n.a.
At1g03060.1	RAP2.2	AP2/EREBP	726592	-	299	n.a.	n.a.	n.a.
At1g03070.1	RAP2.2	AP2/EREBP	728733	+	-1202	n.a.	n.a.	n.a.
At1g03090.1	RAP2.2	AP2/EREBP	740965	-	1286	n.a.	n.a.	n.a.
At1g03140.1	RAP2.2	AP2/EREBP	757825	+	-1522	n.a.	n.a.	n.a.
At1g03150.1	RAP2.2	AP2/EREBP	757825	-	1411	n.a.	n.a.	n.a.
At1g03170.1	RAP2.2	AP2/EREBP	772449	+	2817	n.a.	n.a.	n.a.
At1g03180.1	RAP2.2	AP2/EREBP	772449	+	-962	n.a.	n.a.	n.a.
At1g03650.1	RAP2.2	AP2/EREBP	911821	+	-629	n.a.	n.a.	n.a.
At1g03660.1	RAP2.2	AP2/EREBP	911821	+	-63	n.a.	n.a.	n.a.
At1g03670.1	RAP2.2	AP2/EREBP	914951	-	1270	n.a.	n.a.	n.a.
At1g03680.1	RAP2.2	AP2/EREBP	914951	-	3113	n.a.	n.a.	n.a.
At1g03687.1	RAP2.2	AP2/EREBP	921488	-	3189	n.a.	n.a.	n.a.
At1g03700.1	RAP2.2	AP2/EREBP	921488	-	538	n.a.	n.a.	n.a.
At1g03710.1	RAP2.2	AP2/EREBP	921488	-	-1938	n.a.	n.a.	n.a.
At1g03920.1	RAP2.2	AP2/EREBP	1001757	-	437	n.a.	n.a.	n.a.
At1g03940.1	RAP2.2	AP2/EREBP	1012584	+	-1529	n.a.	n.a.	n.a.
At1g03950.1	RAP2.2	AP2/EREBP	1012584	+	780	n.a.	n.a.	n.a.
At1g03960.1	RAP2.2	AP2/EREBP	1012584	-	-1130	n.a.	n.a.	n.a.
At1g04020.1	RAP2.2	AP2/EREBP	1039654	-	3118	n.a.	n.a.	n.a.
At1g04030.1	RAP2.2	AP2/EREBP	1039654	-	-863	n.a.	n.a.	n.a.
At1g04070.1	RAP2.2	AP2/EREBP	1052869	+	-1684	n.a.	n.a.	n.a.
At1g04080.1	RAP2.2	AP2/EREBP	1052869	-	1527	n.a.	n.a.	n.a.
At1g04090.1	RAP2.2	AP2/EREBP	1056936	-	-214	n.a.	n.a.	n.a.
At1g04170.1	RAP2.2	AP2/EREBP	1097237	-	292	n.a.	n.a.	n.a.
At1g04171.1	RAP2.2	AP2/EREBP	1097237	+	3370	n.a.	n.a.	n.a.
At1g04230.1	RAP2.2	AP2/EREBP	1125786	-	269	n.a.	n.a.	n.a.
At1g04240.1	RAP2.2	AP2/EREBP	1125786	+	3764	n.a.	n.a.	n.a.
At1g04350.1	RAP2.2	AP2/EREBP	1168664	+	3500	n.a.	n.a.	n.a.
At1g04360.1	RAP2.2	AP2/EREBP	1168664	-	213	n.a.	n.a.	n.a.
At1g04370.1	RAP2.2	AP2/EREBP	1174606	-	-570	n.a.	n.a.	n.a.
At1g04370.1	RAP2.2	AP2/EREBP	1174628	-	-548	n.a.	n.a.	n.a.
At1g04380.1	RAP2.2	AP2/EREBP	1174606	+	3800	n.a.	n.a.	n.a.
At1g04380.1	RAP2.2	AP2/EREBP	1174628	+	3778	n.a.	n.a.	n.a.
At1g04400.1	RAP2.2	AP2/EREBP	1188690	-	-174	n.a.	n.a.	n.a.
At1g04410.1	RAP2.2	AP2/EREBP	1188690	-	2721	n.a.	n.a.	n.a.
At1g04570.1	RAP2.2	AP2/EREBP	1248957	+	-183	n.a.	n.a.	n.a.
At1g04580.1	RAP2.2	AP2/EREBP	1256099	+	1410	n.a.	n.a.	n.a.
At1g04660.1	RAP2.2	AP2/EREBP	1302811	+	-1039	n.a.	n.a.	n.a.
At1g04670.1	RAP2.2	AP2/EREBP	1302811	-	951	n.a.	n.a.	n.a.
At1g04720.1	RAP2.2	AP2/EREBP	1328149	+	3227	n.a.	n.a.	n.a.
At1g04730.1	RAP2.2	AP2/EREBP	1328149	-	2936	n.a.	n.a.	n.a.
At1g04830.1	RAP2.2	AP2/EREBP	1362205	-	-225	n.a.	n.a.	n.a.
At1g04840.1	RAP2.2	AP2/EREBP	1362205	-	2756	n.a.	n.a.	n.a.
