Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01380.1	AtLHY	MYB	149682	+	2529	n.a.	n.a.	n.a.
At1g01390.1	AtLHY	MYB	149682	-	124	n.a.	n.a.	n.a.
At1g01400.1	AtLHY	MYB	149682	-	2528	n.a.	n.a.	n.a.
At1g01410.1	AtLHY	MYB	155932	+	2819	n.a.	n.a.	n.a.
At1g01420.1	AtLHY	MYB	155932	-	79	n.a.	n.a.	n.a.
At1g01430.1	AtLHY	MYB	155932	-	2723	n.a.	n.a.	n.a.
At1g01580.1	AtLHY	MYB	209299	+	-96	n.a.	n.a.	n.a.
At1g03230.1	AtLHY	MYB	791202	+	1111	n.a.	n.a.	n.a.
At1g03240.1	AtLHY	MYB	791202	-	1784	n.a.	n.a.	n.a.
At1g07230.1	AtLHY	MYB	2222311	-	670	n.a.	n.a.	n.a.
At1g07240.1	AtLHY	MYB	2222311	+	-1379	n.a.	n.a.	n.a.
At1g08100.1	AtLHY	MYB	2528190	+	927	n.a.	n.a.	n.a.
At1g10360.1	AtLHY	MYB	3397430	-	-579	n.a.	n.a.	n.a.
At1g10370.1	AtLHY	MYB	3397430	-	929	n.a.	n.a.	n.a.
At1g11655.1	AtLHY	MYB	3921623	+	2351	n.a.	n.a.	n.a.
At1g11660.1	AtLHY	MYB	3921623	+	567	n.a.	n.a.	n.a.
At1g11910.1	AtLHY	MYB	4020065	-	916	n.a.	n.a.	n.a.
At1g11915.1	AtLHY	MYB	4020065	+	-1758	n.a.	n.a.	n.a.
At1g12380.1	AtLHY	MYB	4214614	+	2516	n.a.	n.a.	n.a.
At1g13060.1	AtLHY	MYB	4454371	-	2102	n.a.	n.a.	n.a.
At1g13070.1	AtLHY	MYB	4454371	-	-1104	n.a.	n.a.	n.a.
At1g15560.1	AtLHY	MYB	5351018	+	3291	n.a.	n.a.	n.a.
At1g15600.1	AtLHY	MYB	5370985	-	2067	n.a.	n.a.	n.a.
At1g15610.1	AtLHY	MYB	5370985	-	233	n.a.	n.a.	n.a.
At1g15620.1	AtLHY	MYB	5377225	-	3726	n.a.	n.a.	n.a.
At1g15630.1	AtLHY	MYB	5377225	-	437	n.a.	n.a.	n.a.
At1g15640.1	AtLHY	MYB	5377225	-	-1656	n.a.	n.a.	n.a.
At1g18510.1	AtLHY	MYB	6375050	-	1762	n.a.	n.a.	n.a.
At1g18520.1	AtLHY	MYB	6375050	-	125	n.a.	n.a.	n.a.
At1g18530.1	AtLHY	MYB	6375050	-	-1726	n.a.	n.a.	n.a.
At1g18580.1	AtLHY	MYB	6398673	-	2816	n.a.	n.a.	n.a.
At1g18590.1	AtLHY	MYB	6398673	-	101	n.a.	n.a.	n.a.
At1g18600.1	AtLHY	MYB	6398673	-	-1723	n.a.	n.a.	n.a.
At1g18790.1	AtLHY	MYB	6479833	-	201	n.a.	n.a.	n.a.
At1g18800.1	AtLHY	MYB	6479833	-	3754	n.a.	n.a.	n.a.
At1g21460.1	AtLHY	MYB	7514208	+	-858	n.a.	n.a.	n.a.
At1g21470.1	AtLHY	MYB	7514208	+	2948	n.a.	n.a.	n.a.
At1g21870.1	AtLHY	MYB	7681095	+	2898	n.a.	n.a.	n.a.
