Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01430.1	BZIP12	bZIP	159504	+	-849	n.a.	n.a.	n.a.
At1g01440.1	BZIP12	bZIP	159504	+	3068	n.a.	n.a.	n.a.
At1g01490.1	BZIP12	bZIP	184249	+	-1891	n.a.	n.a.	n.a.
At1g01500.1	BZIP12	bZIP	184249	-	-884	n.a.	n.a.	n.a.
At1g05990.1	BZIP12	bZIP	1822004	-	3558	n.a.	n.a.	n.a.
At1g06000.1	BZIP12	bZIP	1822004	+	-111	n.a.	n.a.	n.a.
At1g06010.1	BZIP12	bZIP	1822004	-	-613	n.a.	n.a.	n.a.
At1g06900.1	BZIP12	bZIP	2122047	-	-1303	n.a.	n.a.	n.a.
At1g06910.1	BZIP12	bZIP	2122047	+	1057	n.a.	n.a.	n.a.
At1g06920.1	BZIP12	bZIP	2122047	-	3753	n.a.	n.a.	n.a.
At1g08630.1	BZIP12	bZIP	2748045	-	-1103	n.a.	n.a.	n.a.
At1g08640.1	BZIP12	bZIP	2748045	-	3236	n.a.	n.a.	n.a.
At1g08735.1	BZIP12	bZIP	2789290	-	-1003	n.a.	n.a.	n.a.
At1g08735.1	BZIP12	bZIP	2789766	-	-527	n.a.	n.a.	n.a.
At1g08735.1	BZIP12	bZIP	2789532	-	-761	n.a.	n.a.	n.a.
At1g09995.1	BZIP12	bZIP	3264298	-	-684	n.a.	n.a.	n.a.
At1g10000.1	BZIP12	bZIP	3264298	-	492	n.a.	n.a.	n.a.
At1g10010.1	BZIP12	bZIP	3264298	+	-1680	n.a.	n.a.	n.a.
At1g10360.1	BZIP12	bZIP	3398340	+	-1489	n.a.	n.a.	n.a.
At1g10370.1	BZIP12	bZIP	3398340	+	19	n.a.	n.a.	n.a.
At1g10410.1	BZIP12	bZIP	3421314	-	-1674	n.a.	n.a.	n.a.
At1g11130.1	BZIP12	bZIP	3726007	-	3150	n.a.	n.a.	n.a.
At1g11145.1	BZIP12	bZIP	3728196	-	-30	n.a.	n.a.	n.a.
At1g11145.1	BZIP12	bZIP	3726007	+	2159	n.a.	n.a.	n.a.
At1g11150.1	BZIP12	bZIP	3728196	+	-775	n.a.	n.a.	n.a.
At1g14570.1	BZIP12	bZIP	4987172	-	3642	n.a.	n.a.	n.a.
At1g17770.1	BZIP12	bZIP	6121597	-	863	n.a.	n.a.	n.a.
At1g18350.1	BZIP12	bZIP	6318850	+	3206	n.a.	n.a.	n.a.
At1g18360.1	BZIP12	bZIP	6318850	-	570	n.a.	n.a.	n.a.
At1g20875.1	BZIP12	bZIP	7262927	-	1457	n.a.	n.a.	n.a.
At1g20880.1	BZIP12	bZIP	7262927	+	2500	n.a.	n.a.	n.a.
At1g21040.1	BZIP12	bZIP	7363841	-	-518	n.a.	n.a.	n.a.
At1g21040.1	BZIP12	bZIP	7364075	-	-752	n.a.	n.a.	n.a.
At1g21040.1	BZIP12	bZIP	7364317	-	-994	n.a.	n.a.	n.a.
At1g21525.1	BZIP12	bZIP	7537761	-	-123	n.a.	n.a.	n.a.
At1g24460.1	BZIP12	bZIP	8668679	-	2619	n.a.	n.a.	n.a.
At1g24967.1	BZIP12	bZIP	8796160	-	1769	n.a.	n.a.	n.a.
At1g26770.1	BZIP12	bZIP	9262516	-	2924	n.a.	n.a.	n.a.
At1g26771.1	BZIP12	bZIP	9262516	+	744	n.a.	n.a.	n.a.
At1g26773.1	BZIP12	bZIP	9262516	-	-1875	n.a.	n.a.	n.a.
At1g27990.1	BZIP12	bZIP	9754064	-	-125	n.a.	n.a.	n.a.
At1g28000.1	BZIP12	bZIP	9754064	-	3886	n.a.	n.a.	n.a.
At1g29810.1	BZIP12	bZIP	10438754	+	-1264	n.a.	n.a.	n.a.
At1g29820.1	BZIP12	bZIP	10438754	-	1113	n.a.	n.a.	n.a.
At1g29830.1	BZIP12	bZIP	10442695	-	1089	n.a.	n.a.	n.a.
At1g32740.1	BZIP12	bZIP	11846791	-	1934	n.a.	n.a.	n.a.
At1g35060.1	BZIP12	bZIP	12822287	-	2275	n.a.	n.a.	n.a.
At1g35640.1	BZIP12	bZIP	13173762	-	-768	n.a.	n.a.	n.a.
At1g43160.1	BZIP12	bZIP	16266101	+	-152	n.a.	n.a.	n.a.
At1g47400.1	BZIP12	bZIP	17389993	-	1836	n.a.	n.a.	n.a.
At1g48300.1	BZIP12	bZIP	17850459	-	-565	n.a.	n.a.	n.a.
At1g48315.1	BZIP12	bZIP	17859491	-	1706	n.a.	n.a.	n.a.
At1g48320.1	BZIP12	bZIP	17859491	+	-108	n.a.	n.a.	n.a.
At1g48325.1	BZIP12	bZIP	17859491	-	-1448	n.a.	n.a.	n.a.
At1g48930.1	BZIP12	bZIP	18108087	+	242	n.a.	n.a.	n.a.
At1g48940.1	BZIP12	bZIP	18108087	+	2003	n.a.	n.a.	n.a.
At1g48960.1	BZIP12	bZIP	18120113	-	3987	n.a.	n.a.	n.a.
At1g48970.1	BZIP12	bZIP	18120113	+	1388	n.a.	n.a.	n.a.
At1g48980.1	BZIP12	bZIP	18120113	-	-1572	n.a.	n.a.	n.a.
At1g50650.1	BZIP12	bZIP	18765774	-	2191	n.a.	n.a.	n.a.
At1g51190.1	BZIP12	bZIP	18984333	+	3381	n.a.	n.a.	n.a.
At1g51230.1	BZIP12	bZIP	19000345	-	757	n.a.	n.a.	n.a.
At1g55325.1	BZIP12	bZIP	20643467	-	2364	n.a.	n.a.	n.a.
At1g55928.1	BZIP12	bZIP	20924033	-	3178	n.a.	n.a.	n.a.
At1g55930.1	BZIP12	bZIP	20924033	-	1651	n.a.	n.a.	n.a.
At1g67410.1	BZIP12	bZIP	25258402	-	-1072	n.a.	n.a.	n.a.
At1g67420.1	BZIP12	bZIP	25258402	+	-672	n.a.	n.a.	n.a.
At1g67870.1	BZIP12	bZIP	25455136	+	-461	n.a.	n.a.	n.a.
At1g67875.1	BZIP12	bZIP	25455136	-	-1226	n.a.	n.a.	n.a.
At1g68010.1	BZIP12	bZIP	25500343	+	3462	n.a.	n.a.	n.a.
At1g68020.1	BZIP12	bZIP	25500343	+	-610	n.a.	n.a.	n.a.
At1g68250.1	BZIP12	bZIP	25582730	-	1127	n.a.	n.a.	n.a.
At1g73600.1	BZIP12	bZIP	27673692	+	-595	n.a.	n.a.	n.a.
At1g73602.1	BZIP12	bZIP	27673692	+	-595	n.a.	n.a.	n.a.
At1g80120.1	BZIP12	bZIP	30147642	-	3649	n.a.	n.a.	n.a.
At1g80130.1	BZIP12	bZIP	30147642	+	-104	n.a.	n.a.	n.a.
At1g80133.1	BZIP12	bZIP	30147642	+	1505	n.a.	n.a.	n.a.
At2g05030.1	BZIP12	bZIP	1785270	+	3387	n.a.	n.a.	n.a.
At2g05040.1	BZIP12	bZIP	1785270	+	2154	n.a.	n.a.	n.a.
At2g06460.1	BZIP12	bZIP	2561578	+	-1686	n.a.	n.a.	n.a.
At2g07741.1	BZIP12	bZIP	3501453	+	-863	n.a.	n.a.	n.a.
At2g07835.1	BZIP12	bZIP	3501453	-	516	n.a.	n.a.	n.a.
At2g14390.1	BZIP12	bZIP	6120335	-	2341	n.a.	n.a.	n.a.
At2g14400.1	BZIP12	bZIP	6120335	-	-588	n.a.	n.a.	n.a.
At2g14410.1	BZIP12	bZIP	6131371	+	40	n.a.	n.a.	n.a.
At2g14415.1	BZIP12	bZIP	6131371	+	3403	n.a.	n.a.	n.a.
At2g14890.1	BZIP12	bZIP	6406537	+	-166	n.a.	n.a.	n.a.
At2g15740.1	BZIP12	bZIP	6864430	+	387	n.a.	n.a.	n.a.
At2g16490.1	BZIP12	bZIP	7154879	-	184	n.a.	n.a.	n.a.
At2g20463.1	BZIP12	bZIP	8830939	-	264	n.a.	n.a.	n.a.
At2g20465.1	BZIP12	bZIP	8830939	-	1686	n.a.	n.a.	n.a.
At2g21570.1	BZIP12	bZIP	9241149	+	207	n.a.	n.a.	n.a.
At2g21610.1	BZIP12	bZIP	9254531	-	-426	n.a.	n.a.	n.a.
At2g21620.1	BZIP12	bZIP	9254531	+	-1122	n.a.	n.a.	n.a.
At2g25520.1	BZIP12	bZIP	10867832	+	-74	n.a.	n.a.	n.a.
At2g25950.1	BZIP12	bZIP	11077889	+	2167	n.a.	n.a.	n.a.
At2g25964.1	BZIP12	bZIP	11077889	-	476	n.a.	n.a.	n.a.
At2g26750.1	BZIP12	bZIP	11404116	+	54	n.a.	n.a.	n.a.
At2g29230.1	BZIP12	bZIP	12574334	-	-761	n.a.	n.a.	n.a.
At2g29230.1	BZIP12	bZIP	12574568	-	-527	n.a.	n.a.	n.a.
At2g29230.1	BZIP12	bZIP	12574092	-	-1003	n.a.	n.a.	n.a.
At2g29970.1	BZIP12	bZIP	12785847	+	2384	n.a.	n.a.	n.a.
At2g30575.1	BZIP12	bZIP	13031459	+	-174	n.a.	n.a.	n.a.
At2g30580.1	BZIP12	bZIP	13031459	-	-1618	n.a.	n.a.	n.a.
At2g36290.1	BZIP12	bZIP	15218835	+	-911	n.a.	n.a.	n.a.
At2g36295.1	BZIP12	bZIP	15218835	-	38	n.a.	n.a.	n.a.
At2g36300.1	BZIP12	bZIP	15218835	+	2516	n.a.	n.a.	n.a.
At2g37710.1	BZIP12	bZIP	15825177	-	-1095	n.a.	n.a.	n.a.
At2g37720.1	BZIP12	bZIP	15825177	+	17	n.a.	n.a.	n.a.
At2g38080.1	BZIP12	bZIP	15942271	-	733	n.a.	n.a.	n.a.
At2g38410.1	BZIP12	bZIP	16097677	+	-391	n.a.	n.a.	n.a.
At2g38420.1	BZIP12	bZIP	16097677	-	-506	n.a.	n.a.	n.a.
At2g42885.1	BZIP12	bZIP	17854519	+	-839	n.a.	n.a.	n.a.
At2g43010.1	BZIP12	bZIP	17895767	-	2263	n.a.	n.a.	n.a.
At2g44660.1	BZIP12	bZIP	18430353	-	-439	n.a.	n.a.	n.a.
At2g44670.1	BZIP12	bZIP	18430353	+	-1902	n.a.	n.a.	n.a.
At2g45350.1	BZIP12	bZIP	18705578	+	-1868	n.a.	n.a.	n.a.
At2g45360.1	BZIP12	bZIP	18705578	-	-88	n.a.	n.a.	n.a.
At2g45490.1	BZIP12	bZIP	18756829	+	-680	n.a.	n.a.	n.a.
At2g45500.1	BZIP12	bZIP	18756829	+	3096	n.a.	n.a.	n.a.
At3g01630.1	BZIP12	bZIP	239293	+	2047	n.a.	n.a.	n.a.
At3g01640.1	BZIP12	bZIP	239293	+	-95	n.a.	n.a.	n.a.
At3g02550.1	BZIP12	bZIP	539239	-	-1234	n.a.	n.a.	n.a.
At3g02555.1	BZIP12	bZIP	539239	-	2271	n.a.	n.a.	n.a.
At3g04970.1	BZIP12	bZIP	1379174	+	2993	n.a.	n.a.	n.a.
At3g04980.1	BZIP12	bZIP	1379174	-	3013	n.a.	n.a.	n.a.
At3g05890.1	BZIP12	bZIP	1759652	+	-1154	n.a.	n.a.	n.a.
At3g05905.1	BZIP12	bZIP	1759652	-	-1259	n.a.	n.a.	n.a.
At3g07160.1	BZIP12	bZIP	2278596	-	793	n.a.	n.a.	n.a.
At3g07170.1	BZIP12	bZIP	2278596	+	-1604	n.a.	n.a.	n.a.
At3g09770.1	BZIP12	bZIP	3000034	-	-1839	n.a.	n.a.	n.a.
At3g09780.1	BZIP12	bZIP	3000034	-	3150	n.a.	n.a.	n.a.
At3g14210.1	BZIP12	bZIP	4731798	-	1968	n.a.	n.a.	n.a.
At3g14220.1	BZIP12	bZIP	4731798	-	-1102	n.a.	n.a.	n.a.
At3g15660.1	BZIP12	bZIP	5311235	+	-1671	n.a.	n.a.	n.a.
At3g15670.1	BZIP12	bZIP	5311235	+	-240	n.a.	n.a.	n.a.
At3g19270.1	BZIP12	bZIP	6674224	+	2302	n.a.	n.a.	n.a.
At3g19390.1	BZIP12	bZIP	6722874	-	-121	n.a.	n.a.	n.a.
At3g21080.1	BZIP12	bZIP	7390822	-	-842	n.a.	n.a.	n.a.
At3g22136.1	BZIP12	bZIP	7803848	-	-1433	n.a.	n.a.	n.a.
At3g24630.1	BZIP12	bZIP	8990452	+	2047	n.a.	n.a.	n.a.
At3g24640.1	BZIP12	bZIP	8990452	+	-1844	n.a.	n.a.	n.a.
At3g25670.1	BZIP12	bZIP	9348910	-	-1372	n.a.	n.a.	n.a.
At3g25680.1	BZIP12	bZIP	9348910	+	-1939	n.a.	n.a.	n.a.
At3g26520.1	BZIP12	bZIP	9725981	+	-929	n.a.	n.a.	n.a.
At3g26520.1	BZIP12	bZIP	9726223	+	-1171	n.a.	n.a.	n.a.
At3g26520.1	BZIP12	bZIP	9726457	+	-1405	n.a.	n.a.	n.a.
At3g26525.1	BZIP12	bZIP	9726223	-	-761	n.a.	n.a.	n.a.
At3g26525.1	BZIP12	bZIP	9726457	-	-527	n.a.	n.a.	n.a.
At3g26525.1	BZIP12	bZIP	9725981	-	-1003	n.a.	n.a.	n.a.
At3g28918.1	BZIP12	bZIP	10936106	-	1903	n.a.	n.a.	n.a.
At3g29033.1	BZIP12	bZIP	11027045	-	1801	n.a.	n.a.	n.a.
At3g29036.1	BZIP12	bZIP	11027045	+	2777	n.a.	n.a.	n.a.
At3g30219.1	BZIP12	bZIP	11877886	+	3836	n.a.	n.a.	n.a.
At3g30220.1	BZIP12	bZIP	11877886	-	3051	n.a.	n.a.	n.a.
At3g30222.1	BZIP12	bZIP	11877886	-	3500	n.a.	n.a.	n.a.
At3g30340.1	BZIP12	bZIP	11960611	-	1531	n.a.	n.a.	n.a.
At3g30345.1	BZIP12	bZIP	11960611	-	-1035	n.a.	n.a.	n.a.
At3g30350.1	BZIP12	bZIP	11960611	+	3654	n.a.	n.a.	n.a.
At3g42155.1	BZIP12	bZIP	14324964	-	-480	n.a.	n.a.	n.a.
At3g42160.1	BZIP12	bZIP	14324964	+	-605	n.a.	n.a.	n.a.
At3g43147.1	BZIP12	bZIP	15150973	+	2420	n.a.	n.a.	n.a.
At3g43148.1	BZIP12	bZIP	15150973	+	-424	n.a.	n.a.	n.a.
At3g43151.1	BZIP12	bZIP	15158198	-	-569	n.a.	n.a.	n.a.
At3g43152.1	BZIP12	bZIP	15158198	+	-32	n.a.	n.a.	n.a.
At3g43153.1	BZIP12	bZIP	15158198	-	3706	n.a.	n.a.	n.a.
At3g43660.1	BZIP12	bZIP	15578378	+	2166	n.a.	n.a.	n.a.
At3g43670.1	BZIP12	bZIP	15578378	+	291	n.a.	n.a.	n.a.
At3g47750.1	BZIP12	bZIP	17618435	+	1023	n.a.	n.a.	n.a.
At3g51800.1	BZIP12	bZIP	19225581	-	-895	n.a.	n.a.	n.a.
At3g51800.1	BZIP12	bZIP	19225635	-	-949	n.a.	n.a.	n.a.
At3g51800.1	BZIP12	bZIP	19225568	-	-882	n.a.	n.a.	n.a.
At3g51800.1	BZIP12	bZIP	19225621	-	-935	n.a.	n.a.	n.a.
At3g51810.1	BZIP12	bZIP	19225568	+	-157	n.a.	n.a.	n.a.
At3g51810.1	BZIP12	bZIP	19225635	+	-90	n.a.	n.a.	n.a.
At3g51810.1	BZIP12	bZIP	19225581	+	-144	n.a.	n.a.	n.a.
At3g51810.1	BZIP12	bZIP	19225621	+	-104	n.a.	n.a.	n.a.
At3g54990.1	BZIP12	bZIP	20389146	-	-1647	n.a.	n.a.	n.a.
At3g55530.1	BZIP12	bZIP	20610391	+	-1809	n.a.	n.a.	n.a.
At3g55540.1	BZIP12	bZIP	20610391	-	1194	n.a.	n.a.	n.a.
At3g55550.1	BZIP12	bZIP	20610391	+	2675	n.a.	n.a.	n.a.
At3g55970.1	BZIP12	bZIP	20777984	+	2319	n.a.	n.a.	n.a.
At3g56190.1	BZIP12	bZIP	20861155	-	-1650	n.a.	n.a.	n.a.
At3g56200.1	BZIP12	bZIP	20861155	+	147	n.a.	n.a.	n.a.
At3g57290.1	BZIP12	bZIP	21211518	+	-1356	n.a.	n.a.	n.a.
At3g57300.1	BZIP12	bZIP	21211518	-	1051	n.a.	n.a.	n.a.
At3g62810.1	BZIP12	bZIP	23241164	-	2507	n.a.	n.a.	n.a.
At3g62820.1	BZIP12	bZIP	23241164	-	440	n.a.	n.a.	n.a.
At4g00020.1	BZIP12	bZIP	11009	+	-554	n.a.	n.a.	n.a.
