Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	SPL14	SBP	3784	+	153	17.62	7.98	9.61
At1g01030.1	SPL14	SBP	12097	-	1617	17.62	7.98	8.4
At1g01150.1	SPL14	SBP	70341	-	1797	17.62	7.98	10.81
At1g01160.1	SPL14	SBP	70341	+	-1998	17.62	7.98	10.81
At1g01250.1	SPL14	SBP	103951	-	1379	17.62	7.98	9.45
At1g01355.1	SPL14	SBP	142163	-	3650	17.62	7.98	9.4
At1g01355.1	SPL14	SBP	142191	-	3678	17.62	7.98	9.1
At1g01360.1	SPL14	SBP	142163	-	192	17.62	7.98	9.4
At1g01360.1	SPL14	SBP	142191	-	220	17.62	7.98	9.1
At1g01370.1	SPL14	SBP	142163	-	-1401	17.62	7.98	9.4
At1g01370.1	SPL14	SBP	142191	-	-1373	17.62	7.98	9.1
At1g01380.1	SPL14	SBP	148511	+	1358	17.62	7.98	11.64
At1g01390.1	SPL14	SBP	148511	-	1295	17.62	7.98	11.64
At1g01448.1	SPL14	SBP	166246	-	2815	17.62	7.98	8.31
At1g01450.1	SPL14	SBP	166246	+	-729	17.62	7.98	8.31
At1g01453.1	SPL14	SBP	166246	+	1596	17.62	7.98	8.31
At1g01500.1	SPL14	SBP	184678	-	-455	17.62	7.98	8.02
At1g01500.1	SPL14	SBP	185809	+	676	17.62	7.98	8.22
At1g01510.1	SPL14	SBP	185809	+	-1402	17.62	7.98	8.22
At1g01560.1	SPL14	SBP	205864	-	3728	17.62	7.98	10.17
At1g01570.1	SPL14	SBP	205864	-	688	17.62	7.98	10.17
At1g01570.1	SPL14	SBP	208006	+	2830	17.62	7.98	8.73
At1g01580.1	SPL14	SBP	208006	+	-1389	17.62	7.98	8.73
At1g01630.1	SPL14	SBP	230626	-	1613	17.62	7.98	8.49
At1g01640.1	SPL14	SBP	230626	+	1882	17.62	7.98	8.49
At1g01650.1	SPL14	SBP	235775	-	2042	17.62	7.98	8.15
At1g01650.1	SPL14	SBP	237963	-	-146	17.62	7.98	9.73
At1g01710.1	SPL14	SBP	263768	-	940	17.62	7.98	8.72
