Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	AG	MADS	4679	+	1048	14.56	6.32	8.1
At1g01020.1	AG	MADS	8353	+	384	14.56	6.32	9.1
At1g01020.1	AG	MADS	8381	-	356	14.56	6.32	8.24
At1g01020.1	AG	MADS	8098	+	639	14.56	6.32	7.58
At1g01020.1	AG	MADS	8055	+	682	14.56	6.32	6.82
At1g01020.1	AG	MADS	8353	-	384	14.56	6.32	9.11
At1g01020.1	AG	MADS	8380	+	357	14.56	6.32	7.25
At1g01020.1	AG	MADS	8525	-	212	14.56	6.32	6.89
At1g01040.1	AG	MADS	24920	-	1774	14.56	6.32	7.62
At1g01040.1	AG	MADS	25778	-	2632	14.56	6.32	6.94
At1g01046.1	AG	MADS	30139	-	1639	14.56	6.32	7.01
At1g01046.1	AG	MADS	30195	-	1695	14.56	6.32	6.61
At1g01050.1	AG	MADS	32724	+	429	14.56	6.32	7.48
At1g01050.1	AG	MADS	32888	-	265	14.56	6.32	6.8
At1g01050.1	AG	MADS	32724	-	429	14.56	6.32	6.88
At1g01050.1	AG	MADS	30139	+	3014	14.56	6.32	7.01
At1g01050.1	AG	MADS	30195	+	2958	14.56	6.32	6.61
At1g01060.1	AG	MADS	37973	+	-133	14.56	6.32	6.52
At1g01070.1	AG	MADS	37973	+	2971	14.56	6.32	6.52
At1g01100.1	AG	MADS	52920	+	-1812	14.56	6.32	8.22
At1g01110.1	AG	MADS	52920	-	51	14.56	6.32	8.22
At1g01110.1	AG	MADS	55815	-	2946	14.56	6.32	8.78
At1g01110.1	AG	MADS	55815	+	2946	14.56	6.32	9.38
At1g01120.1	AG	MADS	55815	-	3352	14.56	6.32	9.38
At1g01120.1	AG	MADS	57238	-	1929	14.56	6.32	6.36
At1g01120.1	AG	MADS	57605	-	1562	14.56	6.32	6.89
At1g01120.1	AG	MADS	55815	+	3352	14.56	6.32	8.78
At1g01120.1	AG	MADS	58099	+	1068	14.56	6.32	6.86
At1g01130.1	AG	MADS	62536	-	1275	14.56	6.32	6.52
At1g01150.1	AG	MADS	71072	+	1066	14.56	6.32	6.71
At1g01150.1	AG	MADS	72267	+	-129	14.56	6.32	7.05
At1g01160.1	AG	MADS	74788	-	2449	14.56	6.32	7.35
At1g01160.1	AG	MADS	74930	+	2591	14.56	6.32	6.78
At1g01160.1	AG	MADS	72267	-	-72	14.56	6.32	7.05
