Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01020.1	NAM	NAC	9873	+	-1136	n.a.	n.a.	n.a.
At1g01030.1	NAM	NAC	9873	+	3841	n.a.	n.a.	n.a.
At1g01305.1	NAM	NAC	122633	-	3236	n.a.	n.a.	n.a.
At1g01310.1	NAM	NAC	122633	-	2479	n.a.	n.a.	n.a.
At1g01320.1	NAM	NAC	130434	-	-335	n.a.	n.a.	n.a.
At1g01670.1	NAM	NAC	246983	+	-995	n.a.	n.a.	n.a.
At1g01680.1	NAM	NAC	246983	+	1384	n.a.	n.a.	n.a.
At1g02000.1	NAM	NAC	348996	-	3184	n.a.	n.a.	n.a.
At1g02010.1	NAM	NAC	348996	-	1105	n.a.	n.a.	n.a.
At1g02130.1	NAM	NAC	403611	-	-1729	n.a.	n.a.	n.a.
At1g02136.1	NAM	NAC	403611	-	-650	n.a.	n.a.	n.a.
At1g02140.1	NAM	NAC	403611	-	845	n.a.	n.a.	n.a.
At1g02270.1	NAM	NAC	446137	-	98	n.a.	n.a.	n.a.
At1g02540.1	NAM	NAC	536732	+	-1033	n.a.	n.a.	n.a.
At1g02550.1	NAM	NAC	536732	-	249	n.a.	n.a.	n.a.
At1g02560.1	NAM	NAC	536732	-	-1128	n.a.	n.a.	n.a.
At1g02620.1	NAM	NAC	559582	+	2490	n.a.	n.a.	n.a.
At1g02630.1	NAM	NAC	559582	-	2842	n.a.	n.a.	n.a.
At1g02990.1	NAM	NAC	684174	+	3141	n.a.	n.a.	n.a.
At1g03210.1	NAM	NAC	786253	+	3305	n.a.	n.a.	n.a.
At1g03220.1	NAM	NAC	786253	+	-869	n.a.	n.a.	n.a.
At1g03320.1	NAM	NAC	818564	-	1537	n.a.	n.a.	n.a.
At1g03330.1	NAM	NAC	818564	+	999	n.a.	n.a.	n.a.
At1g03340.1	NAM	NAC	818564	-	-1098	n.a.	n.a.	n.a.
At1g04430.1	NAM	NAC	1199221	-	1103	n.a.	n.a.	n.a.
At1g04440.1	NAM	NAC	1204053	+	1799	n.a.	n.a.	n.a.
At1g04620.1	NAM	NAC	1286272	+	311	n.a.	n.a.	n.a.
At1g04625.1	NAM	NAC	1286272	+	2680	n.a.	n.a.	n.a.
At1g04820.1	NAM	NAC	1360283	+	-1898	n.a.	n.a.	n.a.
At1g04830.1	NAM	NAC	1360283	+	1697	n.a.	n.a.	n.a.
At1g05430.1	NAM	NAC	1594975	-	842	n.a.	n.a.	n.a.
At1g05440.1	NAM	NAC	1594975	-	2872	n.a.	n.a.	n.a.
At1g06260.1	NAM	NAC	1916615	+	186	n.a.	n.a.	n.a.
At1g06265.1	NAM	NAC	1916615	-	1045	n.a.	n.a.	n.a.
At1g06270.1	NAM	NAC	1916615	-	3144	n.a.	n.a.	n.a.
At1g06730.1	NAM	NAC	2069924	+	2396	n.a.	n.a.	n.a.
At1g06740.1	NAM	NAC	2069924	+	-812	n.a.	n.a.	n.a.
At1g06900.1	NAM	NAC	2117295	-	3449	n.a.	n.a.	n.a.
At1g06970.1	NAM	NAC	2140072	-	1964	n.a.	n.a.	n.a.
At1g06980.1	NAM	NAC	2140072	+	3748	n.a.	n.a.	n.a.
At1g08005.1	NAM	NAC	2488932	-	3591	n.a.	n.a.	n.a.
At1g08010.1	NAM	NAC	2488932	+	-908	n.a.	n.a.	n.a.
At1g08540.1	NAM	NAC	2706093	+	2754	n.a.	n.a.	n.a.
At1g08550.1	NAM	NAC	2706093	+	-834	n.a.	n.a.	n.a.
At1g08600.1	NAM	NAC	2725916	+	1351	n.a.	n.a.	n.a.
At1g08630.1	NAM	NAC	2747220	+	-278	n.a.	n.a.	n.a.
At1g08840.1	NAM	NAC	2834743	+	3629	n.a.	n.a.	n.a.
At1g09280.1	NAM	NAC	3000616	-	701	n.a.	n.a.	n.a.
At1g09290.1	NAM	NAC	3000616	-	3148	n.a.	n.a.	n.a.
