Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01490.1	AtERF-1	AP2/EREBP	180662	+	1696	n.a.	n.a.	n.a.
At1g01650.1	AtERF-1	AP2/EREBP	238495	+	-678	n.a.	n.a.	n.a.
At1g01760.1	AtERF-1	AP2/EREBP	278960	+	-512	n.a.	n.a.	n.a.
At1g01770.1	AtERF-1	AP2/EREBP	278960	-	345	n.a.	n.a.	n.a.
At1g02060.1	AtERF-1	AP2/EREBP	362981	+	113	n.a.	n.a.	n.a.
At1g02228.1	AtERF-1	AP2/EREBP	433360	+	459	n.a.	n.a.	n.a.
At1g02230.1	AtERF-1	AP2/EREBP	433360	+	3416	n.a.	n.a.	n.a.
At1g02460.1	AtERF-1	AP2/EREBP	505803	+	1401	n.a.	n.a.	n.a.
At1g02460.1	AtERF-1	AP2/EREBP	509156	+	-1952	n.a.	n.a.	n.a.
At1g03020.1	AtERF-1	AP2/EREBP	699154	-	-639	n.a.	n.a.	n.a.
At1g03022.1	AtERF-1	AP2/EREBP	699154	+	33	n.a.	n.a.	n.a.
At1g03100.1	AtERF-1	AP2/EREBP	745294	+	1185	n.a.	n.a.	n.a.
At1g03103.1	AtERF-1	AP2/EREBP	745294	-	-1903	n.a.	n.a.	n.a.
At1g03250.1	AtERF-1	AP2/EREBP	795150	-	218	n.a.	n.a.	n.a.
At1g03260.1	AtERF-1	AP2/EREBP	795150	-	3313	n.a.	n.a.	n.a.
At1g03490.1	AtERF-1	AP2/EREBP	873438	-	1563	n.a.	n.a.	n.a.
At1g03495.1	AtERF-1	AP2/EREBP	873438	-	253	n.a.	n.a.	n.a.
At1g03502.1	AtERF-1	AP2/EREBP	873438	+	2034	n.a.	n.a.	n.a.
At1g03530.1	AtERF-1	AP2/EREBP	883409	+	-18	n.a.	n.a.	n.a.
At1g03540.1	AtERF-1	AP2/EREBP	883409	-	-373	n.a.	n.a.	n.a.
At1g03770.1	AtERF-1	AP2/EREBP	946415	-	1821	n.a.	n.a.	n.a.
At1g04730.1	AtERF-1	AP2/EREBP	1330984	+	101	n.a.	n.a.	n.a.
At1g04750.1	AtERF-1	AP2/EREBP	1330984	+	2582	n.a.	n.a.	n.a.
At1g05150.1	AtERF-1	AP2/EREBP	1486606	-	353	n.a.	n.a.	n.a.
At1g05740.1	AtERF-1	AP2/EREBP	1721299	-	626	n.a.	n.a.	n.a.
At1g05750.1	AtERF-1	AP2/EREBP	1721299	-	-209	n.a.	n.a.	n.a.
At1g05760.1	AtERF-1	AP2/EREBP	1725745	-	-1260	n.a.	n.a.	n.a.
At1g05760.1	AtERF-1	AP2/EREBP	1721299	+	3186	n.a.	n.a.	n.a.
At1g05770.1	AtERF-1	AP2/EREBP	1725745	-	537	n.a.	n.a.	n.a.
At1g05780.1	AtERF-1	AP2/EREBP	1725745	+	-862	n.a.	n.a.	n.a.
At1g05925.1	AtERF-1	AP2/EREBP	1799478	+	-417	n.a.	n.a.	n.a.
At1g05930.1	AtERF-1	AP2/EREBP	1799478	-	61	n.a.	n.a.	n.a.
At1g06140.1	AtERF-1	AP2/EREBP	1868711	-	3916	n.a.	n.a.	n.a.
At1g06140.1	AtERF-1	AP2/EREBP	1867766	+	2971	n.a.	n.a.	n.a.
At1g06145.1	AtERF-1	AP2/EREBP	1867766	-	1106	n.a.	n.a.	n.a.
At1g06145.1	AtERF-1	AP2/EREBP	1868711	+	161	n.a.	n.a.	n.a.
At1g06190.1	AtERF-1	AP2/EREBP	1893466	-	681	n.a.	n.a.	n.a.
At1g06200.1	AtERF-1	AP2/EREBP	1893466	-	3468	n.a.	n.a.	n.a.
At1g08130.1	AtERF-1	AP2/EREBP	2547709	+	234	n.a.	n.a.	n.a.
At1g08135.1	AtERF-1	AP2/EREBP	2547709	+	3761	n.a.	n.a.	n.a.
At1g08165.1	AtERF-1	AP2/EREBP	2563002	+	-857	n.a.	n.a.	n.a.
At1g08170.1	AtERF-1	AP2/EREBP	2563002	+	667	n.a.	n.a.	n.a.
At1g08180.1	AtERF-1	AP2/EREBP	2563002	+	2116	n.a.	n.a.	n.a.
At1g10020.1	AtERF-1	AP2/EREBP	3271524	+	465	n.a.	n.a.	n.a.
At1g10700.1	AtERF-1	AP2/EREBP	3554159	-	54	n.a.	n.a.	n.a.
At1g11260.1	AtERF-1	AP2/EREBP	3779073	-	1745	n.a.	n.a.	n.a.
At1g11480.1	AtERF-1	AP2/EREBP	3866698	-	271	n.a.	n.a.	n.a.
At1g11482.1	AtERF-1	AP2/EREBP	3866698	-	2172	n.a.	n.a.	n.a.
At1g11670.1	AtERF-1	AP2/EREBP	3931305	-	271	n.a.	n.a.	n.a.
At1g11930.1	AtERF-1	AP2/EREBP	4028851	-	161	n.a.	n.a.	n.a.
At1g14190.1	AtERF-1	AP2/EREBP	4854955	-	2158	n.a.	n.a.	n.a.
At1g14200.1	AtERF-1	AP2/EREBP	4854955	+	240	n.a.	n.a.	n.a.
At1g14205.1	AtERF-1	AP2/EREBP	4854955	-	-622	n.a.	n.a.	n.a.
At1g14420.1	AtERF-1	AP2/EREBP	4933369	-	141	n.a.	n.a.	n.a.
At1g14430.1	AtERF-1	AP2/EREBP	4933369	+	-746	n.a.	n.a.	n.a.
At1g14850.1	AtERF-1	AP2/EREBP	5124895	-	-1641	n.a.	n.a.	n.a.
At1g14860.1	AtERF-1	AP2/EREBP	5124895	+	158	n.a.	n.a.	n.a.
At1g15100.1	AtERF-1	AP2/EREBP	5193915	-	283	n.a.	n.a.	n.a.
At1g15110.1	AtERF-1	AP2/EREBP	5201140	+	2127	n.a.	n.a.	n.a.
At1g15120.1	AtERF-1	AP2/EREBP	5204307	-	1458	n.a.	n.a.	n.a.
