Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	TOE1(1)	AP2/EREBP	1774	-	-1857	12.39	7.11	8.9
At1g01010.1	TOE1(1)	AP2/EREBP	4257	+	626	12.39	7.11	7.13
At1g01030.1	TOE1(1)	AP2/EREBP	15138	+	-1424	12.39	7.11	9.55
At1g01046.1	TOE1(1)	AP2/EREBP	28975	-	475	12.39	7.11	7.96
At1g01060.1	TOE1(1)	AP2/EREBP	36398	-	1442	12.39	7.11	7.17
At1g01060.1	TOE1(1)	AP2/EREBP	35889	+	1951	12.39	7.11	7.28
At1g01090.1	TOE1(1)	AP2/EREBP	49051	+	235	12.39	7.11	7.92
At1g01100.1	TOE1(1)	AP2/EREBP	49051	+	2057	12.39	7.11	7.92
At1g01120.1	TOE1(1)	AP2/EREBP	60231	-	-1064	12.39	7.11	11.09
At1g01120.1	TOE1(1)	AP2/EREBP	58215	+	952	12.39	7.11	8.25
At1g01130.1	TOE1(1)	AP2/EREBP	60231	-	3580	12.39	7.11	11.09
At1g01180.1	TOE1(1)	AP2/EREBP	78946	-	3313	12.39	7.11	10.59
At1g01183.1	TOE1(1)	AP2/EREBP	78946	+	86	12.39	7.11	10.59
At1g01190.1	TOE1(1)	AP2/EREBP	82680	-	2184	12.39	7.11	8.64
At1g01230.1	TOE1(1)	AP2/EREBP	100761	-	3305	12.39	7.11	8.65
At1g01240.1	TOE1(1)	AP2/EREBP	100761	-	839	12.39	7.11	8.65
At1g01250.1	TOE1(1)	AP2/EREBP	104229	+	1101	12.39	7.11	7.99
At1g01260.1	TOE1(1)	AP2/EREBP	109617	-	585	12.39	7.11	7.44
At1g01270.1	TOE1(1)	AP2/EREBP	109617	+	2344	12.39	7.11	7.44
At1g01300.1	TOE1(1)	AP2/EREBP	118705	+	1762	12.39	7.11	8.9
At1g01300.1	TOE1(1)	AP2/EREBP	118293	-	1350	12.39	7.11	7.48
At1g01305.1	TOE1(1)	AP2/EREBP	118705	+	-692	12.39	7.11	8.9
At1g01305.1	TOE1(1)	AP2/EREBP	118293	-	-1104	12.39	7.11	7.48
At1g01305.1	TOE1(1)	AP2/EREBP	120498	+	1101	12.39	7.11	8.57
At1g01310.1	TOE1(1)	AP2/EREBP	118705	+	-1449	12.39	7.11	8.9
At1g01310.1	TOE1(1)	AP2/EREBP	118293	-	-1861	12.39	7.11	7.48
At1g01310.1	TOE1(1)	AP2/EREBP	120498	+	344	12.39	7.11	8.57
At1g01340.1	TOE1(1)	AP2/EREBP	134400	+	922	12.39	7.11	7.12
At1g01350.1	TOE1(1)	AP2/EREBP	134400	-	-1724	12.39	7.11	7.12
At1g01350.1	TOE1(1)	AP2/EREBP	139397	+	3273	12.39	7.11	7.13
At1g01350.1	TOE1(1)	AP2/EREBP	139637	+	3513	12.39	7.11	7.21
At1g01355.1	TOE1(1)	AP2/EREBP	139397	+	884	12.39	7.11	7.13
At1g01355.1	TOE1(1)	AP2/EREBP	139637	+	1124	12.39	7.11	7.21
At1g01360.1	TOE1(1)	AP2/EREBP	143808	+	1837	12.39	7.11	7.27
At1g01370.1	TOE1(1)	AP2/EREBP	143808	+	244	12.39	7.11	7.27
At1g01390.1	TOE1(1)	AP2/EREBP	151722	-	-1916	12.39	7.11	8.9
At1g01400.1	TOE1(1)	AP2/EREBP	151722	-	488	12.39	7.11	8.9
At1g01400.1	TOE1(1)	AP2/EREBP	152115	-	95	12.39	7.11	8.34
At1g01410.1	TOE1(1)	AP2/EREBP	151722	+	-1391	12.39	7.11	8.9
At1g01410.1	TOE1(1)	AP2/EREBP	152115	+	-998	12.39	7.11	8.34
