Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01080.1	TAC1	C2H2(Zn)	45285	-	1734	n.a.	n.a.	n.a.
At1g01080.1	TAC1	C2H2(Zn)	47263	+	-244	n.a.	n.a.	n.a.
At1g01090.1	TAC1	C2H2(Zn)	47263	+	2023	n.a.	n.a.	n.a.
At1g01090.1	TAC1	C2H2(Zn)	50941	+	-1655	n.a.	n.a.	n.a.
At1g01100.1	TAC1	C2H2(Zn)	50941	+	167	n.a.	n.a.	n.a.
At1g01110.1	TAC1	C2H2(Zn)	50941	-	-1928	n.a.	n.a.	n.a.
At1g01180.1	TAC1	C2H2(Zn)	77975	+	2342	n.a.	n.a.	n.a.
At1g01183.1	TAC1	C2H2(Zn)	77975	-	1057	n.a.	n.a.	n.a.
At1g01490.1	TAC1	C2H2(Zn)	183982	-	-1624	n.a.	n.a.	n.a.
At1g01500.1	TAC1	C2H2(Zn)	183982	+	-1151	n.a.	n.a.	n.a.
At1g01540.1	TAC1	C2H2(Zn)	195861	-	49	n.a.	n.a.	n.a.
At1g01550.1	TAC1	C2H2(Zn)	200976	+	1337	n.a.	n.a.	n.a.
At1g01560.1	TAC1	C2H2(Zn)	200976	+	-1160	n.a.	n.a.	n.a.
At1g01700.1	TAC1	C2H2(Zn)	261196	-	278	n.a.	n.a.	n.a.
At1g01710.1	TAC1	C2H2(Zn)	261196	+	-1632	n.a.	n.a.	n.a.
At1g01760.1	TAC1	C2H2(Zn)	279479	+	-1031	n.a.	n.a.	n.a.
At1g01770.1	TAC1	C2H2(Zn)	279479	-	864	n.a.	n.a.	n.a.
At1g01770.1	TAC1	C2H2(Zn)	282516	+	3901	n.a.	n.a.	n.a.
At1g01780.1	TAC1	C2H2(Zn)	282516	+	-245	n.a.	n.a.	n.a.
At1g01780.1	TAC1	C2H2(Zn)	286271	+	3510	n.a.	n.a.	n.a.
At1g01790.1	TAC1	C2H2(Zn)	286271	+	1490	n.a.	n.a.	n.a.
At1g02030.1	TAC1	C2H2(Zn)	358736	-	-1478	n.a.	n.a.	n.a.
At1g02040.1	TAC1	C2H2(Zn)	358736	-	342	n.a.	n.a.	n.a.
