Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01355.1	AtMYC2	bHLH	140452	-	1939	n.a.	n.a.	n.a.
At1g01360.1	AtMYC2	bHLH	140452	-	-1519	n.a.	n.a.	n.a.
At1g01470.1	AtMYC2	bHLH	173030	-	-82	n.a.	n.a.	n.a.
At1g01471.1	AtMYC2	bHLH	173030	+	-221	n.a.	n.a.	n.a.
At1g01600.1	AtMYC2	bHLH	220361	+	1367	n.a.	n.a.	n.a.
At1g01610.1	AtMYC2	bHLH	220361	-	3979	n.a.	n.a.	n.a.
At1g02100.1	AtMYC2	bHLH	393178	-	3366	n.a.	n.a.	n.a.
At1g02110.1	AtMYC2	bHLH	393178	-	239	n.a.	n.a.	n.a.
At1g02660.1	AtMYC2	bHLH	575652	-	-671	n.a.	n.a.	n.a.
At1g02670.1	AtMYC2	bHLH	575652	+	-394	n.a.	n.a.	n.a.
At1g03850.1	AtMYC2	bHLH	977449	+	311	n.a.	n.a.	n.a.
At1g04310.1	AtMYC2	bHLH	1159170	+	-1460	n.a.	n.a.	n.a.
At1g04320.1	AtMYC2	bHLH	1159170	-	148	n.a.	n.a.	n.a.
At1g04330.1	AtMYC2	bHLH	1159170	+	2811	n.a.	n.a.	n.a.
At1g05100.1	AtMYC2	bHLH	1469122	+	-487	n.a.	n.a.	n.a.
At1g05250.1	AtMYC2	bHLH	1528552	-	-1319	n.a.	n.a.	n.a.
At1g05260.1	AtMYC2	bHLH	1528552	+	-1214	n.a.	n.a.	n.a.
At1g05530.1	AtMYC2	bHLH	1637742	-	120	n.a.	n.a.	n.a.
At1g05540.1	AtMYC2	bHLH	1637742	+	-1543	n.a.	n.a.	n.a.
At1g06790.1	AtMYC2	bHLH	2091175	-	3944	n.a.	n.a.	n.a.
At1g06800.1	AtMYC2	bHLH	2091175	+	510	n.a.	n.a.	n.a.
At1g06810.1	AtMYC2	bHLH	2091175	+	1352	n.a.	n.a.	n.a.
At1g07070.1	AtMYC2	bHLH	2169919	+	1356	n.a.	n.a.	n.a.
At1g07080.1	AtMYC2	bHLH	2169919	+	-62	n.a.	n.a.	n.a.
At1g07340.1	AtMYC2	bHLH	2256388	+	1567	n.a.	n.a.	n.a.
At1g07350.1	AtMYC2	bHLH	2256388	-	3711	n.a.	n.a.	n.a.
At1g07400.1	AtMYC2	bHLH	2275436	+	496	n.a.	n.a.	n.a.
At1g07410.1	AtMYC2	bHLH	2275436	+	-831	n.a.	n.a.	n.a.
At1g07990.1	AtMYC2	bHLH	2481054	+	3900	n.a.	n.a.	n.a.
At1g08165.1	AtMYC2	bHLH	2563768	+	-1623	n.a.	n.a.	n.a.
At1g08170.1	AtMYC2	bHLH	2563768	+	-99	n.a.	n.a.	n.a.
At1g08180.1	AtMYC2	bHLH	2563768	+	1350	n.a.	n.a.	n.a.
At1g08870.1	AtMYC2	bHLH	2847318	-	-707	n.a.	n.a.	n.a.
At1g08880.1	AtMYC2	bHLH	2847318	-	485	n.a.	n.a.	n.a.
At1g08890.1	AtMYC2	bHLH	2847318	+	-1033	n.a.	n.a.	n.a.
At1g09840.1	AtMYC2	bHLH	3198328	-	1953	n.a.	n.a.	n.a.
At1g10400.1	AtMYC2	bHLH	3416008	-	351	n.a.	n.a.	n.a.
At1g10400.1	AtMYC2	bHLH	3416009	-	350	n.a.	n.a.	n.a.
At1g10410.1	AtMYC2	bHLH	3416009	-	3631	n.a.	n.a.	n.a.
At1g10410.1	AtMYC2	bHLH	3416008	-	3632	n.a.	n.a.	n.a.
At1g11250.1	AtMYC2	bHLH	3771729	+	3005	n.a.	n.a.	n.a.
At1g11710.1	AtMYC2	bHLH	3951057	+	2343	n.a.	n.a.	n.a.
At1g11720.1	AtMYC2	bHLH	3951057	+	-1454	n.a.	n.a.	n.a.
At1g11820.1	AtMYC2	bHLH	3995213	+	-1689	n.a.	n.a.	n.a.
At1g11840.1	AtMYC2	bHLH	3995213	-	-188	n.a.	n.a.	n.a.
At1g12020.1	AtMYC2	bHLH	4065082	-	-1747	n.a.	n.a.	n.a.
At1g12030.1	AtMYC2	bHLH	4065082	-	1257	n.a.	n.a.	n.a.
At1g12420.1	AtMYC2	bHLH	4229813	+	-677	n.a.	n.a.	n.a.
At1g12423.1	AtMYC2	bHLH	4229813	+	1331	n.a.	n.a.	n.a.
At1g13670.1	AtMYC2	bHLH	4688467	+	314	n.a.	n.a.	n.a.
At1g13680.1	AtMYC2	bHLH	4688467	+	-1939	n.a.	n.a.	n.a.
At1g13730.1	AtMYC2	bHLH	4713586	-	3765	n.a.	n.a.	n.a.
At1g13740.1	AtMYC2	bHLH	4713586	-	-85	n.a.	n.a.	n.a.
At1g13810.1	AtMYC2	bHLH	4735544	-	1511	n.a.	n.a.	n.a.
At1g13810.1	AtMYC2	bHLH	4735543	-	1510	n.a.	n.a.	n.a.
At1g13820.1	AtMYC2	bHLH	4735543	-	-1	n.a.	n.a.	n.a.
At1g13820.1	AtMYC2	bHLH	4735544	-	0	n.a.	n.a.	n.a.
At1g14190.1	AtMYC2	bHLH	4854628	+	1831	n.a.	n.a.	n.a.
At1g14190.1	AtMYC2	bHLH	4854779	+	1982	n.a.	n.a.	n.a.
At1g14200.1	AtMYC2	bHLH	4854628	-	567	n.a.	n.a.	n.a.
At1g14200.1	AtMYC2	bHLH	4854779	-	416	n.a.	n.a.	n.a.
At1g14205.1	AtMYC2	bHLH	4854628	+	-949	n.a.	n.a.	n.a.
At1g14205.1	AtMYC2	bHLH	4854779	+	-798	n.a.	n.a.	n.a.
At1g14420.1	AtMYC2	bHLH	4935379	+	-1869	n.a.	n.a.	n.a.
At1g14430.1	AtMYC2	bHLH	4935379	-	1264	n.a.	n.a.	n.a.
At1g15420.1	AtMYC2	bHLH	5304072	+	-687	n.a.	n.a.	n.a.
At1g15430.1	AtMYC2	bHLH	5304072	-	-240	n.a.	n.a.	n.a.
At1g16540.1	AtMYC2	bHLH	5659202	+	-206	n.a.	n.a.	n.a.
At1g16540.1	AtMYC2	bHLH	5659203	+	-205	n.a.	n.a.	n.a.
At1g17200.1	AtMYC2	bHLH	5882405	-	4000	n.a.	n.a.	n.a.
At1g17200.1	AtMYC2	bHLH	5882404	-	3999	n.a.	n.a.	n.a.
At1g17210.1	AtMYC2	bHLH	5882404	+	2345	n.a.	n.a.	n.a.
At1g17210.1	AtMYC2	bHLH	5882405	+	2344	n.a.	n.a.	n.a.
At1g18120.1	AtMYC2	bHLH	6234654	+	2569	n.a.	n.a.	n.a.
At1g18120.1	AtMYC2	bHLH	6234653	+	2568	n.a.	n.a.	n.a.
At1g18130.1	AtMYC2	bHLH	6234654	+	-1234	n.a.	n.a.	n.a.
At1g18130.1	AtMYC2	bHLH	6234653	+	-1235	n.a.	n.a.	n.a.
At1g18270.1	AtMYC2	bHLH	6294615	+	-751	n.a.	n.a.	n.a.
At1g18280.1	AtMYC2	bHLH	6294615	-	289	n.a.	n.a.	n.a.
At1g19200.1	AtMYC2	bHLH	6627815	-	-1968	n.a.	n.a.	n.a.
At1g19210.1	AtMYC2	bHLH	6627815	-	-294	n.a.	n.a.	n.a.
At1g19240.1	AtMYC2	bHLH	6649348	-	1063	n.a.	n.a.	n.a.
At1g19250.1	AtMYC2	bHLH	6649348	-	3721	n.a.	n.a.	n.a.
At1g19340.1	AtMYC2	bHLH	6688606	+	3864	n.a.	n.a.	n.a.
At1g19350.1	AtMYC2	bHLH	6688606	+	-83	n.a.	n.a.	n.a.
At1g19360.1	AtMYC2	bHLH	6688606	-	3862	n.a.	n.a.	n.a.
At1g19392.1	AtMYC2	bHLH	6709449	+	901	n.a.	n.a.	n.a.
At1g19394.1	AtMYC2	bHLH	6709449	+	-315	n.a.	n.a.	n.a.
At1g19397.1	AtMYC2	bHLH	6709449	+	-1503	n.a.	n.a.	n.a.
At1g19650.1	AtMYC2	bHLH	6799793	-	-43	n.a.	n.a.	n.a.
At1g19660.1	AtMYC2	bHLH	6799793	-	2883	n.a.	n.a.	n.a.
At1g19840.1	AtMYC2	bHLH	6873107	+	139	n.a.	n.a.	n.a.
At1g19870.1	AtMYC2	bHLH	6899702	+	-986	n.a.	n.a.	n.a.
At1g20330.1	AtMYC2	bHLH	7039437	-	712	n.a.	n.a.	n.a.
At1g20340.1	AtMYC2	bHLH	7039437	-	3916	n.a.	n.a.	n.a.
At1g20820.1	AtMYC2	bHLH	7239286	-	3535	n.a.	n.a.	n.a.
At1g20823.1	AtMYC2	bHLH	7239286	+	497	n.a.	n.a.	n.a.
At1g20860.1	AtMYC2	bHLH	7258205	+	461	n.a.	n.a.	n.a.
At1g20870.1	AtMYC2	bHLH	7258205	+	2559	n.a.	n.a.	n.a.
At1g21100.1	AtMYC2	bHLH	7388853	+	-436	n.a.	n.a.	n.a.
At1g21110.1	AtMYC2	bHLH	7388853	+	2689	n.a.	n.a.	n.a.
At1g21930.1	AtMYC2	bHLH	7715373	-	2486	n.a.	n.a.	n.a.
At1g21940.1	AtMYC2	bHLH	7715373	+	1591	n.a.	n.a.	n.a.
At1g21940.1	AtMYC2	bHLH	7716948	+	16	n.a.	n.a.	n.a.
At1g21945.1	AtMYC2	bHLH	7716948	-	-867	n.a.	n.a.	n.a.
At1g22403.1	AtMYC2	bHLH	7909666	+	-168	n.a.	n.a.	n.a.
At1g22600.1	AtMYC2	bHLH	7989309	-	-103	n.a.	n.a.	n.a.
At1g22840.1	AtMYC2	bHLH	8082950	-	3674	n.a.	n.a.	n.a.
At1g22850.1	AtMYC2	bHLH	8082950	+	-86	n.a.	n.a.	n.a.
At1g22860.1	AtMYC2	bHLH	8082950	-	-439	n.a.	n.a.	n.a.
At1g23340.1	AtMYC2	bHLH	8285480	-	1341	n.a.	n.a.	n.a.
At1g24090.1	AtMYC2	bHLH	8523549	-	2726	n.a.	n.a.	n.a.
At1g24100.1	AtMYC2	bHLH	8523549	+	3527	n.a.	n.a.	n.a.
At1g24470.1	AtMYC2	bHLH	8676033	+	1989	n.a.	n.a.	n.a.
At1g24480.1	AtMYC2	bHLH	8676033	-	1114	n.a.	n.a.	n.a.
At1g25510.1	AtMYC2	bHLH	8960147	-	688	n.a.	n.a.	n.a.
At1g25520.1	AtMYC2	bHLH	8960147	+	-1965	n.a.	n.a.	n.a.
At1g27600.1	AtMYC2	bHLH	9606168	-	-80	n.a.	n.a.	n.a.
At1g27610.1	AtMYC2	bHLH	9606168	-	1396	n.a.	n.a.	n.a.
At1g27980.1	AtMYC2	bHLH	9751748	+	3024	n.a.	n.a.	n.a.
At1g27990.1	AtMYC2	bHLH	9751748	-	2191	n.a.	n.a.	n.a.
At1g29920.1	AtMYC2	bHLH	10477738	-	-1795	n.a.	n.a.	n.a.
At1g29920.1	AtMYC2	bHLH	10477747	-	-1804	n.a.	n.a.	n.a.
At1g29930.1	AtMYC2	bHLH	10477738	+	-251	n.a.	n.a.	n.a.
At1g29930.1	AtMYC2	bHLH	10477747	+	-242	n.a.	n.a.	n.a.
At1g31319.1	AtMYC2	bHLH	11213070	-	-1175	n.a.	n.a.	n.a.
At1g31320.1	AtMYC2	bHLH	11213070	+	72	n.a.	n.a.	n.a.
At1g31330.1	AtMYC2	bHLH	11213070	-	2948	n.a.	n.a.	n.a.
At1g32310.1	AtMYC2	bHLH	11655069	-	1525	n.a.	n.a.	n.a.
At1g32310.1	AtMYC2	bHLH	11655068	-	1524	n.a.	n.a.	n.a.
