Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	ANAC81	NAC	5675	-	2044	21.7	9.67	9.71
At1g01010.1	ANAC81	NAC	5685	-	2054	21.7	9.67	10.01
At1g01010.1	ANAC81	NAC	6173	+	2542	21.7	9.67	11.71
At1g01020.1	ANAC81	NAC	5675	+	3062	21.7	9.67	9.71
At1g01020.1	ANAC81	NAC	5685	+	3052	21.7	9.67	10.01
At1g01020.1	ANAC81	NAC	6173	-	2564	21.7	9.67	11.71
At1g01030.1	ANAC81	NAC	12997	+	717	21.7	9.67	14.71
At1g01030.1	ANAC81	NAC	12998	+	716	21.7	9.67	11.37
At1g01040.1	ANAC81	NAC	23143	+	-3	21.7	9.67	10.26
At1g01060.1	ANAC81	NAC	36363	-	1477	21.7	9.67	10.5
At1g01060.1	ANAC81	NAC	37752	-	88	21.7	9.67	10.21
At1g01070.1	ANAC81	NAC	37752	-	3192	21.7	9.67	10.21
At1g01080.1	ANAC81	NAC	43375	+	3644	21.7	9.67	11.45
At1g01080.1	ANAC81	NAC	47341	-	-322	21.7	9.67	12.05
At1g01090.1	ANAC81	NAC	47341	-	1945	21.7	9.67	12.05
At1g01090.1	ANAC81	NAC	49384	+	-98	21.7	9.67	10.66
At1g01100.1	ANAC81	NAC	49384	+	1724	21.7	9.67	10.66
At1g01100.1	ANAC81	NAC	52398	+	-1290	21.7	9.67	10.24
At1g01110.1	ANAC81	NAC	52398	-	-471	21.7	9.67	10.24
At1g01110.1	ANAC81	NAC	54814	-	1945	21.7	9.67	10
At1g01110.1	ANAC81	NAC	55239	+	2370	21.7	9.67	9.98
At1g01120.1	ANAC81	NAC	55239	-	3928	21.7	9.67	9.98
At1g01120.1	ANAC81	NAC	58646	-	521	21.7	9.67	10.82
At1g01130.1	ANAC81	NAC	61864	+	1947	21.7	9.67	12.71
At1g01130.1	ANAC81	NAC	62353	-	1458	21.7	9.67	9.97
