Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01040.1	AtSR1	CAMTA	26726	-	3580	n.a.	n.a.	n.a.
At1g01046.1	AtSR1	CAMTA	26726	-	-1774	n.a.	n.a.	n.a.
At1g01225.1	AtSR1	CAMTA	96810	+	823	n.a.	n.a.	n.a.
At1g01230.1	AtSR1	CAMTA	96810	+	-646	n.a.	n.a.	n.a.
At1g01260.1	AtSR1	CAMTA	110849	+	1817	n.a.	n.a.	n.a.
At1g01270.1	AtSR1	CAMTA	110849	-	1112	n.a.	n.a.	n.a.
At1g01280.1	AtSR1	CAMTA	110849	+	-1414	n.a.	n.a.	n.a.
At1g03020.1	AtSR1	CAMTA	698184	+	331	n.a.	n.a.	n.a.
At1g03022.1	AtSR1	CAMTA	698184	-	-937	n.a.	n.a.	n.a.
At1g04370.1	AtSR1	CAMTA	1178952	+	3776	n.a.	n.a.	n.a.
At1g04380.1	AtSR1	CAMTA	1178952	-	-546	n.a.	n.a.	n.a.
At1g05330.1	AtSR1	CAMTA	1558833	+	664	n.a.	n.a.	n.a.
At1g05340.1	AtSR1	CAMTA	1558833	-	1069	n.a.	n.a.	n.a.
At1g05360.1	AtSR1	CAMTA	1566409	+	1812	n.a.	n.a.	n.a.
At1g07610.1	AtSR1	CAMTA	2342379	+	840	n.a.	n.a.	n.a.
At1g07615.1	AtSR1	CAMTA	2342379	-	1889	n.a.	n.a.	n.a.
At1g07850.1	AtSR1	CAMTA	2428213	-	1471	n.a.	n.a.	n.a.
At1g07850.1	AtSR1	CAMTA	2430340	-	3598	n.a.	n.a.	n.a.
At1g07860.1	AtSR1	CAMTA	2428213	+	1215	n.a.	n.a.	n.a.
At1g07860.1	AtSR1	CAMTA	2430340	+	-912	n.a.	n.a.	n.a.
At1g07870.1	AtSR1	CAMTA	2428213	+	3818	n.a.	n.a.	n.a.
At1g07870.1	AtSR1	CAMTA	2430340	+	1691	n.a.	n.a.	n.a.
At1g08290.1	AtSR1	CAMTA	2614534	-	-1295	n.a.	n.a.	n.a.
At1g08300.1	AtSR1	CAMTA	2614534	+	-237	n.a.	n.a.	n.a.
At1g11660.1	AtSR1	CAMTA	3924106	+	3050	n.a.	n.a.	n.a.
At1g12110.1	AtSR1	CAMTA	4106460	-	1229	n.a.	n.a.	n.a.
At1g12520.1	AtSR1	CAMTA	4269338	+	-414	n.a.	n.a.	n.a.
At1g12530.1	AtSR1	CAMTA	4269338	+	1447	n.a.	n.a.	n.a.
At1g12840.1	AtSR1	CAMTA	4379345	+	3832	n.a.	n.a.	n.a.
At1g12845.1	AtSR1	CAMTA	4379345	-	169	n.a.	n.a.	n.a.
At1g12850.1	AtSR1	CAMTA	4379345	-	2265	n.a.	n.a.	n.a.
At1g13000.1	AtSR1	CAMTA	4437660	+	1802	n.a.	n.a.	n.a.
At1g17760.1	AtSR1	CAMTA	6116599	+	11	n.a.	n.a.	n.a.
At1g18680.1	AtSR1	CAMTA	6435235	+	-1779	n.a.	n.a.	n.a.
At1g18690.1	AtSR1	CAMTA	6435235	-	1669	n.a.	n.a.	n.a.
At1g18690.1	AtSR1	CAMTA	6437506	+	3940	n.a.	n.a.	n.a.
At1g18700.1	AtSR1	CAMTA	6437506	+	-17	n.a.	n.a.	n.a.
At1g20460.1	AtSR1	CAMTA	7093068	-	1717	n.a.	n.a.	n.a.
At1g20470.1	AtSR1	CAMTA	7093068	-	-1182	n.a.	n.a.	n.a.
At1g21281.1	AtSR1	CAMTA	7450093	+	1553	n.a.	n.a.	n.a.
At1g21290.1	AtSR1	CAMTA	7450093	-	590	n.a.	n.a.	n.a.
At1g21300.1	AtSR1	CAMTA	7450093	-	1602	n.a.	n.a.	n.a.
At1g24030.1	AtSR1	CAMTA	8506524	+	3301	n.a.	n.a.	n.a.
At1g24040.1	AtSR1	CAMTA	8506524	-	260	n.a.	n.a.	n.a.
At1g24050.1	AtSR1	CAMTA	8506524	+	-475	n.a.	n.a.	n.a.
At1g24390.1	AtSR1	CAMTA	8651523	-	3333	n.a.	n.a.	n.a.
At1g24400.1	AtSR1	CAMTA	8651523	+	2294	n.a.	n.a.	n.a.
At1g26260.1	AtSR1	CAMTA	9089718	-	2627	n.a.	n.a.	n.a.
At1g26270.1	AtSR1	CAMTA	9089718	+	2726	n.a.	n.a.	n.a.
At1g26850.1	AtSR1	CAMTA	9305640	+	-1514	n.a.	n.a.	n.a.
At1g26860.1	AtSR1	CAMTA	9305640	+	147	n.a.	n.a.	n.a.
At1g27435.1	AtSR1	CAMTA	9530058	-	-1193	n.a.	n.a.	n.a.
At1g27440.1	AtSR1	CAMTA	9530058	-	1304	n.a.	n.a.	n.a.
At1g27450.1	AtSR1	CAMTA	9534934	-	3108	n.a.	n.a.	n.a.
At1g27450.1	AtSR1	CAMTA	9530058	+	-1768	n.a.	n.a.	n.a.
At1g27460.1	AtSR1	CAMTA	9534934	-	415	n.a.	n.a.	n.a.
At1g28590.1	AtSR1	CAMTA	10049095	-	191	n.a.	n.a.	n.a.
At1g29290.1	AtSR1	CAMTA	10243036	+	-1916	n.a.	n.a.	n.a.
At1g30600.1	AtSR1	CAMTA	10844194	-	838	n.a.	n.a.	n.a.
At1g31250.1	AtSR1	CAMTA	11169195	+	-1667	n.a.	n.a.	n.a.
At1g32049.1	AtSR1	CAMTA	11528411	-	703	n.a.	n.a.	n.a.
At1g32050.1	AtSR1	CAMTA	11528411	-	-14	n.a.	n.a.	n.a.
At1g33430.1	AtSR1	CAMTA	12125843	+	606	n.a.	n.a.	n.a.
At1g33550.1	AtSR1	CAMTA	12168425	-	-1824	n.a.	n.a.	n.a.
At1g33560.1	AtSR1	CAMTA	12168425	+	-323	n.a.	n.a.	n.a.
At1g34419.1	AtSR1	CAMTA	12585018	+	-1834	n.a.	n.a.	n.a.
At1g34420.1	AtSR1	CAMTA	12585018	-	453	n.a.	n.a.	n.a.
At1g34620.1	AtSR1	CAMTA	12686360	-	-1835	n.a.	n.a.	n.a.
At1g34630.1	AtSR1	CAMTA	12686360	+	1182	n.a.	n.a.	n.a.
At1g34640.1	AtSR1	CAMTA	12686360	-	2161	n.a.	n.a.	n.a.
At1g36660.1	AtSR1	CAMTA	13865141	-	-960	n.a.	n.a.	n.a.
At1g36670.1	AtSR1	CAMTA	13865141	-	1407	n.a.	n.a.	n.a.
At1g38710.1	AtSR1	CAMTA	14543851	-	1380	n.a.	n.a.	n.a.
At1g38790.1	AtSR1	CAMTA	14543851	-	3118	n.a.	n.a.	n.a.
At1g40093.1	AtSR1	CAMTA	15044634	-	-1095	n.a.	n.a.	n.a.
At1g40095.1	AtSR1	CAMTA	15054395	-	-1142	n.a.	n.a.	n.a.
At1g40097.1	AtSR1	CAMTA	15054395	+	-1845	n.a.	n.a.	n.a.
At1g41825.1	AtSR1	CAMTA	15592669	-	-701	n.a.	n.a.	n.a.
At1g42460.1	AtSR1	CAMTA	15916949	-	2976	n.a.	n.a.	n.a.
At1g45100.1	AtSR1	CAMTA	17055156	+	2085	n.a.	n.a.	n.a.
At1g45110.1	AtSR1	CAMTA	17055156	+	182	n.a.	n.a.	n.a.
At1g47380.1	AtSR1	CAMTA	17378458	-	57	n.a.	n.a.	n.a.
At1g48770.1	AtSR1	CAMTA	18047577	+	3624	n.a.	n.a.	n.a.
At1g48780.1	AtSR1	CAMTA	18047577	+	1920	n.a.	n.a.	n.a.
At1g48790.1	AtSR1	CAMTA	18047577	-	3750	n.a.	n.a.	n.a.
At1g50920.1	AtSR1	CAMTA	18877310	-	3503	n.a.	n.a.	n.a.
At1g51310.1	AtSR1	CAMTA	19025313	-	159	n.a.	n.a.	n.a.
At1g51610.1	AtSR1	CAMTA	19143765	+	3846	n.a.	n.a.	n.a.
At1g51620.1	AtSR1	CAMTA	19143765	+	-33	n.a.	n.a.	n.a.
At1g51650.1	AtSR1	CAMTA	19157730	-	1447	n.a.	n.a.	n.a.
At1g51660.1	AtSR1	CAMTA	19157730	-	-261	n.a.	n.a.	n.a.
At1g52070.1	AtSR1	CAMTA	19369188	-	1405	n.a.	n.a.	n.a.
At1g52565.1	AtSR1	CAMTA	19585380	+	-1025	n.a.	n.a.	n.a.
At1g54830.1	AtSR1	CAMTA	20457097	+	2347	n.a.	n.a.	n.a.
At1g54840.1	AtSR1	CAMTA	20457097	-	819	n.a.	n.a.	n.a.
At1g54850.1	AtSR1	CAMTA	20457097	+	-959	n.a.	n.a.	n.a.
At1g55540.1	AtSR1	CAMTA	20742988	-	-1302	n.a.	n.a.	n.a.
At1g55545.1	AtSR1	CAMTA	20742988	-	3852	n.a.	n.a.	n.a.
At1g55870.1	AtSR1	CAMTA	20901100	-	1829	n.a.	n.a.	n.a.
At1g55880.1	AtSR1	CAMTA	20901100	+	3748	n.a.	n.a.	n.a.
At1g56410.1	AtSR1	CAMTA	21121898	+	1086	n.a.	n.a.	n.a.
At1g56415.1	AtSR1	CAMTA	21121898	+	-1596	n.a.	n.a.	n.a.
