Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01030.1	TGA2(1)	bZIP	14290	-	-576	12.08	6.91	7.04
At1g01040.1	TGA2(1)	bZIP	24878	-	1732	12.08	6.91	8.93
At1g01040.1	TGA2(1)	bZIP	24878	+	1732	12.08	6.91	8.81
At1g01080.1	TGA2(1)	bZIP	48422	+	-1403	12.08	6.91	9.58
At1g01080.1	TGA2(1)	bZIP	44214	+	2805	12.08	6.91	7.22
At1g01080.1	TGA2(1)	bZIP	48422	-	-1403	12.08	6.91	9.1
At1g01090.1	TGA2(1)	bZIP	48422	-	864	12.08	6.91	9.1
At1g01090.1	TGA2(1)	bZIP	48422	+	864	12.08	6.91	9.58
At1g01100.1	TGA2(1)	bZIP	48422	+	2686	12.08	6.91	9.58
At1g01100.1	TGA2(1)	bZIP	48422	-	2686	12.08	6.91	9.1
At1g01110.1	TGA2(1)	bZIP	55476	-	2607	12.08	6.91	8.07
At1g01110.1	TGA2(1)	bZIP	55476	+	2607	12.08	6.91	7.59
At1g01120.1	TGA2(1)	bZIP	55476	+	3691	12.08	6.91	8.07
At1g01120.1	TGA2(1)	bZIP	55476	-	3691	12.08	6.91	7.59
At1g01140.1	TGA2(1)	bZIP	68644	-	-1019	12.08	6.91	6.96
At1g01150.1	TGA2(1)	bZIP	68644	-	3494	12.08	6.91	6.96
At1g01190.1	TGA2(1)	bZIP	82146	+	2718	12.08	6.91	11.93
At1g01190.1	TGA2(1)	bZIP	82146	-	2718	12.08	6.91	11.46
At1g01225.1	TGA2(1)	bZIP	95956	-	-31	12.08	6.91	10.38
At1g01225.1	TGA2(1)	bZIP	97121	-	1134	12.08	6.91	8.67
At1g01225.1	TGA2(1)	bZIP	97121	+	1134	12.08	6.91	8.2
At1g01225.1	TGA2(1)	bZIP	95956	+	-31	12.08	6.91	10.38
At1g01230.1	TGA2(1)	bZIP	97121	-	-335	12.08	6.91	8.67
At1g01230.1	TGA2(1)	bZIP	95956	-	-1500	12.08	6.91	10.38
At1g01230.1	TGA2(1)	bZIP	95956	+	-1500	12.08	6.91	10.38
At1g01230.1	TGA2(1)	bZIP	97121	+	-335	12.08	6.91	8.2
At1g01250.1	TGA2(1)	bZIP	106738	-	-1408	12.08	6.91	6.96
At1g01320.1	TGA2(1)	bZIP	128372	+	1727	12.08	6.91	8.67
At1g01320.1	TGA2(1)	bZIP	128372	-	1727	12.08	6.91	8.2
At1g01370.1	TGA2(1)	bZIP	145970	-	2406	12.08	6.91	7.22
At1g01380.1	TGA2(1)	bZIP	145970	-	-1183	12.08	6.91	7.22
At1g01390.1	TGA2(1)	bZIP	145970	+	3836	12.08	6.91	7.22
At1g01480.1	TGA2(1)	bZIP	178755	+	2973	12.08	6.91	7.82
At1g01480.1	TGA2(1)	bZIP	178755	-	2973	12.08	6.91	7.34
At1g01490.1	TGA2(1)	bZIP	178755	-	3603	12.08	6.91	7.82
At1g01490.1	TGA2(1)	bZIP	178755	+	3603	12.08	6.91	7.34
At1g01500.1	TGA2(1)	bZIP	187035	-	1902	12.08	6.91	7.2
At1g01500.1	TGA2(1)	bZIP	188093	+	2960	12.08	6.91	9.1
At1g01500.1	TGA2(1)	bZIP	187035	+	1902	12.08	6.91	7.2
At1g01500.1	TGA2(1)	bZIP	188093	-	2960	12.08	6.91	9.58
At1g01510.1	TGA2(1)	bZIP	188093	+	882	12.08	6.91	9.1
At1g01510.1	TGA2(1)	bZIP	187035	-	-176	12.08	6.91	7.2
At1g01510.1	TGA2(1)	bZIP	187035	+	-176	12.08	6.91	7.2
At1g01510.1	TGA2(1)	bZIP	188093	-	882	12.08	6.91	9.58
At1g01520.1	TGA2(1)	bZIP	192321	+	1725	12.08	6.91	7.04
At1g01530.1	TGA2(1)	bZIP	192321	-	1349	12.08	6.91	7.04
At1g01600.1	TGA2(1)	bZIP	220375	-	1381	12.08	6.91	8.2
At1g01600.1	TGA2(1)	bZIP	220375	+	1381	12.08	6.91	8.67
At1g01610.1	TGA2(1)	bZIP	220375	-	3965	12.08	6.91	8.67
At1g01610.1	TGA2(1)	bZIP	220375	+	3965	12.08	6.91	8.2
At1g01660.1	TGA2(1)	bZIP	242547	-	61	12.08	6.91	8.93
At1g01660.1	TGA2(1)	bZIP	242547	+	61	12.08	6.91	8.81
At1g01670.1	TGA2(1)	bZIP	242547	+	3441	12.08	6.91	8.81
At1g01670.1	TGA2(1)	bZIP	242547	-	3441	12.08	6.91	8.93
At1g01680.1	TGA2(1)	bZIP	250104	-	-1737	12.08	6.91	9.1
At1g01680.1	TGA2(1)	bZIP	250104	+	-1737	12.08	6.91	9.58
At1g01690.1	TGA2(1)	bZIP	250104	-	963	12.08	6.91	9.58
At1g01690.1	TGA2(1)	bZIP	250104	+	963	12.08	6.91	9.1
At1g01700.1	TGA2(1)	bZIP	262714	-	-1240	12.08	6.91	7.04
At1g01710.1	TGA2(1)	bZIP	262714	+	-114	12.08	6.91	7.04
At1g01730.1	TGA2(1)	bZIP	274157	+	3201	12.08	6.91	7.96
At1g01730.1	TGA2(1)	bZIP	274157	-	3201	12.08	6.91	7.96
At1g01740.1	TGA2(1)	bZIP	274157	-	82	12.08	6.91	7.96
At1g01740.1	TGA2(1)	bZIP	274157	+	82	12.08	6.91	7.96
At1g01750.1	TGA2(1)	bZIP	274157	-	-1209	12.08	6.91	7.96
At1g01750.1	TGA2(1)	bZIP	274157	+	-1209	12.08	6.91	7.96
At1g01770.1	TGA2(1)	bZIP	281975	+	3360	12.08	6.91	8.81
At1g01770.1	TGA2(1)	bZIP	281975	-	3360	12.08	6.91	8.93
At1g01780.1	TGA2(1)	bZIP	281975	+	-786	12.08	6.91	8.81
At1g01780.1	TGA2(1)	bZIP	281975	-	-786	12.08	6.91	8.93
At1g01900.1	TGA2(1)	bZIP	311507	+	1191	12.08	6.91	7.41
At1g01900.1	TGA2(1)	bZIP	311507	-	1191	12.08	6.91	7.76
At1g02020.1	TGA2(1)	bZIP	355946	+	-977	12.08	6.91	8.78
At1g02020.1	TGA2(1)	bZIP	355946	-	-977	12.08	6.91	8.78
At1g02030.1	TGA2(1)	bZIP	358301	-	-1043	12.08	6.91	8.2
At1g02030.1	TGA2(1)	bZIP	355946	+	1312	12.08	6.91	8.78
At1g02030.1	TGA2(1)	bZIP	355946	-	1312	12.08	6.91	8.78
At1g02030.1	TGA2(1)	bZIP	358301	+	-1043	12.08	6.91	8.67
At1g02040.1	TGA2(1)	bZIP	358301	-	777	12.08	6.91	8.2
At1g02040.1	TGA2(1)	bZIP	355946	-	3132	12.08	6.91	8.78
At1g02040.1	TGA2(1)	bZIP	355946	+	3132	12.08	6.91	8.78
At1g02040.1	TGA2(1)	bZIP	358301	+	777	12.08	6.91	8.67
At1g02050.1	TGA2(1)	bZIP	358301	-	2217	12.08	6.91	8.2
At1g02050.1	TGA2(1)	bZIP	358301	+	2217	12.08	6.91	8.67
At1g02065.1	TGA2(1)	bZIP	368790	-	3581	12.08	6.91	8.92
At1g02065.1	TGA2(1)	bZIP	368790	+	3581	12.08	6.91	9.4
At1g02070.1	TGA2(1)	bZIP	368790	+	2177	12.08	6.91	8.92
At1g02070.1	TGA2(1)	bZIP	368790	-	2177	12.08	6.91	9.4
At1g02090.1	TGA2(1)	bZIP	387090	-	2557	12.08	6.91	8.78
At1g02090.1	TGA2(1)	bZIP	387090	+	2557	12.08	6.91	8.78
At1g02110.1	TGA2(1)	bZIP	395006	-	2067	12.08	6.91	7.42
At1g02110.1	TGA2(1)	bZIP	395006	+	2067	12.08	6.91	7.3
At1g02120.1	TGA2(1)	bZIP	395006	-	-755	12.08	6.91	7.42
At1g02120.1	TGA2(1)	bZIP	395006	+	-755	12.08	6.91	7.3
At1g02180.1	TGA2(1)	bZIP	416182	+	-1537	12.08	6.91	7.76
At1g02180.1	TGA2(1)	bZIP	416182	-	-1537	12.08	6.91	7.41
At1g02190.1	TGA2(1)	bZIP	418693	-	3614	12.08	6.91	9.4
At1g02190.1	TGA2(1)	bZIP	416182	-	1103	12.08	6.91	7.76
At1g02190.1	TGA2(1)	bZIP	418784	-	3705	12.08	6.91	8.23
At1g02190.1	TGA2(1)	bZIP	418784	+	3705	12.08	6.91	8.23
At1g02190.1	TGA2(1)	bZIP	418693	+	3614	12.08	6.91	8.92
At1g02190.1	TGA2(1)	bZIP	416182	+	1103	12.08	6.91	7.41
At1g02205.1	TGA2(1)	bZIP	418693	+	-74	12.08	6.91	8.92
At1g02205.1	TGA2(1)	bZIP	418784	-	17	12.08	6.91	8.23
At1g02205.1	TGA2(1)	bZIP	418784	+	17	12.08	6.91	8.23
At1g02205.1	TGA2(1)	bZIP	420132	-	1365	12.08	6.91	6.96
At1g02205.1	TGA2(1)	bZIP	418693	-	-74	12.08	6.91	9.4
At1g02210.1	TGA2(1)	bZIP	424550	+	3261	12.08	6.91	9.58
At1g02210.1	TGA2(1)	bZIP	424550	-	3261	12.08	6.91	9.1
At1g02230.1	TGA2(1)	bZIP	436957	-	-181	12.08	6.91	8.78
At1g02230.1	TGA2(1)	bZIP	436998	+	-222	12.08	6.91	11.31
At1g02230.1	TGA2(1)	bZIP	436998	-	-222	12.08	6.91	11.31
At1g02230.1	TGA2(1)	bZIP	436957	+	-181	12.08	6.91	8.89
At1g02230.1	TGA2(1)	bZIP	437725	-	-949	12.08	6.91	7.04
At1g02250.1	TGA2(1)	bZIP	436957	-	2602	12.08	6.91	8.78
At1g02250.1	TGA2(1)	bZIP	436998	+	2561	12.08	6.91	11.31
At1g02250.1	TGA2(1)	bZIP	436998	-	2561	12.08	6.91	11.31
At1g02250.1	TGA2(1)	bZIP	437725	-	1834	12.08	6.91	7.04
At1g02250.1	TGA2(1)	bZIP	436957	+	2602	12.08	6.91	8.89
At1g02270.1	TGA2(1)	bZIP	447661	+	-1426	12.08	6.91	7.19
At1g02270.1	TGA2(1)	bZIP	447661	-	-1426	12.08	6.91	7.19
At1g02280.1	TGA2(1)	bZIP	447661	+	2764	12.08	6.91	7.19
At1g02280.1	TGA2(1)	bZIP	447661	-	2764	12.08	6.91	7.19
At1g02290.1	TGA2(1)	bZIP	454434	+	-1697	12.08	6.91	8.96
At1g02290.1	TGA2(1)	bZIP	454434	-	-1697	12.08	6.91	8.96
At1g02300.1	TGA2(1)	bZIP	454434	-	1146	12.08	6.91	8.96
At1g02300.1	TGA2(1)	bZIP	454434	+	1146	12.08	6.91	8.96
At1g02305.1	TGA2(1)	bZIP	454434	-	-1254	12.08	6.91	8.96
At1g02305.1	TGA2(1)	bZIP	454434	+	-1254	12.08	6.91	8.96
At1g02340.1	TGA2(1)	bZIP	468570	+	-726	12.08	6.91	7.34
At1g02340.1	TGA2(1)	bZIP	467470	-	374	12.08	6.91	8.31
At1g02340.1	TGA2(1)	bZIP	468965	+	-1121	12.08	6.91	6.96
At1g02340.1	TGA2(1)	bZIP	467470	+	374	12.08	6.91	8.67
At1g02340.1	TGA2(1)	bZIP	468570	-	-726	12.08	6.91	7.82
At1g02350.1	TGA2(1)	bZIP	468965	-	-853	12.08	6.91	6.96
At1g02350.1	TGA2(1)	bZIP	472355	-	2537	12.08	6.91	11.31
At1g02350.1	TGA2(1)	bZIP	472355	+	2537	12.08	6.91	11.31
At1g02350.1	TGA2(1)	bZIP	468570	+	-1248	12.08	6.91	7.82
At1g02350.1	TGA2(1)	bZIP	472386	+	2568	12.08	6.91	7.59
At1g02350.1	TGA2(1)	bZIP	472386	-	2568	12.08	6.91	8.07
At1g02350.1	TGA2(1)	bZIP	468570	-	-1248	12.08	6.91	7.34
At1g02360.1	TGA2(1)	bZIP	474679	-	-1519	12.08	6.91	7.16
At1g02360.1	TGA2(1)	bZIP	472355	-	805	12.08	6.91	11.31
At1g02360.1	TGA2(1)	bZIP	472355	+	805	12.08	6.91	11.31
At1g02360.1	TGA2(1)	bZIP	472386	+	774	12.08	6.91	8.07
At1g02360.1	TGA2(1)	bZIP	472386	-	774	12.08	6.91	7.59
At1g02370.1	TGA2(1)	bZIP	474679	+	179	12.08	6.91	7.16
At1g02370.1	TGA2(1)	bZIP	478222	-	3722	12.08	6.91	7.34
At1g02370.1	TGA2(1)	bZIP	478222	+	3722	12.08	6.91	7.82
At1g02380.1	TGA2(1)	bZIP	478222	-	1222	12.08	6.91	7.34
At1g02380.1	TGA2(1)	bZIP	478222	+	1222	12.08	6.91	7.82
At1g02390.1	TGA2(1)	bZIP	482841	-	1989	12.08	6.91	11.93
At1g02390.1	TGA2(1)	bZIP	482841	+	1989	12.08	6.91	11.46
