Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	WRKY45	WRKY(Zn)	2126	-	-1505	12.3	7.38	7.99
At1g01020.1	WRKY45	WRKY(Zn)	8536	+	201	12.3	7.38	7.54
At1g01030.1	WRKY45	WRKY(Zn)	13496	-	218	12.3	7.38	8.76
At1g01030.1	WRKY45	WRKY(Zn)	13424	-	290	12.3	7.38	8.65
At1g01046.1	WRKY45	WRKY(Zn)	28410	+	-90	12.3	7.38	7.49
At1g01060.1	WRKY45	WRKY(Zn)	38366	+	-526	12.3	7.38	8.41
At1g01070.1	WRKY45	WRKY(Zn)	38366	+	2578	12.3	7.38	8.41
At1g01100.1	WRKY45	WRKY(Zn)	51364	-	-256	12.3	7.38	8.79
At1g01110.1	WRKY45	WRKY(Zn)	53833	+	964	12.3	7.38	7.75
At1g01110.1	WRKY45	WRKY(Zn)	51364	+	-1505	12.3	7.38	8.79
At1g01120.1	WRKY45	WRKY(Zn)	57981	-	1186	12.3	7.38	11.67
At1g01150.1	WRKY45	WRKY(Zn)	71057	-	1081	12.3	7.38	9.76
At1g01160.1	WRKY45	WRKY(Zn)	71057	+	-1282	12.3	7.38	9.76
At1g01170.1	WRKY45	WRKY(Zn)	76517	+	-1780	12.3	7.38	7.99
At1g01170.1	WRKY45	WRKY(Zn)	76540	+	-1803	12.3	7.38	7.75
At1g01180.1	WRKY45	WRKY(Zn)	76540	-	907	12.3	7.38	7.75
At1g01180.1	WRKY45	WRKY(Zn)	76517	-	884	12.3	7.38	7.99
At1g01183.1	WRKY45	WRKY(Zn)	76517	+	2515	12.3	7.38	7.99
At1g01183.1	WRKY45	WRKY(Zn)	76540	+	2492	12.3	7.38	7.75
At1g01190.1	WRKY45	WRKY(Zn)	83373	-	1491	12.3	7.38	7.99
At1g01190.1	WRKY45	WRKY(Zn)	82289	-	2575	12.3	7.38	7.39
At1g01190.1	WRKY45	WRKY(Zn)	83821	-	1043	12.3	7.38	7.53
At1g01190.1	WRKY45	WRKY(Zn)	85583	+	-719	12.3	7.38	10.79
At1g01200.1	WRKY45	WRKY(Zn)	85583	+	2630	12.3	7.38	10.79
At1g01225.1	WRKY45	WRKY(Zn)	98552	-	2565	12.3	7.38	7.63
At1g01230.1	WRKY45	WRKY(Zn)	98552	-	1096	12.3	7.38	7.63
At1g01240.1	WRKY45	WRKY(Zn)	98552	-	-1370	12.3	7.38	7.63
At1g01320.1	WRKY45	WRKY(Zn)	131572	-	-1473	12.3	7.38	7.98
