Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01020.1	ARR1	GARP/ARR-B	10077	+	-1340	n.a.	n.a.	n.a.
At1g01030.1	ARR1	GARP/ARR-B	10077	+	3637	n.a.	n.a.	n.a.
At1g01080.1	ARR1	GARP/ARR-B	45754	-	1265	n.a.	n.a.	n.a.
At1g01090.1	ARR1	GARP/ARR-B	45754	-	3532	n.a.	n.a.	n.a.
At1g01230.1	ARR1	GARP/ARR-B	100393	+	2937	n.a.	n.a.	n.a.
At1g01240.1	ARR1	GARP/ARR-B	100393	+	471	n.a.	n.a.	n.a.
At1g01290.1	ARR1	GARP/ARR-B	116887	-	2601	n.a.	n.a.	n.a.
At1g01300.1	ARR1	GARP/ARR-B	116887	-	-56	n.a.	n.a.	n.a.
At1g01450.1	ARR1	GARP/ARR-B	167104	+	-1587	n.a.	n.a.	n.a.
At1g01453.1	ARR1	GARP/ARR-B	167104	+	738	n.a.	n.a.	n.a.
At1g01460.1	ARR1	GARP/ARR-B	167104	-	-1619	n.a.	n.a.	n.a.
At1g01680.1	ARR1	GARP/ARR-B	250160	-	-1793	n.a.	n.a.	n.a.
At1g01690.1	ARR1	GARP/ARR-B	250160	+	1019	n.a.	n.a.	n.a.
At1g01910.1	ARR1	GARP/ARR-B	315648	-	254	n.a.	n.a.	n.a.
At1g01920.1	ARR1	GARP/ARR-B	315648	+	-539	n.a.	n.a.	n.a.
At1g01940.1	ARR1	GARP/ARR-B	324615	+	1588	n.a.	n.a.	n.a.
At1g01950.1	ARR1	GARP/ARR-B	324615	+	-858	n.a.	n.a.	n.a.
At1g01960.1	ARR1	GARP/ARR-B	336069	+	1513	n.a.	n.a.	n.a.
At1g01990.1	ARR1	GARP/ARR-B	345759	-	-1418	n.a.	n.a.	n.a.
At1g02000.1	ARR1	GARP/ARR-B	345759	+	-53	n.a.	n.a.	n.a.
At1g02010.1	ARR1	GARP/ARR-B	349984	-	2093	n.a.	n.a.	n.a.
At1g02080.1	ARR1	GARP/ARR-B	376267	-	2766	n.a.	n.a.	n.a.
At1g02130.1	ARR1	GARP/ARR-B	403073	+	-1191	n.a.	n.a.	n.a.
At1g02136.1	ARR1	GARP/ARR-B	403073	+	-112	n.a.	n.a.	n.a.
At1g02140.1	ARR1	GARP/ARR-B	403073	+	1383	n.a.	n.a.	n.a.
At1g02228.1	ARR1	GARP/ARR-B	432870	+	949	n.a.	n.a.	n.a.
At1g02230.1	ARR1	GARP/ARR-B	432870	+	3906	n.a.	n.a.	n.a.
At1g02230.1	ARR1	GARP/ARR-B	438531	+	-1755	n.a.	n.a.	n.a.
At1g02250.1	ARR1	GARP/ARR-B	438531	+	1028	n.a.	n.a.	n.a.
At1g02320.1	ARR1	GARP/ARR-B	462834	-	1006	n.a.	n.a.	n.a.
At1g02330.1	ARR1	GARP/ARR-B	462834	+	778	n.a.	n.a.	n.a.
At1g02335.1	ARR1	GARP/ARR-B	462834	+	2090	n.a.	n.a.	n.a.
At1g02380.1	ARR1	GARP/ARR-B	480445	+	3445	n.a.	n.a.	n.a.
At1g02390.1	ARR1	GARP/ARR-B	480445	+	-407	n.a.	n.a.	n.a.
At1g02391.1	ARR1	GARP/ARR-B	480445	-	3474	n.a.	n.a.	n.a.
At1g02400.1	ARR1	GARP/ARR-B	489454	+	2653	n.a.	n.a.	n.a.
At1g02400.1	ARR1	GARP/ARR-B	489687	-	2886	n.a.	n.a.	n.a.
At1g02405.1	ARR1	GARP/ARR-B	489454	-	1051	n.a.	n.a.	n.a.
At1g02405.1	ARR1	GARP/ARR-B	489687	+	818	n.a.	n.a.	n.a.
At1g02405.1	ARR1	GARP/ARR-B	492066	-	-1561	n.a.	n.a.	n.a.
At1g02410.1	ARR1	GARP/ARR-B	489454	+	-1471	n.a.	n.a.	n.a.
At1g02410.1	ARR1	GARP/ARR-B	489687	-	-1238	n.a.	n.a.	n.a.
At1g02410.1	ARR1	GARP/ARR-B	492066	+	1141	n.a.	n.a.	n.a.
At1g02420.1	ARR1	GARP/ARR-B	492066	+	-1617	n.a.	n.a.	n.a.
At1g02460.1	ARR1	GARP/ARR-B	503377	+	3827	n.a.	n.a.	n.a.
At1g02460.1	ARR1	GARP/ARR-B	507749	+	-545	n.a.	n.a.	n.a.
At1g02460.1	ARR1	GARP/ARR-B	507817	+	-613	n.a.	n.a.	n.a.
At1g02470.1	ARR1	GARP/ARR-B	514376	-	-752	n.a.	n.a.	n.a.
At1g02475.1	ARR1	GARP/ARR-B	514376	-	1028	n.a.	n.a.	n.a.
At1g02590.1	ARR1	GARP/ARR-B	551814	+	947	n.a.	n.a.	n.a.
At1g02600.1	ARR1	GARP/ARR-B	551814	-	-826	n.a.	n.a.	n.a.
At1g02720.1	ARR1	GARP/ARR-B	593660	+	1834	n.a.	n.a.	n.a.
At1g02760.1	ARR1	GARP/ARR-B	606389	-	1987	n.a.	n.a.	n.a.
At1g02770.1	ARR1	GARP/ARR-B	606389	+	304	n.a.	n.a.	n.a.
At1g02780.1	ARR1	GARP/ARR-B	606389	+	3076	n.a.	n.a.	n.a.
At1g02840.1	ARR1	GARP/ARR-B	627955	-	1214	n.a.	n.a.	n.a.
At1g02850.1	ARR1	GARP/ARR-B	631307	-	802	n.a.	n.a.	n.a.
At1g02850.1	ARR1	GARP/ARR-B	631832	-	1327	n.a.	n.a.	n.a.
At1g02860.1	ARR1	GARP/ARR-B	639124	-	3980	n.a.	n.a.	n.a.
At1g02870.1	ARR1	GARP/ARR-B	639124	+	-447	n.a.	n.a.	n.a.
At1g02880.1	ARR1	GARP/ARR-B	645713	+	-1192	n.a.	n.a.	n.a.
At1g02950.1	ARR1	GARP/ARR-B	666901	-	-450	n.a.	n.a.	n.a.
At1g02952.1	ARR1	GARP/ARR-B	666901	+	1547	n.a.	n.a.	n.a.
At1g03103.1	ARR1	GARP/ARR-B	748739	-	1542	n.a.	n.a.	n.a.
At1g03106.1	ARR1	GARP/ARR-B	748739	+	295	n.a.	n.a.	n.a.
At1g03110.1	ARR1	GARP/ARR-B	748739	-	-507	n.a.	n.a.	n.a.
At1g03120.1	ARR1	GARP/ARR-B	753538	+	1267	n.a.	n.a.	n.a.
At1g03130.1	ARR1	GARP/ARR-B	753538	-	660	n.a.	n.a.	n.a.
At1g03140.1	ARR1	GARP/ARR-B	753538	-	2765	n.a.	n.a.	n.a.
At1g03140.1	ARR1	GARP/ARR-B	757068	-	-765	n.a.	n.a.	n.a.
At1g03150.1	ARR1	GARP/ARR-B	757068	+	654	n.a.	n.a.	n.a.
At1g03150.1	ARR1	GARP/ARR-B	759653	-	3239	n.a.	n.a.	n.a.
At1g03160.1	ARR1	GARP/ARR-B	759653	-	-1629	n.a.	n.a.	n.a.
At1g03457.1	ARR1	GARP/ARR-B	865876	+	-1751	n.a.	n.a.	n.a.
At1g03457.1	ARR1	GARP/ARR-B	866093	+	-1968	n.a.	n.a.	n.a.
At1g03470.1	ARR1	GARP/ARR-B	865876	+	1857	n.a.	n.a.	n.a.
At1g03470.1	ARR1	GARP/ARR-B	866093	+	1640	n.a.	n.a.	n.a.
At1g03490.1	ARR1	GARP/ARR-B	872840	-	965	n.a.	n.a.	n.a.
At1g03495.1	ARR1	GARP/ARR-B	872840	-	-345	n.a.	n.a.	n.a.
At1g03502.1	ARR1	GARP/ARR-B	872840	+	2632	n.a.	n.a.	n.a.
At1g03540.1	ARR1	GARP/ARR-B	887760	+	3978	n.a.	n.a.	n.a.
At1g03550.1	ARR1	GARP/ARR-B	887760	-	196	n.a.	n.a.	n.a.
At1g04030.1	ARR1	GARP/ARR-B	1044194	+	3677	n.a.	n.a.	n.a.
At1g04040.1	ARR1	GARP/ARR-B	1044194	-	-331	n.a.	n.a.	n.a.
At1g04040.1	ARR1	GARP/ARR-B	1045609	+	-1746	n.a.	n.a.	n.a.
At1g04050.1	ARR1	GARP/ARR-B	1045609	+	3687	n.a.	n.a.	n.a.
At1g04090.1	ARR1	GARP/ARR-B	1057252	-	102	n.a.	n.a.	n.a.
At1g04130.1	ARR1	GARP/ARR-B	1075581	-	2155	n.a.	n.a.	n.a.
At1g04180.1	ARR1	GARP/ARR-B	1103555	-	-1067	n.a.	n.a.	n.a.
At1g04230.1	ARR1	GARP/ARR-B	1124988	-	-529	n.a.	n.a.	n.a.
At1g04480.1	ARR1	GARP/ARR-B	1218629	-	2535	n.a.	n.a.	n.a.
At1g04490.1	ARR1	GARP/ARR-B	1218629	+	1284	n.a.	n.a.	n.a.
At1g04490.1	ARR1	GARP/ARR-B	1221150	-	-1237	n.a.	n.a.	n.a.
At1g04500.1	ARR1	GARP/ARR-B	1221150	-	3215	n.a.	n.a.	n.a.
At1g04790.1	ARR1	GARP/ARR-B	1348490	-	3455	n.a.	n.a.	n.a.
At1g04800.1	ARR1	GARP/ARR-B	1348490	+	795	n.a.	n.a.	n.a.
At1g04810.1	ARR1	GARP/ARR-B	1348490	-	-1689	n.a.	n.a.	n.a.
At1g04810.1	ARR1	GARP/ARR-B	1351411	+	1232	n.a.	n.a.	n.a.
At1g04850.1	ARR1	GARP/ARR-B	1366972	-	1871	n.a.	n.a.	n.a.
At1g04860.1	ARR1	GARP/ARR-B	1372786	+	314	n.a.	n.a.	n.a.
At1g04870.1	ARR1	GARP/ARR-B	1372786	+	2955	n.a.	n.a.	n.a.
At1g04910.1	ARR1	GARP/ARR-B	1389638	+	1548	n.a.	n.a.	n.a.
At1g05070.1	ARR1	GARP/ARR-B	1458848	+	-105	n.a.	n.a.	n.a.
At1g05080.1	ARR1	GARP/ARR-B	1458848	-	-242	n.a.	n.a.	n.a.
At1g05085.1	ARR1	GARP/ARR-B	1463039	+	2052	n.a.	n.a.	n.a.
At1g05090.1	ARR1	GARP/ARR-B	1463039	+	-162	n.a.	n.a.	n.a.
At1g05135.1	ARR1	GARP/ARR-B	1479463	-	-643	n.a.	n.a.	n.a.
At1g05136.1	ARR1	GARP/ARR-B	1479463	+	541	n.a.	n.a.	n.a.
At1g05136.1	ARR1	GARP/ARR-B	1482343	-	3421	n.a.	n.a.	n.a.
At1g05140.1	ARR1	GARP/ARR-B	1482343	-	-204	n.a.	n.a.	n.a.
At1g05270.1	ARR1	GARP/ARR-B	1534663	-	-254	n.a.	n.a.	n.a.
At1g05280.1	ARR1	GARP/ARR-B	1534663	-	2861	n.a.	n.a.	n.a.
At1g05310.1	ARR1	GARP/ARR-B	1553254	-	-738	n.a.	n.a.	n.a.
At1g05310.1	ARR1	GARP/ARR-B	1553890	-	-1374	n.a.	n.a.	n.a.
At1g05320.1	ARR1	GARP/ARR-B	1553254	+	-353	n.a.	n.a.	n.a.
At1g05320.1	ARR1	GARP/ARR-B	1553890	+	283	n.a.	n.a.	n.a.
At1g05380.1	ARR1	GARP/ARR-B	1579302	+	2440	n.a.	n.a.	n.a.
At1g05420.1	ARR1	GARP/ARR-B	1591322	+	1250	n.a.	n.a.	n.a.
At1g05470.1	ARR1	GARP/ARR-B	1608111	+	3055	n.a.	n.a.	n.a.
At1g05540.1	ARR1	GARP/ARR-B	1640178	-	893	n.a.	n.a.	n.a.
At1g05550.1	ARR1	GARP/ARR-B	1640178	+	3569	n.a.	n.a.	n.a.
At1g05590.1	ARR1	GARP/ARR-B	1671155	-	1806	n.a.	n.a.	n.a.
At1g05600.1	ARR1	GARP/ARR-B	1671155	-	-943	n.a.	n.a.	n.a.
At1g05620.1	ARR1	GARP/ARR-B	1681284	-	2127	n.a.	n.a.	n.a.
At1g05630.1	ARR1	GARP/ARR-B	1681284	-	-1033	n.a.	n.a.	n.a.
At1g05720.1	ARR1	GARP/ARR-B	1719243	+	-335	n.a.	n.a.	n.a.
At1g05730.1	ARR1	GARP/ARR-B	1719243	-	689	n.a.	n.a.	n.a.
At1g05740.1	ARR1	GARP/ARR-B	1719243	-	-1430	n.a.	n.a.	n.a.
At1g05835.1	ARR1	GARP/ARR-B	1764305	+	2082	n.a.	n.a.	n.a.
At1g05840.1	ARR1	GARP/ARR-B	1764305	-	1975	n.a.	n.a.	n.a.
At1g05850.1	ARR1	GARP/ARR-B	1769853	-	-1159	n.a.	n.a.	n.a.
At1g05860.1	ARR1	GARP/ARR-B	1769853	+	840	n.a.	n.a.	n.a.
At1g05870.1	ARR1	GARP/ARR-B	1769853	-	3439	n.a.	n.a.	n.a.
At1g05925.1	ARR1	GARP/ARR-B	1800464	-	-1403	n.a.	n.a.	n.a.
At1g05930.1	ARR1	GARP/ARR-B	1800464	+	1047	n.a.	n.a.	n.a.
At1g05940.1	ARR1	GARP/ARR-B	1800464	-	3519	n.a.	n.a.	n.a.
At1g05940.1	ARR1	GARP/ARR-B	1804326	-	-343	n.a.	n.a.	n.a.
At1g05950.1	ARR1	GARP/ARR-B	1804326	-	3144	n.a.	n.a.	n.a.
At1g05960.1	ARR1	GARP/ARR-B	1812251	+	3222	n.a.	n.a.	n.a.
At1g06060.1	ARR1	GARP/ARR-B	1835802	-	2860	n.a.	n.a.	n.a.
At1g06070.1	ARR1	GARP/ARR-B	1835802	+	1845	n.a.	n.a.	n.a.
At1g06135.1	ARR1	GARP/ARR-B	1863103	-	907	n.a.	n.a.	n.a.
At1g06137.1	ARR1	GARP/ARR-B	1863103	+	646	n.a.	n.a.	n.a.
At1g06140.1	ARR1	GARP/ARR-B	1863103	-	-1692	n.a.	n.a.	n.a.
At1g06149.1	ARR1	GARP/ARR-B	1872425	+	1292	n.a.	n.a.	n.a.
At1g06150.1	ARR1	GARP/ARR-B	1872425	+	1292	n.a.	n.a.	n.a.
At1g06260.1	ARR1	GARP/ARR-B	1917675	+	1246	n.a.	n.a.	n.a.
At1g06265.1	ARR1	GARP/ARR-B	1917675	-	-15	n.a.	n.a.	n.a.
At1g06340.1	ARR1	GARP/ARR-B	1935353	+	-1340	n.a.	n.a.	n.a.
At1g06350.1	ARR1	GARP/ARR-B	1935353	+	1465	n.a.	n.a.	n.a.
At1g06360.1	ARR1	GARP/ARR-B	1939077	+	1381	n.a.	n.a.	n.a.
At1g06360.1	ARR1	GARP/ARR-B	1941551	-	-1093	n.a.	n.a.	n.a.
At1g06370.1	ARR1	GARP/ARR-B	1941551	-	2499	n.a.	n.a.	n.a.
At1g06420.1	ARR1	GARP/ARR-B	1959934	+	948	n.a.	n.a.	n.a.
At1g06430.1	ARR1	GARP/ARR-B	1959934	-	3076	n.a.	n.a.	n.a.
At1g06500.1	ARR1	GARP/ARR-B	1988495	+	-983	n.a.	n.a.	n.a.
At1g06515.1	ARR1	GARP/ARR-B	1988495	-	3701	n.a.	n.a.	n.a.
At1g06570.1	ARR1	GARP/ARR-B	2011896	-	1648	n.a.	n.a.	n.a.
At1g06570.1	ARR1	GARP/ARR-B	2012197	+	1347	n.a.	n.a.	n.a.
At1g06580.1	ARR1	GARP/ARR-B	2012197	+	3856	n.a.	n.a.	n.a.
At1g06630.1	ARR1	GARP/ARR-B	2029850	+	2112	n.a.	n.a.	n.a.
At1g06640.1	ARR1	GARP/ARR-B	2032318	+	-19	n.a.	n.a.	n.a.
At1g06645.1	ARR1	GARP/ARR-B	2032318	+	-1910	n.a.	n.a.	n.a.
At1g06830.1	ARR1	GARP/ARR-B	2100703	+	3553	n.a.	n.a.	n.a.
At1g06840.1	ARR1	GARP/ARR-B	2100703	-	2775	n.a.	n.a.	n.a.
At1g06840.1	ARR1	GARP/ARR-B	2101687	-	1791	n.a.	n.a.	n.a.
At1g06890.1	ARR1	GARP/ARR-B	2113641	+	959	n.a.	n.a.	n.a.
At1g06920.1	ARR1	GARP/ARR-B	2125776	+	24	n.a.	n.a.	n.a.
At1g06923.1	ARR1	GARP/ARR-B	2125776	-	-972	n.a.	n.a.	n.a.
At1g06950.1	ARR1	GARP/ARR-B	2134466	+	1198	n.a.	n.a.	n.a.
At1g06960.1	ARR1	GARP/ARR-B	2134466	-	-1385	n.a.	n.a.	n.a.
At1g06990.1	ARR1	GARP/ARR-B	2149026	-	640	n.a.	n.a.	n.a.
At1g06990.1	ARR1	GARP/ARR-B	2150639	-	2253	n.a.	n.a.	n.a.
At1g07000.1	ARR1	GARP/ARR-B	2149026	+	3298	n.a.	n.a.	n.a.
At1g07000.1	ARR1	GARP/ARR-B	2150639	+	1685	n.a.	n.a.	n.a.
At1g07119.1	ARR1	GARP/ARR-B	2187123	+	2777	n.a.	n.a.	n.a.
At1g07120.1	ARR1	GARP/ARR-B	2187123	-	-544	n.a.	n.a.	n.a.
At1g07130.1	ARR1	GARP/ARR-B	2187123	+	-652	n.a.	n.a.	n.a.
At1g07500.1	ARR1	GARP/ARR-B	2306366	-	-1338	n.a.	n.a.	n.a.
At1g07510.1	ARR1	GARP/ARR-B	2306366	+	991	n.a.	n.a.	n.a.
At1g07540.1	ARR1	GARP/ARR-B	2318772	+	2273	n.a.	n.a.	n.a.
At1g07630.1	ARR1	GARP/ARR-B	2352333	+	3239	n.a.	n.a.	n.a.
At1g07640.1	ARR1	GARP/ARR-B	2352333	-	3435	n.a.	n.a.	n.a.
At1g07700.1	ARR1	GARP/ARR-B	2380999	-	1341	n.a.	n.a.	n.a.
At1g07702.1	ARR1	GARP/ARR-B	2380999	+	1329	n.a.	n.a.	n.a.
At1g07705.1	ARR1	GARP/ARR-B	2380999	-	-613	n.a.	n.a.	n.a.
At1g07728.1	ARR1	GARP/ARR-B	2398717	+	3259	n.a.	n.a.	n.a.
At1g07730.2	ARR1	GARP/ARR-B	2398717	-	-24	n.a.	n.a.	n.a.
At1g07740.1	ARR1	GARP/ARR-B	2398717	-	1788	n.a.	n.a.	n.a.
At1g07740.1	ARR1	GARP/ARR-B	2401413	+	-908	n.a.	n.a.	n.a.
At1g07745.1	ARR1	GARP/ARR-B	2401413	+	1457	n.a.	n.a.	n.a.
At1g07800.1	ARR1	GARP/ARR-B	2415753	+	715	n.a.	n.a.	n.a.
At1g07810.1	ARR1	GARP/ARR-B	2415753	+	-509	n.a.	n.a.	n.a.
At1g07820.1	ARR1	GARP/ARR-B	2422893	-	-953	n.a.	n.a.	n.a.
At1g07830.1	ARR1	GARP/ARR-B	2422893	+	655	n.a.	n.a.	n.a.
At1g07840.1	ARR1	GARP/ARR-B	2422893	+	-1158	n.a.	n.a.	n.a.
At1g07880.1	ARR1	GARP/ARR-B	2435513	-	247	n.a.	n.a.	n.a.
At1g07890.1	ARR1	GARP/ARR-B	2435513	+	-1814	n.a.	n.a.	n.a.
At1g07900.1	ARR1	GARP/ARR-B	2444448	+	1827	n.a.	n.a.	n.a.
At1g07901.1	ARR1	GARP/ARR-B	2444448	-	-328	n.a.	n.a.	n.a.
At1g07910.1	ARR1	GARP/ARR-B	2444448	+	-1019	n.a.	n.a.	n.a.
At1g07920.1	ARR1	GARP/ARR-B	2455442	+	599	n.a.	n.a.	n.a.
At1g07920.1	ARR1	GARP/ARR-B	2458480	+	3637	n.a.	n.a.	n.a.
At1g07920.1	ARR1	GARP/ARR-B	2458791	+	3948	n.a.	n.a.	n.a.
At1g07930.1	ARR1	GARP/ARR-B	2458480	+	239	n.a.	n.a.	n.a.
At1g07930.1	ARR1	GARP/ARR-B	2458791	+	550	n.a.	n.a.	n.a.
At1g07940.1	ARR1	GARP/ARR-B	2465000	+	501	n.a.	n.a.	n.a.
At1g07950.1	ARR1	GARP/ARR-B	2465000	+	2019	n.a.	n.a.	n.a.
At1g07985.1	ARR1	GARP/ARR-B	2476700	-	1298	n.a.	n.a.	n.a.
At1g07990.1	ARR1	GARP/ARR-B	2476700	-	-454	n.a.	n.a.	n.a.
At1g08030.1	ARR1	GARP/ARR-B	2492364	+	883	n.a.	n.a.	n.a.
At1g08120.1	ARR1	GARP/ARR-B	2542097	+	3410	n.a.	n.a.	n.a.
At1g08125.1	ARR1	GARP/ARR-B	2542097	-	234	n.a.	n.a.	n.a.
At1g08140.1	ARR1	GARP/ARR-B	2553554	-	1604	n.a.	n.a.	n.a.
At1g08140.1	ARR1	GARP/ARR-B	2555330	-	-172	n.a.	n.a.	n.a.
At1g08150.1	ARR1	GARP/ARR-B	2555330	-	3741	n.a.	n.a.	n.a.
At1g08180.1	ARR1	GARP/ARR-B	2566676	+	-1558	n.a.	n.a.	n.a.
At1g08190.1	ARR1	GARP/ARR-B	2566676	-	-823	n.a.	n.a.	n.a.
At1g08230.2	ARR1	GARP/ARR-B	2587026	+	-285	n.a.	n.a.	n.a.
