Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	GRF7	GRF	4211	-	580	n.a.	n.a.	n.a.
At1g01050.1	GRF7	GRF	33858	+	-705	n.a.	n.a.	n.a.
At1g01060.1	GRF7	GRF	33858	+	3982	n.a.	n.a.	n.a.
At1g01210.1	GRF7	GRF	90973	+	2075	n.a.	n.a.	n.a.
At1g01220.1	GRF7	GRF	90973	+	-777	n.a.	n.a.	n.a.
At1g01225.1	GRF7	GRF	98451	+	2464	n.a.	n.a.	n.a.
At1g01230.1	GRF7	GRF	98451	+	995	n.a.	n.a.	n.a.
At1g01240.1	GRF7	GRF	98451	+	-1471	n.a.	n.a.	n.a.
At1g01340.1	GRF7	GRF	132112	+	3210	n.a.	n.a.	n.a.
At1g01448.1	GRF7	GRF	164681	+	1250	n.a.	n.a.	n.a.
At1g01450.1	GRF7	GRF	164681	-	836	n.a.	n.a.	n.a.
At1g01453.1	GRF7	GRF	164681	-	3161	n.a.	n.a.	n.a.
At1g01490.1	GRF7	GRF	182259	+	99	n.a.	n.a.	n.a.
At1g01500.1	GRF7	GRF	185762	+	629	n.a.	n.a.	n.a.
At1g01510.1	GRF7	GRF	185762	+	-1449	n.a.	n.a.	n.a.
At1g01580.1	GRF7	GRF	210302	-	907	n.a.	n.a.	n.a.
At1g01630.1	GRF7	GRF	230304	-	1291	n.a.	n.a.	n.a.
At1g01640.1	GRF7	GRF	233297	+	-789	n.a.	n.a.	n.a.
At1g01640.1	GRF7	GRF	230304	+	2204	n.a.	n.a.	n.a.
At1g01660.1	GRF7	GRF	241348	+	1260	n.a.	n.a.	n.a.
At1g01690.1	GRF7	GRF	252361	+	3220	n.a.	n.a.	n.a.
At1g01695.1	GRF7	GRF	252361	+	-586	n.a.	n.a.	n.a.
At1g01700.1	GRF7	GRF	260582	+	892	n.a.	n.a.	n.a.
At1g01700.1	GRF7	GRF	260980	+	494	n.a.	n.a.	n.a.
At1g01710.1	GRF7	GRF	260980	-	-1848	n.a.	n.a.	n.a.
At1g01730.1	GRF7	GRF	272882	+	1926	n.a.	n.a.	n.a.
At1g01740.1	GRF7	GRF	272882	-	1357	n.a.	n.a.	n.a.
At1g01750.1	GRF7	GRF	277324	+	1958	n.a.	n.a.	n.a.
At1g01760.1	GRF7	GRF	277324	-	1124	n.a.	n.a.	n.a.
At1g01770.1	GRF7	GRF	277324	+	-1291	n.a.	n.a.	n.a.
At1g01780.1	GRF7	GRF	285072	+	2311	n.a.	n.a.	n.a.
At1g01790.1	GRF7	GRF	285072	+	291	n.a.	n.a.	n.a.
At1g01920.1	GRF7	GRF	319196	-	3009	n.a.	n.a.	n.a.
At1g01930.1	GRF7	GRF	319196	+	3664	n.a.	n.a.	n.a.
At1g01950.1	GRF7	GRF	329345	-	3872	n.a.	n.a.	n.a.
At1g01980.1	GRF7	GRF	343546	+	-1547	n.a.	n.a.	n.a.
At1g01990.1	GRF7	GRF	343546	+	795	n.a.	n.a.	n.a.
At1g02000.1	GRF7	GRF	346889	-	1077	n.a.	n.a.	n.a.
At1g02010.1	GRF7	GRF	351513	+	3622	n.a.	n.a.	n.a.
At1g02010.1	GRF7	GRF	346889	-	-1002	n.a.	n.a.	n.a.
At1g02020.1	GRF7	GRF	351513	-	3456	n.a.	n.a.	n.a.
At1g02110.1	GRF7	GRF	396194	+	3255	n.a.	n.a.	n.a.
At1g02110.1	GRF7	GRF	394997	-	2058	n.a.	n.a.	n.a.
At1g02120.1	GRF7	GRF	394997	-	-764	n.a.	n.a.	n.a.
At1g02120.1	GRF7	GRF	396194	+	433	n.a.	n.a.	n.a.
At1g02130.1	GRF7	GRF	402935	+	-1053	n.a.	n.a.	n.a.
At1g02136.1	GRF7	GRF	402935	+	26	n.a.	n.a.	n.a.
At1g02136.1	GRF7	GRF	403971	-	-1010	n.a.	n.a.	n.a.
At1g02140.1	GRF7	GRF	403971	-	485	n.a.	n.a.	n.a.
At1g02140.1	GRF7	GRF	402935	+	1521	n.a.	n.a.	n.a.
At1g02145.1	GRF7	GRF	403971	+	-629	n.a.	n.a.	n.a.
At1g02228.1	GRF7	GRF	434747	+	-928	n.a.	n.a.	n.a.
