Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	ARR14(1)	GARP/ARR-B	7244	+	3613	10.99	6.35	6.41
At1g01010.1	ARR14(1)	GARP/ARR-B	1643	+	-1988	10.99	6.35	6.62
At1g01010.1	ARR14(1)	GARP/ARR-B	2251	+	-1380	10.99	6.35	6.62
At1g01020.1	ARR14(1)	GARP/ARR-B	8513	+	224	10.99	6.35	6.41
At1g01020.1	ARR14(1)	GARP/ARR-B	7244	-	1493	10.99	6.35	6.41
At1g01040.1	ARR14(1)	GARP/ARR-B	22735	-	-411	10.99	6.35	8.77
At1g01040.1	ARR14(1)	GARP/ARR-B	21457	+	-1689	10.99	6.35	6.56
At1g01040.1	ARR14(1)	GARP/ARR-B	25070	+	1924	10.99	6.35	6.57
At1g01046.1	ARR14(1)	GARP/ARR-B	29231	-	731	10.99	6.35	9.1
At1g01046.1	ARR14(1)	GARP/ARR-B	30144	+	1644	10.99	6.35	7.81
At1g01050.1	ARR14(1)	GARP/ARR-B	29231	+	3922	10.99	6.35	9.1
At1g01050.1	ARR14(1)	GARP/ARR-B	30144	-	3009	10.99	6.35	7.81
At1g01060.1	ARR14(1)	GARP/ARR-B	38715	+	-875	10.99	6.35	8.22
At1g01060.1	ARR14(1)	GARP/ARR-B	39430	+	-1590	10.99	6.35	6.56
At1g01070.1	ARR14(1)	GARP/ARR-B	38715	+	2229	10.99	6.35	8.22
At1g01070.1	ARR14(1)	GARP/ARR-B	39430	+	1514	10.99	6.35	6.56
At1g01080.1	ARR14(1)	GARP/ARR-B	44422	-	2597	10.99	6.35	6.76
At1g01090.1	ARR14(1)	GARP/ARR-B	49422	-	-136	10.99	6.35	8.03
At1g01100.1	ARR14(1)	GARP/ARR-B	49422	-	1686	10.99	6.35	8.03
At1g01110.1	ARR14(1)	GARP/ARR-B	54219	+	1350	10.99	6.35	7.15
At1g01120.1	ARR14(1)	GARP/ARR-B	58551	+	616	10.99	6.35	6.56
At1g01130.1	ARR14(1)	GARP/ARR-B	63664	-	147	10.99	6.35	7.5
At1g01130.1	ARR14(1)	GARP/ARR-B	65757	-	-1946	10.99	6.35	8.43
At1g01140.1	ARR14(1)	GARP/ARR-B	63664	-	3961	10.99	6.35	7.5
