Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01695.1	SUP	C2H2(Zn)	253774	-	827	n.a.	n.a.	n.a.
At1g02910.1	SUP	C2H2(Zn)	656511	-	1637	n.a.	n.a.	n.a.
At1g02920.1	SUP	C2H2(Zn)	656511	-	3260	n.a.	n.a.	n.a.
At1g03380.1	SUP	C2H2(Zn)	839040	+	3215	n.a.	n.a.	n.a.
At1g03390.1	SUP	C2H2(Zn)	839040	-	3377	n.a.	n.a.	n.a.
At1g04900.1	SUP	C2H2(Zn)	1386906	+	3066	n.a.	n.a.	n.a.
At1g05350.1	SUP	C2H2(Zn)	1563206	-	916	n.a.	n.a.	n.a.
At1g05360.1	SUP	C2H2(Zn)	1563206	+	-1391	n.a.	n.a.	n.a.
At1g05400.1	SUP	C2H2(Zn)	1587977	+	3636	n.a.	n.a.	n.a.
At1g05410.1	SUP	C2H2(Zn)	1587977	-	-200	n.a.	n.a.	n.a.
At1g06580.1	SUP	C2H2(Zn)	2016973	-	-920	n.a.	n.a.	n.a.
At1g07728.1	SUP	C2H2(Zn)	2399314	+	3856	n.a.	n.a.	n.a.
At1g07730.2	SUP	C2H2(Zn)	2399314	-	-621	n.a.	n.a.	n.a.
At1g07740.1	SUP	C2H2(Zn)	2399314	-	1191	n.a.	n.a.	n.a.
At1g07970.1	SUP	C2H2(Zn)	2473741	-	-1116	n.a.	n.a.	n.a.
At1g07980.1	SUP	C2H2(Zn)	2473741	-	1183	n.a.	n.a.	n.a.
At1g08130.1	SUP	C2H2(Zn)	2545347	-	2596	n.a.	n.a.	n.a.
At1g09930.1	SUP	C2H2(Zn)	3229286	-	759	n.a.	n.a.	n.a.
At1g09932.1	SUP	C2H2(Zn)	3229286	-	3825	n.a.	n.a.	n.a.
At1g10090.1	SUP	C2H2(Zn)	3293317	+	2883	n.a.	n.a.	n.a.
At1g12940.1	SUP	C2H2(Zn)	4417823	+	1420	n.a.	n.a.	n.a.
At1g12950.1	SUP	C2H2(Zn)	4417823	+	-1945	n.a.	n.a.	n.a.
At1g13230.1	SUP	C2H2(Zn)	4519781	-	-847	n.a.	n.a.	n.a.
At1g13240.1	SUP	C2H2(Zn)	4519781	+	2998	n.a.	n.a.	n.a.
At1g13980.1	SUP	C2H2(Zn)	4788952	-	396	n.a.	n.a.	n.a.
At1g16340.1	SUP	C2H2(Zn)	5591125	+	-498	n.a.	n.a.	n.a.
At1g16350.1	SUP	C2H2(Zn)	5591125	-	180	n.a.	n.a.	n.a.
At1g18620.1	SUP	C2H2(Zn)	6410582	-	580	n.a.	n.a.	n.a.
At1g20040.1	SUP	C2H2(Zn)	6950778	+	-1844	n.a.	n.a.	n.a.
At1g20050.1	SUP	C2H2(Zn)	6950778	-	1744	n.a.	n.a.	n.a.
At1g20540.1	SUP	C2H2(Zn)	7114886	+	2285	n.a.	n.a.	n.a.
At1g20550.1	SUP	C2H2(Zn)	7114886	-	3265	n.a.	n.a.	n.a.
At1g20690.1	SUP	C2H2(Zn)	7173107	+	-1321	n.a.	n.a.	n.a.
At1g21110.1	SUP	C2H2(Zn)	7390974	+	568	n.a.	n.a.	n.a.
At1g21120.1	SUP	C2H2(Zn)	7396195	+	567	n.a.	n.a.	n.a.
At1g21450.1	SUP	C2H2(Zn)	7511226	+	2268	n.a.	n.a.	n.a.
At1g21460.1	SUP	C2H2(Zn)	7511226	-	2124	n.a.	n.a.	n.a.
At1g21620.1	SUP	C2H2(Zn)	7581401	-	2283	n.a.	n.a.	n.a.
At1g21630.1	SUP	C2H2(Zn)	7581401	-	260	n.a.	n.a.	n.a.
At1g23100.1	SUP	C2H2(Zn)	8196899	-	1134	n.a.	n.a.	n.a.
At1g23110.1	SUP	C2H2(Zn)	8196899	+	1153	n.a.	n.a.	n.a.
At1g23120.1	SUP	C2H2(Zn)	8196899	-	-1810	n.a.	n.a.	n.a.
At1g23840.1	SUP	C2H2(Zn)	8426253	-	-888	n.a.	n.a.	n.a.
At1g23850.1	SUP	C2H2(Zn)	8426253	-	971	n.a.	n.a.	n.a.
At1g23860.1	SUP	C2H2(Zn)	8426253	-	3055	n.a.	n.a.	n.a.
At1g24733.1	SUP	C2H2(Zn)	8760548	-	3493	n.a.	n.a.	n.a.
At1g24735.1	SUP	C2H2(Zn)	8760548	-	1863	n.a.	n.a.	n.a.
At1g24764.1	SUP	C2H2(Zn)	8760548	+	2794	n.a.	n.a.	n.a.
At1g24822.1	SUP	C2H2(Zn)	8775468	-	2401	n.a.	n.a.	n.a.
At1g24825.1	SUP	C2H2(Zn)	8775468	+	-420	n.a.	n.a.	n.a.
At1g24909.1	SUP	C2H2(Zn)	8789847	-	-1946	n.a.	n.a.	n.a.
At1g24938.1	SUP	C2H2(Zn)	8789847	-	2220	n.a.	n.a.	n.a.
At1g25097.1	SUP	C2H2(Zn)	8812376	-	2399	n.a.	n.a.	n.a.
At1g25098.1	SUP	C2H2(Zn)	8812376	+	-433	n.a.	n.a.	n.a.
At1g25155.1	SUP	C2H2(Zn)	8826754	-	-1946	n.a.	n.a.	n.a.
At1g25175.1	SUP	C2H2(Zn)	8826754	+	-519	n.a.	n.a.	n.a.
At1g25410.1	SUP	C2H2(Zn)	8914824	-	382	n.a.	n.a.	n.a.
At1g25420.1	SUP	C2H2(Zn)	8914824	+	-1222	n.a.	n.a.	n.a.
At1g26120.1	SUP	C2H2(Zn)	9029801	+	1671	n.a.	n.a.	n.a.
At1g26200.1	SUP	C2H2(Zn)	9064392	-	509	n.a.	n.a.	n.a.
At1g26762.1	SUP	C2H2(Zn)	9256526	+	2908	n.a.	n.a.	n.a.
At1g26940.1	SUP	C2H2(Zn)	9342868	+	-245	n.a.	n.a.	n.a.
At1g27380.1	SUP	C2H2(Zn)	9510974	+	-930	n.a.	n.a.	n.a.
At1g27385.1	SUP	C2H2(Zn)	9510974	+	1873	n.a.	n.a.	n.a.
At1g27430.1	SUP	C2H2(Zn)	9525989	+	926	n.a.	n.a.	n.a.
At1g27435.1	SUP	C2H2(Zn)	9525989	+	2876	n.a.	n.a.	n.a.
At1g28120.1	SUP	C2H2(Zn)	9812242	-	3289	n.a.	n.a.	n.a.
At1g31740.1	SUP	C2H2(Zn)	11366775	+	3114	n.a.	n.a.	n.a.
At1g31810.1	SUP	C2H2(Zn)	11403922	+	2318	n.a.	n.a.	n.a.
At1g32385.1	SUP	C2H2(Zn)	11687570	+	2530	n.a.	n.a.	n.a.
At1g32390.1	SUP	C2H2(Zn)	11687570	+	-539	n.a.	n.a.	n.a.
At1g32400.1	SUP	C2H2(Zn)	11687570	-	3941	n.a.	n.a.	n.a.
At1g33600.1	SUP	C2H2(Zn)	12184170	-	3414	n.a.	n.a.	n.a.
At1g33607.1	SUP	C2H2(Zn)	12184170	+	3233	n.a.	n.a.	n.a.
At1g35130.1	SUP	C2H2(Zn)	12848795	+	-5	n.a.	n.a.	n.a.
At1g35200.1	SUP	C2H2(Zn)	12894455	-	-730	n.a.	n.a.	n.a.
At1g35210.1	SUP	C2H2(Zn)	12894455	-	2925	n.a.	n.a.	n.a.
At1g35230.1	SUP	C2H2(Zn)	12920056	-	2929	n.a.	n.a.	n.a.
At1g35270.1	SUP	C2H2(Zn)	12941679	+	-136	n.a.	n.a.	n.a.
At1g35745.1	SUP	C2H2(Zn)	13247810	-	3226	n.a.	n.a.	n.a.
At1g36130.1	SUP	C2H2(Zn)	13518661	+	3096	n.a.	n.a.	n.a.
At1g36530.1	SUP	C2H2(Zn)	13783162	+	2826	n.a.	n.a.	n.a.
At1g36980.1	SUP	C2H2(Zn)	14030349	-	2880	n.a.	n.a.	n.a.
At1g36990.1	SUP	C2H2(Zn)	14030349	+	2592	n.a.	n.a.	n.a.
At1g38400.1	SUP	C2H2(Zn)	14456867	-	714	n.a.	n.a.	n.a.
At1g39270.1	SUP	C2H2(Zn)	14606334	-	382	n.a.	n.a.	n.a.
At1g41700.1	SUP	C2H2(Zn)	15492271	+	2002	n.a.	n.a.	n.a.
At1g41825.1	SUP	C2H2(Zn)	15593987	+	617	n.a.	n.a.	n.a.
At1g41855.1	SUP	C2H2(Zn)	15643343	+	3297	n.a.	n.a.	n.a.
At1g41860.1	SUP	C2H2(Zn)	15643343	+	746	n.a.	n.a.	n.a.
At1g41910.1	SUP	C2H2(Zn)	15680766	-	772	n.a.	n.a.	n.a.
At1g42140.1	SUP	C2H2(Zn)	15740256	+	3286	n.a.	n.a.	n.a.
At1g42160.1	SUP	C2H2(Zn)	15754485	+	464	n.a.	n.a.	n.a.
At1g42377.1	SUP	C2H2(Zn)	15851952	+	1842	n.a.	n.a.	n.a.
At1g42695.1	SUP	C2H2(Zn)	16051994	+	3284	n.a.	n.a.	n.a.
At1g42736.1	SUP	C2H2(Zn)	16095935	-	3434	n.a.	n.a.	n.a.
At1g42740.1	SUP	C2H2(Zn)	16095935	+	344	n.a.	n.a.	n.a.
At1g43670.1	SUP	C2H2(Zn)	16472507	+	2023	n.a.	n.a.	n.a.
At1g43675.1	SUP	C2H2(Zn)	16472507	+	-805	n.a.	n.a.	n.a.
At1g47260.1	SUP	C2H2(Zn)	17326778	+	-854	n.a.	n.a.	n.a.
At1g47265.1	SUP	C2H2(Zn)	17326778	-	20	n.a.	n.a.	n.a.
At1g48430.1	SUP	C2H2(Zn)	17907239	-	3235	n.a.	n.a.	n.a.
At1g48880.1	SUP	C2H2(Zn)	18084217	+	-484	n.a.	n.a.	n.a.
At1g48890.1	SUP	C2H2(Zn)	18084217	-	3620	n.a.	n.a.	n.a.
At1g49200.1	SUP	C2H2(Zn)	18202498	-	603	n.a.	n.a.	n.a.
At1g49210.1	SUP	C2H2(Zn)	18206191	-	634	n.a.	n.a.	n.a.
At1g51590.1	SUP	C2H2(Zn)	19137129	-	-1143	n.a.	n.a.	n.a.
At1g51600.1	SUP	C2H2(Zn)	19137129	+	1240	n.a.	n.a.	n.a.
At1g52730.1	SUP	C2H2(Zn)	19648222	-	2025	n.a.	n.a.	n.a.
At1g52740.1	SUP	C2H2(Zn)	19648222	-	-714	n.a.	n.a.	n.a.
At1g55080.1	SUP	C2H2(Zn)	20558701	+	-780	n.a.	n.a.	n.a.
At1g55090.1	SUP	C2H2(Zn)	20558701	-	682	n.a.	n.a.	n.a.
At1g56145.1	SUP	C2H2(Zn)	21017186	+	491	n.a.	n.a.	n.a.
At1g56690.1	SUP	C2H2(Zn)	21260342	-	2860	n.a.	n.a.	n.a.
At1g56700.1	SUP	C2H2(Zn)	21260342	-	501	n.a.	n.a.	n.a.
At1g56710.1	SUP	C2H2(Zn)	21260342	+	3256	n.a.	n.a.	n.a.
At1g58200.1	SUP	C2H2(Zn)	21558086	-	-1336	n.a.	n.a.	n.a.
At1g58210.1	SUP	C2H2(Zn)	21558086	+	800	n.a.	n.a.	n.a.
At1g60525.1	SUP	C2H2(Zn)	22303594	+	1376	n.a.	n.a.	n.a.
At1g60530.1	SUP	C2H2(Zn)	22303594	-	132	n.a.	n.a.	n.a.
At1g61255.1	SUP	C2H2(Zn)	22595094	+	-1738	n.a.	n.a.	n.a.
At1g61260.1	SUP	C2H2(Zn)	22595094	+	3640	n.a.	n.a.	n.a.
At1g61510.1	SUP	C2H2(Zn)	22700454	+	585	n.a.	n.a.	n.a.
At1g61800.1	SUP	C2H2(Zn)	22830689	-	2584	n.a.	n.a.	n.a.
At1g62010.1	SUP	C2H2(Zn)	22921824	+	2414	n.a.	n.a.	n.a.
At1g62020.1	SUP	C2H2(Zn)	22921824	+	-1655	n.a.	n.a.	n.a.
At1g62305.1	SUP	C2H2(Zn)	23032712	-	292	n.a.	n.a.	n.a.
At1g62450.1	SUP	C2H2(Zn)	23122970	+	-1935	n.a.	n.a.	n.a.
At1g62460.1	SUP	C2H2(Zn)	23122970	-	648	n.a.	n.a.	n.a.
At1g62860.1	SUP	C2H2(Zn)	23279957	-	185	n.a.	n.a.	n.a.
At1g63820.1	SUP	C2H2(Zn)	23687417	-	613	n.a.	n.a.	n.a.
At1g63830.1	SUP	C2H2(Zn)	23687417	+	-1445	n.a.	n.a.	n.a.
At1g64405.1	SUP	C2H2(Zn)	23926975	-	-420	n.a.	n.a.	n.a.
At1g64930.1	SUP	C2H2(Zn)	24125750	-	1161	n.a.	n.a.	n.a.
At1g64940.1	SUP	C2H2(Zn)	24125750	-	-1702	n.a.	n.a.	n.a.
At1g66020.1	SUP	C2H2(Zn)	24584104	-	2888	n.a.	n.a.	n.a.
At1g66750.1	SUP	C2H2(Zn)	24901171	+	2793	n.a.	n.a.	n.a.
At1g67250.1	SUP	C2H2(Zn)	25167248	-	1471	n.a.	n.a.	n.a.
At1g68905.1	SUP	C2H2(Zn)	25908303	+	2452	n.a.	n.a.	n.a.
At1g68907.1	SUP	C2H2(Zn)	25908303	+	3251	n.a.	n.a.	n.a.
At1g70280.1	SUP	C2H2(Zn)	26472356	-	10	n.a.	n.a.	n.a.
At1g70900.1	SUP	C2H2(Zn)	26736899	+	1424	n.a.	n.a.	n.a.
At1g70910.1	SUP	C2H2(Zn)	26736899	+	-918	n.a.	n.a.	n.a.
At1g71210.1	SUP	C2H2(Zn)	26845921	+	-769	n.a.	n.a.	n.a.
At1g71220.1	SUP	C2H2(Zn)	26845921	-	629	n.a.	n.a.	n.a.
At1g71350.1	SUP	C2H2(Zn)	26896362	-	-1469	n.a.	n.a.	n.a.
At1g71360.1	SUP	C2H2(Zn)	26896362	-	893	n.a.	n.a.	n.a.
At1g71710.1	SUP	C2H2(Zn)	26981420	-	-927	n.a.	n.a.	n.a.
At1g71880.1	SUP	C2H2(Zn)	27061346	+	3504	n.a.	n.a.	n.a.
At1g71890.1	SUP	C2H2(Zn)	27061346	+	-755	n.a.	n.a.	n.a.
At1g72480.1	SUP	C2H2(Zn)	27293932	+	-1902	n.a.	n.a.	n.a.
At1g72490.1	SUP	C2H2(Zn)	27293932	+	772	n.a.	n.a.	n.a.
At1g73090.1	SUP	C2H2(Zn)	27494120	+	2242	n.a.	n.a.	n.a.
At1g73100.1	SUP	C2H2(Zn)	27494120	+	-725	n.a.	n.a.	n.a.
At1g74000.1	SUP	C2H2(Zn)	27833843	+	1249	n.a.	n.a.	n.a.
At1g74010.1	SUP	C2H2(Zn)	27833843	+	3931	n.a.	n.a.	n.a.
At1g74110.1	SUP	C2H2(Zn)	27873740	-	-1711	n.a.	n.a.	n.a.
At1g74120.1	SUP	C2H2(Zn)	27873740	-	3181	n.a.	n.a.	n.a.
At1g74150.1	SUP	C2H2(Zn)	27886855	-	2666	n.a.	n.a.	n.a.
At1g74250.1	SUP	C2H2(Zn)	27927372	-	3383	n.a.	n.a.	n.a.
At1g74430.1	SUP	C2H2(Zn)	27977796	+	-1044	n.a.	n.a.	n.a.
At1g75170.1	SUP	C2H2(Zn)	28220271	-	2803	n.a.	n.a.	n.a.
At1g75180.1	SUP	C2H2(Zn)	28220271	+	1720	n.a.	n.a.	n.a.
At1g75810.1	SUP	C2H2(Zn)	28466964	-	1639	n.a.	n.a.	n.a.
At1g75820.1	SUP	C2H2(Zn)	28466964	+	3668	n.a.	n.a.	n.a.
At1g76260.1	SUP	C2H2(Zn)	28617558	+	2399	n.a.	n.a.	n.a.
At1g77330.1	SUP	C2H2(Zn)	29069280	-	151	n.a.	n.a.	n.a.
