Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	TaNAC69(2)	NAC	3782	-	151	19.93	6.05	7.64
At1g01030.1	TaNAC69(2)	NAC	15085	-	-1371	19.93	6.05	6.98
At1g01040.1	TaNAC69(2)	NAC	25071	-	1925	19.93	6.05	8.37
At1g01040.1	TaNAC69(2)	NAC	26706	-	3560	19.93	6.05	7.34
At1g01040.1	TaNAC69(2)	NAC	26736	+	3590	19.93	6.05	7.11
At1g01046.1	TaNAC69(2)	NAC	26706	-	-1794	19.93	6.05	7.34
At1g01046.1	TaNAC69(2)	NAC	26736	+	-1764	19.93	6.05	7.11
At1g01046.1	TaNAC69(2)	NAC	27856	+	-644	19.93	6.05	6.11
At1g01070.1	TaNAC69(2)	NAC	40279	+	665	19.93	6.05	7.75
At1g01070.1	TaNAC69(2)	NAC	41476	+	-532	19.93	6.05	8.92
At1g01080.1	TaNAC69(2)	NAC	43145	+	3874	19.93	6.05	8.05
At1g01080.1	TaNAC69(2)	NAC	44319	+	2700	19.93	6.05	8.65
At1g01080.1	TaNAC69(2)	NAC	46097	-	922	19.93	6.05	7.55
At1g01080.1	TaNAC69(2)	NAC	48913	+	-1894	19.93	6.05	6.98
At1g01090.1	TaNAC69(2)	NAC	46097	-	3189	19.93	6.05	7.55
At1g01090.1	TaNAC69(2)	NAC	48913	+	373	19.93	6.05	6.98
At1g01100.1	TaNAC69(2)	NAC	48913	+	2195	19.93	6.05	6.98
At1g01120.1	TaNAC69(2)	NAC	59815	+	-648	19.93	6.05	6.89
At1g01130.1	TaNAC69(2)	NAC	59815	+	3996	19.93	6.05	6.89
At1g01130.1	TaNAC69(2)	NAC	63711	+	100	19.93	6.05	8.11
At1g01130.1	TaNAC69(2)	NAC	64252	-	-441	19.93	6.05	6.54
At1g01130.1	TaNAC69(2)	NAC	64520	+	-709	19.93	6.05	6.6
At1g01140.1	TaNAC69(2)	NAC	63711	+	3914	19.93	6.05	8.11
At1g01140.1	TaNAC69(2)	NAC	64252	-	3373	19.93	6.05	6.54
At1g01140.1	TaNAC69(2)	NAC	64520	+	3105	19.93	6.05	6.6
At1g01140.1	TaNAC69(2)	NAC	67623	+	2	19.93	6.05	7.55
At1g01140.1	TaNAC69(2)	NAC	69408	-	-1783	19.93	6.05	7.02
