Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01020.1	STY1(2)	SRS	7897	+	840	11.98	6.63	8.21
At1g01020.1	STY1(2)	SRS	7897	-	840	11.98	6.63	6.91
At1g01020.1	STY1(2)	SRS	10631	-	-1894	11.98	6.63	7.58
At1g01030.1	STY1(2)	SRS	10631	-	3083	11.98	6.63	7.58
At1g01030.1	STY1(2)	SRS	11183	-	2531	11.98	6.63	8.03
At1g01030.1	STY1(2)	SRS	11780	+	1934	11.98	6.63	9.98
At1g01030.1	STY1(2)	SRS	11780	-	1934	11.98	6.63	9.85
At1g01050.1	STY1(2)	SRS	33120	+	33	11.98	6.63	6.95
At1g01050.1	STY1(2)	SRS	33120	-	33	11.98	6.63	7.08
At1g01050.1	STY1(2)	SRS	33442	+	-289	11.98	6.63	7.18
At1g01050.1	STY1(2)	SRS	33442	-	-289	11.98	6.63	7.04
At1g01070.1	STY1(2)	SRS	42737	+	-1793	11.98	6.63	7.18
At1g01070.1	STY1(2)	SRS	42737	-	-1793	11.98	6.63	7.04
At1g01110.1	STY1(2)	SRS	53301	+	432	11.98	6.63	6.64
At1g01110.1	STY1(2)	SRS	53813	-	944	11.98	6.63	7.87
At1g01110.1	STY1(2)	SRS	53813	+	944	11.98	6.63	7.87
At1g01120.1	STY1(2)	SRS	57726	+	1441	11.98	6.63	8.1
At1g01120.1	STY1(2)	SRS	57726	-	1441	11.98	6.63	6.81
At1g01160.1	STY1(2)	SRS	73518	-	1179	11.98	6.63	7.39
At1g01160.1	STY1(2)	SRS	73518	+	1179	11.98	6.63	8.15
At1g01170.1	STY1(2)	SRS	73518	+	1219	11.98	6.63	7.39
At1g01170.1	STY1(2)	SRS	73518	-	1219	11.98	6.63	8.15
At1g01183.1	STY1(2)	SRS	80014	+	-982	11.98	6.63	6.85
At1g01183.1	STY1(2)	SRS	80014	-	-982	11.98	6.63	6.85
At1g01183.1	STY1(2)	SRS	80086	-	-1054	11.98	6.63	6.87
At1g01190.1	STY1(2)	SRS	83612	-	1252	11.98	6.63	7.05
At1g01190.1	STY1(2)	SRS	86433	-	-1569	11.98	6.63	6.97
At1g01200.1	STY1(2)	SRS	86433	-	1780	11.98	6.63	6.97
At1g01210.1	STY1(2)	SRS	91935	-	3037	11.98	6.63	6.85
At1g01210.1	STY1(2)	SRS	91935	+	3037	11.98	6.63	8.01
At1g01220.1	STY1(2)	SRS	91935	-	185	11.98	6.63	6.85
At1g01220.1	STY1(2)	SRS	91935	+	185	11.98	6.63	8.01
At1g01340.1	STY1(2)	SRS	132615	-	2707	11.98	6.63	7.04
At1g01340.1	STY1(2)	SRS	133868	+	1454	11.98	6.63	7.57
At1g01340.1	STY1(2)	SRS	136478	+	-1156	11.98	6.63	7.9
At1g01340.1	STY1(2)	SRS	136885	+	-1563	11.98	6.63	6.93
At1g01350.1	STY1(2)	SRS	136478	-	354	11.98	6.63	7.9
At1g01350.1	STY1(2)	SRS	136885	-	761	11.98	6.63	6.93
At1g01350.1	STY1(2)	SRS	138984	-	2860	11.98	6.63	7.29
At1g01355.1	STY1(2)	SRS	136885	-	-1628	11.98	6.63	6.93
At1g01355.1	STY1(2)	SRS	138984	-	471	11.98	6.63	7.29
At1g01355.1	STY1(2)	SRS	140585	-	2072	11.98	6.63	10.19
At1g01355.1	STY1(2)	SRS	140585	+	2072	11.98	6.63	10.95
At1g01360.1	STY1(2)	SRS	140585	-	-1386	11.98	6.63	10.19
At1g01360.1	STY1(2)	SRS	140585	+	-1386	11.98	6.63	10.95
At1g01380.1	STY1(2)	SRS	150594	-	3441	11.98	6.63	6.85
At1g01380.1	STY1(2)	SRS	150594	+	3441	11.98	6.63	6.85
At1g01390.1	STY1(2)	SRS	150594	+	-788	11.98	6.63	6.85
At1g01390.1	STY1(2)	SRS	150594	-	-788	11.98	6.63	6.85
At1g01400.1	STY1(2)	SRS	150594	+	1616	11.98	6.63	6.85
At1g01400.1	STY1(2)	SRS	150594	-	1616	11.98	6.63	6.85
At1g01410.1	STY1(2)	SRS	155076	-	1963	11.98	6.63	6.85
At1g01410.1	STY1(2)	SRS	155076	+	1963	11.98	6.63	8.01
At1g01420.1	STY1(2)	SRS	155076	+	935	11.98	6.63	6.85
At1g01420.1	STY1(2)	SRS	155076	-	935	11.98	6.63	8.01
