Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01040.1	PDF2	HD-ZIP	27139	-	3993	n.a.	n.a.	n.a.
At1g01046.1	PDF2	HD-ZIP	27139	-	-1361	n.a.	n.a.	n.a.
At1g02580.1	PDF2	HD-ZIP	548168	-	3385	n.a.	n.a.	n.a.
At1g08000.1	PDF2	HD-ZIP	2481488	-	3618	n.a.	n.a.	n.a.
At1g11595.1	PDF2	HD-ZIP	3901902	+	3639	n.a.	n.a.	n.a.
At1g11600.1	PDF2	HD-ZIP	3901902	+	-110	n.a.	n.a.	n.a.
At1g25370.1	PDF2	HD-ZIP	8901072	+	-1983	n.a.	n.a.	n.a.
At1g25375.1	PDF2	HD-ZIP	8901072	+	2172	n.a.	n.a.	n.a.
At1g26218.1	PDF2	HD-ZIP	9071768	-	492	n.a.	n.a.	n.a.
At1g26220.1	PDF2	HD-ZIP	9071768	+	641	n.a.	n.a.	n.a.
At1g26355.1	PDF2	HD-ZIP	9119584	-	-986	n.a.	n.a.	n.a.
At1g26360.1	PDF2	HD-ZIP	9119584	-	1620	n.a.	n.a.	n.a.
At1g30480.1	PDF2	HD-ZIP	10793313	-	3309	n.a.	n.a.	n.a.
At1g33090.1	PDF2	HD-ZIP	11995497	+	2219	n.a.	n.a.	n.a.
At1g33800.1	PDF2	HD-ZIP	12262601	-	1202	n.a.	n.a.	n.a.
At1g34220.1	PDF2	HD-ZIP	12464147	+	1831	n.a.	n.a.	n.a.
At1g34230.1	PDF2	HD-ZIP	12464147	+	3672	n.a.	n.a.	n.a.
At1g39750.1	PDF2	HD-ZIP	14827641	-	443	n.a.	n.a.	n.a.
At1g40118.1	PDF2	HD-ZIP	15393763	-	-1192	n.a.	n.a.	n.a.
At1g40124.1	PDF2	HD-ZIP	15393763	-	938	n.a.	n.a.	n.a.
At1g40135.1	PDF2	HD-ZIP	15295660	-	938	n.a.	n.a.	n.a.
At1g44070.1	PDF2	HD-ZIP	16754380	-	-1360	n.a.	n.a.	n.a.
At1g44075.1	PDF2	HD-ZIP	16754380	+	-658	n.a.	n.a.	n.a.
At1g44080.1	PDF2	HD-ZIP	16754380	-	3730	n.a.	n.a.	n.a.
At1g49070.1	PDF2	HD-ZIP	18162414	-	3595	n.a.	n.a.	n.a.
At1g49080.1	PDF2	HD-ZIP	18162414	-	-1143	n.a.	n.a.	n.a.
At1g49970.1	PDF2	HD-ZIP	18507215	-	1062	n.a.	n.a.	n.a.
At1g49975.1	PDF2	HD-ZIP	18507215	+	-1255	n.a.	n.a.	n.a.
At1g50430.1	PDF2	HD-ZIP	18686590	-	2730	n.a.	n.a.	n.a.
At1g51610.1	PDF2	HD-ZIP	19142183	+	2264	n.a.	n.a.	n.a.
At1g51620.1	PDF2	HD-ZIP	19142183	+	-1615	n.a.	n.a.	n.a.
At1g58430.1	PDF2	HD-ZIP	21717028	+	-260	n.a.	n.a.	n.a.
At1g58440.1	PDF2	HD-ZIP	21717028	+	3927	n.a.	n.a.	n.a.
At1g64160.1	PDF2	HD-ZIP	23819584	-	1911	n.a.	n.a.	n.a.
At1g64170.1	PDF2	HD-ZIP	23819584	+	2372	n.a.	n.a.	n.a.
At1g65130.1	PDF2	HD-ZIP	24206409	+	-1724	n.a.	n.a.	n.a.
At1g65140.1	PDF2	HD-ZIP	24206409	-	1129	n.a.	n.a.	n.a.
