Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01940.1	CAMTA3	CAMTA	325272	+	2245	n.a.	n.a.	n.a.
At1g01950.1	CAMTA3	CAMTA	325272	+	-201	n.a.	n.a.	n.a.
At1g02190.1	CAMTA3	CAMTA	418913	+	3834	n.a.	n.a.	n.a.
At1g02205.1	CAMTA3	CAMTA	418913	+	146	n.a.	n.a.	n.a.
At1g02310.1	CAMTA3	CAMTA	460824	-	-128	n.a.	n.a.	n.a.
At1g02320.1	CAMTA3	CAMTA	460824	+	-1004	n.a.	n.a.	n.a.
At1g02440.1	CAMTA3	CAMTA	498812	+	-1333	n.a.	n.a.	n.a.
At1g02450.1	CAMTA3	CAMTA	498812	+	-296	n.a.	n.a.	n.a.
At1g03970.1	CAMTA3	CAMTA	1018031	-	-68	n.a.	n.a.	n.a.
At1g04150.1	CAMTA3	CAMTA	1084802	-	-557	n.a.	n.a.	n.a.
At1g04160.1	CAMTA3	CAMTA	1084802	+	-1692	n.a.	n.a.	n.a.
At1g04180.1	CAMTA3	CAMTA	1105808	+	1186	n.a.	n.a.	n.a.
At1g04190.1	CAMTA3	CAMTA	1105808	-	2906	n.a.	n.a.	n.a.
At1g05020.1	CAMTA3	CAMTA	1438630	+	-964	n.a.	n.a.	n.a.
At1g05030.1	CAMTA3	CAMTA	1438630	+	2786	n.a.	n.a.	n.a.
At1g05440.1	CAMTA3	CAMTA	1598828	+	-981	n.a.	n.a.	n.a.
At1g05450.1	CAMTA3	CAMTA	1598828	-	-1625	n.a.	n.a.	n.a.
At1g05980.1	CAMTA3	CAMTA	1818606	+	1207	n.a.	n.a.	n.a.
At1g05990.1	CAMTA3	CAMTA	1818606	+	160	n.a.	n.a.	n.a.
At1g06000.1	CAMTA3	CAMTA	1818606	-	3287	n.a.	n.a.	n.a.
At1g06340.1	CAMTA3	CAMTA	1935654	-	-1641	n.a.	n.a.	n.a.
At1g06350.1	CAMTA3	CAMTA	1935654	-	1164	n.a.	n.a.	n.a.
At1g06630.1	CAMTA3	CAMTA	2029950	-	2212	n.a.	n.a.	n.a.
At1g06900.1	CAMTA3	CAMTA	2120863	+	-119	n.a.	n.a.	n.a.
At1g06910.1	CAMTA3	CAMTA	2120863	-	-127	n.a.	n.a.	n.a.
At1g06980.1	CAMTA3	CAMTA	2142469	-	1351	n.a.	n.a.	n.a.
At1g07120.1	CAMTA3	CAMTA	2188334	+	-1755	n.a.	n.a.	n.a.
At1g07130.1	CAMTA3	CAMTA	2188334	-	559	n.a.	n.a.	n.a.
At1g07135.1	CAMTA3	CAMTA	2188334	+	2324	n.a.	n.a.	n.a.
At1g07720.1	CAMTA3	CAMTA	2393846	+	-1396	n.a.	n.a.	n.a.
At1g07725.1	CAMTA3	CAMTA	2393846	+	3423	n.a.	n.a.	n.a.
At1g08070.1	CAMTA3	CAMTA	2516265	-	337	n.a.	n.a.	n.a.
At1g08080.1	CAMTA3	CAMTA	2516265	-	2278	n.a.	n.a.	n.a.
