Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01080.1	AtbZIP1	bZIP	44723	-	2296	n.a.	n.a.	n.a.
At1g01100.1	AtbZIP1	bZIP	52632	+	-1524	n.a.	n.a.	n.a.
At1g01110.1	AtbZIP1	bZIP	52632	-	-237	n.a.	n.a.	n.a.
At1g01450.1	AtbZIP1	bZIP	167338	+	-1821	n.a.	n.a.	n.a.
At1g01453.1	AtbZIP1	bZIP	167338	+	504	n.a.	n.a.	n.a.
At1g01460.1	AtbZIP1	bZIP	167338	-	-1385	n.a.	n.a.	n.a.
At1g01720.1	AtbZIP1	bZIP	268182	-	-148	n.a.	n.a.	n.a.
At1g01725.1	AtbZIP1	bZIP	268182	+	2593	n.a.	n.a.	n.a.
At1g02020.1	AtbZIP1	bZIP	354340	+	629	n.a.	n.a.	n.a.
At1g02030.1	AtbZIP1	bZIP	354340	+	2918	n.a.	n.a.	n.a.
At1g02228.1	AtbZIP1	bZIP	434314	+	-495	n.a.	n.a.	n.a.
At1g02230.1	AtbZIP1	bZIP	434314	+	2462	n.a.	n.a.	n.a.
At1g02640.1	AtbZIP1	bZIP	565964	-	1759	n.a.	n.a.	n.a.
At1g02660.1	AtbZIP1	bZIP	575565	+	-584	n.a.	n.a.	n.a.
At1g02670.1	AtbZIP1	bZIP	575565	-	-481	n.a.	n.a.	n.a.
At1g03040.1	AtbZIP1	bZIP	707416	-	-785	n.a.	n.a.	n.a.
At1g03050.1	AtbZIP1	bZIP	707416	+	-310	n.a.	n.a.	n.a.
At1g03070.1	AtbZIP1	bZIP	729853	-	-82	n.a.	n.a.	n.a.
At1g03290.1	AtbZIP1	bZIP	807270	-	-126	n.a.	n.a.	n.a.
At1g03687.1	AtbZIP1	bZIP	921624	+	3325	n.a.	n.a.	n.a.
At1g03700.1	AtbZIP1	bZIP	921624	+	674	n.a.	n.a.	n.a.
At1g03710.1	AtbZIP1	bZIP	921624	+	-1802	n.a.	n.a.	n.a.
At1g03790.1	AtbZIP1	bZIP	955127	-	603	n.a.	n.a.	n.a.
At1g03800.1	AtbZIP1	bZIP	955127	+	2870	n.a.	n.a.	n.a.
At1g03900.1	AtbZIP1	bZIP	993316	+	2178	n.a.	n.a.	n.a.
At1g03900.1	AtbZIP1	bZIP	993276	+	2138	n.a.	n.a.	n.a.
At1g03905.1	AtbZIP1	bZIP	993316	+	-83	n.a.	n.a.	n.a.
At1g03905.1	AtbZIP1	bZIP	993276	+	-123	n.a.	n.a.	n.a.
At1g04000.1	AtbZIP1	bZIP	1028895	+	223	n.a.	n.a.	n.a.
At1g05420.1	AtbZIP1	bZIP	1590754	+	682	n.a.	n.a.	n.a.
At1g07250.1	AtbZIP1	bZIP	2228021	-	2122	n.a.	n.a.	n.a.
At1g07260.1	AtbZIP1	bZIP	2228021	+	1297	n.a.	n.a.	n.a.
At1g07870.1	AtbZIP1	bZIP	2432329	-	-298	n.a.	n.a.	n.a.
At1g07880.1	AtbZIP1	bZIP	2432329	-	3431	n.a.	n.a.	n.a.
At1g08820.1	AtbZIP1	bZIP	2827007	-	-1729	n.a.	n.a.	n.a.
At1g08830.1	AtbZIP1	bZIP	2827007	+	-57	n.a.	n.a.	n.a.
At1g08960.1	AtbZIP1	bZIP	2881561	+	1916	n.a.	n.a.	n.a.
At1g08970.1	AtbZIP1	bZIP	2881561	+	-966	n.a.	n.a.	n.a.
At1g09350.1	AtbZIP1	bZIP	3019542	-	-279	n.a.	n.a.	n.a.
At1g09610.1	AtbZIP1	bZIP	3114353	+	2657	n.a.	n.a.	n.a.
At1g09620.1	AtbZIP1	bZIP	3114353	-	2348	n.a.	n.a.	n.a.
At1g09625.1	AtbZIP1	bZIP	3114353	-	3216	n.a.	n.a.	n.a.
At1g09650.1	AtbZIP1	bZIP	3128935	+	3126	n.a.	n.a.	n.a.
At1g09660.1	AtbZIP1	bZIP	3128935	-	2161	n.a.	n.a.	n.a.
At1g10060.1	AtbZIP1	bZIP	3287487	+	3246	n.a.	n.a.	n.a.
