Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01020.1	ERF1	AP2/EREBP	8656	-	81	13.51	8.2	10.9
At1g01040.1	ERF1	AP2/EREBP	25860	+	2714	13.51	8.2	8.43
At1g01060.1	ERF1	AP2/EREBP	37385	-	455	13.51	8.2	9.1
At1g01070.1	ERF1	AP2/EREBP	37385	-	3559	13.51	8.2	9.1
At1g01090.1	ERF1	AP2/EREBP	51156	+	-1870	13.51	8.2	9.33
At1g01100.1	ERF1	AP2/EREBP	51156	+	-48	13.51	8.2	9.33
At1g01100.1	ERF1	AP2/EREBP	52583	-	-1475	13.51	8.2	10.97
At1g01110.1	ERF1	AP2/EREBP	51156	-	-1713	13.51	8.2	9.33
At1g01110.1	ERF1	AP2/EREBP	52583	+	-286	13.51	8.2	10.97
At1g01120.1	ERF1	AP2/EREBP	58017	+	1150	13.51	8.2	8.83
At1g01140.1	ERF1	AP2/EREBP	67550	+	75	13.51	8.2	10.7
At1g01170.1	ERF1	AP2/EREBP	76321	+	-1584	13.51	8.2	8.33
At1g01170.1	ERF1	AP2/EREBP	76441	+	-1704	13.51	8.2	12.09
At1g01180.1	ERF1	AP2/EREBP	76441	-	808	13.51	8.2	12.09
At1g01180.1	ERF1	AP2/EREBP	77367	+	1734	13.51	8.2	11.5
At1g01180.1	ERF1	AP2/EREBP	76321	-	688	13.51	8.2	8.33
At1g01183.1	ERF1	AP2/EREBP	76441	+	2591	13.51	8.2	12.09
At1g01183.1	ERF1	AP2/EREBP	76321	+	2711	13.51	8.2	8.33
At1g01183.1	ERF1	AP2/EREBP	77367	-	1665	13.51	8.2	11.5
At1g01290.1	ERF1	AP2/EREBP	117666	+	3380	13.51	8.2	8.26
At1g01290.1	ERF1	AP2/EREBP	117848	+	3562	13.51	8.2	10.91
At1g01290.1	ERF1	AP2/EREBP	117986	+	3700	13.51	8.2	10.39
At1g01300.1	ERF1	AP2/EREBP	117848	+	905	13.51	8.2	10.91
At1g01300.1	ERF1	AP2/EREBP	117666	+	723	13.51	8.2	8.26
