Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01030.1	PIF4	bHLH	15521	-	-1807	11.78	7.82	8.22
At1g01030.1	PIF4	bHLH	15521	+	-1807	11.78	7.82	8.22
At1g01120.1	PIF4	bHLH	58398	-	769	11.78	7.82	11.78
At1g01120.1	PIF4	bHLH	58398	+	769	11.78	7.82	11.78
At1g01130.1	PIF4	bHLH	62094	-	1717	11.78	7.82	9.6
At1g01130.1	PIF4	bHLH	62094	+	1717	11.78	7.82	9.6
At1g01190.1	PIF4	bHLH	83355	+	1509	11.78	7.82	7.97
At1g01190.1	PIF4	bHLH	83401	+	1463	11.78	7.82	7.97
At1g01190.1	PIF4	bHLH	83355	-	1509	11.78	7.82	7.97
At1g01190.1	PIF4	bHLH	83401	-	1463	11.78	7.82	7.97
At1g01260.1	PIF4	bHLH	108279	+	-753	11.78	7.82	7.97
At1g01260.1	PIF4	bHLH	108279	-	-753	11.78	7.82	7.97
At1g01270.1	PIF4	bHLH	108279	+	3682	11.78	7.82	7.97
At1g01270.1	PIF4	bHLH	108279	-	3682	11.78	7.82	7.97
At1g01305.1	PIF4	bHLH	120564	-	1167	11.78	7.82	9.6
At1g01305.1	PIF4	bHLH	120564	+	1167	11.78	7.82	9.6
At1g01310.1	PIF4	bHLH	120564	-	410	11.78	7.82	9.6
At1g01310.1	PIF4	bHLH	120564	+	410	11.78	7.82	9.6
At1g01400.1	PIF4	bHLH	153361	+	-1151	11.78	7.82	11.78
At1g01400.1	PIF4	bHLH	153361	-	-1151	11.78	7.82	11.78
At1g01410.1	PIF4	bHLH	153361	-	248	11.78	7.82	11.78
At1g01410.1	PIF4	bHLH	156935	+	3822	11.78	7.82	7.97
At1g01410.1	PIF4	bHLH	153361	+	248	11.78	7.82	11.78
At1g01410.1	PIF4	bHLH	156935	-	3822	11.78	7.82	7.97
At1g01420.1	PIF4	bHLH	156935	+	-924	11.78	7.82	7.97
At1g01420.1	PIF4	bHLH	153361	+	2650	11.78	7.82	11.78
At1g01420.1	PIF4	bHLH	156935	-	-924	11.78	7.82	7.97
