Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01080.1	TCP11(2)	TCP	44985	+	2034	14.1	9.78	11.76
At1g01430.1	TCP11(2)	TCP	159510	-	-855	14.1	9.78	10.21
At1g01440.1	TCP11(2)	TCP	159510	-	3062	14.1	9.78	10.21
At1g01453.1	TCP11(2)	TCP	167967	+	-125	14.1	9.78	11.86
At1g01460.1	TCP11(2)	TCP	167967	-	-756	14.1	9.78	11.86
At1g01720.1	TCP11(2)	TCP	268132	+	-198	14.1	9.78	11.06
At1g01725.1	TCP11(2)	TCP	268132	-	2643	14.1	9.78	11.06
At1g01940.1	TCP11(2)	TCP	325279	+	2252	14.1	9.78	11.76
At1g01950.1	TCP11(2)	TCP	325279	+	-194	14.1	9.78	11.76
At1g02065.1	TCP11(2)	TCP	365887	-	678	14.1	9.78	11.58
At1g02390.1	TCP11(2)	TCP	482407	+	1555	14.1	9.78	13.55
At1g02391.1	TCP11(2)	TCP	482407	-	1512	14.1	9.78	13.55
At1g02460.1	TCP11(2)	TCP	505514	+	1690	14.1	9.78	11.69
At1g02490.1	TCP11(2)	TCP	519758	+	3140	14.1	9.78	11.99
At1g02500.1	TCP11(2)	TCP	519758	+	1507	14.1	9.78	11.99
At1g02510.1	TCP11(2)	TCP	519758	-	1910	14.1	9.78	11.99
At1g03830.1	TCP11(2)	TCP	963900	-	2721	14.1	9.78	11.99
At1g03870.1	TCP11(2)	TCP	984460	+	-921	14.1	9.78	12.69
At1g03880.1	TCP11(2)	TCP	984460	-	-1290	14.1	9.78	12.69
At1g04080.1	TCP11(2)	TCP	1054534	+	3192	14.1	9.78	9.89
At1g04150.1	TCP11(2)	TCP	1084183	-	62	14.1	9.78	13.99
At1g04220.1	TCP11(2)	TCP	1123335	+	-810	14.1	9.78	10.31
At1g04260.1	TCP11(2)	TCP	1143255	+	-1891	14.1	9.78	10.38
At1g04260.1	TCP11(2)	TCP	1143255	-	-1891	14.1	9.78	10.38
At1g04270.1	TCP11(2)	TCP	1143255	+	-203	14.1	9.78	10.38
At1g04270.1	TCP11(2)	TCP	1143255	-	-203	14.1	9.78	10.38
At1g04280.1	TCP11(2)	TCP	1143255	+	3398	14.1	9.78	10.38
At1g04280.1	TCP11(2)	TCP	1143255	-	3398	14.1	9.78	10.38
At1g04370.1	TCP11(2)	TCP	1176619	-	1443	14.1	9.78	11.86
At1g04380.1	TCP11(2)	TCP	1176619	+	1787	14.1	9.78	11.86
At1g04710.1	TCP11(2)	TCP	1323923	+	2020	14.1	9.78	10.31
At1g04720.1	TCP11(2)	TCP	1323923	+	-999	14.1	9.78	10.31
At1g05580.1	TCP11(2)	TCP	1667578	-	1323	14.1	9.78	12.54
At1g05590.1	TCP11(2)	TCP	1667578	+	-1771	14.1	9.78	12.54
At1g05835.1	TCP11(2)	TCP	1762543	+	320	14.1	9.78	11.99
At1g05840.1	TCP11(2)	TCP	1762543	-	3737	14.1	9.78	11.99
At1g06870.1	TCP11(2)	TCP	2110516	-	1924	14.1	9.78	12.44
At1g06880.1	TCP11(2)	TCP	2110516	+	701	14.1	9.78	12.44
At1g09000.1	TCP11(2)	TCP	2894180	-	3140	14.1	9.78	10
At1g09340.1	TCP11(2)	TCP	3018345	+	3015	14.1	9.78	9.89
At1g09350.1	TCP11(2)	TCP	3018345	+	-1476	14.1	9.78	9.89
At1g09660.1	TCP11(2)	TCP	3130587	+	509	14.1	9.78	11.58
At1g11260.1	TCP11(2)	TCP	3779777	-	2449	14.1	9.78	13.55
At1g11265.1	TCP11(2)	TCP	3779777	-	-1458	14.1	9.78	13.55
At1g12180.1	TCP11(2)	TCP	4132393	-	1974	14.1	9.78	11.31
At1g12190.1	TCP11(2)	TCP	4132393	+	1699	14.1	9.78	11.31
At1g12423.1	TCP11(2)	TCP	4231193	+	-49	14.1	9.78	11.58
At1g13830.1	TCP11(2)	TCP	4741252	+	-217	14.1	9.78	10
At1g13840.1	TCP11(2)	TCP	4741252	-	-744	14.1	9.78	10
At1g14580.1	TCP11(2)	TCP	4991374	+	1816	14.1	9.78	11.76
At1g14800.1	TCP11(2)	TCP	5102386	+	2819	14.1	9.78	12.62
At1g14810.1	TCP11(2)	TCP	5102386	-	2304	14.1	9.78	12.62
At1g15080.1	TCP11(2)	TCP	5190406	+	2785	14.1	9.78	12.44
At1g15090.1	TCP11(2)	TCP	5190406	-	-651	14.1	9.78	12.44
At1g15100.1	TCP11(2)	TCP	5190406	-	3792	14.1	9.78	12.44
At1g15390.1	TCP11(2)	TCP	5296504	-	1880	14.1	9.78	10.21
At1g15400.1	TCP11(2)	TCP	5296504	+	373	14.1	9.78	10.21
At1g15405.1	TCP11(2)	TCP	5296504	+	1657	14.1	9.78	10.21
At1g15540.1	TCP11(2)	TCP	5345960	-	3378	14.1	9.78	12.44
At1g15550.1	TCP11(2)	TCP	5345960	+	201	14.1	9.78	12.44
At1g15730.1	TCP11(2)	TCP	5410705	+	-723	14.1	9.78	12.44
At1g15740.1	TCP11(2)	TCP	5410705	-	-198	14.1	9.78	12.44
At1g16780.1	TCP11(2)	TCP	5744453	-	-891	14.1	9.78	11.31
At1g16790.1	TCP11(2)	TCP	5744453	+	-93	14.1	9.78	11.31
At1g17270.1	TCP11(2)	TCP	5910482	+	1204	14.1	9.78	10.21
At1g17275.1	TCP11(2)	TCP	5910482	-	-1564	14.1	9.78	10.21
At1g18100.1	TCP11(2)	TCP	6229287	-	894	14.1	9.78	10.21
At1g18640.2	TCP11(2)	TCP	6419914	+	-1232	14.1	9.78	10.21
At1g18650.1	TCP11(2)	TCP	6419914	+	635	14.1	9.78	10.21
At1g18660.1	TCP11(2)	TCP	6419914	-	-1195	14.1	9.78	10.21
At1g19100.1	TCP11(2)	TCP	6594854	-	-67	14.1	9.78	10.38
At1g19100.1	TCP11(2)	TCP	6594854	+	-67	14.1	9.78	10.38
At1g19430.1	TCP11(2)	TCP	6728782	-	-751	14.1	9.78	12.44
At1g19440.1	TCP11(2)	TCP	6728782	+	-193	14.1	9.78	12.44
At1g20130.1	TCP11(2)	TCP	6980061	+	2185	14.1	9.78	13.14
At1g20132.1	TCP11(2)	TCP	6980061	+	-1194	14.1	9.78	13.14
At1g20440.1	TCP11(2)	TCP	7086698	+	-936	14.1	9.78	13.14
At1g20450.1	TCP11(2)	TCP	7086698	+	2898	14.1	9.78	13.14
At1g21960.1	TCP11(2)	TCP	7728041	-	2080	14.1	9.78	11.06
At1g21970.1	TCP11(2)	TCP	7728041	+	1565	14.1	9.78	11.06
At1g21973.1	TCP11(2)	TCP	7728041	+	3092	14.1	9.78	11.06
At1g23410.1	TCP11(2)	TCP	8318473	+	3560	14.1	9.78	11.76
At1g23420.1	TCP11(2)	TCP	8318473	+	1088	14.1	9.78	11.76
At1g24530.1	TCP11(2)	TCP	8694331	+	1117	14.1	9.78	11.14
At1g24530.1	TCP11(2)	TCP	8695427	-	2213	14.1	9.78	11.69
At1g24600.1	TCP11(2)	TCP	8720508	-	213	14.1	9.78	10.21
At1g24610.1	TCP11(2)	TCP	8720508	+	2224	14.1	9.78	10.21
At1g25260.1	TCP11(2)	TCP	8856272	+	-413	14.1	9.78	10.21
At1g25270.1	TCP11(2)	TCP	8856272	-	-1441	14.1	9.78	10.21
At1g25425.1	TCP11(2)	TCP	8924426	-	1739	14.1	9.78	10.21
At1g27080.1	TCP11(2)	TCP	9403117	-	2466	14.1	9.78	10.21
At1g27090.1	TCP11(2)	TCP	9403117	+	3126	14.1	9.78	10.21
At1g27330.1	TCP11(2)	TCP	9492692	+	-259	14.1	9.78	11.99
At1g27720.1	TCP11(2)	TCP	9648437	-	-1074	14.1	9.78	12.54
At1g27730.1	TCP11(2)	TCP	9648437	-	623	14.1	9.78	12.54
At1g28270.1	TCP11(2)	TCP	9885429	-	2404	14.1	9.78	13.55
At1g28280.1	TCP11(2)	TCP	9885429	+	2036	14.1	9.78	13.55
At1g30110.1	TCP11(2)	TCP	10581936	+	-122	14.1	9.78	13.24
At1g30320.1	TCP11(2)	TCP	10680730	-	502	14.1	9.78	10.21
At1g30370.1	TCP11(2)	TCP	10721351	+	-611	14.1	9.78	11.58
At1g30380.1	TCP11(2)	TCP	10721351	-	-828	14.1	9.78	11.58
At1g30430.1	TCP11(2)	TCP	10760652	+	3948	14.1	9.78	11.76
At1g30440.1	TCP11(2)	TCP	10760652	+	1195	14.1	9.78	11.76
At1g30870.1	TCP11(2)	TCP	10992446	-	980	14.1	9.78	14.1
At1g30880.1	TCP11(2)	TCP	10992446	+	1660	14.1	9.78	14.1
At1g31670.1	TCP11(2)	TCP	11337361	-	-178	14.1	9.78	11.99
At1g32770.1	TCP11(2)	TCP	11865786	-	1144	14.1	9.78	13.99
At1g32890.1	TCP11(2)	TCP	11919232	+	593	14.1	9.78	12.44
At1g33160.1	TCP11(2)	TCP	12028511	-	3725	14.1	9.78	11.14
At1g33170.1	TCP11(2)	TCP	12028511	-	1447	14.1	9.78	11.14
At1g33800.1	TCP11(2)	TCP	12264798	-	3399	14.1	9.78	13.14
At1g33810.1	TCP11(2)	TCP	12264798	-	-215	14.1	9.78	13.14
At1g33860.1	TCP11(2)	TCP	12297721	-	3347	14.1	9.78	10.38
At1g33860.1	TCP11(2)	TCP	12297721	+	3347	14.1	9.78	10.38
At1g33870.1	TCP11(2)	TCP	12299340	+	3107	14.1	9.78	10.38
At1g33870.1	TCP11(2)	TCP	12299340	-	3107	14.1	9.78	10.38
At1g34220.1	TCP11(2)	TCP	12467838	-	-1860	14.1	9.78	13.55
At1g34220.1	TCP11(2)	TCP	12467865	+	-1887	14.1	9.78	11.76
At1g34230.1	TCP11(2)	TCP	12467838	-	-19	14.1	9.78	13.55
At1g34230.1	TCP11(2)	TCP	12467865	+	-46	14.1	9.78	11.76
At1g35410.1	TCP11(2)	TCP	13028125	-	3986	14.1	9.78	13.55
At1g35420.1	TCP11(2)	TCP	13028125	-	1858	14.1	9.78	13.55
At1g35430.1	TCP11(2)	TCP	13028125	+	3005	14.1	9.78	13.55
At1g35880.1	TCP11(2)	TCP	13342838	-	-398	14.1	9.78	11.69
At1g35890.1	TCP11(2)	TCP	13342838	+	326	14.1	9.78	11.69
At1g36720.1	TCP11(2)	TCP	13889528	+	3833	14.1	9.78	10.31
At1g37000.1	TCP11(2)	TCP	14040355	+	1876	14.1	9.78	11.31
At1g37007.1	TCP11(2)	TCP	14040355	-	2106	14.1	9.78	11.31
At1g37170.1	TCP11(2)	TCP	14190533	-	-732	14.1	9.78	11.99
At1g40087.1	TCP11(2)	TCP	15002651	+	1658	14.1	9.78	10.38
At1g40087.1	TCP11(2)	TCP	15002651	-	1658	14.1	9.78	10.38
At1g40107.1	TCP11(2)	TCP	15154836	-	1179	14.1	9.78	11.69
At1g41810.1	TCP11(2)	TCP	15583226	+	-228	14.1	9.78	11.14
At1g42120.1	TCP11(2)	TCP	15733093	+	34	14.1	9.78	11.76
At1g43690.1	TCP11(2)	TCP	16482911	+	2224	14.1	9.78	9.88
At1g43765.1	TCP11(2)	TCP	16542338	-	2387	14.1	9.78	9.89
At1g43940.1	TCP11(2)	TCP	16668944	+	86	14.1	9.78	11.14
At1g43940.1	TCP11(2)	TCP	16668963	-	105	14.1	9.78	13.55
At1g43940.1	TCP11(2)	TCP	16669160	+	302	14.1	9.78	11.76
At1g43980.1	TCP11(2)	TCP	16688389	-	3553	14.1	9.78	13.55
At1g44040.1	TCP11(2)	TCP	16733332	+	-1884	14.1	9.78	13.24
At1g45090.1	TCP11(2)	TCP	17050321	+	1680	14.1	9.78	10.31
At1g45090.1	TCP11(2)	TCP	17050668	+	1333	14.1	9.78	10.31
At1g48610.1	TCP11(2)	TCP	17976970	+	1	14.1	9.78	10.21
At1g48620.1	TCP11(2)	TCP	17976970	+	3087	14.1	9.78	10.21
At1g48890.1	TCP11(2)	TCP	18089273	-	-1436	14.1	9.78	10.21
At1g48900.1	TCP11(2)	TCP	18089273	-	2274	14.1	9.78	10.21
At1g49630.1	TCP11(2)	TCP	18380567	-	-1518	14.1	9.78	11.14
At1g49640.1	TCP11(2)	TCP	18380567	-	-170	14.1	9.78	11.14
At1g49650.1	TCP11(2)	TCP	18380567	-	1735	14.1	9.78	11.14
At1g51172.1	TCP11(2)	TCP	18969260	+	3139	14.1	9.78	11.06
At1g51680.1	TCP11(2)	TCP	19166248	-	-1028	14.1	9.78	11.76
At1g51690.1	TCP11(2)	TCP	19166248	+	-1483	14.1	9.78	11.76
At1g52615.1	TCP11(2)	TCP	19605778	+	-228	14.1	9.78	10.38
At1g52615.1	TCP11(2)	TCP	19605778	-	-228	14.1	9.78	10.38
At1g52618.1	TCP11(2)	TCP	19605778	-	-1037	14.1	9.78	10.38
At1g52618.1	TCP11(2)	TCP	19605778	+	-1037	14.1	9.78	10.38
At1g53590.1	TCP11(2)	TCP	20003253	-	3270	14.1	9.78	11.14
At1g53600.1	TCP11(2)	TCP	20003253	-	-1678	14.1	9.78	11.14
At1g54510.1	TCP11(2)	TCP	20367715	-	-1503	14.1	9.78	13.24
At1g54520.1	TCP11(2)	TCP	20367715	+	600	14.1	9.78	13.24
At1g55210.1	TCP11(2)	TCP	20603247	-	-872	14.1	9.78	11.86
At1g55220.1	TCP11(2)	TCP	20603247	-	1856	14.1	9.78	11.86
At1g56350.1	TCP11(2)	TCP	21100856	-	2413	14.1	9.78	10.21
At1g56360.1	TCP11(2)	TCP	21100856	+	3651	14.1	9.78	10.21
At1g61620.1	TCP11(2)	TCP	22745167	-	3959	14.1	9.78	11.31
At1g63206.1	TCP11(2)	TCP	23445457	-	2150	14.1	9.78	11.58
At1g63210.1	TCP11(2)	TCP	23445457	-	-1896	14.1	9.78	11.58
At1g64255.1	TCP11(2)	TCP	23850118	-	1501	14.1	9.78	10.31
At1g64260.1	TCP11(2)	TCP	23850118	-	-1301	14.1	9.78	10.31
At1g64355.1	TCP11(2)	TCP	23889646	-	-101	14.1	9.78	10.21
At1g64360.1	TCP11(2)	TCP	23889646	-	-1887	14.1	9.78	10.21
At1g64450.1	TCP11(2)	TCP	23945690	-	819	14.1	9.78	10.21
At1g64460.1	TCP11(2)	TCP	23945690	-	2653	14.1	9.78	10.21
At1g64470.1	TCP11(2)	TCP	23951330	-	-1895	14.1	9.78	11.14
At1g64480.1	TCP11(2)	TCP	23951330	-	2084	14.1	9.78	11.14
At1g66470.1	TCP11(2)	TCP	24800500	-	1623	14.1	9.78	10.21
At1g66553.1	TCP11(2)	TCP	24837404	+	2581	14.1	9.78	10.21
At1g66560.1	TCP11(2)	TCP	24837404	+	162	14.1	9.78	10.21
At1g66570.1	TCP11(2)	TCP	24837404	-	3581	14.1	9.78	10.21
At1g67328.1	TCP11(2)	TCP	25218212	+	501	14.1	9.78	9.88
At1g67330.1	TCP11(2)	TCP	25218212	-	697	14.1	9.78	9.88
At1g67810.1	TCP11(2)	TCP	25432145	-	1994	14.1	9.78	10.31
At1g67820.1	TCP11(2)	TCP	25432145	-	-1371	14.1	9.78	10.31
At1g68825.1	TCP11(2)	TCP	25874015	-	-189	14.1	9.78	11.99
At1g68990.1	TCP11(2)	TCP	25944852	-	-223	14.1	9.78	11.76
At1g69000.1	TCP11(2)	TCP	25944852	+	25	14.1	9.78	11.76
At1g69010.1	TCP11(2)	TCP	25944852	+	-486	14.1	9.78	11.76
At1g69770.1	TCP11(2)	TCP	26258734	+	-1486	14.1	9.78	10.21
At1g70180.1	TCP11(2)	TCP	26433510	+	3389	14.1	9.78	11.31
At1g70185.1	TCP11(2)	TCP	26433510	+	114	14.1	9.78	11.31
At1g70190.1	TCP11(2)	TCP	26433510	+	-696	14.1	9.78	11.31
At1g70790.1	TCP11(2)	TCP	26706545	-	2299	14.1	9.78	10.21
At1g70800.1	TCP11(2)	TCP	26706545	-	178	14.1	9.78	10.21
At1g70810.1	TCP11(2)	TCP	26706545	-	-1247	14.1	9.78	10.21
At1g70990.1	TCP11(2)	TCP	26771304	-	434	14.1	9.78	11.58
At1g71000.1	TCP11(2)	TCP	26771304	-	2469	14.1	9.78	11.58
At1g71720.1	TCP11(2)	TCP	26987144	-	-262	14.1	9.78	11.58
At1g71730.1	TCP11(2)	TCP	26987144	+	3427	14.1	9.78	11.58
At1g72220.1	TCP11(2)	TCP	27187751	+	1741	14.1	9.78	11.76
At1g72230.1	TCP11(2)	TCP	27193352	+	1624	14.1	9.78	11.14
At1g72240.1	TCP11(2)	TCP	27193352	+	-489	14.1	9.78	11.14
At1g72710.1	TCP11(2)	TCP	27374994	+	-939	14.1	9.78	11.14
At1g73860.1	TCP11(2)	TCP	27782017	+	-1499	14.1	9.78	11.99
At1g73870.1	TCP11(2)	TCP	27782017	-	-810	14.1	9.78	11.99
At1g74710.1	TCP11(2)	TCP	28073900	+	-56	14.1	9.78	13.99
At1g75388.1	TCP11(2)	TCP	28293966	-	-1393	14.1	9.78	10.21
At1g75390.1	TCP11(2)	TCP	28293966	-	-1393	14.1	9.78	10.21
At1g75450.1	TCP11(2)	TCP	28321638	+	385	14.1	9.78	13.55
At1g75480.1	TCP11(2)	TCP	28339803	-	-1398	14.1	9.78	11.14
At1g75490.1	TCP11(2)	TCP	28339803	+	640	14.1	9.78	11.14
At1g76870.1	TCP11(2)	TCP	28864663	+	2519	14.1	9.78	10.31
At1g76878.1	TCP11(2)	TCP	28873379	+	-516	14.1	9.78	11.99
At1g76880.1	TCP11(2)	TCP	28873379	-	2985	14.1	9.78	11.99
At1g76890.2	TCP11(2)	TCP	28881097	-	-911	14.1	9.78	11.76
At1g76892.1	TCP11(2)	TCP	28881097	+	2932	14.1	9.78	11.76
At1g76940.1	TCP11(2)	TCP	28910404	+	-1199	14.1	9.78	11.76
At1g76950.1	TCP11(2)	TCP	28910404	-	-1013	14.1	9.78	11.76
At1g77210.1	TCP11(2)	TCP	29013234	+	2750	14.1	9.78	10.21
At1g77215.1	TCP11(2)	TCP	29013234	+	3756	14.1	9.78	10.21
At1g77320.1	TCP11(2)	TCP	29063337	+	1911	14.1	9.78	9.88
At1g78430.1	TCP11(2)	TCP	29517550	+	3698	14.1	9.78	11.14
At1g78440.1	TCP11(2)	TCP	29517550	-	394	14.1	9.78	11.14
At1g79090.1	TCP11(2)	TCP	29756454	+	1746	14.1	9.78	10.21
At1g79430.1	TCP11(2)	TCP	29882881	+	1216	14.1	9.78	10.38
At1g79430.1	TCP11(2)	TCP	29882881	-	1216	14.1	9.78	10.38
At1g79470.1	TCP11(2)	TCP	29900763	+	887	14.1	9.78	11.86
At1g79470.1	TCP11(2)	TCP	29903007	+	-1357	14.1	9.78	11.76
At1g79480.1	TCP11(2)	TCP	29900763	+	3734	14.1	9.78	11.86
At1g79480.1	TCP11(2)	TCP	29903007	+	1490	14.1	9.78	11.76
At1g80170.1	TCP11(2)	TCP	30162056	+	-1451	14.1	9.78	10.21
At1g80180.1	TCP11(2)	TCP	30162056	+	420	14.1	9.78	10.21
At1g80330.1	TCP11(2)	TCP	30205727	-	-1298	14.1	9.78	11.99
At1g80340.1	TCP11(2)	TCP	30205727	-	1365	14.1	9.78	11.99
At1g80440.1	TCP11(2)	TCP	30247381	-	882	14.1	9.78	11.99
At1g80450.1	TCP11(2)	TCP	30247381	+	2294	14.1	9.78	11.99
At1g80740.1	TCP11(2)	TCP	30349798	+	2512	14.1	9.78	12.62
At1g80840.1	TCP11(2)	TCP	30388399	+	-184	14.1	9.78	11.14
At2g01610.1	TCP11(2)	TCP	273702	-	1117	14.1	9.78	11.76
At2g01850.1	TCP11(2)	TCP	383440	+	-1758	14.1	9.78	11.86
At2g04041.1	TCP11(2)	TCP	1309743	-	-1202	14.1	9.78	11.06
At2g04041.1	TCP11(2)	TCP	1309760	+	-1219	14.1	9.78	11.86
At2g04041.1	TCP11(2)	TCP	1310057	-	-1516	14.1	9.78	11.76
At2g04041.1	TCP11(2)	TCP	1310084	+	-1543	14.1	9.78	13.55
At2g04041.1	TCP11(2)	TCP	1310525	-	-1984	14.1	9.78	11.76
At2g04500.1	TCP11(2)	TCP	1572079	-	3798	14.1	9.78	9.88
At2g04510.1	TCP11(2)	TCP	1572079	+	-255	14.1	9.78	9.88
At2g04515.1	TCP11(2)	TCP	1572079	-	-1555	14.1	9.78	9.88
At2g04790.1	TCP11(2)	TCP	1681518	-	1993	14.1	9.78	13.55
At2g04795.1	TCP11(2)	TCP	1681518	-	-1432	14.1	9.78	13.55
At2g05441.1	TCP11(2)	TCP	1997872	+	3513	14.1	9.78	10.31
At2g05441.1	TCP11(2)	TCP	1997899	+	3540	14.1	9.78	10.31
At2g05441.1	TCP11(2)	TCP	1997926	+	3567	14.1	9.78	10.31
At2g05450.1	TCP11(2)	TCP	1997872	+	1673	14.1	9.78	10.31
At2g05450.1	TCP11(2)	TCP	1997899	+	1700	14.1	9.78	10.31
At2g05450.1	TCP11(2)	TCP	1997926	+	1727	14.1	9.78	10.31
At2g05960.1	TCP11(2)	TCP	2304346	+	1546	14.1	9.78	10.21
At2g06380.1	TCP11(2)	TCP	2516840	+	-1492	14.1	9.78	13.55
At2g06390.1	TCP11(2)	TCP	2516840	+	-131	14.1	9.78	13.55
At2g06540.1	TCP11(2)	TCP	2596558	+	1219	14.1	9.78	11.86
At2g06590.1	TCP11(2)	TCP	2636223	+	3097	14.1	9.78	13.55
At2g06590.1	TCP11(2)	TCP	2636250	-	3124	14.1	9.78	11.76
At2g06590.1	TCP11(2)	TCP	2636690	+	3564	14.1	9.78	13.55
At2g06590.1	TCP11(2)	TCP	2636717	-	3591	14.1	9.78	11.76
At2g06670.1	TCP11(2)	TCP	2664623	+	3133	14.1	9.78	13.55
At2g06670.1	TCP11(2)	TCP	2664650	-	3160	14.1	9.78	11.76
At2g06670.1	TCP11(2)	TCP	2665090	+	3600	14.1	9.78	13.55
At2g06670.1	TCP11(2)	TCP	2665117	-	3627	14.1	9.78	11.76
At2g06860.1	TCP11(2)	TCP	2769022	+	2669	14.1	9.78	12.44
At2g06920.1	TCP11(2)	TCP	2835864	-	3784	14.1	9.78	10.21
At2g06922.1	TCP11(2)	TCP	2835864	-	-1160	14.1	9.78	10.21
At2g07155.1	TCP11(2)	TCP	2970723	+	2621	14.1	9.78	12.69
At2g07160.1	TCP11(2)	TCP	2970723	+	1195	14.1	9.78	12.69
At2g07340.1	TCP11(2)	TCP	3049339	+	3783	14.1	9.78	10.31
At2g07635.1	TCP11(2)	TCP	3217051	+	3042	14.1	9.78	11.76
At2g07698.1	TCP11(2)	TCP	3360119	-	-1352	14.1	9.78	13.55
At2g07716.1	TCP11(2)	TCP	3416298	+	2346	14.1	9.78	9.89
At2g07717.1	TCP11(2)	TCP	3416298	+	-1928	14.1	9.78	9.89
At2g10300.1	TCP11(2)	TCP	3968116	+	1619	14.1	9.78	11.58
At2g10600.1	TCP11(2)	TCP	4137189	-	924	14.1	9.78	11.58
At2g10600.1	TCP11(2)	TCP	4137959	+	154	14.1	9.78	10.21
At2g12100.1	TCP11(2)	TCP	4881993	+	1324	14.1	9.78	10.31
At2g12100.1	TCP11(2)	TCP	4882340	+	1671	14.1	9.78	10.31
At2g12195.1	TCP11(2)	TCP	4905836	+	-17	14.1	9.78	11.86
At2g12200.1	TCP11(2)	TCP	4905836	-	-1859	14.1	9.78	11.86
At2g12260.1	TCP11(2)	TCP	4927509	+	-1846	14.1	9.78	11.86
At2g12270.1	TCP11(2)	TCP	4927509	+	-17	14.1	9.78	11.86
At2g12280.1	TCP11(2)	TCP	4927509	-	-1855	14.1	9.78	11.86
At2g12945.1	TCP11(2)	TCP	5329911	+	795	14.1	9.78	11.76
At2g12945.1	TCP11(2)	TCP	5331844	+	-1138	14.1	9.78	11.58
At2g12950.1	TCP11(2)	TCP	5331844	+	2306	14.1	9.78	11.58
At2g13410.1	TCP11(2)	TCP	5590677	+	-445	14.1	9.78	11.99
At2g13420.1	TCP11(2)	TCP	5590677	+	3967	14.1	9.78	11.99
At2g13542.1	TCP11(2)	TCP	5648204	-	2493	14.1	9.78	13.99
At2g13790.1	TCP11(2)	TCP	5748838	-	-64	14.1	9.78	11.99
At2g14110.1	TCP11(2)	TCP	5957115	-	-1854	14.1	9.78	10.21
At2g14550.1	TCP11(2)	TCP	6211524	-	1454	14.1	9.78	11.69
At2g14940.1	TCP11(2)	TCP	6445607	-	2800	14.1	9.78	10.21
At2g15900.1	TCP11(2)	TCP	6938111	-	3639	14.1	9.78	11.06
At2g16180.1	TCP11(2)	TCP	7024782	+	1740	14.1	9.78	10.31
At2g16180.1	TCP11(2)	TCP	7024809	+	1713	14.1	9.78	10.31
At2g16180.1	TCP11(2)	TCP	7024863	+	1659	14.1	9.78	10.31
At2g16180.1	TCP11(2)	TCP	7025210	+	1312	14.1	9.78	10.31
At2g16190.1	TCP11(2)	TCP	7024782	+	3901	14.1	9.78	10.31
At2g16190.1	TCP11(2)	TCP	7024809	+	3874	14.1	9.78	10.31
At2g16190.1	TCP11(2)	TCP	7024863	+	3820	14.1	9.78	10.31
At2g16190.1	TCP11(2)	TCP	7025210	+	3473	14.1	9.78	10.31
At2g17150.1	TCP11(2)	TCP	7478422	-	-82	14.1	9.78	11.58
At2g17160.1	TCP11(2)	TCP	7478422	+	-1414	14.1	9.78	11.58
At2g18090.1	TCP11(2)	TCP	7875190	-	3794	14.1	9.78	10.31
At2g18100.1	TCP11(2)	TCP	7875190	-	280	14.1	9.78	10.31
At2g18310.1	TCP11(2)	TCP	7964364	-	-1532	14.1	9.78	11.06
At2g18320.1	TCP11(2)	TCP	7964364	+	1062	14.1	9.78	11.06
At2g20210.1	TCP11(2)	TCP	8732975	-	-767	14.1	9.78	10.21
